Año	Residencia provincia código	Residencia provincia nombre	Edad (grandes grupos)	Sexo	Relación lugar de residencia y nacimiento	Personas
1998	22	Huesca	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	7415
1998	22	Huesca	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	4402
1998	22	Huesca	0 a 15	Hombres	3 - Misma CA y distinta provincia	835
1998	22	Huesca	0 a 15	Hombres	4 - Distinta CA	1747
1998	22	Huesca	0 a 15	Hombres	5 - Nacidos en el extranjero	113
1998	22	Huesca	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	7062
1998	22	Huesca	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	4062
1998	22	Huesca	0 a 15	Mujeres	3 - Misma CA y distinta provincia	735
1998	22	Huesca	0 a 15	Mujeres	4 - Distinta CA	1645
1998	22	Huesca	0 a 15	Mujeres	5 - Nacidos en el extranjero	103
1998	22	Huesca	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	30183
1998	22	Huesca	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	18341
1998	22	Huesca	16 a 64	Hombres	3 - Misma CA y distinta provincia	4594
1998	22	Huesca	16 a 64	Hombres	4 - Distinta CA	11651
1998	22	Huesca	16 a 64	Hombres	5 - Nacidos en el extranjero	1032
1998	22	Huesca	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	25370
1998	22	Huesca	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	19570
1998	22	Huesca	16 a 64	Mujeres	3 - Misma CA y distinta provincia	4464
1998	22	Huesca	16 a 64	Mujeres	4 - Distinta CA	11550
1998	22	Huesca	16 a 64	Mujeres	5 - Nacidos en el extranjero	964
1998	22	Huesca	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11795
1998	22	Huesca	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	6067
