Mes y año	Mes (código)	Sexo	UE28-UE27-UE25	UE25	UE27	UE28	Número de contratos	Provincia código	Provincia nombre
Junio 2019	201906	Hombres	Españoles	ESPAÑA	Españoles	Españoles	3658	22	Huesca
Junio 2019	201906	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	941	22	Huesca
Junio 2019	201906	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	100	22	Huesca
Junio 2019	201906	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	2281	22	Huesca
Junio 2019	201906	Hombres	Españoles	ESPAÑA	Españoles	Españoles	2148	44	Teruel
Junio 2019	201906	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	253	44	Teruel
Junio 2019	201906	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	37	44	Teruel
Junio 2019	201906	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	449	44	Teruel
Junio 2019	201906	Hombres	Españoles	ESPAÑA	Españoles	Españoles	16463	50	Zaragoza
Junio 2019	201906	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	3145	50	Zaragoza
Junio 2019	201906	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	2	50	Zaragoza
Junio 2019	201906	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	412	50	Zaragoza
Junio 2019	201906	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	5520	50	Zaragoza
Junio 2019	201906	Hombres	No consta	No consta	No consta	No consta	10	50	Zaragoza
Junio 2019	201906	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	3219	22	Huesca
Junio 2019	201906	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1028	22	Huesca
Junio 2019	201906	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	108	22	Huesca
Junio 2019	201906	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	751	22	Huesca
Junio 2019	201906	Mujeres	No consta	No consta	No consta	No consta	1	22	Huesca
Junio 2019	201906	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	1728	44	Teruel
Junio 2019	201906	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	221	44	Teruel
Junio 2019	201906	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	22	44	Teruel
Junio 2019	201906	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	112	44	Teruel
Junio 2019	201906	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	14723	50	Zaragoza
Junio 2019	201906	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	2825	50	Zaragoza
Junio 2019	201906	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	1	50	Zaragoza
Junio 2019	201906	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	320	50	Zaragoza
Junio 2019	201906	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	2532	50	Zaragoza
Junio 2019	201906	Mujeres	No consta	No consta	No consta	No consta	1	50	Zaragoza
Mayo 2019	201905	Hombres	Españoles	ESPAÑA	Españoles	Españoles	3317	22	Huesca
Mayo 2019	201905	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1425	22	Huesca
Mayo 2019	201905	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	148	22	Huesca
Mayo 2019	201905	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	3173	22	Huesca
Mayo 2019	201905	Hombres	Españoles	ESPAÑA	Españoles	Españoles	2276	44	Teruel
Mayo 2019	201905	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	331	44	Teruel
Mayo 2019	201905	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	48	44	Teruel
Mayo 2019	201905	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	458	44	Teruel
Mayo 2019	201905	Hombres	Españoles	ESPAÑA	Españoles	Españoles	16102	50	Zaragoza
Mayo 2019	201905	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	3516	50	Zaragoza
Mayo 2019	201905	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	2	50	Zaragoza
Mayo 2019	201905	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	308	50	Zaragoza
Mayo 2019	201905	Hombres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	6687	50	Zaragoza
Mayo 2019	201905	Hombres	No consta	No consta	No consta	No consta	8	50	Zaragoza
Mayo 2019	201905	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	2752	22	Huesca
Mayo 2019	201905	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	1231	22	Huesca
Mayo 2019	201905	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	121	22	Huesca
Mayo 2019	201905	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	624	22	Huesca
Mayo 2019	201905	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	1531	44	Teruel
Mayo 2019	201905	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	268	44	Teruel
Mayo 2019	201905	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	36	44	Teruel
Mayo 2019	201905	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	132	44	Teruel
Mayo 2019	201905	Mujeres	Españoles	ESPAÑA	Españoles	Españoles	15014	50	Zaragoza
Mayo 2019	201905	Mujeres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	3217	50	Zaragoza
Mayo 2019	201905	Mujeres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	293	50	Zaragoza
Mayo 2019	201905	Mujeres	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	2915	50	Zaragoza
Abril 2019	201904	Hombres	Españoles	ESPAÑA	Españoles	Españoles	2713	22	Huesca
Abril 2019	201904	Hombres	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	787	22	Huesca
Abril 2019	201904	Hombres	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	63	22	Huesca
