Año	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	CCAA
2017	39	1	Directores y gerentes	Hombres	Aragón
2017	22	1	Directores y gerentes	Mujeres	Aragón
2016	29	1	Directores y gerentes	Hombres	Aragón
2016	8	1	Directores y gerentes	Mujeres	Aragón
2015	32	1	Directores y gerentes	Hombres	Aragón
2015	7	1	Directores y gerentes	Mujeres	Aragón
2014	38	1	Directores y gerentes	Hombres	Aragón
2014	7	1	Directores y gerentes	Mujeres	Aragón
2013	30	1	Directores y gerentes	Hombres	Aragón
2013	14	1	Directores y gerentes	Mujeres	Aragón
2012	37	1	Directores y gerentes	Hombres	Aragón
2012	14	1	Directores y gerentes	Mujeres	Aragón
2011	52	1	Directores y gerentes	Hombres	Aragón
2011	9	1	Directores y gerentes	Mujeres	Aragón
2017	122	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2017	266	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2016	150	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2016	302	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2015	133	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2015	253	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2014	106	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2014	228	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2013	110	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2013	239	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2012	100	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2012	191	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2011	135	2	Técnicos y profesionales científicos e intelectuales	Hombres	Aragón
2011	213	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Aragón
2017	309	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2017	114	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2016	286	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2016	124	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2015	286	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2015	104	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2014	283	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2014	114	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2013	265	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2013	106	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2012	287	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2012	74	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2011	320	3	Técnicos; profesionales de apoyo	Hombres	Aragón
2011	120	3	Técnicos; profesionales de apoyo	Mujeres	Aragón
2017	103	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2017	202	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2016	134	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2016	207	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
2015	88	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Aragón
2015	206	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Aragón
