Provincia código	Provincia nombre	Tipo hogar 1	Tipo de hogar 2	Número hogares
22	Huesca	1- Hogar unipersonal	1- Hogar unipersonal	17422
22	Huesca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	630
22	Huesca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	55525
22	Huesca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	209
44	Teruel	1- Hogar unipersonal	1- Hogar unipersonal	12863
44	Teruel	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	341
44	Teruel	2- Hogar multipersonal	3- Hogar multipersonal, una familia	37762
44	Teruel	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	104
50	Zaragoza	1- Hogar unipersonal	1- Hogar unipersonal	69449
50	Zaragoza	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2794
50	Zaragoza	2- Hogar multipersonal	3- Hogar multipersonal, una familia	245074
50	Zaragoza	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1070
