Provincia código	Provincia nombre	Tipo estudios	Edad	Sexo	Personas residentes viviendas familiares
22	Huesca	Derecho	25 a 44	Mujeres	692
22	Huesca	Derecho	45 a 64	Mujeres	54
22	Huesca	Derecho	65 y más	Mujeres	14
22	Huesca	Derecho	25 a 44	Hombres	514
22	Huesca	Derecho	45 a 64	Hombres	197
22	Huesca	Derecho	65 y más	Hombres	88
22	Huesca	Magisterio, Educación infantil...	25 a 44	Mujeres	1872
22	Huesca	Magisterio, Educación infantil...	45 a 64	Mujeres	1110
22	Huesca	Magisterio, Educación infantil...	65 y más	Mujeres	444
22	Huesca	Magisterio, Educación infantil...	25 a 44	Hombres	571
22	Huesca	Magisterio, Educación infantil...	45 a 64	Hombres	491
22	Huesca	Magisterio, Educación infantil...	65 y más	Hombres	132
22	Huesca	Ciencias Sociales	25 a 44	Mujeres	3543
22	Huesca	Ciencias Sociales	45 a 64	Mujeres	364
22	Huesca	Ciencias Sociales	65 y más	Mujeres	62
22	Huesca	Ciencias Sociales	25 a 44	Hombres	1593
22	Huesca	Ciencias Sociales	45 a 64	Hombres	404
22	Huesca	Ciencias Sociales	65 y más	Hombres	136
22	Huesca	Artes y Humanidades	25 a 44	Mujeres	1084
22	Huesca	Artes y Humanidades	45 a 64	Mujeres	301
22	Huesca	Artes y Humanidades	65 y más	Mujeres	38
22	Huesca	Artes y Humanidades	25 a 44	Hombres	520
22	Huesca	Artes y Humanidades	45 a 64	Hombres	255
22	Huesca	Artes y Humanidades	65 y más	Hombres	72
22	Huesca	Informática	25 a 44	Mujeres	213
22	Huesca	Informática	45 a 64	Mujeres	9
22	Huesca	Informática	65 y más	Mujeres	1
22	Huesca	Informática	25 a 44	Hombres	283
22	Huesca	Informática	45 a 64	Hombres	27
22	Huesca	Informática	65 y más	Hombres	2
22	Huesca	Ingenierías	25 a 44	Mujeres	342
22	Huesca	Ingenierías	45 a 64	Mujeres	23
22	Huesca	Ingenierías	65 y más	Mujeres	3
22	Huesca	Ingenierías	25 a 44	Hombres	1186
22	Huesca	Ingenierías	45 a 64	Hombres	397
22	Huesca	Ingenierías	65 y más	Hombres	85
22	Huesca	Formación Técnica e Industrial	25 a 44	Mujeres	1010
22	Huesca	Formación Técnica e Industrial	45 a 64	Mujeres	128
22	Huesca	Formación Técnica e Industrial	65 y más	Mujeres	23
22	Huesca	Formación Técnica e Industrial	25 a 44	Hombres	3682
22	Huesca	Formación Técnica e Industrial	45 a 64	Hombres	1049
22	Huesca	Formación Técnica e Industrial	65 y más	Hombres	127
22	Huesca	Ciencias	25 a 44	Mujeres	462
22	Huesca	Ciencias	45 a 64	Mujeres	76
22	Huesca	Ciencias	65 y más	Mujeres	11
22	Huesca	Ciencias	25 a 44	Hombres	475
22	Huesca	Ciencias	45 a 64	Hombres	179
22	Huesca	Ciencias	65 y más	Hombres	34
22	Huesca	Arquitectura o Construcción	25 a 44	Mujeres	114
22	Huesca	Arquitectura o Construcción	45 a 64	Mujeres	18
22	Huesca	Arquitectura o Construcción	65 y más	Mujeres	3
22	Huesca	Arquitectura o Construcción	25 a 44	Hombres	239
22	Huesca	Arquitectura o Construcción	45 a 64	Hombres	138
22	Huesca	Arquitectura o Construcción	65 y más	Hombres	21
22	Huesca	Agricultura, Veterinaria,...	25 a 44	Mujeres	223
22	Huesca	Agricultura, Veterinaria,...	45 a 64	Mujeres	31
22	Huesca	Agricultura, Veterinaria,...	25 a 44	Hombres	1133
22	Huesca	Agricultura, Veterinaria,...	45 a 64	Hombres	256
22	Huesca	Agricultura, Veterinaria,...	65 y más	Hombres	46
22	Huesca	Salud, Servicios Sociales	25 a 44	Mujeres	2409
22	Huesca	Salud, Servicios Sociales	45 a 64	Mujeres	660
22	Huesca	Salud, Servicios Sociales	65 y más	Mujeres	128
22	Huesca	Salud, Servicios Sociales	25 a 44	Hombres	589
22	Huesca	Salud, Servicios Sociales	45 a 64	Hombres	389
22	Huesca	Salud, Servicios Sociales	65 y más	Hombres	115
22	Huesca	Otros Servicios	25 a 44	Mujeres	1105
22	Huesca	Otros Servicios	45 a 64	Mujeres	140
22	Huesca	Otros Servicios	65 y más	Mujeres	14
22	Huesca	Otros Servicios	25 a 44	Hombres	648
22	Huesca	Otros Servicios	45 a 64	Hombres	182
22	Huesca	Otros Servicios	65 y más	Hombres	70
44	Teruel	Derecho	25 a 44	Mujeres	334
44	Teruel	Derecho	45 a 64	Mujeres	25
44	Teruel	Derecho	65 y más	Mujeres	6
44	Teruel	Derecho	25 a 44	Hombres	327
44	Teruel	Derecho	45 a 64	Hombres	97
44	Teruel	Derecho	65 y más	Hombres	27
44	Teruel	Magisterio, Educación infantil...	25 a 44	Mujeres	996
44	Teruel	Magisterio, Educación infantil...	45 a 64	Mujeres	433
44	Teruel	Magisterio, Educación infantil...	65 y más	Mujeres	166
44	Teruel	Magisterio, Educación infantil...	25 a 44	Hombres	419
44	Teruel	Magisterio, Educación infantil...	45 a 64	Hombres	336
44	Teruel	Magisterio, Educación infantil...	65 y más	Hombres	68
44	Teruel	Ciencias Sociales	25 a 44	Mujeres	1661
44	Teruel	Ciencias Sociales	45 a 64	Mujeres	125
44	Teruel	Ciencias Sociales	65 y más	Mujeres	17
44	Teruel	Ciencias Sociales	25 a 44	Hombres	667
