Mes y año	Comarca código	Comarca nombre	Sector de actividad	Afiliaciones en alta	Sexo
Abril 2021	01	La Jacetania	Agricultura, ganadería y pesca	306	Hombres
Abril 2021	01	La Jacetania	Agricultura, ganadería y pesca	52	Mujeres
Abril 2021	01	La Jacetania	Industria y energía	189	Hombres
Abril 2021	01	La Jacetania	Industria y energía	52	Mujeres
Abril 2021	01	La Jacetania	Construcción	501	Hombres
Abril 2021	01	La Jacetania	Construcción	51	Mujeres
Abril 2021	01	La Jacetania	Servicios	1751	Hombres
Abril 2021	01	La Jacetania	Servicios	2365	Mujeres
Abril 2021	02	Alto Gállego	Agricultura, ganadería y pesca	139	Hombres
Abril 2021	02	Alto Gállego	Agricultura, ganadería y pesca	34	Mujeres
Abril 2021	02	Alto Gállego	Industria y energía	788	Hombres
Abril 2021	02	Alto Gállego	Industria y energía	338	Mujeres
Abril 2021	02	Alto Gállego	Construcción	499	Hombres
Abril 2021	02	Alto Gállego	Construcción	59	Mujeres
Abril 2021	02	Alto Gállego	Servicios	1465	Hombres
Abril 2021	02	Alto Gállego	Servicios	1494	Mujeres
Abril 2021	03	Sobrarbe	Agricultura, ganadería y pesca	303	Hombres
Abril 2021	03	Sobrarbe	Agricultura, ganadería y pesca	54	Mujeres
Abril 2021	03	Sobrarbe	Industria y energía	107	Hombres
Abril 2021	03	Sobrarbe	Industria y energía	33	Mujeres
Abril 2021	03	Sobrarbe	Construcción	341	Hombres
Abril 2021	03	Sobrarbe	Construcción	28	Mujeres
Abril 2021	03	Sobrarbe	Servicios	760	Hombres
Abril 2021	03	Sobrarbe	Servicios	1004	Mujeres
Abril 2021	04	La Ribagorza	Agricultura, ganadería y pesca	659	Hombres
Abril 2021	04	La Ribagorza	Agricultura, ganadería y pesca	144	Mujeres
Abril 2021	04	La Ribagorza	Industria y energía	241	Hombres
Abril 2021	04	La Ribagorza	Industria y energía	103	Mujeres
Abril 2021	04	La Ribagorza	Construcción	477	Hombres
Abril 2021	04	La Ribagorza	Construcción	50	Mujeres
Abril 2021	04	La Ribagorza	Servicios	1202	Hombres
Abril 2021	04	La Ribagorza	Servicios	1577	Mujeres
Abril 2021	05	Cinco Villas	Agricultura, ganadería y pesca	2362	Hombres
Abril 2021	05	Cinco Villas	Agricultura, ganadería y pesca	601	Mujeres
Abril 2021	05	Cinco Villas	Industria y energía	2720	Hombres
Abril 2021	05	Cinco Villas	Industria y energía	1349	Mujeres
Abril 2021	05	Cinco Villas	Construcción	907	Hombres
Abril 2021	05	Cinco Villas	Construcción	98	Mujeres
Abril 2021	05	Cinco Villas	Servicios	2511	Hombres
Abril 2021	05	Cinco Villas	Servicios	3058	Mujeres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Agricultura, ganadería y pesca	1824	Hombres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Agricultura, ganadería y pesca	346	Mujeres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Industria y energía	2191	Hombres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Industria y energía	533	Mujeres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Construcción	2206	Hombres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Construcción	246	Mujeres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Servicios	11007	Hombres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Servicios	16484	Mujeres
Abril 2021	07	Somontano de Barbastro	Agricultura, ganadería y pesca	988	Hombres
Abril 2021	07	Somontano de Barbastro	Agricultura, ganadería y pesca	185	Mujeres
Abril 2021	07	Somontano de Barbastro	Industria y energía	1264	Hombres
Abril 2021	07	Somontano de Barbastro	Industria y energía	426	Mujeres
Abril 2021	07	Somontano de Barbastro	Construcción	513	Hombres
Abril 2021	07	Somontano de Barbastro	Construcción	53	Mujeres
Abril 2021	07	Somontano de Barbastro	Servicios	2415	Hombres
Abril 2021	07	Somontano de Barbastro	Servicios	3845	Mujeres
Abril 2021	08	Cinca Medio	Agricultura, ganadería y pesca	974	Hombres
Abril 2021	08	Cinca Medio	Agricultura, ganadería y pesca	270	Mujeres
Abril 2021	08	Cinca Medio	Industria y energía	1919	Hombres
Abril 2021	08	Cinca Medio	Industria y energía	523	Mujeres
Abril 2021	08	Cinca Medio	Construcción	776	Hombres
Abril 2021	08	Cinca Medio	Construcción	73	Mujeres
Abril 2021	08	Cinca Medio	Servicios	2035	Hombres
Abril 2021	08	Cinca Medio	Servicios	2457	Mujeres
Abril 2021	09	La Litera / La Llitera	Agricultura, ganadería y pesca	1568	Hombres
Abril 2021	09	La Litera / La Llitera	Agricultura, ganadería y pesca	413	Mujeres
Abril 2021	09	La Litera / La Llitera	Industria y energía	2829	Hombres
Abril 2021	09	La Litera / La Llitera	Industria y energía	788	Mujeres
Abril 2021	09	La Litera / La Llitera	Construcción	721	Hombres
Abril 2021	09	La Litera / La Llitera	Construcción	99	Mujeres
Abril 2021	09	La Litera / La Llitera	Servicios	1490	Hombres
Abril 2021	09	La Litera / La Llitera	Servicios	1874	Mujeres
Abril 2021	10	Los Monegros	Agricultura, ganadería y pesca	2146	Hombres
Abril 2021	10	Los Monegros	Agricultura, ganadería y pesca	580	Mujeres
Abril 2021	10	Los Monegros	Industria y energía	545	Hombres
Abril 2021	10	Los Monegros	Industria y energía	183	Mujeres
Abril 2021	10	Los Monegros	Construcción	563	Hombres
Abril 2021	10	Los Monegros	Construcción	46	Mujeres
Abril 2021	10	Los Monegros	Servicios	1084	Hombres
Abril 2021	10	Los Monegros	Servicios	1274	Mujeres
Abril 2021	11	Bajo Cinca / Baix Cinca	Agricultura, ganadería y pesca	3367	Hombres
Abril 2021	11	Bajo Cinca / Baix Cinca	Agricultura, ganadería y pesca	819	Mujeres
Abril 2021	11	Bajo Cinca / Baix Cinca	Industria y energía	1476	Hombres
Abril 2021	11	Bajo Cinca / Baix Cinca	Industria y energía	717	Mujeres
Abril 2021	11	Bajo Cinca / Baix Cinca	Construcción	635	Hombres
Abril 2021	11	Bajo Cinca / Baix Cinca	Construcción	76	Mujeres
Abril 2021	11	Bajo Cinca / Baix Cinca	Servicios	2128	Hombres
Abril 2021	11	Bajo Cinca / Baix Cinca	Servicios	2690	Mujeres
Abril 2021	12	Tarazona y el Moncayo	Agricultura, ganadería y pesca	225	Hombres
Abril 2021	12	Tarazona y el Moncayo	Agricultura, ganadería y pesca	49	Mujeres
Abril 2021	12	Tarazona y el Moncayo	Industria y energía	1053	Hombres
Abril 2021	12	Tarazona y el Moncayo	Industria y energía	593	Mujeres
Abril 2021	12	Tarazona y el Moncayo	Construcción	243	Hombres
Abril 2021	12	Tarazona y el Moncayo	Construcción	22	Mujeres
Abril 2021	12	Tarazona y el Moncayo	Servicios	914	Hombres
Abril 2021	12	Tarazona y el Moncayo	Servicios	1064	Mujeres
Abril 2021	13	Campo de Borja	Agricultura, ganadería y pesca	701	Hombres
Abril 2021	13	Campo de Borja	Agricultura, ganadería y pesca	177	Mujeres
Abril 2021	13	Campo de Borja	Industria y energía	812	Hombres
Abril 2021	13	Campo de Borja	Industria y energía	583	Mujeres
Abril 2021	13	Campo de Borja	Construcción	267	Hombres
Abril 2021	13	Campo de Borja	Construcción	15	Mujeres
Abril 2021	13	Campo de Borja	Servicios	696	Hombres
Abril 2021	13	Campo de Borja	Servicios	1162	Mujeres
Abril 2021	14	Aranda	Agricultura, ganadería y pesca	128	Hombres
Abril 2021	14	Aranda	Agricultura, ganadería y pesca	24	Mujeres
Abril 2021	14	Aranda	Industria y energía	320	Hombres
Abril 2021	14	Aranda	Industria y energía	151	Mujeres
Abril 2021	14	Aranda	Construcción	120	Hombres
Abril 2021	14	Aranda	Construcción	8	Mujeres
Abril 2021	14	Aranda	Servicios	343	Hombres
Abril 2021	14	Aranda	Servicios	317	Mujeres
Abril 2021	15	Ribera Alta del Ebro	Agricultura, ganadería y pesca	746	Hombres
Abril 2021	15	Ribera Alta del Ebro	Agricultura, ganadería y pesca	228	Mujeres
Abril 2021	15	Ribera Alta del Ebro	Industria y energía	8488	Hombres
Abril 2021	15	Ribera Alta del Ebro	Industria y energía	2406	Mujeres
Abril 2021	15	Ribera Alta del Ebro	Construcción	894	Hombres
Abril 2021	15	Ribera Alta del Ebro	Construcción	84	Mujeres
Abril 2021	15	Ribera Alta del Ebro	Servicios	3459	Hombres
Abril 2021	15	Ribera Alta del Ebro	Servicios	2374	Mujeres
Abril 2021	16	Valdejalón	Agricultura, ganadería y pesca	1963	Hombres
Abril 2021	16	Valdejalón	Agricultura, ganadería y pesca	634	Mujeres
Abril 2021	16	Valdejalón	Industria y energía	3633	Hombres
Abril 2021	16	Valdejalón	Industria y energía	1705	Mujeres
Abril 2021	16	Valdejalón	Construcción	886	Hombres
Abril 2021	16	Valdejalón	Construcción	112	Mujeres
Abril 2021	16	Valdejalón	Servicios	2911	Hombres
Abril 2021	16	Valdejalón	Servicios	2436	Mujeres
Abril 2021	17	Central	Agricultura, ganadería y pesca	2469	Hombres
Abril 2021	17	Central	Agricultura, ganadería y pesca	815	Mujeres
Abril 2021	17	Central	Industria y energía	35195	Hombres
Abril 2021	17	Central	Industria y energía	11910	Mujeres
Abril 2021	17	Central	Construcción	16075	Hombres
Abril 2021	17	Central	Construcción	2342	Mujeres
Abril 2021	17	Central	Servicios	113536	Hombres
Abril 2021	17	Central	Servicios	148378	Mujeres
