Año	Provincia código	Provincia nombre	Urbano, superficie	% Urbana	Rústico, superficie	% Rústica
2017	22	Huesca	8101,64	0,518395063564253	1554729,6	99,4816049364357
2017	44	Teruel	5497,27	0,371805883061275	1473035,01	99,6281941169387
2017	50	Zaragoza	21213,26	1,23084688097371	1702255,38	98,7691531190263
2016	22	Huesca	8869,98	0,567278150829201	1554733,34	99,4327218491708
2016	44	Teruel	5584,23	0,377663679740972	1473040,88	99,622336320259
2016	50	Zaragoza	22944,88	1,33085850166485	1701121,2	98,6691414983352
2015	22	Huesca	8869,98	0,567592071848385	1553868,55	99,4324079281516
2015	44	Teruel	5584,23	0,377523883892282	1473588,41	99,6224761161077
2015	50	Zaragoza	22944,88	1,32931763946644	1703119,63	98,6706823605336
2014	22	Huesca	8864,32	0,570561890808862	1544748,03	99,4294381091911
2014	44	Teruel	5552,18	0,375366963058585	1473581,72	99,6246330369414
2014	50	Zaragoza	22960,11	1,32978776700502	1703639,47	98,670212232995
2013	22	Huesca	8889,47	0,56855738190898	1554623,78	99,431442618091
2013	44	Teruel	5413,26	0,366012931894377	1473567,27	99,6339870681056
2013	50	Zaragoza	22662,63	1,31298811048795	1703372,04	98,6870118895121
2012	22	Huesca	8877,12	0,567305069132988	1555910,59	99,432694930867
2012	44	Teruel	5402,42	0,365173048590257	1474011,25	99,6348269514098
2012	50	Zaragoza	22273,86	1,29237951814272	1701202,85	98,7076204818573
2011	22	Huesca	8369,12	0,535290563115551	1555103,24	99,4647094368845
2011	44	Teruel	5347,01	0,361334570216579	1474447,74	99,6386654297834
2011	50	Zaragoza	25339,91	1,46642255987664	1702668,83	98,5335774401234
2010	22	Huesca	8295,74	0,530604029430693	1555156,39	99,4693959705693
2010	44	Teruel	5180,51	0,350083579970417	1474611,83	99,6499164200296
2010	50	Zaragoza	24934,44	1,44300731538672	1703015,22	98,5569926846133
2009	22	Huesca	8187,81	0,522825335518557	1557882,05	99,4771746644814
2009	44	Teruel	4874,28	0,331577251697717	1465154,19	99,6684227483023
2009	50	Zaragoza	24629,08	1,4244875302887	1704349,2	98,5755124697113
2008	22	Huesca	7582	0,484582823624999	1557062,81	99,515417176375
2008	44	Teruel	4698,57	0,317971024131885	1472973,81	99,6820289758681
2008	50	Zaragoza	23470,45	1,36347324852874	1697901,79	98,6365267514713
2007	22	Huesca	7442,25	0,475664466461122	1557158,54	99,5243355335389
2007	44	Teruel	4619,97	0,312592943298391	1473330,86	99,6874070567016
2007	50	Zaragoza	21957,89	1,26938611409966	1707845,97	98,7306138859003
2006	22	Huesca	7359,93	0,468690585261538	1562957,51	99,5313094147385
2006	44	Teruel	4699,01	0,317980876214707	1473065,96	99,6820191237853
2006	50	Zaragoza	22387,49	1,28405453228751	1721112,45	98,7159454677125
2005	22	Huesca	10936,37	0,69895814341677	1553731	99,3010418565832
2005	44	Teruel	4883,48	0,331578739243049	1467913	99,668421260757
2005	50	Zaragoza	24565,06	1,41002248074886	1717610	98,5899775192511
2004	22	Huesca	10718,26	0,685560918822768	1552711	99,3144390811772
2004	44	Teruel	5964,74	0,405223572439069	1465998	99,5947764275609
2004	50	Zaragoza	22922,45	1,32040967840948	1713088	98,6795903215905
2003	22	Huesca	10809,59	0,693340844874855	1548249	99,3066591551252
2003	44	Teruel	5963,66	0,40644524787915	1461309	99,5935547521209
2003	50	Zaragoza	22034,51	1,27759952479546	1702646	98,7224004752045
2002	22	Huesca	10367,28	0,666122115140111	1545996	99,3338778848599
2002	44	Teruel	5591,51	0,381892134143226	1458568	99,6181078658568
2002	50	Zaragoza	21454,66	1,24647137852438	1699777	98,7535286214756
2001	22	Huesca	9397,58	0,607466687482714	1537614	99,3925333125173
2001	44	Teruel	5569,49	0,380707766915159	1457361	99,6192922330848
2001	50	Zaragoza	21399,05	1,24962038905738	1691045	98,7503796109426
