Municipio código	Municipio nombre	Municipio montaña	Municipio zona desfavorecida	Municipio superficie, medida
22050	Barbuñales	No es zona montañosa	Zona desfavorecida	18,7
22051	Bárcabo	Pirineos	No es zona desfavorecida	87,9
22052	Belver de Cinca	No es zona montañosa	No es zona desfavorecida	82,6
22053	Benabarre	Pirineos	No es zona desfavorecida	157,1
22054	Benasque	Pirineos	No es zona desfavorecida	233,6
22055	Berbegal	No es zona montañosa	Zona desfavorecida	49
22057	Bielsa	Pirineos	No es zona desfavorecida	202,4
22058	Bierge	Pirineos	No es zona desfavorecida	145
22059	Biescas	Pirineos	No es zona desfavorecida	189,1
22060	Binaced	No es zona montañosa	No es zona desfavorecida	78,5
22061	Binéfar	No es zona montañosa	No es zona desfavorecida	25,1
22062	Bisaurri	Pirineos	No es zona desfavorecida	62,9
22063	Biscarrués	No es zona montañosa	No es zona desfavorecida	30,2
22064	Blecua y Torres	No es zona montañosa	No es zona desfavorecida	36,2
22066	Boltaña	Pirineos	No es zona desfavorecida	139,5
22067	Bonansa	Pirineos	No es zona desfavorecida	37,3
22068	Borau	Pirineos	No es zona desfavorecida	41,7
22069	Broto	Pirineos	No es zona desfavorecida	128
22072	Caldearenas	Pirineos	No es zona desfavorecida	192,3
22074	Campo	Pirineos	No es zona desfavorecida	22,9
22075	Camporrells	No es zona montañosa	No es zona desfavorecida	26,7
22076	Canal de Berdún	Pirineos	No es zona desfavorecida	133,3
22077	Candasnos	No es zona montañosa	No es zona desfavorecida	122,4
22078	Canfranc	Pirineos	No es zona desfavorecida	71,6
22079	Capdesaso	No es zona montañosa	No es zona desfavorecida	17,7
22080	Capella	Pirineos	No es zona desfavorecida	60,7
22081	Casbas de Huesca	Pirineos	No es zona desfavorecida	132,7
22082	Castejón del Puente	No es zona montañosa	Zona desfavorecida	25,4
22083	Castejón de Monegros	No es zona montañosa	No es zona desfavorecida	165,3
22084	Castejón de Sos	Pirineos	No es zona desfavorecida	31,8
22085	Castelflorite	No es zona montañosa	No es zona desfavorecida	34,8
22086	Castiello de Jaca	Pirineos	No es zona desfavorecida	17,3
22087	Castigaleu	Pirineos	No es zona desfavorecida	26,5
22088	Castillazuelo	No es zona montañosa	Zona desfavorecida	15,3
22089	Castillonroy	No es zona montañosa	No es zona desfavorecida	37,6
22090	Colungo	Pirineos	No es zona desfavorecida	40,6
22094	Chalamera	No es zona montañosa	No es zona desfavorecida	11,5
22095	Chía	Pirineos	No es zona desfavorecida	26,1
22096	Chimillas	No es zona montañosa	No es zona desfavorecida	10
22099	Esplús	No es zona montañosa	No es zona desfavorecida	73
22102	Estada	No es zona montañosa	Zona desfavorecida	15,9
22103	Estadilla	No es zona montañosa	Zona desfavorecida	46,8
22105	Estopiñán del Castillo	Pirineos	No es zona desfavorecida	88,7
22106	Fago	Pirineos	No es zona desfavorecida	28,8
22107	Fanlo	Pirineos	No es zona desfavorecida	187,1
22109	Fiscal	Pirineos	No es zona desfavorecida	170,1
22110	Fonz	No es zona montañosa	Zona desfavorecida	55,5
22111	Foradada del Toscar	Pirineos	No es zona desfavorecida	106,4
22112	Fraga	No es zona montañosa	No es zona desfavorecida	437,6
22113	Fueva (La)	Pirineos	No es zona desfavorecida	218,8
22114	Gistaín	Pirineos	No es zona desfavorecida	75,9
22115	Grado (El)	No es zona montañosa	Zona desfavorecida	63,8
22116	Grañén	No es zona montañosa	No es zona desfavorecida	124
22117	Graus	Pirineos	No es zona desfavorecida	299,8
22119	Gurrea de Gállego	No es zona montañosa	No es zona desfavorecida	192
22122	Hoz de Jaca	Pirineos	No es zona desfavorecida	12,5
22124	Huerto	No es zona montañosa	No es zona desfavorecida	86,7
22125	Huesca	No es zona montañosa	No es zona desfavorecida	161
22126	Ibieca	No es zona montañosa	No es zona desfavorecida	14,9
22127	Igriés	No es zona montañosa	No es zona desfavorecida	19,2
22128	Ilche	No es zona montañosa	Zona desfavorecida	63,7
22129	Isábena	Pirineos	No es zona desfavorecida	118,5
22130	Jaca	Pirineos	No es zona desfavorecida	406,3
22131	Jasa	Pirineos	No es zona desfavorecida	8,9
22133	Labuerda	Pirineos	No es zona desfavorecida	17,8
22135	Laluenga	No es zona montañosa	Zona desfavorecida	36,5
22136	Lalueza	No es zona montañosa	No es zona desfavorecida	88,2
22137	Lanaja	No es zona montañosa	No es zona desfavorecida	183,7
22139	Laperdiguera	No es zona montañosa	Zona desfavorecida	11,3
22141	Lascellas-Ponzano	No es zona montañosa	Zona desfavorecida	27,3
22142	Lascuarre	Pirineos	No es zona desfavorecida	31,9
22143	Laspaúles	Pirineos	No es zona desfavorecida	81,6
22144	Laspuña	Pirineos	No es zona desfavorecida	45,3
22149	Loarre	Pirineos	No es zona desfavorecida	74,4
22150	Loporzano	Pirineos	No es zona desfavorecida	169,3
22151	Loscorrales	No es zona montañosa	No es zona desfavorecida	40,2
22155	Monesma y Cajigar	Pirineos	No es zona desfavorecida	62,6
22156	Monflorite-Lascasas	No es zona montañosa	No es zona desfavorecida	29,2
22157	Montanuy	Pirineos	No es zona desfavorecida	174,1
22158	Monzón	No es zona montañosa	No es zona desfavorecida	155
22160	Naval	Pirineos	No es zona desfavorecida	47,3
22162	Novales	No es zona montañosa	No es zona desfavorecida	20,1
22163	Nueno	Pirineos	No es zona desfavorecida	147,2
22164	Olvena	No es zona montañosa	Zona desfavorecida	15,9
22165	Ontiñena	No es zona montañosa	No es zona desfavorecida	137
22167	Osso de Cinca	No es zona montañosa	No es zona desfavorecida	27,7
22168	Palo	Pirineos	No es zona desfavorecida	14,4
22170	Panticosa	Pirineos	No es zona desfavorecida	95,9
22172	Peñalba	No es zona montañosa	No es zona desfavorecida	156,7
22173	Peñas de Riglos (Las)	Pirineos	No es zona desfavorecida	217,9
22174	Peralta de Alcofea	No es zona montañosa	No es zona desfavorecida	116,1
22175	Peralta de Calasanz	Pirineos	No es zona desfavorecida	114,9
22176	Peraltilla	No es zona montañosa	Zona desfavorecida	16,2
22177	Perarrúa	Pirineos	No es zona desfavorecida	30,1
22178	Pertusa	No es zona montañosa	No es zona desfavorecida	29,4
22181	Piracés	No es zona montañosa	No es zona desfavorecida	25,2
22182	Plan	Pirineos	No es zona desfavorecida	92,5
22184	Poleñino	No es zona montañosa	No es zona desfavorecida	33
22186	Pozán de Vero	No es zona montañosa	Zona desfavorecida	14,8
22187	Puebla de Castro (La)	Pirineos	No es zona desfavorecida	29,4
22188	Puente de Montañana	Pirineos	No es zona desfavorecida	48,6
22189	Puértolas	Pirineos	No es zona desfavorecida	100
22190	Pueyo de Araguás (El)	Pirineos	No es zona desfavorecida	62,1
22193	Pueyo de Santa Cruz	No es zona montañosa	No es zona desfavorecida	9,3
22195	Quicena	No es zona montañosa	No es zona desfavorecida	9,7
22197	Robres	No es zona montañosa	No es zona desfavorecida	64,3
22199	Sabiñánigo	Pirineos	No es zona desfavorecida	586,8
22200	Sahún	Pirineos	No es zona desfavorecida	72,9
22201	Salas Altas	No es zona montañosa	Zona desfavorecida	20,7
22202	Salas Bajas	No es zona montañosa	Zona desfavorecida	12,9
22203	Salillas	No es zona montañosa	No es zona desfavorecida	28,3
22204	Sallent de Gállego	Pirineos	No es zona desfavorecida	162,1
22205	San Esteban de Litera	No es zona montañosa	No es zona desfavorecida	71,9
22206	Sangarrén	No es zona montañosa	No es zona desfavorecida	32,2
22207	San Juan de Plan	Pirineos	No es zona desfavorecida	55,8
22208	Santa Cilia	Pirineos	No es zona desfavorecida	28,1
22209	Santa Cruz de la Serós	Pirineos	No es zona desfavorecida	27
22212	Santaliestra y San Quílez	Pirineos	No es zona desfavorecida	23,3
22213	Sariñena	No es zona montañosa	No es zona desfavorecida	275,6
22214	Secastilla	Pirineos	No es zona desfavorecida	47,4
22215	Seira	Pirineos	No es zona desfavorecida	69,2
22217	Sena	No es zona montañosa	No es zona desfavorecida	104,7
22218	Senés de Alcubierre	No es zona montañosa	No es zona desfavorecida	20,5
22220	Sesa	No es zona montañosa	No es zona desfavorecida	30,8
22221	Sesué	Pirineos	No es zona desfavorecida	5,2
22222	Siétamo	No es zona montañosa	No es zona desfavorecida	49
22223	Sopeira	Pirineos	No es zona desfavorecida	44,1
22225	Tamarite de Litera	No es zona montañosa	No es zona desfavorecida	110,6
22226	Tardienta	No es zona montañosa	No es zona desfavorecida	90,6
22227	Tella-Sin	Pirineos	No es zona desfavorecida	90,3
22228	Tierz	No es zona montañosa	No es zona desfavorecida	6,5
22229	Tolva	Pirineos	No es zona desfavorecida	59
22230	Torla-Ordesa	Pirineos	No es zona desfavorecida	185,2
22232	Torralba de Aragón	No es zona montañosa	No es zona desfavorecida	40,4
22233	Torre la Ribera	Pirineos	No es zona desfavorecida	32,1
22234	Torrente de Cinca	No es zona montañosa	No es zona desfavorecida	56,8
22235	Torres de Alcanadre	No es zona montañosa	No es zona desfavorecida	17,6
22236	Torres de Barbués	No es zona montañosa	No es zona desfavorecida	13,9
22239	Tramaced	No es zona montañosa	No es zona desfavorecida	15,4
22242	Valfarta	No es zona montañosa	No es zona desfavorecida	33,2
22243	Valle de Bardají	Pirineos	No es zona desfavorecida	45,5
22244	Valle de Lierp	Pirineos	No es zona desfavorecida	32,8
22245	Velilla de Cinca	No es zona montañosa	No es zona desfavorecida	16,5
22246	Beranuy	Pirineos	No es zona desfavorecida	63,8
22247	Viacamp y Litera	Pirineos	No es zona desfavorecida	107,7
22248	Vicién	No es zona montañosa	No es zona desfavorecida	13,8
22249	Villanova	Pirineos	No es zona desfavorecida	6,9
22250	Villanúa	Pirineos	No es zona desfavorecida	58,2
22251	Villanueva de Sigena	No es zona montañosa	No es zona desfavorecida	146,4
22252	Yebra de Basa	Pirineos	No es zona desfavorecida	90,9
22253	Yésero	Pirineos	No es zona desfavorecida	30,2
22254	Zaidín	No es zona montañosa	No es zona desfavorecida	92,6
22901	Valle de Hecho	Pirineos	No es zona desfavorecida	234,4
22902	Puente la Reina de Jaca	Pirineos	No es zona desfavorecida	48,1
22903	San Miguel del Cinca	No es zona montañosa	No es zona desfavorecida	106,5
22904	Sotonera (La)	No es zona montañosa	No es zona desfavorecida	165,5
22905	Lupiñén-Ortilla	No es zona montañosa	No es zona desfavorecida	110,1
22906	Santa María de Dulcis	No es zona montañosa	Zona desfavorecida	27,2
22907	Aínsa-Sobrarbe	Pirineos	No es zona desfavorecida	284,8
22908	Hoz y Costeán	No es zona montañosa	Zona desfavorecida	57,5
22909	Vencillón	No es zona montañosa	No es zona desfavorecida	10,4
44001	Ababuj	Sistema Ibérico	No es zona desfavorecida	54,3
44002	Abejuela	Sistema Ibérico	No es zona desfavorecida	86,7
44003	Aguatón	Sistema Ibérico	No es zona desfavorecida	21,6
44004	Aguaviva	Sistema Ibérico	No es zona desfavorecida	42,2
44005	Aguilar del Alfambra	Sistema Ibérico	No es zona desfavorecida	39
44006	Alacón	No es zona montañosa	Zona desfavorecida	47,5
44007	Alba	No es zona montañosa	Zona desfavorecida	69,5
44008	Albalate del Arzobispo	No es zona montañosa	Zona desfavorecida	205,7
44009	Albarracín	Sistema Ibérico	No es zona desfavorecida	452,7
44010	Albentosa	Sistema Ibérico	No es zona desfavorecida	68
44011	Alcaine	Sistema Ibérico	No es zona desfavorecida	57,4
44012	Alcalá de la Selva	Sistema Ibérico	No es zona desfavorecida	105
44013	Alcañiz	No es zona montañosa	Zona desfavorecida	472,1
44014	Alcorisa	No es zona montañosa	Zona desfavorecida	121,2
44016	Alfambra	Sistema Ibérico	No es zona desfavorecida	122,4
44017	Aliaga	Sistema Ibérico	No es zona desfavorecida	196,8
44018	Almohaja	Sistema Ibérico	No es zona desfavorecida	25,6
44019	Alobras	Sistema Ibérico	No es zona desfavorecida	30,7
44020	Alpeñés	Sistema Ibérico	No es zona desfavorecida	28,6
44021	Allepuz	Sistema Ibérico	No es zona desfavorecida	67,3
44022	Alloza	Sistema Ibérico	No es zona desfavorecida	81,6
44023	Allueva	Sistema Ibérico	No es zona desfavorecida	18,7
44024	Anadón	Sistema Ibérico	No es zona desfavorecida	24,6
44025	Andorra	No es zona montañosa	Zona desfavorecida	141,4
44026	Arcos de las Salinas	Sistema Ibérico	No es zona desfavorecida	113
44027	Arens de Lledó	No es zona montañosa	Zona desfavorecida	34,3
44028	Argente	Sistema Ibérico	No es zona desfavorecida	69,2
44029	Ariño	No es zona montañosa	Zona desfavorecida	81,9
44031	Azaila	No es zona montañosa	Zona desfavorecida	81,4
44032	Bádenas	Sistema Ibérico	No es zona desfavorecida	31,3
44033	Báguena	Sistema Ibérico	No es zona desfavorecida	25,2
44034	Bañón	No es zona montañosa	Zona desfavorecida	54,3
44035	Barrachina	Sistema Ibérico	No es zona desfavorecida	24,9
44036	Bea	Sistema Ibérico	No es zona desfavorecida	23,4
44037	Beceite	Sistema Ibérico	No es zona desfavorecida	96,7
44038	Belmonte de San José	Sistema Ibérico	No es zona desfavorecida	34
44039	Bello	No es zona montañosa	Zona desfavorecida	52,5
44040	Berge	Sistema Ibérico	No es zona desfavorecida	42,6
44041	Bezas	Sistema Ibérico	No es zona desfavorecida	26,3
44042	Blancas	Sistema Ibérico	No es zona desfavorecida	73,8
44043	Blesa	No es zona montañosa	Zona desfavorecida	80,4
44044	Bordón	Sistema Ibérico	No es zona desfavorecida	30
44045	Bronchales	Sistema Ibérico	No es zona desfavorecida	59,6
44046	Bueña	Sistema Ibérico	No es zona desfavorecida	40,7
44047	Burbáguena	Sistema Ibérico	No es zona desfavorecida	39
44048	Cabra de Mora	Sistema Ibérico	No es zona desfavorecida	34,3
44049	Calaceite	No es zona montañosa	Zona desfavorecida	81,3
44050	Calamocha	No es zona montañosa	Zona desfavorecida	316,6
44051	Calanda	No es zona montañosa	Zona desfavorecida	112,2
44052	Calomarde	Sistema Ibérico	No es zona desfavorecida	28,2
44053	Camañas	Sistema Ibérico	No es zona desfavorecida	78,7
44054	Camarena de la Sierra	Sistema Ibérico	No es zona desfavorecida	79,5
44055	Camarillas	Sistema Ibérico	No es zona desfavorecida	50,5
44056	Caminreal	No es zona montañosa	Zona desfavorecida	44,4
44059	Cantavieja	Sistema Ibérico	No es zona desfavorecida	124,6
44060	Cañada de Benatanduz	Sistema Ibérico	No es zona desfavorecida	34,9
44061	Cañada de Verich (La)	Sistema Ibérico	No es zona desfavorecida	10,9
44062	Cañada Vellida	Sistema Ibérico	No es zona desfavorecida	23,3
44063	Cañizar del Olivar	Sistema Ibérico	No es zona desfavorecida	18,5
44064	Cascante del Río	Sistema Ibérico	No es zona desfavorecida	32,4
44065	Castejón de Tornos	No es zona montañosa	Zona desfavorecida	30,9
44066	Castel de Cabra	Sistema Ibérico	No es zona desfavorecida	29,4
44067	Castelnou	No es zona montañosa	Zona desfavorecida	37,1
44068	Castelserás	No es zona montañosa	Zona desfavorecida	31,5
44070	Castellar (El)	Sistema Ibérico	No es zona desfavorecida	50,3
44071	Castellote	Sistema Ibérico	No es zona desfavorecida	233,2
44074	Cedrillas	Sistema Ibérico	No es zona desfavorecida	73,6
44075	Celadas	Sistema Ibérico	No es zona desfavorecida	100,5
44076	Cella	No es zona montañosa	Zona desfavorecida	124,7
44077	Cerollera (La)	Sistema Ibérico	No es zona desfavorecida	33,7
44080	Codoñera (La)	No es zona montañosa	Zona desfavorecida	21
44082	Corbalán	Sistema Ibérico	No es zona desfavorecida	82,4
44084	Cortes de Aragón	No es zona montañosa	Zona desfavorecida	24,4
44085	Cosa	Sistema Ibérico	No es zona desfavorecida	54,8
44086	Cretas	No es zona montañosa	Zona desfavorecida	52,7
44087	Crivillén	Sistema Ibérico	No es zona desfavorecida	42
44088	Cuba (La)	Sistema Ibérico	No es zona desfavorecida	6,5
44089	Cubla	Sistema Ibérico	No es zona desfavorecida	48,6
44090	Cucalón	No es zona montañosa	Zona desfavorecida	31,9
44092	Cuervo (El)	Sistema Ibérico	No es zona desfavorecida	20,8
44093	Cuevas de Almudén	Sistema Ibérico	No es zona desfavorecida	35,8
44094	Cuevas Labradas	Sistema Ibérico	No es zona desfavorecida	40,8
44096	Ejulve	Sistema Ibérico	No es zona desfavorecida	109,5
44097	Escorihuela	Sistema Ibérico	No es zona desfavorecida	57
44099	Escucha	Sistema Ibérico	No es zona desfavorecida	41,6
44100	Estercuel	Sistema Ibérico	No es zona desfavorecida	55,6
44101	Ferreruela de Huerva	Sistema Ibérico	No es zona desfavorecida	20,4
44102	Fonfría	Sistema Ibérico	No es zona desfavorecida	20,6
44103	Formiche Alto	Sistema Ibérico	No es zona desfavorecida	78,2
44105	Fórnoles	Sistema Ibérico	No es zona desfavorecida	32,6
44106	Fortanete	Sistema Ibérico	No es zona desfavorecida	168,2
44107	Foz-Calanda	Sistema Ibérico	No es zona desfavorecida	37,9
44108	Fresneda (La)	No es zona montañosa	Zona desfavorecida	39,5
44109	Frías de Albarracín	Sistema Ibérico	No es zona desfavorecida	50,8
44110	Fuenferrada	Sistema Ibérico	No es zona desfavorecida	24,5
44111	Fuentes Calientes	Sistema Ibérico	No es zona desfavorecida	25
44112	Fuentes Claras	No es zona montañosa	Zona desfavorecida	36,9
44113	Fuentes de Rubielos	Sistema Ibérico	No es zona desfavorecida	38,9
44114	Fuentespalda	Sistema Ibérico	No es zona desfavorecida	39
44115	Galve	Sistema Ibérico	No es zona desfavorecida	61,9
44116	Gargallo	Sistema Ibérico	No es zona desfavorecida	30,1
44117	Gea de Albarracín	Sistema Ibérico	No es zona desfavorecida	57,5
44118	Ginebrosa (La)	No es zona montañosa	Zona desfavorecida	80,1
44119	Griegos	Sistema Ibérico	No es zona desfavorecida	31,8
44120	Guadalaviar	Sistema Ibérico	No es zona desfavorecida	28,1
44121	Gúdar	Sistema Ibérico	No es zona desfavorecida	60,8
44122	Híjar	No es zona montañosa	Zona desfavorecida	165,4
44123	Hinojosa de Jarque	Sistema Ibérico	No es zona desfavorecida	36,5
44124	Hoz de la Vieja (La)	Sistema Ibérico	No es zona desfavorecida	43,7
44125	Huesa del Común	No es zona montañosa	Zona desfavorecida	61,7
44126	Iglesuela del Cid (La)	Sistema Ibérico	No es zona desfavorecida	40,3
44127	Jabaloyas	Sistema Ibérico	No es zona desfavorecida	61,7
44128	Jarque de la Val	Sistema Ibérico	No es zona desfavorecida	29,2
44129	Jatiel	No es zona montañosa	Zona desfavorecida	10,8
44130	Jorcas	Sistema Ibérico	No es zona desfavorecida	26,2
44131	Josa	Sistema Ibérico	No es zona desfavorecida	28,2
44132	Lagueruela	Sistema Ibérico	No es zona desfavorecida	26,3
44133	Lanzuela	No es zona montañosa	Zona desfavorecida	14,2
44135	Libros	Sistema Ibérico	No es zona desfavorecida	37,9
44136	Lidón	Sistema Ibérico	No es zona desfavorecida	40,4
44137	Linares de Mora	Sistema Ibérico	No es zona desfavorecida	116,3
44138	Loscos	Sistema Ibérico	No es zona desfavorecida	71,8
44141	Lledó	No es zona montañosa	Zona desfavorecida	15,6
44142	Maicas	Sistema Ibérico	No es zona desfavorecida	24,7
44143	Manzanera	Sistema Ibérico	No es zona desfavorecida	168,7
44144	Martín del Río	Sistema Ibérico	No es zona desfavorecida	54,9
44145	Mas de las Matas	No es zona montañosa	Zona desfavorecida	30
44146	Mata de los Olmos (La)	No es zona montañosa	Zona desfavorecida	23,7
44147	Mazaleón	No es zona montañosa	Zona desfavorecida	86,2
44148	Mezquita de Jarque	Sistema Ibérico	No es zona desfavorecida	31,1
44149	Mirambel	Sistema Ibérico	No es zona desfavorecida	45,5
44150	Miravete de la Sierra	Sistema Ibérico	No es zona desfavorecida	36,5
44151	Molinos	Sistema Ibérico	No es zona desfavorecida	79,6
44152	Monforte de Moyuela	Sistema Ibérico	No es zona desfavorecida	47,7
44153	Monreal del Campo	No es zona montañosa	Zona desfavorecida	89
44154	Monroyo	Sistema Ibérico	No es zona desfavorecida	79,2
44155	Montalbán	Sistema Ibérico	No es zona desfavorecida	82
44156	Monteagudo del Castillo	Sistema Ibérico	No es zona desfavorecida	44,4
44157	Monterde de Albarracín	Sistema Ibérico	No es zona desfavorecida	45,2
44158	Mora de Rubielos	Sistema Ibérico	No es zona desfavorecida	166,2
44159	Moscardón	Sistema Ibérico	No es zona desfavorecida	26,9
44160	Mosqueruela	Sistema Ibérico	No es zona desfavorecida	265
44161	Muniesa	No es zona montañosa	Zona desfavorecida	129,8
44163	Noguera de Albarracín	Sistema Ibérico	No es zona desfavorecida	47,4
44164	Nogueras	Sistema Ibérico	No es zona desfavorecida	18,8
44165	Nogueruelas	Sistema Ibérico	No es zona desfavorecida	99,5
44167	Obón	Sistema Ibérico	No es zona desfavorecida	68,4
44168	Odón	Sistema Ibérico	No es zona desfavorecida	74,2
44169	Ojos Negros	Sistema Ibérico	No es zona desfavorecida	90,9
44171	Olba	Sistema Ibérico	No es zona desfavorecida	21
44172	Oliete	No es zona montañosa	Zona desfavorecida	85,5
44173	Olmos (Los)	Sistema Ibérico	No es zona desfavorecida	44
44174	Orihuela del Tremedal	Sistema Ibérico	No es zona desfavorecida	71,5
44175	Orrios	Sistema Ibérico	No es zona desfavorecida	44,2
44176	Palomar de Arroyos	Sistema Ibérico	No es zona desfavorecida	33,6
44177	Pancrudo	Sistema Ibérico	No es zona desfavorecida	100,1
44178	Parras de Castellote (Las)	Sistema Ibérico	No es zona desfavorecida	42,1
44179	Peñarroya de Tastavins	Sistema Ibérico	No es zona desfavorecida	83,3
44180	Peracense	Sistema Ibérico	No es zona desfavorecida	28,7
44181	Peralejos	Sistema Ibérico	No es zona desfavorecida	36,1
44182	Perales del Alfambra	Sistema Ibérico	No es zona desfavorecida	104,2
44183	Pitarque	Sistema Ibérico	No es zona desfavorecida	54,3
44184	Plou	No es zona montañosa	Zona desfavorecida	17,2
44185	Pobo (El)	Sistema Ibérico	No es zona desfavorecida	63,6
44187	Portellada (La)	No es zona montañosa	Zona desfavorecida	21,4
44189	Pozondón	Sistema Ibérico	No es zona desfavorecida	67,6
44190	Pozuel del Campo	Sistema Ibérico	No es zona desfavorecida	27,9
44191	Puebla de Híjar (La)	No es zona montañosa	Zona desfavorecida	60,8
44192	Puebla de Valverde (La)	Sistema Ibérico	No es zona desfavorecida	282,8
44193	Puertomingalvo	Sistema Ibérico	No es zona desfavorecida	103,6
44194	Ráfales	Sistema Ibérico	No es zona desfavorecida	35,6
44195	Rillo	Sistema Ibérico	No es zona desfavorecida	53,3
44196	Riodeva	Sistema Ibérico	No es zona desfavorecida	34,3
44197	Ródenas	Sistema Ibérico	No es zona desfavorecida	44,3
44198	Royuela	Sistema Ibérico	No es zona desfavorecida	32,5
44199	Rubiales	Sistema Ibérico	No es zona desfavorecida	27,4
44200	Rubielos de la Cérida	Sistema Ibérico	No es zona desfavorecida	66,9
44201	Rubielos de Mora	Sistema Ibérico	No es zona desfavorecida	63,7
44203	Salcedillo	Sistema Ibérico	No es zona desfavorecida	16,9
44204	Saldón	Sistema Ibérico	No es zona desfavorecida	28,4
44205	Samper de Calanda	No es zona montañosa	Zona desfavorecida	142,8
44206	San Agustín	Sistema Ibérico	No es zona desfavorecida	56,6
44207	San Martín del Río	Sistema Ibérico	No es zona desfavorecida	16,6
44208	Santa Cruz de Nogueras	Sistema Ibérico	No es zona desfavorecida	15,2
44209	Santa Eulalia	No es zona montañosa	Zona desfavorecida	81
44210	Sarrión	Sistema Ibérico	No es zona desfavorecida	140,4
44211	Segura de los Baños	Sistema Ibérico	No es zona desfavorecida	54,1
44212	Seno	Sistema Ibérico	No es zona desfavorecida	17,9
44213	Singra	No es zona montañosa	Zona desfavorecida	36,7
44215	Terriente	Sistema Ibérico	No es zona desfavorecida	48
44216	Teruel	No es zona montañosa	Zona desfavorecida	440,4
44217	Toril y Masegoso	Sistema Ibérico	No es zona desfavorecida	30,7
44218	Tormón	Sistema Ibérico	No es zona desfavorecida	29,3
44219	Tornos	No es zona montañosa	Zona desfavorecida	49
44220	Torralba de los Sisones	Sistema Ibérico	No es zona desfavorecida	44,8
44221	Torrecilla de Alcañiz	No es zona montañosa	Zona desfavorecida	26,8
44222	Torrecilla del Rebollar	Sistema Ibérico	No es zona desfavorecida	63,4
44223	Torre de Arcas	Sistema Ibérico	No es zona desfavorecida	34,3
44224	Torre de las Arcas	Sistema Ibérico	No es zona desfavorecida	37,2
44225	Torre del Compte	No es zona montañosa	Zona desfavorecida	19,5
44226	Torrelacárcel	No es zona montañosa	Zona desfavorecida	35,5
44227	Torre los Negros	Sistema Ibérico	No es zona desfavorecida	29,2
44228	Torremocha de Jiloca	No es zona montañosa	Zona desfavorecida	33,9
44229	Torres de Albarracín	Sistema Ibérico	No es zona desfavorecida	28,3
44230	Torrevelilla	Sistema Ibérico	No es zona desfavorecida	33,4
44231	Torrijas	Sistema Ibérico	No es zona desfavorecida	57,3
44232	Torrijo del Campo	No es zona montañosa	Zona desfavorecida	44
44234	Tramacastiel	Sistema Ibérico	No es zona desfavorecida	47,3
44235	Tramacastilla	Sistema Ibérico	No es zona desfavorecida	24,8
44236	Tronchón	Sistema Ibérico	No es zona desfavorecida	57,1
