Año	Provincia	Municipio	Entidad singular	Núcleo/diseminado	Personas
2019	22-Huesca	22001-Abiego	220010001 - Abiego	22001000101 - Abiego	183
2019	22-Huesca	22001-Abiego	220010002 - Alberuela de la Liena	22001000201 - Alberuela de la Liena	64
2019	22-Huesca	22002-Abizanda	220020001 - Abizanda	22002000101 - Abizanda	82
2019	22-Huesca	22002-Abizanda	220020002 - Escanilla	22002000201 - Escanilla	20
2019	22-Huesca	22002-Abizanda	220020003 - Lamata	22002000301 - Lamata	43
2019	22-Huesca	22002-Abizanda	220020004 - Ligüerre de Cinca	22002000401 - Ligüerre de Cinca	3
2019	22-Huesca	22002-Abizanda	220020005 - Mesón de Ligüerre	22002000501 - Mesón de Ligüerre	2
2019	22-Huesca	22003-Adahuesca	220030001 - Adahuesca	22003000101 - Adahuesca	168
2019	22-Huesca	22003-Adahuesca	220030001 - Adahuesca	22003000199 - *Diseminado*	9
2019	22-Huesca	22004-Agüero	220040001 - Agüero	22004000101 - Agüero	127
2019	22-Huesca	22004-Agüero	220040002 - Sanfelices	22004000201 - Sanfelices	2
2019	22-Huesca	22006-Aísa	220060001 - Aísa	22006000101 - Aísa	122
2019	22-Huesca	22006-Aísa	220060001 - Aísa	22006000199 - *Diseminado*	5
2019	22-Huesca	22006-Aísa	220060002 - Candanchú	22006000201 - Candanchú	86
2019	22-Huesca	22006-Aísa	220060003 - Esposa	22006000301 - Esposa	42
2019	22-Huesca	22006-Aísa	220060003 - Esposa	22006000399 - *Diseminado*	4
2019	22-Huesca	22006-Aísa	220060004 - Sinués	22006000401 - Sinués	56
2019	22-Huesca	22006-Aísa	220060004 - Sinués	22006000499 - *Diseminado*	5
2019	22-Huesca	22007-Albalate de Cinca	220070001 - Albalate de Cinca	22007000101 - Albalate de Cinca	1090
2019	22-Huesca	22007-Albalate de Cinca	220070001 - Albalate de Cinca	22007000199 - *Diseminado*	13
2019	22-Huesca	22008-Albalatillo	220080001 - Albalatillo	22008000101 - Albalatillo	176
2019	22-Huesca	22009-Albelda	220090001 - Albelda	22009000101 - Albelda	581
2019	22-Huesca	22009-Albelda	220090001 - Albelda	22009000199 - *Diseminado*	117
2019	22-Huesca	22011-Albero Alto	220110001 - Albero Alto	22011000101 - Albero Alto	117
2019	22-Huesca	22012-Albero Bajo	220120001 - Albero Bajo	22012000101 - Albero Bajo	135
2019	22-Huesca	22013-Alberuela de Tubo	220130001 - Alberuela de Tubo	22013000101 - Alberuela de Tubo	97
2019	22-Huesca	22013-Alberuela de Tubo	220130002 - Sodeto	22013000201 - Sodeto	201
2019	22-Huesca	22013-Alberuela de Tubo	220130002 - Sodeto	22013000299 - *Diseminado*	3
2019	22-Huesca	22014-Alcalá de Gurrea	220140001 - Alcalá de Gurrea	22014000101 - Alcalá de Gurrea	228
2019	22-Huesca	22014-Alcalá de Gurrea	220140002 - Tormos	22014000201 - Tormos	5
2019	22-Huesca	22014-Alcalá de Gurrea	220140002 - Tormos	22014000299 - *Diseminado*	15
2019	22-Huesca	22015-Alcalá del Obispo	220150001 - Alcalá del Obispo	22015000101 - Alcalá del Obispo	90
2019	22-Huesca	22015-Alcalá del Obispo	220150001 - Alcalá del Obispo	22015000199 - *Diseminado*	3
2019	22-Huesca	22015-Alcalá del Obispo	220150002 - Fañanás	22015000201 - Fañanás	112
2019	22-Huesca	22015-Alcalá del Obispo	220150002 - Fañanás	22015000299 - *Diseminado*	6
