Año	Comarca código	Comarca nombre	Depuradoras	Habitantes equivalentes	Colectores
2012	01	La Jacetania	5	57040	
2012	02	Alto Gállego	17	30650	
2012	03	Sobrarbe	0		
2012	04	La Ribagorza	6	11829	
2012	05	Cinco Villas	14	91584	
2012	06	Hoya de Huesca / Plana de Uesca	5	142501	
2012	07	Somontano de Barbastro	1	25000	
2012	08	Cinca Medio	6	64196	
2012	09	La Litera / La Llitera	4	55925	
2012	10	Los Monegros	13	31168	
2012	11	Bajo Cinca / Baix Cinca	9	31930	
2012	12	Tarazona y el Moncayo	3	46786	
2012	13	Campo de Borja	7	61988	
2012	14	Aranda	4	51000	
2012	15	Ribera Alta del Ebro	9	102825	
2012	16	Valdejalón	10	218216	
2012	17	Central	21	5350883	
2012	18	Ribera Baja del Ebro	6	15315	
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	28500	
2012	20	Comunidad de Calatayud	18	97689	
2012	21	Campo de Cariñena	8	242979	
2012	22	Campo de Belchite	3	4758	
2012	23	Bajo Martín	5	40507	
2012	24	Campo de Daroca	3	9392	
2012	25	Jiloca	11	60167	
2012	26	Cuencas Mineras	7	17691	
2012	27	Andorra-Sierra de Arcos	6	21023	
2012	28	Bajo Aragón	3	31745	
2012	29	Comunidad de Teruel	14	85077	
2012	30	Maestrazgo	0		
2012	31	Sierra de Albarracín	4	10166	
2012	32	Gúdar-Javalambre	7	26848	
2012	33	Matarraña / Matarranya	0		
2014	01	La Jacetania	5	57040	0
2014	02	Alto Gállego	17	31650	1
2014	03	Sobrarbe	0	0	0
2014	04	La Ribagorza	7	12129	0
2014	05	Cinco Villas	14	91584	0
2014	06	Hoya de Huesca / Plana de Uesca	5	142501	0
2014	07	Somontano de Barbastro	1	25000	0
2014	08	Cinca Medio	5	34617	0
2014	09	La Litera / La Llitera	2	44076	0
2014	10	Los Monegros	12	31168	1
2014	11	Bajo Cinca / Baix Cinca	9	31190	0
2014	12	Tarazona y el Moncayo	2	46786	1
2014	13	Campo de Borja	5	61920	2
2014	14	Aranda	1	51000	3
2014	15	Ribera Alta del Ebro	6	102825	3
2014	16	Valdejalón	5	218216	5
2014	17	Central	11	5395194	12
2014	18	Ribera Baja del Ebro	6	15315	0
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	28500	0
2014	20	Comunidad de Calatayud	17	97689	1
2014	21	Campo de Cariñena	4	242979	4
2014	22	Campo de Belchite	3	4758	0
2014	23	Bajo Martín	3	40507	2
2014	24	Campo de Daroca	3	9183	0
2014	25	Jiloca	9	62067	3
2014	26	Cuencas Mineras	6	15791	0
2014	27	Andorra-Sierra de Arcos	6	21063	0
2014	28	Bajo Aragón	3	31745	0
2014	29	Comunidad de Teruel	8	83877	1
2014	30	Maestrazgo	0	0	0
2014	31	Sierra de Albarracín	4	10166	0
2014	32	Gúdar-Javalambre	7	26848	1
2014	33	Matarraña / Matarranya	0	0	0
2016	01	La Jacetania	5	57040	0
2016	02	Alto Gállego	17	31650	1
2016	03	Sobrarbe	0		0
2016	04	La Ribagorza	9	16529	0
2016	05	Cinco Villas	14	91584	0
2016	06	Hoya de Huesca / Plana de Uesca	5	142501	0
2016	07	Somontano de Barbastro	6	33850	1
2016	08	Cinca Medio	7	37659	0
2016	09	La Litera / La Llitera	5	56419	2
2016	10	Los Monegros	12	31168	1
2016	11	Bajo Cinca / Baix Cinca	9	31190	0
2016	12	Tarazona y el Moncayo	2	46786	1
2016	13	Campo de Borja	5	61920	2
2016	14	Aranda	1	51000	3
2016	15	Ribera Alta del Ebro	6	102825	3
2016	16	Valdejalón	5	218216	5
2016	17	Central	11	5395194	12
2016	18	Ribera Baja del Ebro	6	15315	0
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	28500	0
2016	20	Comunidad de Calatayud	17	97689	1
2016	21	Campo de Cariñena	4	242979	4
2016	22	Campo de Belchite	3	4758	0
2016	23	Bajo Martín	3	40507	2
2016	24	Campo de Daroca	3	9183	0
2016	25	Jiloca	9	62067	3
2016	26	Cuencas Mineras	6	15791	0
2016	27	Andorra-Sierra de Arcos	6	21063	0
2016	28	Bajo Aragón	3	31745	0
2016	29	Comunidad de Teruel	8	83877	1
2016	30	Maestrazgo	0		0
2016	31	Sierra de Albarracín	4	10166	0
2016	32	Gúdar-Javalambre	8	27348	1
2016	33	Matarraña / Matarranya	4	9949	0
