Mes y año	Mes (código)	Sexo	Número de contratos	Comarca código	Comarca nombre
Octubre 2019	201910	Hombres	250	01	La Jacetania
Octubre 2019	201910	Hombres	223	02	Alto Gállego
Octubre 2019	201910	Hombres	166	03	Sobrarbe
Octubre 2019	201910	Hombres	135	04	La Ribagorza
Octubre 2019	201910	Hombres	525	05	Cinco Villas
Octubre 2019	201910	Hombres	1410	06	Hoya de Huesca / Plana de Uesca
Octubre 2019	201910	Hombres	367	07	Somontano de Barbastro
Octubre 2019	201910	Hombres	495	08	Cinca Medio
Octubre 2019	201910	Hombres	542	09	La Litera / La Llitera
Octubre 2019	201910	Hombres	271	10	Los Monegros
Octubre 2019	201910	Hombres	670	11	Bajo Cinca / Baix Cinca
Octubre 2019	201910	Hombres	446	12	Tarazona y el Moncayo
Octubre 2019	201910	Hombres	516	13	Campo de Borja
Octubre 2019	201910	Hombres	131	14	Aranda
Octubre 2019	201910	Hombres	1563	15	Ribera Alta del Ebro
Octubre 2019	201910	Hombres	1180	16	Valdejalón
Octubre 2019	201910	Hombres	18407	17	Central
Octubre 2019	201910	Hombres	210	18	Ribera Baja del Ebro
Octubre 2019	201910	Hombres	259	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Octubre 2019	201910	Hombres	842	20	Comunidad de Calatayud
Octubre 2019	201910	Hombres	444	21	Campo de Cariñena
Octubre 2019	201910	Hombres	33	22	Campo de Belchite
Octubre 2019	201910	Hombres	103	23	Bajo Martín
Octubre 2019	201910	Hombres	114	24	Campo de Daroca
Octubre 2019	201910	Hombres	159	25	Jiloca
Octubre 2019	201910	Hombres	68	26	Cuencas Mineras
Octubre 2019	201910	Hombres	100	27	Andorra-Sierra de Arcos
Octubre 2019	201910	Hombres	402	28	Bajo Aragón
Octubre 2019	201910	Hombres	1454	29	Comunidad de Teruel
Octubre 2019	201910	Hombres	42	30	Maestrazgo
Octubre 2019	201910	Hombres	69	31	Sierra de Albarracín
Octubre 2019	201910	Hombres	190	32	Gúdar-Javalambre
Octubre 2019	201910	Hombres	117	33	Matarraña / Matarranya
Octubre 2019	201910	Mujeres	283	01	La Jacetania
Octubre 2019	201910	Mujeres	175	02	Alto Gállego
Octubre 2019	201910	Mujeres	155	03	Sobrarbe
Octubre 2019	201910	Mujeres	126	04	La Ribagorza
Octubre 2019	201910	Mujeres	403	05	Cinco Villas
Octubre 2019	201910	Mujeres	1543	06	Hoya de Huesca / Plana de Uesca
Octubre 2019	201910	Mujeres	371	07	Somontano de Barbastro
Octubre 2019	201910	Mujeres	408	08	Cinca Medio
Octubre 2019	201910	Mujeres	252	09	La Litera / La Llitera
Octubre 2019	201910	Mujeres	172	10	Los Monegros
Octubre 2019	201910	Mujeres	542	11	Bajo Cinca / Baix Cinca
Octubre 2019	201910	Mujeres	380	12	Tarazona y el Moncayo
Octubre 2019	201910	Mujeres	340	13	Campo de Borja
Octubre 2019	201910	Mujeres	69	14	Aranda
Octubre 2019	201910	Mujeres	911	15	Ribera Alta del Ebro
Octubre 2019	201910	Mujeres	576	16	Valdejalón
Octubre 2019	201910	Mujeres	18932	17	Central
Octubre 2019	201910	Mujeres	246	18	Ribera Baja del Ebro
Octubre 2019	201910	Mujeres	112	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Octubre 2019	201910	Mujeres	549	20	Comunidad de Calatayud
Octubre 2019	201910	Mujeres	221	21	Campo de Cariñena
Octubre 2019	201910	Mujeres	39	22	Campo de Belchite
Octubre 2019	201910	Mujeres	49	23	Bajo Martín
Octubre 2019	201910	Mujeres	77	24	Campo de Daroca
Octubre 2019	201910	Mujeres	101	25	Jiloca
Octubre 2019	201910	Mujeres	133	26	Cuencas Mineras
Octubre 2019	201910	Mujeres	168	27	Andorra-Sierra de Arcos
Octubre 2019	201910	Mujeres	383	28	Bajo Aragón
Octubre 2019	201910	Mujeres	1039	29	Comunidad de Teruel
Octubre 2019	201910	Mujeres	39	30	Maestrazgo
Octubre 2019	201910	Mujeres	36	31	Sierra de Albarracín
Octubre 2019	201910	Mujeres	150	32	Gúdar-Javalambre
Octubre 2019	201910	Mujeres	119	33	Matarraña / Matarranya
Septiembre 2019	201909	Hombres	229	01	La Jacetania
Septiembre 2019	201909	Hombres	232	02	Alto Gállego
Septiembre 2019	201909	Hombres	157	03	Sobrarbe
Septiembre 2019	201909	Hombres	147	04	La Ribagorza
Septiembre 2019	201909	Hombres	688	05	Cinco Villas
Septiembre 2019	201909	Hombres	1383	06	Hoya de Huesca / Plana de Uesca
Septiembre 2019	201909	Hombres	393	07	Somontano de Barbastro
Septiembre 2019	201909	Hombres	656	08	Cinca Medio
Septiembre 2019	201909	Hombres	656	09	La Litera / La Llitera
Septiembre 2019	201909	Hombres	321	10	Los Monegros
Septiembre 2019	201909	Hombres	757	11	Bajo Cinca / Baix Cinca
Septiembre 2019	201909	Hombres	437	12	Tarazona y el Moncayo
Septiembre 2019	201909	Hombres	379	13	Campo de Borja
Septiembre 2019	201909	Hombres	53	14	Aranda
Septiembre 2019	201909	Hombres	1315	15	Ribera Alta del Ebro
Septiembre 2019	201909	Hombres	2271	16	Valdejalón
Septiembre 2019	201909	Hombres	17161	17	Central
Septiembre 2019	201909	Hombres	296	18	Ribera Baja del Ebro
Septiembre 2019	201909	Hombres	419	19	Bajo Aragón-Caspe / Baix Aragó-Casp
Septiembre 2019	201909	Hombres	909	20	Comunidad de Calatayud
Septiembre 2019	201909	Hombres	962	21	Campo de Cariñena
Septiembre 2019	201909	Hombres	33	22	Campo de Belchite
Septiembre 2019	201909	Hombres	129	23	Bajo Martín
Septiembre 2019	201909	Hombres	51	24	Campo de Daroca
Septiembre 2019	201909	Hombres	124	25	Jiloca
Septiembre 2019	201909	Hombres	107	26	Cuencas Mineras
Septiembre 2019	201909	Hombres	121	27	Andorra-Sierra de Arcos
Septiembre 2019	201909	Hombres	921	28	Bajo Aragón
Septiembre 2019	201909	Hombres	1378	29	Comunidad de Teruel
Septiembre 2019	201909	Hombres	44	30	Maestrazgo
Septiembre 2019	201909	Hombres	46	31	Sierra de Albarracín
Septiembre 2019	201909	Hombres	121	32	Gúdar-Javalambre
Septiembre 2019	201909	Hombres	143	33	Matarraña / Matarranya
Septiembre 2019	201909	Mujeres	271	01	La Jacetania
Septiembre 2019	201909	Mujeres	193	02	Alto Gállego
Septiembre 2019	201909	Mujeres	146	03	Sobrarbe
Septiembre 2019	201909	Mujeres	129	04	La Ribagorza
Septiembre 2019	201909	Mujeres	414	05	Cinco Villas
Septiembre 2019	201909	Mujeres	1529	06	Hoya de Huesca / Plana de Uesca
Septiembre 2019	201909	Mujeres	338	07	Somontano de Barbastro
Septiembre 2019	201909	Mujeres	439	08	Cinca Medio
Septiembre 2019	201909	Mujeres	302	09	La Litera / La Llitera
Septiembre 2019	201909	Mujeres	159	10	Los Monegros
Septiembre 2019	201909	Mujeres	571	11	Bajo Cinca / Baix Cinca
Septiembre 2019	201909	Mujeres	397	12	Tarazona y el Moncayo
Septiembre 2019	201909	Mujeres	256	13	Campo de Borja
Septiembre 2019	201909	Mujeres	47	14	Aranda
Septiembre 2019	201909	Mujeres	771	15	Ribera Alta del Ebro
Septiembre 2019	201909	Mujeres	923	16	Valdejalón
