Aragón	Situación profesional código	Situación profesional	Sexo	Edad	Personas residentes viviendas familiares
Aragón	1	Empresario o profesional que emplea personal	Hombres	16 a 25 años	1022
Aragón	1	Empresario o profesional que emplea personal	Hombres	26 a 45 años	14165
Aragón	1	Empresario o profesional que emplea personal	Hombres	46 a 64 años	11004
Aragón	1	Empresario o profesional que emplea personal	Hombres	65 años y más	473
Aragón	1	Empresario o profesional que emplea personal	Mujeres	16 a 25 años	455
Aragón	1	Empresario o profesional que emplea personal	Mujeres	26 a 45 años	5217
Aragón	1	Empresario o profesional que emplea personal	Mujeres	46 a 64 años	3027
Aragón	1	Empresario o profesional que emplea personal	Mujeres	65 años y más	274
Aragón	2	Empresario o profesional que no emplea personal	Hombres	16 a 25 años	3378
Aragón	2	Empresario o profesional que no emplea personal	Hombres	26 a 45 años	23292
Aragón	2	Empresario o profesional que no emplea personal	Hombres	46 a 64 años	20626
Aragón	2	Empresario o profesional que no emplea personal	Hombres	65 años y más	742
Aragón	2	Empresario o profesional que no emplea personal	Mujeres	16 a 25 años	1256
Aragón	2	Empresario o profesional que no emplea personal	Mujeres	26 a 45 años	9170
Aragón	2	Empresario o profesional que no emplea personal	Mujeres	46 a 64 años	6862
Aragón	2	Empresario o profesional que no emplea personal	Mujeres	65 años y más	488
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	16 a 25 años	16305
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	26 a 45 años	102929
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	46 a 64 años	59519
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	65 años y más	1259
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	16 a 25 años	11026
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	26 a 45 años	66731
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	46 a 64 años	27379
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	65 años y más	1086
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	16 a 25 años	18041
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	26 a 45 años	29445
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	46 a 64 años	6878
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	65 años y más	317
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	16 a 25 años	14651
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	26 a 45 años	29829
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	46 a 64 años	5810
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	65 años y más	437
Aragón	5	Otra situación (Ayuda familiar)	Hombres	16 a 25 años	225
Aragón	5	Otra situación (Ayuda familiar)	Hombres	26 a 45 años	152
Aragón	5	Otra situación (Ayuda familiar)	Hombres	46 a 64 años	54
Aragón	5	Otra situación (Ayuda familiar)	Hombres	65 años y más	6
Aragón	5	Otra situación (Ayuda familiar)	Mujeres	16 a 25 años	127
Aragón	5	Otra situación (Ayuda familiar)	Mujeres	26 a 45 años	296
Aragón	5	Otra situación (Ayuda familiar)	Mujeres	46 a 64 años	244
Aragón	5	Otra situación (Ayuda familiar)	Mujeres	65 años y más	11
Aragón	6	Otra situación (Miembro de cooperativas)	Hombres	16 a 25 años	88
Aragón	6	Otra situación (Miembro de cooperativas)	Hombres	26 a 45 años	417
Aragón	6	Otra situación (Miembro de cooperativas)	Hombres	46 a 64 años	324
Aragón	6	Otra situación (Miembro de cooperativas)	Hombres	65 años y más	7
Aragón	6	Otra situación (Miembro de cooperativas)	Mujeres	16 a 25 años	127
Aragón	6	Otra situación (Miembro de cooperativas)	Mujeres	26 a 45 años	434
Aragón	6	Otra situación (Miembro de cooperativas)	Mujeres	46 a 64 años	160
Aragón	6	Otra situación (Miembro de cooperativas)	Mujeres	65 años y más	4
