Provincia codigo	Provincia nombre	Edad	Ocupación agraria	Sexo	Personas
22	Huesca	a) <35 años	Jefe explotación agraria	Hombre	1149
22	Huesca	a) <35 años	Jefe explotación agraria	Mujer	114
22	Huesca	b) >=35 a <55 años	Jefe explotación agraria	Hombre	6185
22	Huesca	b) >=35 a <55 años	Jefe explotación agraria	Mujer	840
22	Huesca	c) >=55 años	Jefe explotación agraria	Hombre	6842
22	Huesca	c) >=55 años	Jefe explotación agraria	Mujer	1150
44	Teruel	a) <35 años	Jefe explotación agraria	Hombre	524
44	Teruel	a) <35 años	Jefe explotación agraria	Mujer	62
44	Teruel	b) >=35 a <55 años	Jefe explotación agraria	Hombre	3804
44	Teruel	b) >=35 a <55 años	Jefe explotación agraria	Mujer	830
44	Teruel	c) >=55 años	Jefe explotación agraria	Hombre	5435
44	Teruel	c) >=55 años	Jefe explotación agraria	Mujer	1166
50	Zaragoza	a) <35 años	Jefe explotación agraria	Hombre	1230
50	Zaragoza	a) <35 años	Jefe explotación agraria	Mujer	125
50	Zaragoza	b) >=35 a <55 años	Jefe explotación agraria	Hombre	8393
50	Zaragoza	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1315
50	Zaragoza	c) >=55 años	Jefe explotación agraria	Hombre	11665
50	Zaragoza	c) >=55 años	Jefe explotación agraria	Mujer	1945
