Año	Residencia comarca código	Residencia comarca nombre	Edad (grandes grupos)	Sexo	Personas
1998	01	La Jacetania	0 a 15	Mujeres	1014
1998	01	La Jacetania	16 a 64	Mujeres	4874
1998	01	La Jacetania	65 y más	Mujeres	2043
1998	02	Alto Gállego	0 a 15	Mujeres	788
1998	02	Alto Gállego	16 a 64	Mujeres	3823
1998	02	Alto Gállego	65 y más	Mujeres	1296
1998	03	Sobrarbe	0 a 15	Mujeres	405
1998	03	Sobrarbe	16 a 64	Mujeres	1799
1998	03	Sobrarbe	65 y más	Mujeres	941
1998	04	La Ribagorza	0 a 15	Mujeres	618
1998	04	La Ribagorza	16 a 64	Mujeres	3152
1998	04	La Ribagorza	65 y más	Mujeres	1786
1998	05	Cinco Villas	0 a 15	Mujeres	2100
1998	05	Cinco Villas	16 a 64	Mujeres	9062
1998	05	Cinco Villas	65 y más	Mujeres	3811
1998	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	4077
1998	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	18835
1998	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7142
1998	07	Somontano de Barbastro	0 a 15	Mujeres	1575
1998	07	Somontano de Barbastro	16 a 64	Mujeres	6552
1998	07	Somontano de Barbastro	65 y más	Mujeres	2944
1998	08	Cinca Medio	0 a 15	Mujeres	1533
1998	08	Cinca Medio	16 a 64	Mujeres	6566
1998	08	Cinca Medio	65 y más	Mujeres	2647
1998	09	La Litera / La Llitera	0 a 15	Mujeres	1114
1998	09	La Litera / La Llitera	16 a 64	Mujeres	5591
1998	09	La Litera / La Llitera	65 y más	Mujeres	2622
1998	10	Los Monegros	0 a 15	Mujeres	1238
1998	10	Los Monegros	16 a 64	Mujeres	6271
1998	10	Los Monegros	65 y más	Mujeres	3032
1998	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1703
1998	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	6743
1998	11	Bajo Cinca / Baix Cinca	65 y más	Mujeres	2624
1998	12	Tarazona y el Moncayo	0 a 15	Mujeres	867
1998	12	Tarazona y el Moncayo	16 a 64	Mujeres	4215
1998	12	Tarazona y el Moncayo	65 y más	Mujeres	2064
1998	13	Campo de Borja	0 a 15	Mujeres	837
1998	13	Campo de Borja	16 a 64	Mujeres	3989
1998	13	Campo de Borja	65 y más	Mujeres	2058
1998	14	Aranda	0 a 15	Mujeres	590
1998	14	Aranda	16 a 64	Mujeres	2462
1998	14	Aranda	65 y más	Mujeres	954
1998	15	Ribera Alta del Ebro	0 a 15	Mujeres	1521
1998	15	Ribera Alta del Ebro	16 a 64	Mujeres	6387
1998	15	Ribera Alta del Ebro	65 y más	Mujeres	2822
1998	16	Valdejalón	0 a 15	Mujeres	1374
1998	16	Valdejalón	16 a 64	Mujeres	6107
1998	16	Valdejalón	65 y más	Mujeres	2883
1998	17	Central	0 a 15	Mujeres	45749
1998	17	Central	16 a 64	Mujeres	220415
1998	17	Central	65 y más	Mujeres	64497
1998	18	Ribera Baja del Ebro	0 a 15	Mujeres	600
1998	18	Ribera Baja del Ebro	16 a 64	Mujeres	2754
1998	18	Ribera Baja del Ebro	65 y más	Mujeres	1288
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	802
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	3697
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujeres	1779
1998	20	Comunidad de Calatayud	0 a 15	Mujeres	983
1998	20	Comunidad de Calatayud	16 a 64	Mujeres	5675
1998	20	Comunidad de Calatayud	65 y más	Mujeres	4245
1998	21	Campo de Cariñena	0 a 15	Mujeres	581
1998	21	Campo de Cariñena	16 a 64	Mujeres	2746
1998	21	Campo de Cariñena	65 y más	Mujeres	1492
1998	22	Campo de Belchite	0 a 15	Mujeres	200
1998	22	Campo de Belchite	16 a 64	Mujeres	1196
1998	22	Campo de Belchite	65 y más	Mujeres	875
1998	23	Bajo Martín	0 a 15	Mujeres	455
1998	23	Bajo Martín	16 a 64	Mujeres	2111
1998	23	Bajo Martín	65 y más	Mujeres	1317
1998	24	Campo de Daroca	0 a 15	Mujeres	280
1998	24	Campo de Daroca	16 a 64	Mujeres	1557
1998	24	Campo de Daroca	65 y más	Mujeres	1106
1998	25	Jiloca	0 a 15	Mujeres	798
1998	25	Jiloca	16 a 64	Mujeres	3735
1998	25	Jiloca	65 y más	Mujeres	2448
1998	26	Cuencas Mineras	0 a 15	Mujeres	739
