Año	Residencia comarca código	Residencia comarca nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
1998	01	La Jacetania	Españoles	01	UE-15	Europa	Mujeres	7879
1998	01	La Jacetania	Extranjeros	01	UE-15	Europa	Mujeres	31
1998	01	La Jacetania	Extranjeros	03	Magreb	África	Mujeres	3
1998	01	La Jacetania	Extranjeros	05	América del Norte	América	Mujeres	2
1998	01	La Jacetania	Extranjeros	06	Resto de América	América	Mujeres	16
1998	02	Alto Gállego	Españoles	01	UE-15	Europa	Mujeres	5873
1998	02	Alto Gállego	Extranjeros	01	UE-15	Europa	Mujeres	25
1998	02	Alto Gállego	Extranjeros	06	Resto de América	América	Mujeres	4
1998	02	Alto Gállego	Extranjeros	07	Asia	Asia	Mujeres	2
1998	02	Alto Gállego	Extranjeros	08	Oceanía	Oceanía	Mujeres	3
1998	03	Sobrarbe	Españoles	01	UE-15	Europa	Mujeres	3107
1998	03	Sobrarbe	Extranjeros	01	UE-15	Europa	Mujeres	29
1998	03	Sobrarbe	Extranjeros	02	Resto de Europa	Europa	Mujeres	2
1998	03	Sobrarbe	Extranjeros	03	Magreb	África	Mujeres	1
1998	03	Sobrarbe	Extranjeros	05	América del Norte	América	Mujeres	1
1998	03	Sobrarbe	Extranjeros	06	Resto de América	América	Mujeres	4
1998	03	Sobrarbe	Extranjeros	07	Asia	Asia	Mujeres	1
1998	04	La Ribagorza	Españoles	01	UE-15	Europa	Mujeres	5523
1998	04	La Ribagorza	Extranjeros	01	UE-15	Europa	Mujeres	20
1998	04	La Ribagorza	Extranjeros	02	Resto de Europa	Europa	Mujeres	4
1998	04	La Ribagorza	Extranjeros	06	Resto de América	América	Mujeres	9
1998	05	Cinco Villas	Españoles	01	UE-15	Europa	Mujeres	14944
1998	05	Cinco Villas	Extranjeros	01	UE-15	Europa	Mujeres	12
1998	05	Cinco Villas	Extranjeros	02	Resto de Europa	Europa	Mujeres	4
1998	05	Cinco Villas	Extranjeros	03	Magreb	África	Mujeres	2
1998	05	Cinco Villas	Extranjeros	04	Resto de África	África	Mujeres	1
1998	05	Cinco Villas	Extranjeros	05	América del Norte	América	Mujeres	1
1998	05	Cinco Villas	Extranjeros	06	Resto de América	América	Mujeres	9
1998	06	Hoya de Huesca / Plana de Uesca	Españoles	01	UE-15	Europa	Mujeres	29907
1998	06	Hoya de Huesca / Plana de Uesca	Extranjeros	01	UE-15	Europa	Mujeres	59
1998	06	Hoya de Huesca / Plana de Uesca	Extranjeros	03	Magreb	África	Mujeres	3
1998	06	Hoya de Huesca / Plana de Uesca	Extranjeros	04	Resto de África	África	Mujeres	20
