Comarca código	Comarca nombre	Situación preferente	Edad	Sexo	Personas residentes viviendas familiares
01	La Jacetania	Estudiantes	16-25	Hombres	464
01	La Jacetania	Estudiantes	16-25	Mujeres	494
01	La Jacetania	Estudiantes	26-45	Hombres	39
01	La Jacetania	Estudiantes	26-45	Mujeres	72
01	La Jacetania	Estudiantes	46-64	Hombres	2
01	La Jacetania	Estudiantes	46-64	Mujeres	16
01	La Jacetania	Estudiantes	65 y más	Hombres	3
01	La Jacetania	Estudiantes	65 y más	Mujeres	11
01	La Jacetania	Ocupados	16-25	Hombres	473
01	La Jacetania	Ocupados	16-25	Mujeres	307
01	La Jacetania	Ocupados	26-45	Hombres	2476
01	La Jacetania	Ocupados	26-45	Mujeres	1644
01	La Jacetania	Ocupados	46-64	Hombres	1400
01	La Jacetania	Ocupados	46-64	Mujeres	616
01	La Jacetania	Ocupados	65 y más	Hombres	48
01	La Jacetania	Ocupados	65 y más	Mujeres	38
01	La Jacetania	Parados buscando el primer empleo	16-25	Hombres	25
01	La Jacetania	Parados buscando el primer empleo	16-25	Mujeres	33
01	La Jacetania	Parados buscando el primer empleo	26-45	Hombres	28
01	La Jacetania	Parados buscando el primer empleo	26-45	Mujeres	39
01	La Jacetania	Parados buscando el primer empleo	46-64	Hombres	3
01	La Jacetania	Parados buscando el primer empleo	46-64	Mujeres	4
01	La Jacetania	Parados que han trabajado antes	16-25	Hombres	52
01	La Jacetania	Parados que han trabajado antes	16-25	Mujeres	54
01	La Jacetania	Parados que han trabajado antes	26-45	Hombres	123
01	La Jacetania	Parados que han trabajado antes	26-45	Mujeres	218
01	La Jacetania	Parados que han trabajado antes	46-64	Hombres	51
01	La Jacetania	Parados que han trabajado antes	46-64	Mujeres	32
01	La Jacetania	Parados que han trabajado antes	65 y más	Hombres	2
01	La Jacetania	Parados que han trabajado antes	65 y más	Mujeres	1
01	La Jacetania	Pensionistas de invalidez	16-25	Hombres	13
01	La Jacetania	Pensionistas de invalidez	16-25	Mujeres	1
01	La Jacetania	Pensionistas de invalidez	26-45	Hombres	39
01	La Jacetania	Pensionistas de invalidez	26-45	Mujeres	28
01	La Jacetania	Pensionistas de invalidez	46-64	Hombres	100
01	La Jacetania	Pensionistas de invalidez	46-64	Mujeres	42
01	La Jacetania	Pensionistas de invalidez	65 y más	Hombres	51
01	La Jacetania	Pensionistas de invalidez	65 y más	Mujeres	33
01	La Jacetania	Pensionistas de viudedad u orfandad	16-25	Hombres	1
01	La Jacetania	Pensionistas de viudedad u orfandad	16-25	Mujeres	1
01	La Jacetania	Pensionistas de viudedad u orfandad	26-45	Mujeres	3
01	La Jacetania	Pensionistas de viudedad u orfandad	46-64	Hombres	2
01	La Jacetania	Pensionistas de viudedad u orfandad	46-64	Mujeres	63
01	La Jacetania	Pensionistas de viudedad u orfandad	65 y más	Hombres	6
01	La Jacetania	Pensionistas de viudedad u orfandad	65 y más	Mujeres	661
01	La Jacetania	Pensionistas de jubilación	46-64	Hombres	210
01	La Jacetania	Pensionistas de jubilación	46-64	Mujeres	45
01	La Jacetania	Pensionistas de jubilación	65 y más	Hombres	1526
01	La Jacetania	Pensionistas de jubilación	65 y más	Mujeres	535
01	La Jacetania	Realizando tareas de voluntariado	26-45	Hombres	1
01	La Jacetania	Realizando tareas de voluntariado	26-45	Mujeres	4
01	La Jacetania	Realizando tareas de voluntariado	46-64	Mujeres	4
01	La Jacetania	Realizando tareas de voluntariado	65 y más	Mujeres	2
01	La Jacetania	Dependientes	26-45	Hombres	3
01	La Jacetania	Dependientes	26-45	Mujeres	2
01	La Jacetania	Dependientes	65 y más	Hombres	6
01	La Jacetania	Dependientes	65 y más	Mujeres	23
01	La Jacetania	Realizando o compartiendo las labores del hogar	16-25	Hombres	2
01	La Jacetania	Realizando o compartiendo las labores del hogar	16-25	Mujeres	44
01	La Jacetania	Realizando o compartiendo las labores del hogar	26-45	Hombres	12
01	La Jacetania	Realizando o compartiendo las labores del hogar	26-45	Mujeres	519
01	La Jacetania	Realizando o compartiendo las labores del hogar	46-64	Hombres	16
01	La Jacetania	Realizando o compartiendo las labores del hogar	46-64	Mujeres	695
01	La Jacetania	Realizando o compartiendo las labores del hogar	65 y más	Hombres	10
01	La Jacetania	Realizando o compartiendo las labores del hogar	65 y más	Mujeres	679
01	La Jacetania	Otra situación	16-25	Hombres	3
