Año	Residencia CCAA nombre	Relación lugar de residencia y nacimiento	Nacimiento CCAA código	Nacimiento CCAA nombre	Edad (grandes grupos)	Sexo	Personas
1998	Aragón	1- Nacidos en Aragón	02	Aragón	0 a 15	Hombres	77676
1998	Aragón	1- Nacidos en Aragón	02	Aragón	0 a 15	Mujeres	74196
1998	Aragón	1- Nacidos en Aragón	02	Aragón	16 a 64	Hombres	309986
1998	Aragón	1- Nacidos en Aragón	02	Aragón	16 a 64	Mujeres	298674
1998	Aragón	1- Nacidos en Aragón	02	Aragón	65 y más	Hombres	86750
1998	Aragón	1- Nacidos en Aragón	02	Aragón	65 y más	Mujeres	111298
1998	Aragón	2- Nacidos en otra CA	01	Andalucía	0 a 15	Hombres	463
1998	Aragón	2- Nacidos en otra CA	01	Andalucía	0 a 15	Mujeres	405
1998	Aragón	2- Nacidos en otra CA	01	Andalucía	16 a 64	Hombres	10420
1998	Aragón	2- Nacidos en otra CA	01	Andalucía	16 a 64	Mujeres	10040
1998	Aragón	2- Nacidos en otra CA	01	Andalucía	65 y más	Hombres	2666
1998	Aragón	2- Nacidos en otra CA	01	Andalucía	65 y más	Mujeres	3237
1998	Aragón	2- Nacidos en otra CA	03	Asturias (Principado de)	0 a 15	Hombres	63
1998	Aragón	2- Nacidos en otra CA	03	Asturias (Principado de)	0 a 15	Mujeres	72
1998	Aragón	2- Nacidos en otra CA	03	Asturias (Principado de)	16 a 64	Hombres	900
1998	Aragón	2- Nacidos en otra CA	03	Asturias (Principado de)	16 a 64	Mujeres	842
1998	Aragón	2- Nacidos en otra CA	03	Asturias (Principado de)	65 y más	Hombres	184
1998	Aragón	2- Nacidos en otra CA	03	Asturias (Principado de)	65 y más	Mujeres	303
1998	Aragón	2- Nacidos en otra CA	04	Balears (Illes)	0 a 15	Hombres	78
1998	Aragón	2- Nacidos en otra CA	04	Balears (Illes)	0 a 15	Mujeres	71
1998	Aragón	2- Nacidos en otra CA	04	Balears (Illes)	16 a 64	Hombres	281
1998	Aragón	2- Nacidos en otra CA	04	Balears (Illes)	16 a 64	Mujeres	293
1998	Aragón	2- Nacidos en otra CA	04	Balears (Illes)	65 y más	Hombres	34
1998	Aragón	2- Nacidos en otra CA	04	Balears (Illes)	65 y más	Mujeres	59
1998	Aragón	2- Nacidos en otra CA	05	Canarias	0 a 15	Hombres	84
1998	Aragón	2- Nacidos en otra CA	05	Canarias	0 a 15	Mujeres	76
1998	Aragón	2- Nacidos en otra CA	05	Canarias	16 a 64	Hombres	332
1998	Aragón	2- Nacidos en otra CA	05	Canarias	16 a 64	Mujeres	400
1998	Aragón	2- Nacidos en otra CA	05	Canarias	65 y más	Hombres	33
1998	Aragón	2- Nacidos en otra CA	05	Canarias	65 y más	Mujeres	64
1998	Aragón	2- Nacidos en otra CA	06	Cantabria	0 a 15	Hombres	57
1998	Aragón	2- Nacidos en otra CA	06	Cantabria	0 a 15	Mujeres	54
1998	Aragón	2- Nacidos en otra CA	06	Cantabria	16 a 64	Hombres	641
1998	Aragón	2- Nacidos en otra CA	06	Cantabria	16 a 64	Mujeres	705
1998	Aragón	2- Nacidos en otra CA	06	Cantabria	65 y más	Hombres	201
1998	Aragón	2- Nacidos en otra CA	06	Cantabria	65 y más	Mujeres	349
1998	Aragón	2- Nacidos en otra CA	07	Castilla y León	0 a 15	Hombres	405
1998	Aragón	2- Nacidos en otra CA	07	Castilla y León	0 a 15	Mujeres	378
1998	Aragón	2- Nacidos en otra CA	07	Castilla y León	16 a 64	Hombres	12949
1998	Aragón	2- Nacidos en otra CA	07	Castilla y León	16 a 64	Mujeres	13481
1998	Aragón	2- Nacidos en otra CA	07	Castilla y León	65 y más	Hombres	4729
1998	Aragón	2- Nacidos en otra CA	07	Castilla y León	65 y más	Mujeres	6424
1998	Aragón	2- Nacidos en otra CA	08	Castilla-La Mancha	0 a 15	Hombres	190
1998	Aragón	2- Nacidos en otra CA	08	Castilla-La Mancha	0 a 15	Mujeres	175
1998	Aragón	2- Nacidos en otra CA	08	Castilla-La Mancha	16 a 64	Hombres	5879
1998	Aragón	2- Nacidos en otra CA	08	Castilla-La Mancha	16 a 64	Mujeres	5879
1998	Aragón	2- Nacidos en otra CA	08	Castilla-La Mancha	65 y más	Hombres	2386
1998	Aragón	2- Nacidos en otra CA	08	Castilla-La Mancha	65 y más	Mujeres	2996
1998	Aragón	2- Nacidos en otra CA	09	Cataluña	0 a 15	Hombres	2251
1998	Aragón	2- Nacidos en otra CA	09	Cataluña	0 a 15	Mujeres	2145
1998	Aragón	2- Nacidos en otra CA	09	Cataluña	16 a 64	Hombres	11604
1998	Aragón	2- Nacidos en otra CA	09	Cataluña	16 a 64	Mujeres	12263
1998	Aragón	2- Nacidos en otra CA	09	Cataluña	65 y más	Hombres	1700
1998	Aragón	2- Nacidos en otra CA	09	Cataluña	65 y más	Mujeres	2343
1998	Aragón	2- Nacidos en otra CA	10	Comunitat Valenciana	0 a 15	Hombres	456
1998	Aragón	2- Nacidos en otra CA	10	Comunitat Valenciana	0 a 15	Mujeres	431
1998	Aragón	2- Nacidos en otra CA	10	Comunitat Valenciana	16 a 64	Hombres	3351
1998	Aragón	2- Nacidos en otra CA	10	Comunitat Valenciana	16 a 64	Mujeres	3431
1998	Aragón	2- Nacidos en otra CA	10	Comunitat Valenciana	65 y más	Hombres	841
1998	Aragón	2- Nacidos en otra CA	10	Comunitat Valenciana	65 y más	Mujeres	1076
1998	Aragón	2- Nacidos en otra CA	11	Extremadura	0 a 15	Hombres	93
1998	Aragón	2- Nacidos en otra CA	11	Extremadura	0 a 15	Mujeres	94
1998	Aragón	2- Nacidos en otra CA	11	Extremadura	16 a 64	Hombres	3371
1998	Aragón	2- Nacidos en otra CA	11	Extremadura	16 a 64	Mujeres	3186
1998	Aragón	2- Nacidos en otra CA	11	Extremadura	65 y más	Hombres	739
1998	Aragón	2- Nacidos en otra CA	11	Extremadura	65 y más	Mujeres	887
1998	Aragón	2- Nacidos en otra CA	12	Galicia	0 a 15	Hombres	126
1998	Aragón	2- Nacidos en otra CA	12	Galicia	0 a 15	Mujeres	130
1998	Aragón	2- Nacidos en otra CA	12	Galicia	16 a 64	Hombres	1737
1998	Aragón	2- Nacidos en otra CA	12	Galicia	16 a 64	Mujeres	1624
1998	Aragón	2- Nacidos en otra CA	12	Galicia	65 y más	Hombres	389
1998	Aragón	2- Nacidos en otra CA	12	Galicia	65 y más	Mujeres	471
1998	Aragón	2- Nacidos en otra CA	13	Madrid (Comunidad de)	0 a 15	Hombres	511
1998	Aragón	2- Nacidos en otra CA	13	Madrid (Comunidad de)	0 a 15	Mujeres	552
1998	Aragón	2- Nacidos en otra CA	13	Madrid (Comunidad de)	16 a 64	Hombres	4602
1998	Aragón	2- Nacidos en otra CA	13	Madrid (Comunidad de)	16 a 64	Mujeres	4445
1998	Aragón	2- Nacidos en otra CA	13	Madrid (Comunidad de)	65 y más	Hombres	728
1998	Aragón	2- Nacidos en otra CA	13	Madrid (Comunidad de)	65 y más	Mujeres	1136
1998	Aragón	2- Nacidos en otra CA	14	Murcia (Región de)	0 a 15	Hombres	76
1998	Aragón	2- Nacidos en otra CA	14	Murcia (Región de)	0 a 15	Mujeres	76
1998	Aragón	2- Nacidos en otra CA	14	Murcia (Región de)	16 a 64	Hombres	741
1998	Aragón	2- Nacidos en otra CA	14	Murcia (Región de)	16 a 64	Mujeres	654
1998	Aragón	2- Nacidos en otra CA	14	Murcia (Región de)	65 y más	Hombres	247
1998	Aragón	2- Nacidos en otra CA	14	Murcia (Región de)	65 y más	Mujeres	270
1998	Aragón	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	0 a 15	Hombres	419
1998	Aragón	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	0 a 15	Mujeres	395
1998	Aragón	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	16 a 64	Hombres	3559
1998	Aragón	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	16 a 64	Mujeres	4331
1998	Aragón	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	65 y más	Hombres	962
1998	Aragón	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	65 y más	Mujeres	2086
1998	Aragón	2- Nacidos en otra CA	16	País Vasco	0 a 15	Hombres	271
1998	Aragón	2- Nacidos en otra CA	16	País Vasco	0 a 15	Mujeres	231
1998	Aragón	2- Nacidos en otra CA	16	País Vasco	16 a 64	Hombres	3022
1998	Aragón	2- Nacidos en otra CA	16	País Vasco	16 a 64	Mujeres	3164
1998	Aragón	2- Nacidos en otra CA	16	País Vasco	65 y más	Hombres	479
1998	Aragón	2- Nacidos en otra CA	16	País Vasco	65 y más	Mujeres	899
1998	Aragón	2- Nacidos en otra CA	17	Rioja (La)	0 a 15	Hombres	106
1998	Aragón	2- Nacidos en otra CA	17	Rioja (La)	0 a 15	Mujeres	97
1998	Aragón	2- Nacidos en otra CA	17	Rioja (La)	16 a 64	Hombres	2083
1998	Aragón	2- Nacidos en otra CA	17	Rioja (La)	16 a 64	Mujeres	2583
1998	Aragón	2- Nacidos en otra CA	17	Rioja (La)	65 y más	Hombres	798
1998	Aragón	2- Nacidos en otra CA	17	Rioja (La)	65 y más	Mujeres	1379
1998	Aragón	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	0 a 15	Hombres	14
1998	Aragón	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	0 a 15	Mujeres	18
1998	Aragón	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	16 a 64	Hombres	241
1998	Aragón	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	16 a 64	Mujeres	259
1998	Aragón	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	65 y más	Hombres	33
1998	Aragón	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	65 y más	Mujeres	66
1998	Aragón	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	0 a 15	Hombres	16
1998	Aragón	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	0 a 15	Mujeres	19
1998	Aragón	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	16 a 64	Hombres	342
1998	Aragón	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	16 a 64	Mujeres	358
1998	Aragón	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	65 y más	Hombres	82
1998	Aragón	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	65 y más	Mujeres	109
1998	Aragón	3- Nacidos en el extranjero	00	No aplicable	0 a 15	Hombres	717
1998	Aragón	3- Nacidos en el extranjero	00	No aplicable	0 a 15	Mujeres	677
1998	Aragón	3- Nacidos en el extranjero	00	No aplicable	16 a 64	Hombres	7083
1998	Aragón	3- Nacidos en el extranjero	00	No aplicable	16 a 64	Mujeres	6566
1998	Aragón	3- Nacidos en el extranjero	00	No aplicable	65 y más	Hombres	654
1998	Aragón	3- Nacidos en el extranjero	00	No aplicable	65 y más	Mujeres	855
1999	Aragón	1- Nacidos en Aragón	02	Aragón	0 a 15	Hombres	76391
1999	Aragón	1- Nacidos en Aragón	02	Aragón	0 a 15	Mujeres	72736
1999	Aragón	1- Nacidos en Aragón	02	Aragón	16 a 64	Hombres	311895
