Comarca codigo	Comarca nombre	Grupo clase explotación	Explotaciones
01	La Jacetania	a) Sin tierras	13
01	La Jacetania	b) Con tierras labradas, pastos permanentes y otras tierras	214
01	La Jacetania	c) Con tierras labradas, pastos permanentes y sin otras tierras	99
01	La Jacetania	d) Con tierras labradas y otras tierras, y sin pastos permanentes	122
01	La Jacetania	e) Con tierras labradas, sin pastos permanentes ni otras tierras	160
01	La Jacetania	f) Sin tierras labradas, con pastos permanentes y con otras tierras	56
01	La Jacetania	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	35
02	Alto Gállego	a) Sin tierras	13
02	Alto Gállego	b) Con tierras labradas, pastos permanentes y otras tierras	126
02	Alto Gállego	c) Con tierras labradas, pastos permanentes y sin otras tierras	58
02	Alto Gállego	d) Con tierras labradas y otras tierras, y sin pastos permanentes	52
02	Alto Gállego	e) Con tierras labradas, sin pastos permanentes ni otras tierras	67
02	Alto Gállego	f) Sin tierras labradas, con pastos permanentes y con otras tierras	58
02	Alto Gállego	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	60
02	Alto Gállego	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
03	Sobrarbe	a) Sin tierras	30
03	Sobrarbe	b) Con tierras labradas, pastos permanentes y otras tierras	292
03	Sobrarbe	c) Con tierras labradas, pastos permanentes y sin otras tierras	87
03	Sobrarbe	d) Con tierras labradas y otras tierras, y sin pastos permanentes	100
03	Sobrarbe	e) Con tierras labradas, sin pastos permanentes ni otras tierras	104
03	Sobrarbe	f) Sin tierras labradas, con pastos permanentes y con otras tierras	115
03	Sobrarbe	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	80
03	Sobrarbe	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	4
04	La Ribagorza	a) Sin tierras	40
04	La Ribagorza	b) Con tierras labradas, pastos permanentes y otras tierras	477
04	La Ribagorza	c) Con tierras labradas, pastos permanentes y sin otras tierras	197
04	La Ribagorza	d) Con tierras labradas y otras tierras, y sin pastos permanentes	287
04	La Ribagorza	e) Con tierras labradas, sin pastos permanentes ni otras tierras	242
04	La Ribagorza	f) Sin tierras labradas, con pastos permanentes y con otras tierras	184
04	La Ribagorza	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	153
04	La Ribagorza	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	6
05	Cinco Villas	a) Sin tierras	83
05	Cinco Villas	b) Con tierras labradas, pastos permanentes y otras tierras	138
05	Cinco Villas	c) Con tierras labradas, pastos permanentes y sin otras tierras	162
05	Cinco Villas	d) Con tierras labradas y otras tierras, y sin pastos permanentes	552
05	Cinco Villas	e) Con tierras labradas, sin pastos permanentes ni otras tierras	2455
05	Cinco Villas	f) Sin tierras labradas, con pastos permanentes y con otras tierras	23
05	Cinco Villas	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	43
05	Cinco Villas	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	35
06	Hoya de Huesca / Plana de Uesca	a) Sin tierras	45
06	Hoya de Huesca / Plana de Uesca	b) Con tierras labradas, pastos permanentes y otras tierras	278
06	Hoya de Huesca / Plana de Uesca	c) Con tierras labradas, pastos permanentes y sin otras tierras	142
06	Hoya de Huesca / Plana de Uesca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	628
06	Hoya de Huesca / Plana de Uesca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1359
06	Hoya de Huesca / Plana de Uesca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	40
06	Hoya de Huesca / Plana de Uesca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	37
06	Hoya de Huesca / Plana de Uesca	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	18
07	Somontano de Barbastro	a) Sin tierras	31
07	Somontano de Barbastro	b) Con tierras labradas, pastos permanentes y otras tierras	191
07	Somontano de Barbastro	c) Con tierras labradas, pastos permanentes y sin otras tierras	101
07	Somontano de Barbastro	d) Con tierras labradas y otras tierras, y sin pastos permanentes	611
07	Somontano de Barbastro	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1047
07	Somontano de Barbastro	f) Sin tierras labradas, con pastos permanentes y con otras tierras	45
07	Somontano de Barbastro	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	50
07	Somontano de Barbastro	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	11
08	Cinca Medio	a) Sin tierras	42
08	Cinca Medio	b) Con tierras labradas, pastos permanentes y otras tierras	105
08	Cinca Medio	c) Con tierras labradas, pastos permanentes y sin otras tierras	91
08	Cinca Medio	d) Con tierras labradas y otras tierras, y sin pastos permanentes	380
08	Cinca Medio	e) Con tierras labradas, sin pastos permanentes ni otras tierras	904
08	Cinca Medio	f) Sin tierras labradas, con pastos permanentes y con otras tierras	21
08	Cinca Medio	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	25
08	Cinca Medio	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	16
09	La Litera / La Llitera	a) Sin tierras	66
09	La Litera / La Llitera	b) Con tierras labradas, pastos permanentes y otras tierras	123
09	La Litera / La Llitera	c) Con tierras labradas, pastos permanentes y sin otras tierras	88
09	La Litera / La Llitera	d) Con tierras labradas y otras tierras, y sin pastos permanentes	548
09	La Litera / La Llitera	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1181
09	La Litera / La Llitera	f) Sin tierras labradas, con pastos permanentes y con otras tierras	24
09	La Litera / La Llitera	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	62
09	La Litera / La Llitera	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	20
10	Los Monegros	a) Sin tierras	116
10	Los Monegros	b) Con tierras labradas, pastos permanentes y otras tierras	172
10	Los Monegros	c) Con tierras labradas, pastos permanentes y sin otras tierras	259
10	Los Monegros	d) Con tierras labradas y otras tierras, y sin pastos permanentes	587
10	Los Monegros	e) Con tierras labradas, sin pastos permanentes ni otras tierras	2057
10	Los Monegros	f) Sin tierras labradas, con pastos permanentes y con otras tierras	19
10	Los Monegros	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	67
10	Los Monegros	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	22
11	Bajo Cinca / Baix Cinca	a) Sin tierras	45
11	Bajo Cinca / Baix Cinca	b) Con tierras labradas, pastos permanentes y otras tierras	76
11	Bajo Cinca / Baix Cinca	c) Con tierras labradas, pastos permanentes y sin otras tierras	95
11	Bajo Cinca / Baix Cinca	d) Con tierras labradas y otras tierras, y sin pastos permanentes	647
11	Bajo Cinca / Baix Cinca	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1478
11	Bajo Cinca / Baix Cinca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	17
11	Bajo Cinca / Baix Cinca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	29
11	Bajo Cinca / Baix Cinca	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	18
12	Tarazona y el Moncayo	a) Sin tierras	20
12	Tarazona y el Moncayo	b) Con tierras labradas, pastos permanentes y otras tierras	24
12	Tarazona y el Moncayo	c) Con tierras labradas, pastos permanentes y sin otras tierras	41
12	Tarazona y el Moncayo	d) Con tierras labradas y otras tierras, y sin pastos permanentes	164
12	Tarazona y el Moncayo	e) Con tierras labradas, sin pastos permanentes ni otras tierras	559
12	Tarazona y el Moncayo	f) Sin tierras labradas, con pastos permanentes y con otras tierras	5
12	Tarazona y el Moncayo	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	4
12	Tarazona y el Moncayo	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	5
13	Campo de Borja	a) Sin tierras	29
13	Campo de Borja	b) Con tierras labradas, pastos permanentes y otras tierras	46
13	Campo de Borja	c) Con tierras labradas, pastos permanentes y sin otras tierras	85
13	Campo de Borja	d) Con tierras labradas y otras tierras, y sin pastos permanentes	230
13	Campo de Borja	e) Con tierras labradas, sin pastos permanentes ni otras tierras	1352
13	Campo de Borja	f) Sin tierras labradas, con pastos permanentes y con otras tierras	9
13	Campo de Borja	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	15
13	Campo de Borja	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	8
