Año	Residencia comarca código	Residencia comarca nombre	Edad (grupos quinquenales)	Sexo	Personas
1998	01	La Jacetania	00 a 04	Mujeres	255
1998	01	La Jacetania	05 a 09	Mujeres	335
1998	01	La Jacetania	10 a 14	Mujeres	356
1998	01	La Jacetania	15 a 19	Mujeres	443
1998	01	La Jacetania	20 a 24	Mujeres	541
1998	01	La Jacetania	25 a 29	Mujeres	540
1998	01	La Jacetania	30 a 34	Mujeres	659
1998	01	La Jacetania	35 a 39	Mujeres	643
1998	01	La Jacetania	40 a 44	Mujeres	487
1998	01	La Jacetania	45 a 49	Mujeres	407
1998	01	La Jacetania	50 a 54	Mujeres	428
1998	01	La Jacetania	55 a 59	Mujeres	340
1998	01	La Jacetania	60 a 64	Mujeres	454
1998	01	La Jacetania	65 a 69	Mujeres	569
1998	01	La Jacetania	70 a 74	Mujeres	489
1998	01	La Jacetania	75 a 79	Mujeres	404
1998	01	La Jacetania	80 a 84	Mujeres	294
1998	01	La Jacetania	85 a 89	Mujeres	169
1998	01	La Jacetania	90 a 94	Mujeres	94
1998	01	La Jacetania	95 y más	Mujeres	24
1998	02	Alto Gállego	00 a 04	Mujeres	212
1998	02	Alto Gállego	05 a 09	Mujeres	236
1998	02	Alto Gállego	10 a 14	Mujeres	276
1998	02	Alto Gállego	15 a 19	Mujeres	380
1998	02	Alto Gállego	20 a 24	Mujeres	375
1998	02	Alto Gállego	25 a 29	Mujeres	473
1998	02	Alto Gállego	30 a 34	Mujeres	456
1998	02	Alto Gállego	35 a 39	Mujeres	493
1998	02	Alto Gállego	40 a 44	Mujeres	415
1998	02	Alto Gállego	45 a 49	Mujeres	320
1998	02	Alto Gállego	50 a 54	Mujeres	318
1998	02	Alto Gállego	55 a 59	Mujeres	288
1998	02	Alto Gállego	60 a 64	Mujeres	369
1998	02	Alto Gállego	65 a 69	Mujeres	438
1998	02	Alto Gállego	70 a 74	Mujeres	317
1998	02	Alto Gállego	75 a 79	Mujeres	237
1998	02	Alto Gállego	80 a 84	Mujeres	169
1998	02	Alto Gállego	85 a 89	Mujeres	75
1998	02	Alto Gállego	90 a 94	Mujeres	50
1998	02	Alto Gállego	95 y más	Mujeres	10
1998	03	Sobrarbe	00 a 04	Mujeres	129
1998	03	Sobrarbe	05 a 09	Mujeres	99
1998	03	Sobrarbe	10 a 14	Mujeres	136
1998	03	Sobrarbe	15 a 19	Mujeres	153
1998	03	Sobrarbe	20 a 24	Mujeres	165
1998	03	Sobrarbe	25 a 29	Mujeres	200
1998	03	Sobrarbe	30 a 34	Mujeres	237
1998	03	Sobrarbe	35 a 39	Mujeres	215
1998	03	Sobrarbe	40 a 44	Mujeres	216
1998	03	Sobrarbe	45 a 49	Mujeres	173
1998	03	Sobrarbe	50 a 54	Mujeres	143
1998	03	Sobrarbe	55 a 59	Mujeres	132
1998	03	Sobrarbe	60 a 64	Mujeres	206
1998	03	Sobrarbe	65 a 69	Mujeres	253
1998	03	Sobrarbe	70 a 74	Mujeres	219
1998	03	Sobrarbe	75 a 79	Mujeres	174
1998	03	Sobrarbe	80 a 84	Mujeres	153
1998	03	Sobrarbe	85 a 89	Mujeres	108
1998	03	Sobrarbe	90 a 94	Mujeres	28
1998	03	Sobrarbe	95 y más	Mujeres	6
1998	04	La Ribagorza	00 a 04	Mujeres	145
1998	04	La Ribagorza	05 a 09	Mujeres	186
1998	04	La Ribagorza	10 a 14	Mujeres	240
1998	04	La Ribagorza	15 a 19	Mujeres	257
1998	04	La Ribagorza	20 a 24	Mujeres	316
1998	04	La Ribagorza	25 a 29	Mujeres	349
1998	04	La Ribagorza	30 a 34	Mujeres	370
1998	04	La Ribagorza	35 a 39	Mujeres	409
1998	04	La Ribagorza	40 a 44	Mujeres	314
1998	04	La Ribagorza	45 a 49	Mujeres	291
1998	04	La Ribagorza	50 a 54	Mujeres	258
1998	04	La Ribagorza	55 a 59	Mujeres	246
1998	04	La Ribagorza	60 a 64	Mujeres	389
1998	04	La Ribagorza	65 a 69	Mujeres	437
1998	04	La Ribagorza	70 a 74	Mujeres	396
1998	04	La Ribagorza	75 a 79	Mujeres	387
1998	04	La Ribagorza	80 a 84	Mujeres	286
1998	04	La Ribagorza	85 a 89	Mujeres	197
1998	04	La Ribagorza	90 a 94	Mujeres	70
1998	04	La Ribagorza	95 y más	Mujeres	13
1998	05	Cinco Villas	00 a 04	Mujeres	562
1998	05	Cinco Villas	05 a 09	Mujeres	642
1998	05	Cinco Villas	10 a 14	Mujeres	721
1998	05	Cinco Villas	15 a 19	Mujeres	904
1998	05	Cinco Villas	20 a 24	Mujeres	977
1998	05	Cinco Villas	25 a 29	Mujeres	1058
1998	05	Cinco Villas	30 a 34	Mujeres	1069
1998	05	Cinco Villas	35 a 39	Mujeres	1137
1998	05	Cinco Villas	40 a 44	Mujeres	841
1998	05	Cinco Villas	45 a 49	Mujeres	799
1998	05	Cinco Villas	50 a 54	Mujeres	769
1998	05	Cinco Villas	55 a 59	Mujeres	703
1998	05	Cinco Villas	60 a 64	Mujeres	980
1998	05	Cinco Villas	65 a 69	Mujeres	1056
1998	05	Cinco Villas	70 a 74	Mujeres	946
1998	05	Cinco Villas	75 a 79	Mujeres	819
1998	05	Cinco Villas	80 a 84	Mujeres	544
1998	05	Cinco Villas	85 a 89	Mujeres	283
1998	05	Cinco Villas	90 a 94	Mujeres	131
1998	05	Cinco Villas	95 y más	Mujeres	32
1998	06	Hoya de Huesca / Plana de Uesca	00 a 04	Mujeres	1079
1998	06	Hoya de Huesca / Plana de Uesca	05 a 09	Mujeres	1268
1998	06	Hoya de Huesca / Plana de Uesca	10 a 14	Mujeres	1409
1998	06	Hoya de Huesca / Plana de Uesca	15 a 19	Mujeres	1864
1998	06	Hoya de Huesca / Plana de Uesca	20 a 24	Mujeres	2044
1998	06	Hoya de Huesca / Plana de Uesca	25 a 29	Mujeres	2069
1998	06	Hoya de Huesca / Plana de Uesca	30 a 34	Mujeres	2181
1998	06	Hoya de Huesca / Plana de Uesca	35 a 39	Mujeres	2215
1998	06	Hoya de Huesca / Plana de Uesca	40 a 44	Mujeres	2170
1998	06	Hoya de Huesca / Plana de Uesca	45 a 49	Mujeres	1910
1998	06	Hoya de Huesca / Plana de Uesca	50 a 54	Mujeres	1778
1998	06	Hoya de Huesca / Plana de Uesca	55 a 59	Mujeres	1241
1998	06	Hoya de Huesca / Plana de Uesca	60 a 64	Mujeres	1684
1998	06	Hoya de Huesca / Plana de Uesca	65 a 69	Mujeres	1800
1998	06	Hoya de Huesca / Plana de Uesca	70 a 74	Mujeres	1782
1998	06	Hoya de Huesca / Plana de Uesca	75 a 79	Mujeres	1516
1998	06	Hoya de Huesca / Plana de Uesca	80 a 84	Mujeres	1107
1998	06	Hoya de Huesca / Plana de Uesca	85 a 89	Mujeres	628
1998	06	Hoya de Huesca / Plana de Uesca	90 a 94	Mujeres	252
1998	06	Hoya de Huesca / Plana de Uesca	95 y más	Mujeres	57
1998	07	Somontano de Barbastro	00 a 04	Mujeres	402
1998	07	Somontano de Barbastro	05 a 09	Mujeres	474
1998	07	Somontano de Barbastro	10 a 14	Mujeres	574
1998	07	Somontano de Barbastro	15 a 19	Mujeres	639
1998	07	Somontano de Barbastro	20 a 24	Mujeres	684
1998	07	Somontano de Barbastro	25 a 29	Mujeres	695
1998	07	Somontano de Barbastro	30 a 34	Mujeres	792
1998	07	Somontano de Barbastro	35 a 39	Mujeres	802
1998	07	Somontano de Barbastro	40 a 44	Mujeres	717
1998	07	Somontano de Barbastro	45 a 49	Mujeres	590
1998	07	Somontano de Barbastro	50 a 54	Mujeres	560
1998	07	Somontano de Barbastro	55 a 59	Mujeres	512
1998	07	Somontano de Barbastro	60 a 64	Mujeres	686
1998	07	Somontano de Barbastro	65 a 69	Mujeres	783
1998	07	Somontano de Barbastro	70 a 74	Mujeres	728
1998	07	Somontano de Barbastro	75 a 79	Mujeres	616
1998	07	Somontano de Barbastro	80 a 84	Mujeres	440
1998	07	Somontano de Barbastro	85 a 89	Mujeres	276
1998	07	Somontano de Barbastro	90 a 94	Mujeres	90
1998	07	Somontano de Barbastro	95 y más	Mujeres	11
1998	08	Cinca Medio	00 a 04	Mujeres	454
1998	08	Cinca Medio	05 a 09	Mujeres	433
1998	08	Cinca Medio	10 a 14	Mujeres	514
1998	08	Cinca Medio	15 a 19	Mujeres	631
1998	08	Cinca Medio	20 a 24	Mujeres	735
1998	08	Cinca Medio	25 a 29	Mujeres	758
1998	08	Cinca Medio	30 a 34	Mujeres	798
1998	08	Cinca Medio	35 a 39	Mujeres	731
1998	08	Cinca Medio	40 a 44	Mujeres	638
