Provincia código	Provincia nombre	Situación preferente	Lugar trabajo o estudio	Tiempo desplazamiento	Personas residentes viviendas familiares
22	Huesca	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	138
22	Huesca	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	2122
22	Huesca	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	1959
22	Huesca	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	346
22	Huesca	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	51
22	Huesca	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	15
22	Huesca	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	13
22	Huesca	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	1
22	Huesca	Estudiantes que no trabajan	En otro municipio	 No aplicable	5406
22	Huesca	Estudiantes que no trabajan	En otro municipio	0-10 minutos	127
22	Huesca	Estudiantes que no trabajan	En otro municipio	10-20 minutos	664
22	Huesca	Estudiantes que no trabajan	En otro municipio	20-30 minutos	639
22	Huesca	Estudiantes que no trabajan	En otro municipio	30-45 minutos	476
22	Huesca	Estudiantes que no trabajan	En otro municipio	45-60 minutos	345
22	Huesca	Estudiantes que no trabajan	En otro municipio	60-90 minutos	214
22	Huesca	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	41
22	Huesca	Trabajadores	En el mismo municipio de residencia	 No aplicable	462
22	Huesca	Trabajadores	En el mismo municipio de residencia	0-10 minutos	32983
22	Huesca	Trabajadores	En el mismo municipio de residencia	10-20 minutos	17732
22	Huesca	Trabajadores	En el mismo municipio de residencia	20-30 minutos	2565
22	Huesca	Trabajadores	En el mismo municipio de residencia	30-45 minutos	544
22	Huesca	Trabajadores	En el mismo municipio de residencia	45-60 minutos	206
22	Huesca	Trabajadores	En el mismo municipio de residencia	60-90 minutos	102
22	Huesca	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	169
22	Huesca	Trabajadores	En otro municipio	 No aplicable	7133
22	Huesca	Trabajadores	En otro municipio	0-10 minutos	1408
22	Huesca	Trabajadores	En otro municipio	10-20 minutos	5413
