Aragón	Horas trabajadas	Situación profesional código	Situación profesional	Personas residentes viviendas familiares
Aragón	01-10	1	Empresario o profesional que emplea personal	622
Aragón	11-20	1	Empresario o profesional que emplea personal	621
Aragón	21-30	1	Empresario o profesional que emplea personal	694
Aragón	31-40	1	Empresario o profesional que emplea personal	19844
Aragón	41-50	1	Empresario o profesional que emplea personal	8483
Aragón	Más de 50	1	Empresario o profesional que emplea personal	5373
Aragón	01-10	2	Empresario o profesional que no emplea personal	1154
Aragón	11-20	2	Empresario o profesional que no emplea personal	1884
Aragón	21-30	2	Empresario o profesional que no emplea personal	2413
Aragón	31-40	2	Empresario o profesional que no emplea personal	33724
Aragón	41-50	2	Empresario o profesional que no emplea personal	16024
Aragón	Más de 50	2	Empresario o profesional que no emplea personal	10615
Aragón	01-10	3	Trabajador por cuenta ajena con carácter fijo o indefinido	5147
Aragón	11-20	3	Trabajador por cuenta ajena con carácter fijo o indefinido	8983
Aragón	21-30	3	Trabajador por cuenta ajena con carácter fijo o indefinido	13754
Aragón	31-40	3	Trabajador por cuenta ajena con carácter fijo o indefinido	228153
Aragón	41-50	3	Trabajador por cuenta ajena con carácter fijo o indefinido	23715
Aragón	Más de 50	3	Trabajador por cuenta ajena con carácter fijo o indefinido	6482
Aragón	01-10	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	3878
Aragón	11-20	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	8596
Aragón	21-30	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	7284
Aragón	31-40	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	75561
Aragón	41-50	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	7845
Aragón	Más de 50	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	2244
Aragón	01-10	5	Otra situación (Ayuda familiar)	96
Aragón	11-20	5	Otra situación (Ayuda familiar)	214
Aragón	21-30	5	Otra situación (Ayuda familiar)	131
Aragón	31-40	5	Otra situación (Ayuda familiar)	465
Aragón	41-50	5	Otra situación (Ayuda familiar)	141
Aragón	Más de 50	5	Otra situación (Ayuda familiar)	68
Aragón	01-10	6	Otra situación (Miembro de cooperativas)	44
Aragón	11-20	6	Otra situación (Miembro de cooperativas)	71
Aragón	21-30	6	Otra situación (Miembro de cooperativas)	60
Aragón	31-40	6	Otra situación (Miembro de cooperativas)	1120
Aragón	41-50	6	Otra situación (Miembro de cooperativas)	195
Aragón	Más de 50	6	Otra situación (Miembro de cooperativas)	71
