Año	Provincia código	Provincia nombre	Población
1900	22	Huesca	255100
1900	44	Teruel	251994
1900	50	Zaragoza	421023
1910	22	Huesca	264984
1910	44	Teruel	265908
1910	50	Zaragoza	449501
1920	22	Huesca	265603
1920	44	Teruel	264062
1920	50	Zaragoza	498590
1930	22	Huesca	257777
1930	44	Teruel	263700
1930	50	Zaragoza	530127
1940	22	Huesca	247135
1940	44	Teruel	245960
1940	50	Zaragoza	574566
1950	22	Huesca	237681
1950	44	Teruel	243269
1950	50	Zaragoza	609393
1960	22	Huesca	234014
1960	44	Teruel	223758
1960	50	Zaragoza	641115
1970	22	Huesca	221761
1970	44	Teruel	173861
1970	50	Zaragoza	757433
1981	22	Huesca	214907
1981	44	Teruel	153457
1981	50	Zaragoza	828588
1991	22	Huesca	207810
1991	44	Teruel	143680
1991	50	Zaragoza	837327
2001	22	Huesca	206502
2001	44	Teruel	135858
2001	50	Zaragoza	861855
2011	22	Huesca	225971
2011	44	Teruel	143178
2011	50	Zaragoza	975395
