Año	Residencia comarca código	Residencia comarca nombre	Edad (grupos quinquenales)	Sexo	Extranjeros
1998	01	La Jacetania	00 a 04	Hombres	2
1998	01	La Jacetania	00 a 04	Mujeres	1
1998	01	La Jacetania	05 a 09	Hombres	2
1998	01	La Jacetania	10 a 14	Hombres	2
1998	01	La Jacetania	10 a 14	Mujeres	2
1998	01	La Jacetania	15 a 19	Hombres	6
1998	01	La Jacetania	20 a 24	Hombres	2
1998	01	La Jacetania	20 a 24	Mujeres	3
1998	01	La Jacetania	25 a 29	Hombres	3
1998	01	La Jacetania	25 a 29	Mujeres	5
1998	01	La Jacetania	30 a 34	Hombres	3
1998	01	La Jacetania	30 a 34	Mujeres	10
1998	01	La Jacetania	35 a 39	Hombres	4
1998	01	La Jacetania	35 a 39	Mujeres	5
1998	01	La Jacetania	40 a 44	Hombres	2
1998	01	La Jacetania	40 a 44	Mujeres	5
1998	01	La Jacetania	45 a 49	Hombres	3
1998	01	La Jacetania	45 a 49	Mujeres	6
1998	01	La Jacetania	50 a 54	Hombres	5
1998	01	La Jacetania	50 a 54	Mujeres	4
1998	01	La Jacetania	55 a 59	Hombres	2
1998	01	La Jacetania	55 a 59	Mujeres	4
1998	01	La Jacetania	60 a 64	Hombres	4
1998	01	La Jacetania	60 a 64	Mujeres	2
1998	01	La Jacetania	65 a 69	Hombres	2
1998	01	La Jacetania	65 a 69	Mujeres	1
1998	01	La Jacetania	70 a 74	Hombres	4
1998	01	La Jacetania	70 a 74	Mujeres	2
1998	01	La Jacetania	75 a 79	Mujeres	1
1998	01	La Jacetania	85 a 89	Mujeres	1
1998	01	La Jacetania	90 a 94	Hombres	1
1998	02	Alto Gállego	00 a 04	Mujeres	1
1998	02	Alto Gállego	05 a 09	Mujeres	1
1998	02	Alto Gállego	15 a 19	Hombres	4
1998	02	Alto Gállego	20 a 24	Hombres	4
1998	02	Alto Gállego	20 a 24	Mujeres	4
1998	02	Alto Gállego	30 a 34	Hombres	5
1998	02	Alto Gállego	30 a 34	Mujeres	9
1998	02	Alto Gállego	35 a 39	Hombres	3
1998	02	Alto Gállego	35 a 39	Mujeres	4
1998	02	Alto Gállego	40 a 44	Hombres	1
1998	02	Alto Gállego	40 a 44	Mujeres	4
1998	02	Alto Gállego	45 a 49	Hombres	1
1998	02	Alto Gállego	45 a 49	Mujeres	3
1998	02	Alto Gállego	50 a 54	Hombres	1
1998	02	Alto Gállego	50 a 54	Mujeres	3
1998	02	Alto Gállego	55 a 59	Hombres	2
1998	02	Alto Gállego	55 a 59	Mujeres	1
1998	02	Alto Gállego	60 a 64	Hombres	2
1998	02	Alto Gállego	65 a 69	Hombres	1
1998	02	Alto Gállego	65 a 69	Mujeres	1
1998	02	Alto Gállego	70 a 74	Mujeres	2
1998	02	Alto Gállego	80 a 84	Mujeres	1
1998	03	Sobrarbe	00 a 04	Hombres	1
1998	03	Sobrarbe	05 a 09	Hombres	3
1998	03	Sobrarbe	05 a 09	Mujeres	1
1998	03	Sobrarbe	15 a 19	Hombres	2
1998	03	Sobrarbe	15 a 19	Mujeres	2
1998	03	Sobrarbe	20 a 24	Hombres	2
1998	03	Sobrarbe	25 a 29	Hombres	3
1998	03	Sobrarbe	25 a 29	Mujeres	6
1998	03	Sobrarbe	30 a 34	Hombres	3
1998	03	Sobrarbe	30 a 34	Mujeres	5
1998	03	Sobrarbe	35 a 39	Hombres	2
1998	03	Sobrarbe	35 a 39	Mujeres	3
1998	03	Sobrarbe	40 a 44	Hombres	4
1998	03	Sobrarbe	40 a 44	Mujeres	3
1998	03	Sobrarbe	45 a 49	Hombres	4
1998	03	Sobrarbe	45 a 49	Mujeres	2
1998	03	Sobrarbe	50 a 54	Hombres	5
1998	03	Sobrarbe	50 a 54	Mujeres	2
1998	03	Sobrarbe	55 a 59	Hombres	3
1998	03	Sobrarbe	55 a 59	Mujeres	4
1998	03	Sobrarbe	60 a 64	Hombres	5
1998	03	Sobrarbe	60 a 64	Mujeres	4
1998	03	Sobrarbe	65 a 69	Hombres	2
1998	03	Sobrarbe	65 a 69	Mujeres	2
1998	03	Sobrarbe	70 a 74	Hombres	2
1998	03	Sobrarbe	70 a 74	Mujeres	1
1998	03	Sobrarbe	75 a 79	Hombres	3
1998	03	Sobrarbe	75 a 79	Mujeres	1
1998	03	Sobrarbe	80 a 84	Hombres	1
1998	03	Sobrarbe	80 a 84	Mujeres	1
1998	03	Sobrarbe	85 a 89	Hombres	1
1998	03	Sobrarbe	85 a 89	Mujeres	1
1998	04	La Ribagorza	00 a 04	Hombres	1
1998	04	La Ribagorza	05 a 09	Hombres	3
1998	04	La Ribagorza	05 a 09	Mujeres	3
1998	04	La Ribagorza	10 a 14	Hombres	3
1998	04	La Ribagorza	10 a 14	Mujeres	2
1998	04	La Ribagorza	15 a 19	Hombres	1
1998	04	La Ribagorza	15 a 19	Mujeres	2
1998	04	La Ribagorza	20 a 24	Mujeres	1
1998	04	La Ribagorza	25 a 29	Hombres	3
1998	04	La Ribagorza	25 a 29	Mujeres	3
1998	04	La Ribagorza	30 a 34	Hombres	4
1998	04	La Ribagorza	30 a 34	Mujeres	4
1998	04	La Ribagorza	35 a 39	Hombres	9
1998	04	La Ribagorza	35 a 39	Mujeres	5
1998	04	La Ribagorza	40 a 44	Hombres	4
1998	04	La Ribagorza	40 a 44	Mujeres	7
1998	04	La Ribagorza	45 a 49	Hombres	4
1998	04	La Ribagorza	45 a 49	Mujeres	1
1998	04	La Ribagorza	50 a 54	Hombres	1
1998	04	La Ribagorza	50 a 54	Mujeres	1
1998	04	La Ribagorza	55 a 59	Hombres	4
1998	04	La Ribagorza	60 a 64	Hombres	2
1998	04	La Ribagorza	65 a 69	Mujeres	3
1998	04	La Ribagorza	70 a 74	Hombres	1
1998	04	La Ribagorza	85 a 89	Hombres	1
1998	04	La Ribagorza	85 a 89	Mujeres	1
1998	05	Cinco Villas	05 a 09	Hombres	3
1998	05	Cinco Villas	05 a 09	Mujeres	3
1998	05	Cinco Villas	10 a 14	Hombres	4
1998	05	Cinco Villas	10 a 14	Mujeres	2
1998	05	Cinco Villas	15 a 19	Hombres	2
1998	05	Cinco Villas	15 a 19	Mujeres	2
1998	05	Cinco Villas	20 a 24	Hombres	3
1998	05	Cinco Villas	20 a 24	Mujeres	1
1998	05	Cinco Villas	25 a 29	Hombres	10
1998	05	Cinco Villas	25 a 29	Mujeres	5
1998	05	Cinco Villas	30 a 34	Hombres	8
1998	05	Cinco Villas	30 a 34	Mujeres	4
1998	05	Cinco Villas	35 a 39	Hombres	5
1998	05	Cinco Villas	35 a 39	Mujeres	4
1998	05	Cinco Villas	40 a 44	Hombres	3
1998	05	Cinco Villas	40 a 44	Mujeres	2
1998	05	Cinco Villas	45 a 49	Mujeres	2
1998	05	Cinco Villas	50 a 54	Mujeres	1
1998	05	Cinco Villas	55 a 59	Hombres	1
1998	05	Cinco Villas	60 a 64	Mujeres	2
1998	05	Cinco Villas	65 a 69	Hombres	1
1998	05	Cinco Villas	70 a 74	Hombres	2
1998	05	Cinco Villas	70 a 74	Mujeres	1
1998	06	Hoya de Huesca / Plana de Uesca	00 a 04	Hombres	6
1998	06	Hoya de Huesca / Plana de Uesca	00 a 04	Mujeres	2
1998	06	Hoya de Huesca / Plana de Uesca	05 a 09	Hombres	11
1998	06	Hoya de Huesca / Plana de Uesca	05 a 09	Mujeres	5
