Mes y año	Provincia código	Provincia nombre	Nº parados	Sexo
Noviembre 2020	22	Huesca	4886	Hombres
Noviembre 2020	22	Huesca	6594	Mujeres
Noviembre 2020	44	Teruel	2984	Hombres
Noviembre 2020	44	Teruel	4098	Mujeres
Noviembre 2020	50	Zaragoza	25253	Hombres
Noviembre 2020	50	Zaragoza	36341	Mujeres
Octubre 2020	22	Huesca	4748	Hombres
Octubre 2020	22	Huesca	6301	Mujeres
Octubre 2020	44	Teruel	2785	Hombres
Octubre 2020	44	Teruel	3823	Mujeres
Octubre 2020	50	Zaragoza	24852	Hombres
Octubre 2020	50	Zaragoza	35357	Mujeres
Septiembre 2020	22	Huesca	4622	Hombres
Septiembre 2020	22	Huesca	6082	Mujeres
Septiembre 2020	44	Teruel	2738	Hombres
Septiembre 2020	44	Teruel	3671	Mujeres
Septiembre 2020	50	Zaragoza	24563	Hombres
Septiembre 2020	50	Zaragoza	35034	Mujeres
Agosto 2020	22	Huesca	4312	Hombres
Agosto 2020	22	Huesca	5805	Mujeres
Agosto 2020	44	Teruel	2731	Hombres
Agosto 2020	44	Teruel	3684	Mujeres
Agosto 2020	50	Zaragoza	24930	Hombres
Agosto 2020	50	Zaragoza	35461	Mujeres
Julio 2020	22	Huesca	4111	Hombres
Julio 2020	22	Huesca	5583	Mujeres
Julio 2020	44	Teruel	2726	Hombres
Julio 2020	44	Teruel	3649	Mujeres
Julio 2020	50	Zaragoza	24678	Hombres
Julio 2020	50	Zaragoza	35038	Mujeres
Junio 2020	22	Huesca	4192	Hombres
Junio 2020	22	Huesca	5730	Mujeres
Junio 2020	44	Teruel	2799	Hombres
Junio 2020	44	Teruel	3679	Mujeres
Junio 2020	50	Zaragoza	24907	Hombres
Junio 2020	50	Zaragoza	35153	Mujeres
Mayo 2020	22	Huesca	4318	Hombres
Mayo 2020	22	Huesca	5831	Mujeres
Mayo 2020	44	Teruel	2877	Hombres
Mayo 2020	44	Teruel	3641	Mujeres
Mayo 2020	50	Zaragoza	25966	Hombres
Mayo 2020	50	Zaragoza	35896	Mujeres
Abril 2020	22	Huesca	4485	Hombres
Abril 2020	22	Huesca	5869	Mujeres
Abril 2020	44	Teruel	2957	Hombres
Abril 2020	44	Teruel	3562	Mujeres
Abril 2020	50	Zaragoza	26482	Hombres
Abril 2020	50	Zaragoza	35859	Mujeres
Marzo 2020	22	Huesca	4122	Hombres
Marzo 2020	22	Huesca	5481	Mujeres
Marzo 2020	44	Teruel	2653	Hombres
Marzo 2020	44	Teruel	3369	Mujeres
Marzo 2020	50	Zaragoza	23372	Hombres
Marzo 2020	50	Zaragoza	33484	Mujeres
Febrero 2020	22	Huesca	3554	Hombres
Febrero 2020	22	Huesca	5062	Mujeres
Febrero 2020	44	Teruel	2331	Hombres
Febrero 2020	44	Teruel	3259	Mujeres
Febrero 2020	50	Zaragoza	21011	Hombres
Febrero 2020	50	Zaragoza	31755	Mujeres
Enero 2020	22	Huesca	3671	Hombres
Enero 2020	22	Huesca	5166	Mujeres
Enero 2020	44	Teruel	2489	Hombres
Enero 2020	44	Teruel	3401	Mujeres
Enero 2020	50	Zaragoza	21197	Hombres
Enero 2020	50	Zaragoza	31711	Mujeres
Diciembre 2019	22	Huesca	3494	Hombres
Diciembre 2019	22	Huesca	4801	Mujeres
Diciembre 2019	44	Teruel	2424	Hombres
Diciembre 2019	44	Teruel	3216	Mujeres
Diciembre 2019	50	Zaragoza	20804	Hombres
Diciembre 2019	50	Zaragoza	30117	Mujeres
Noviembre 2019	22	Huesca	3569	Hombres
Noviembre 2019	22	Huesca	5093	Mujeres
Noviembre 2019	44	Teruel	2386	Hombres
Noviembre 2019	44	Teruel	3349	Mujeres
Noviembre 2019	50	Zaragoza	20237	Hombres
Noviembre 2019	50	Zaragoza	30589	Mujeres
Octubre 2019	22	Huesca	3645	Hombres
Octubre 2019	22	Huesca	5080	Mujeres
Octubre 2019	44	Teruel	2380	Hombres
Octubre 2019	44	Teruel	3224	Mujeres
Octubre 2019	50	Zaragoza	20249	Hombres
Octubre 2019	50	Zaragoza	30657	Mujeres
Septiembre 2019	22	Huesca	3461	Hombres
Septiembre 2019	22	Huesca	4707	Mujeres
Septiembre 2019	44	Teruel	2144	Hombres
Septiembre 2019	44	Teruel	2999	Mujeres
Septiembre 2019	50	Zaragoza	19476	Hombres
Septiembre 2019	50	Zaragoza	30076	Mujeres
Agosto 2019	22	Huesca	3133	Hombres
Agosto 2019	22	Huesca	4480	Mujeres
Agosto 2019	44	Teruel	2063	Hombres
Agosto 2019	44	Teruel	2853	Mujeres
Agosto 2019	50	Zaragoza	19305	Hombres
Agosto 2019	50	Zaragoza	29649	Mujeres
Julio 2019	22	Huesca	3077	Hombres
Julio 2019	22	Huesca	4394	Mujeres
Julio 2019	44	Teruel	2009	Hombres
Julio 2019	44	Teruel	2860	Mujeres
Julio 2019	50	Zaragoza	18783	Hombres
Julio 2019	50	Zaragoza	29331	Mujeres
Junio 2019	22	Huesca	3111	Hombres
Junio 2019	22	Huesca	4425	Mujeres
Junio 2019	44	Teruel	2053	Hombres
Junio 2019	44	Teruel	2917	Mujeres
Junio 2019	50	Zaragoza	18196	Hombres
Junio 2019	50	Zaragoza	28806	Mujeres
Mayo 2019	22	Huesca	3210	Hombres
Mayo 2019	22	Huesca	4598	Mujeres
Mayo 2019	44	Teruel	1979	Hombres
Mayo 2019	44	Teruel	3071	Mujeres
