Año	Residencia provincia nombre	Edad (grupos quinquenales)	Sexo	Extranjeros
1998	Huesca	00 a 04	Hombres	22
1998	Huesca	00 a 04	Mujeres	24
1998	Huesca	05 a 09	Hombres	24
1998	Huesca	05 a 09	Mujeres	23
1998	Huesca	10 a 14	Hombres	31
1998	Huesca	10 a 14	Mujeres	23
1998	Huesca	15 a 19	Hombres	33
1998	Huesca	15 a 19	Mujeres	25
1998	Huesca	20 a 24	Hombres	44
1998	Huesca	20 a 24	Mujeres	50
1998	Huesca	25 a 29	Hombres	79
1998	Huesca	25 a 29	Mujeres	68
1998	Huesca	30 a 34	Hombres	122
1998	Huesca	30 a 34	Mujeres	104
1998	Huesca	35 a 39	Hombres	93
1998	Huesca	35 a 39	Mujeres	64
1998	Huesca	40 a 44	Hombres	61
1998	Huesca	40 a 44	Mujeres	53
1998	Huesca	45 a 49	Hombres	46
1998	Huesca	45 a 49	Mujeres	33
1998	Huesca	50 a 54	Hombres	27
1998	Huesca	50 a 54	Mujeres	23
1998	Huesca	55 a 59	Hombres	24
1998	Huesca	55 a 59	Mujeres	20
1998	Huesca	60 a 64	Hombres	22
1998	Huesca	60 a 64	Mujeres	17
1998	Huesca	65 a 69	Hombres	10
1998	Huesca	65 a 69	Mujeres	15
1998	Huesca	70 a 74	Hombres	14
1998	Huesca	70 a 74	Mujeres	14
1998	Huesca	75 a 79	Hombres	9
1998	Huesca	75 a 79	Mujeres	4
1998	Huesca	80 a 84	Hombres	6
1998	Huesca	80 a 84	Mujeres	6
1998	Huesca	85 a 89	Hombres	2
1998	Huesca	85 a 89	Mujeres	5
1998	Huesca	90 a 94	Hombres	2
1998	Teruel	00 a 04	Hombres	9
1998	Teruel	00 a 04	Mujeres	10
1998	Teruel	05 a 09	Hombres	11
1998	Teruel	05 a 09	Mujeres	7
1998	Teruel	10 a 14	Hombres	29
1998	Teruel	10 a 14	Mujeres	17
1998	Teruel	15 a 19	Hombres	25
1998	Teruel	15 a 19	Mujeres	15
1998	Teruel	20 a 24	Hombres	25
1998	Teruel	20 a 24	Mujeres	21
1998	Teruel	25 a 29	Hombres	48
1998	Teruel	25 a 29	Mujeres	41
1998	Teruel	30 a 34	Hombres	56
1998	Teruel	30 a 34	Mujeres	52
1998	Teruel	35 a 39	Hombres	37
1998	Teruel	35 a 39	Mujeres	30
1998	Teruel	40 a 44	Hombres	34
1998	Teruel	40 a 44	Mujeres	29
1998	Teruel	45 a 49	Hombres	16
1998	Teruel	45 a 49	Mujeres	18
1998	Teruel	50 a 54	Hombres	20
1998	Teruel	50 a 54	Mujeres	7
1998	Teruel	55 a 59	Hombres	11
1998	Teruel	55 a 59	Mujeres	6
1998	Teruel	60 a 64	Hombres	5
1998	Teruel	60 a 64	Mujeres	6
1998	Teruel	65 a 69	Hombres	5
1998	Teruel	65 a 69	Mujeres	4
1998	Teruel	70 a 74	Hombres	2
1998	Teruel	70 a 74	Mujeres	1
1998	Teruel	75 a 79	Hombres	3
1998	Teruel	75 a 79	Mujeres	2
1998	Teruel	80 a 84	Hombres	2
1998	Teruel	85 a 89	Hombres	1
1998	Teruel	85 a 89	Mujeres	4
1998	Teruel	90 a 94	Mujeres	1
1998	Teruel	95 y más	Hombres	1
1998	Zaragoza	00 a 04	Hombres	59
1998	Zaragoza	00 a 04	Mujeres	64
1998	Zaragoza	05 a 09	Hombres	110
1998	Zaragoza	05 a 09	Mujeres	131
1998	Zaragoza	10 a 14	Hombres	172
1998	Zaragoza	10 a 14	Mujeres	151
1998	Zaragoza	15 a 19	Hombres	186
1998	Zaragoza	15 a 19	Mujeres	178
1998	Zaragoza	20 a 24	Hombres	192
1998	Zaragoza	20 a 24	Mujeres	236
1998	Zaragoza	25 a 29	Hombres	439
1998	Zaragoza	25 a 29	Mujeres	397
1998	Zaragoza	30 a 34	Hombres	641
1998	Zaragoza	30 a 34	Mujeres	434
1998	Zaragoza	35 a 39	Hombres	438
1998	Zaragoza	35 a 39	Mujeres	344
1998	Zaragoza	40 a 44	Hombres	288
1998	Zaragoza	40 a 44	Mujeres	271
1998	Zaragoza	45 a 49	Hombres	210
1998	Zaragoza	45 a 49	Mujeres	176
1998	Zaragoza	50 a 54	Hombres	125
1998	Zaragoza	50 a 54	Mujeres	101
1998	Zaragoza	55 a 59	Hombres	81
1998	Zaragoza	55 a 59	Mujeres	59
1998	Zaragoza	60 a 64	Hombres	52
1998	Zaragoza	60 a 64	Mujeres	48
1998	Zaragoza	65 a 69	Hombres	49
1998	Zaragoza	65 a 69	Mujeres	52
1998	Zaragoza	70 a 74	Hombres	24
1998	Zaragoza	70 a 74	Mujeres	50
1998	Zaragoza	75 a 79	Hombres	24
1998	Zaragoza	75 a 79	Mujeres	26
1998	Zaragoza	80 a 84	Hombres	10
1998	Zaragoza	80 a 84	Mujeres	25
1998	Zaragoza	85 a 89	Hombres	5
1998	Zaragoza	85 a 89	Mujeres	13
1998	Zaragoza	90 a 94	Hombres	1
1998	Zaragoza	90 a 94	Mujeres	1
1999	Huesca	00 a 04	Hombres	31
1999	Huesca	00 a 04	Mujeres	35
1999	Huesca	05 a 09	Hombres	32
1999	Huesca	05 a 09	Mujeres	32
1999	Huesca	10 a 14	Hombres	40
1999	Huesca	10 a 14	Mujeres	23
1999	Huesca	15 a 19	Hombres	39
1999	Huesca	15 a 19	Mujeres	33
1999	Huesca	20 a 24	Hombres	55
1999	Huesca	20 a 24	Mujeres	49
1999	Huesca	25 a 29	Hombres	94
1999	Huesca	25 a 29	Mujeres	83
1999	Huesca	30 a 34	Hombres	148
1999	Huesca	30 a 34	Mujeres	108
1999	Huesca	35 a 39	Hombres	106
1999	Huesca	35 a 39	Mujeres	87
1999	Huesca	40 a 44	Hombres	76
1999	Huesca	40 a 44	Mujeres	59
1999	Huesca	45 a 49	Hombres	54
1999	Huesca	45 a 49	Mujeres	37
1999	Huesca	50 a 54	Hombres	33
1999	Huesca	50 a 54	Mujeres	23
1999	Huesca	55 a 59	Hombres	24
1999	Huesca	55 a 59	Mujeres	14
1999	Huesca	60 a 64	Hombres	23
1999	Huesca	60 a 64	Mujeres	18
1999	Huesca	65 a 69	Hombres	13
1999	Huesca	65 a 69	Mujeres	8
1999	Huesca	70 a 74	Hombres	13
1999	Huesca	70 a 74	Mujeres	14
1999	Huesca	75 a 79	Hombres	6
1999	Huesca	75 a 79	Mujeres	5
1999	Huesca	80 a 84	Hombres	7
1999	Huesca	80 a 84	Mujeres	5
1999	Huesca	85 a 89	Hombres	1
1999	Huesca	85 a 89	Mujeres	2
1999	Huesca	90 a 94	Hombres	2
1999	Huesca	90 a 94	Mujeres	1
1999	Teruel	00 a 04	Hombres	8
1999	Teruel	00 a 04	Mujeres	11
1999	Teruel	05 a 09	Hombres	11
1999	Teruel	05 a 09	Mujeres	7
1999	Teruel	10 a 14	Hombres	22
1999	Teruel	10 a 14	Mujeres	13
1999	Teruel	15 a 19	Hombres	29
1999	Teruel	15 a 19	Mujeres	11
1999	Teruel	20 a 24	Hombres	25
1999	Teruel	20 a 24	Mujeres	22
1999	Teruel	25 a 29	Hombres	45
1999	Teruel	25 a 29	Mujeres	40
1999	Teruel	30 a 34	Hombres	57
1999	Teruel	30 a 34	Mujeres	51
1999	Teruel	35 a 39	Hombres	44
1999	Teruel	35 a 39	Mujeres	43
1999	Teruel	40 a 44	Hombres	36
1999	Teruel	40 a 44	Mujeres	30
1999	Teruel	45 a 49	Hombres	20
1999	Teruel	45 a 49	Mujeres	21
1999	Teruel	50 a 54	Hombres	22
1999	Teruel	50 a 54	Mujeres	7
1999	Teruel	55 a 59	Hombres	11
1999	Teruel	55 a 59	Mujeres	4
1999	Teruel	60 a 64	Hombres	4
1999	Teruel	60 a 64	Mujeres	6
1999	Teruel	65 a 69	Hombres	7
1999	Teruel	65 a 69	Mujeres	4
1999	Teruel	70 a 74	Hombres	6
1999	Teruel	70 a 74	Mujeres	3
1999	Teruel	75 a 79	Hombres	3
1999	Teruel	75 a 79	Mujeres	1
1999	Teruel	80 a 84	Hombres	3
1999	Teruel	80 a 84	Mujeres	1
1999	Teruel	85 a 89	Hombres	2
1999	Teruel	85 a 89	Mujeres	6
1999	Teruel	90 a 94	Mujeres	1
1999	Teruel	95 y más	Hombres	1
1999	Zaragoza	00 a 04	Hombres	101
1999	Zaragoza	00 a 04	Mujeres	95
1999	Zaragoza	05 a 09	Hombres	138
1999	Zaragoza	05 a 09	Mujeres	140
1999	Zaragoza	10 a 14	Hombres	183
1999	Zaragoza	10 a 14	Mujeres	149
1999	Zaragoza	15 a 19	Hombres	196
1999	Zaragoza	15 a 19	Mujeres	202
1999	Zaragoza	20 a 24	Hombres	236
1999	Zaragoza	20 a 24	Mujeres	290
1999	Zaragoza	25 a 29	Hombres	437
1999	Zaragoza	25 a 29	Mujeres	447
1999	Zaragoza	30 a 34	Hombres	750
1999	Zaragoza	30 a 34	Mujeres	510
1999	Zaragoza	35 a 39	Hombres	556
1999	Zaragoza	35 a 39	Mujeres	376
1999	Zaragoza	40 a 44	Hombres	333
1999	Zaragoza	40 a 44	Mujeres	310
1999	Zaragoza	45 a 49	Hombres	223
1999	Zaragoza	45 a 49	Mujeres	209
1999	Zaragoza	50 a 54	Hombres	138
1999	Zaragoza	50 a 54	Mujeres	119
1999	Zaragoza	55 a 59	Hombres	95
1999	Zaragoza	55 a 59	Mujeres	74
1999	Zaragoza	60 a 64	Hombres	63
1999	Zaragoza	60 a 64	Mujeres	57
1999	Zaragoza	65 a 69	Hombres	52
1999	Zaragoza	65 a 69	Mujeres	51
1999	Zaragoza	70 a 74	Hombres	33
1999	Zaragoza	70 a 74	Mujeres	57
1999	Zaragoza	75 a 79	Hombres	25
1999	Zaragoza	75 a 79	Mujeres	31
1999	Zaragoza	80 a 84	Hombres	11
1999	Zaragoza	80 a 84	Mujeres	19
1999	Zaragoza	85 a 89	Hombres	5
1999	Zaragoza	85 a 89	Mujeres	16
1999	Zaragoza	90 a 94	Hombres	1
1999	Zaragoza	90 a 94	Mujeres	3
1999	Zaragoza	95 y más	Mujeres	1
2000	Huesca	00 a 04	Hombres	53
2000	Huesca	00 a 04	Mujeres	50
2000	Huesca	05 a 09	Hombres	47
2000	Huesca	05 a 09	Mujeres	52
2000	Huesca	10 a 14	Hombres	57
2000	Huesca	10 a 14	Mujeres	41
2000	Huesca	15 a 19	Hombres	52
2000	Huesca	15 a 19	Mujeres	43
2000	Huesca	20 a 24	Hombres	85
2000	Huesca	20 a 24	Mujeres	69
2000	Huesca	25 a 29	Hombres	149
2000	Huesca	25 a 29	Mujeres	147
2000	Huesca	30 a 34	Hombres	276
2000	Huesca	30 a 34	Mujeres	152
2000	Huesca	35 a 39	Hombres	177
2000	Huesca	35 a 39	Mujeres	129
2000	Huesca	40 a 44	Hombres	112
2000	Huesca	40 a 44	Mujeres	76
2000	Huesca	45 a 49	Hombres	69
2000	Huesca	45 a 49	Mujeres	51
2000	Huesca	50 a 54	Hombres	41
2000	Huesca	50 a 54	Mujeres	31
2000	Huesca	55 a 59	Hombres	31
2000	Huesca	55 a 59	Mujeres	16
2000	Huesca	60 a 64	Hombres	23
2000	Huesca	60 a 64	Mujeres	20
2000	Huesca	65 a 69	Hombres	20
2000	Huesca	65 a 69	Mujeres	14
2000	Huesca	70 a 74	Hombres	15
2000	Huesca	70 a 74	Mujeres	15
2000	Huesca	75 a 79	Hombres	9
2000	Huesca	75 a 79	Mujeres	8
2000	Huesca	80 a 84	Hombres	6
2000	Huesca	80 a 84	Mujeres	4
2000	Huesca	85 a 89	Hombres	2
2000	Huesca	85 a 89	Mujeres	4
2000	Huesca	90 a 94	Hombres	1
2000	Huesca	90 a 94	Mujeres	2
2000	Teruel	00 a 04	Hombres	13
2000	Teruel	00 a 04	Mujeres	17
2000	Teruel	05 a 09	Hombres	18
2000	Teruel	05 a 09	Mujeres	12
2000	Teruel	10 a 14	Hombres	39
2000	Teruel	10 a 14	Mujeres	13
2000	Teruel	15 a 19	Hombres	35
2000	Teruel	15 a 19	Mujeres	19
2000	Teruel	20 a 24	Hombres	53
2000	Teruel	20 a 24	Mujeres	28
2000	Teruel	25 a 29	Hombres	76
2000	Teruel	25 a 29	Mujeres	55
2000	Teruel	30 a 34	Hombres	85
2000	Teruel	30 a 34	Mujeres	58
2000	Teruel	35 a 39	Hombres	67
2000	Teruel	35 a 39	Mujeres	50
2000	Teruel	40 a 44	Hombres	57
2000	Teruel	40 a 44	Mujeres	35
2000	Teruel	45 a 49	Hombres	24
2000	Teruel	45 a 49	Mujeres	25
2000	Teruel	50 a 54	Hombres	30
2000	Teruel	50 a 54	Mujeres	9
2000	Teruel	55 a 59	Hombres	14
2000	Teruel	55 a 59	Mujeres	4
2000	Teruel	60 a 64	Hombres	7
2000	Teruel	60 a 64	Mujeres	9
2000	Teruel	65 a 69	Hombres	8
2000	Teruel	65 a 69	Mujeres	6
2000	Teruel	70 a 74	Hombres	5
2000	Teruel	70 a 74	Mujeres	5
2000	Teruel	75 a 79	Hombres	4
2000	Teruel	75 a 79	Mujeres	2
2000	Teruel	80 a 84	Hombres	2
2000	Teruel	80 a 84	Mujeres	2
2000	Teruel	85 a 89	Hombres	2
2000	Teruel	85 a 89	Mujeres	3
2000	Teruel	90 a 94	Mujeres	1
2000	Teruel	95 y más	Hombres	1
2000	Zaragoza	00 a 04	Hombres	200
2000	Zaragoza	00 a 04	Mujeres	159
2000	Zaragoza	05 a 09	Hombres	172
2000	Zaragoza	05 a 09	Mujeres	182
2000	Zaragoza	10 a 14	Hombres	259
2000	Zaragoza	10 a 14	Mujeres	219
2000	Zaragoza	15 a 19	Hombres	259
2000	Zaragoza	15 a 19	Mujeres	248
2000	Zaragoza	20 a 24	Hombres	329
2000	Zaragoza	20 a 24	Mujeres	410
2000	Zaragoza	25 a 29	Hombres	644
2000	Zaragoza	25 a 29	Mujeres	586
2000	Zaragoza	30 a 34	Hombres	992
2000	Zaragoza	30 a 34	Mujeres	689
2000	Zaragoza	35 a 39	Hombres	802
2000	Zaragoza	35 a 39	Mujeres	483
2000	Zaragoza	40 a 44	Hombres	441
2000	Zaragoza	40 a 44	Mujeres	364
2000	Zaragoza	45 a 49	Hombres	279
2000	Zaragoza	45 a 49	Mujeres	253
2000	Zaragoza	50 a 54	Hombres	171
2000	Zaragoza	50 a 54	Mujeres	154
2000	Zaragoza	55 a 59	Hombres	106
2000	Zaragoza	55 a 59	Mujeres	99
2000	Zaragoza	60 a 64	Hombres	81
2000	Zaragoza	60 a 64	Mujeres	54
2000	Zaragoza	65 a 69	Hombres	55
2000	Zaragoza	65 a 69	Mujeres	70
2000	Zaragoza	70 a 74	Hombres	35
2000	Zaragoza	70 a 74	Mujeres	62
2000	Zaragoza	75 a 79	Hombres	27
2000	Zaragoza	75 a 79	Mujeres	30
2000	Zaragoza	80 a 84	Hombres	13
2000	Zaragoza	80 a 84	Mujeres	27
2000	Zaragoza	85 a 89	Hombres	8
2000	Zaragoza	85 a 89	Mujeres	11
2000	Zaragoza	90 a 94	Hombres	1
2000	Zaragoza	90 a 94	Mujeres	3
2000	Zaragoza	95 y más	Hombres	1
2000	Zaragoza	95 y más	Mujeres	5
2001	Huesca	00 a 04	Hombres	87
2001	Huesca	00 a 04	Mujeres	79
2001	Huesca	05 a 09	Hombres	71
2001	Huesca	05 a 09	Mujeres	85
2001	Huesca	10 a 14	Hombres	86
2001	Huesca	10 a 14	Mujeres	57
2001	Huesca	15 a 19	Hombres	92
2001	Huesca	15 a 19	Mujeres	71
2001	Huesca	20 a 24	Hombres	228
2001	Huesca	20 a 24	Mujeres	145
2001	Huesca	25 a 29	Hombres	404
2001	Huesca	25 a 29	Mujeres	215
2001	Huesca	30 a 34	Hombres	450
2001	Huesca	30 a 34	Mujeres	229
2001	Huesca	35 a 39	Hombres	298
2001	Huesca	35 a 39	Mujeres	210
2001	Huesca	40 a 44	Hombres	203
2001	Huesca	40 a 44	Mujeres	111
2001	Huesca	45 a 49	Hombres	99
2001	Huesca	45 a 49	Mujeres	73
2001	Huesca	50 a 54	Hombres	56
2001	Huesca	50 a 54	Mujeres	45
2001	Huesca	55 a 59	Hombres	44
2001	Huesca	55 a 59	Mujeres	29
2001	Huesca	60 a 64	Hombres	28
2001	Huesca	60 a 64	Mujeres	28
2001	Huesca	65 a 69	Hombres	22
2001	Huesca	65 a 69	Mujeres	20
2001	Huesca	70 a 74	Hombres	15
2001	Huesca	70 a 74	Mujeres	15
2001	Huesca	75 a 79	Hombres	10
2001	Huesca	75 a 79	Mujeres	10
2001	Huesca	80 a 84	Hombres	5
2001	Huesca	80 a 84	Mujeres	4
2001	Huesca	85 a 89	Hombres	3
2001	Huesca	85 a 89	Mujeres	5
2001	Huesca	90 a 94	Hombres	1
2001	Huesca	90 a 94	Mujeres	2
2001	Teruel	00 a 04	Hombres	36
