Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2015	1	7833	PP-PAR
01	La Jacetania	2015	2	6384	PSOE
01	La Jacetania	2015	3	166	PODEMOS
01	La Jacetania	2015	3	5004	PODEMOS-Ahora Alto Aragón en Común
01	La Jacetania	2015	4	3490	C's
01	La Jacetania	2015	5	1923	IU-CHA-UPeC
01	La Jacetania	2015	6	315	EB
01	La Jacetania	2015	7	406	PACMA
01	La Jacetania	2015	8	267	UPYD
01	La Jacetania	2015	9	71	RECORTES CERO-GRUPO VERDE
01	La Jacetania	2015	10	0	VOX
01	La Jacetania	2015	11	25	Independientes-FIA
01	La Jacetania	2015	12	53	PCPE
01	La Jacetania	2015	13	0	BAR
02	Alto Gállego	2015	1	6053	PP-PAR
02	Alto Gállego	2015	2	5049	PSOE
02	Alto Gállego	2015	3	3871	PODEMOS-Ahora Alto Aragón en Común
02	Alto Gállego	2015	4	2331	C's
02	Alto Gállego	2015	5	1434	IU-CHA-UPeC
02	Alto Gállego	2015	6	325	EB
02	Alto Gállego	2015	7	291	PACMA
02	Alto Gállego	2015	8	136	UPYD
02	Alto Gállego	2015	9	54	RECORTES CERO-GRUPO VERDE
02	Alto Gállego	2015	11	23	Independientes-FIA
02	Alto Gállego	2015	12	36	PCPE
03	Sobrarbe	2015	1	3925	PP-PAR
03	Sobrarbe	2015	2	3271	PSOE
03	Sobrarbe	2015	3	1948	PODEMOS-Ahora Alto Aragón en Común
03	Sobrarbe	2015	4	1188	C's
03	Sobrarbe	2015	5	757	IU-CHA-UPeC
03	Sobrarbe	2015	6	117	EB
03	Sobrarbe	2015	7	105	PACMA
03	Sobrarbe	2015	8	73	UPYD
03	Sobrarbe	2015	9	19	RECORTES CERO-GRUPO VERDE
03	Sobrarbe	2015	11	3	Independientes-FIA
03	Sobrarbe	2015	12	16	PCPE
04	La Ribagorza	2015	1	6813	PP-PAR
04	La Ribagorza	2015	2	4181	PSOE
04	La Ribagorza	2015	3	3164	PODEMOS-Ahora Alto Aragón en Común
04	La Ribagorza	2015	4	1992	C's
04	La Ribagorza	2015	5	804	IU-CHA-UPeC
04	La Ribagorza	2015	6	274	EB
04	La Ribagorza	2015	7	295	PACMA
04	La Ribagorza	2015	8	120	UPYD
04	La Ribagorza	2015	9	59	RECORTES CERO-GRUPO VERDE
04	La Ribagorza	2015	11	19	Independientes-FIA
04	La Ribagorza	2015	12	30	PCPE
05	Cinco Villas	2015	1	16481	PP-PAR
05	Cinco Villas	2015	2	16509	PSOE
05	Cinco Villas	2015	3	5975	PODEMOS
05	Cinco Villas	2015	4	3719	C's
05	Cinco Villas	2015	5	2398	IU-CHA-UPeC
05	Cinco Villas	2015	6	361	EB
05	Cinco Villas	2015	7	272	PACMA
05	Cinco Villas	2015	8	261	UPYD
05	Cinco Villas	2015	9	86	RECORTES CERO-GRUPO VERDE
05	Cinco Villas	2015	10	71	VOX
05	Cinco Villas	2015	11	55	Independientes-FIA
05	Cinco Villas	2015	12	35	PCPE
05	Cinco Villas	2015	13	27	BAR
06	Hoya de Huesca / Plana de Uesca	2015	1	31931	PP-PAR
06	Hoya de Huesca / Plana de Uesca	2015	2	23933	PSOE
