Mes y año	Mes (código)	Provincia código	Provincia nombre	Sexo	Nivel formativo grupo IAEST descripción	Nivel formativo grupo IAEST código	Número de contratos	Nivel formativo código
Marzo 2017	201703	22	Huesca	Hombres	Educación Primaria o inferior	10	321	11
Marzo 2017	201703	22	Huesca	Hombres	Educación Primaria o inferior	10	852	12
Marzo 2017	201703	22	Huesca	Hombres	Educación Primaria o inferior	10	287	80
Marzo 2017	201703	22	Huesca	Mujeres	Educación Primaria o inferior	10	162	11
Marzo 2017	201703	22	Huesca	Mujeres	Educación Primaria o inferior	10	559	12
Marzo 2017	201703	22	Huesca	Mujeres	Educación Primaria o inferior	10	115	80
Marzo 2017	201703	22	Huesca	Mujeres	Educación Primaria o inferior	10	9	90
Marzo 2017	201703	22	Huesca	Hombres	Primera etapa de educación secundaria	20	1	21
Marzo 2017	201703	22	Huesca	Hombres	Primera etapa de educación secundaria	20	139	22
Marzo 2017	201703	22	Huesca	Hombres	Primera etapa de educación secundaria	20	1323	23
Marzo 2017	201703	22	Huesca	Mujeres	Primera etapa de educación secundaria	20	2	21
Marzo 2017	201703	22	Huesca	Mujeres	Primera etapa de educación secundaria	20	89	22
Marzo 2017	201703	22	Huesca	Mujeres	Primera etapa de educación secundaria	20	1076	23
Marzo 2017	201703	22	Huesca	Hombres	Bachillerato	31	353	32
Marzo 2017	201703	22	Huesca	Mujeres	Bachillerato	31	439	32
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza media de formación profesional	32	242	33
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza media de formación profesional	32	1	31
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza media de formación profesional	32	142	33
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza media de formación profesional	32	1	34
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza media de formación profesional	32	1	41
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza superior de formación profesional	41	117	51
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza superior de formación profesional	41	2	52
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza superior de formación profesional	41	3	53
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior de formación profesional	41	131	51
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior de formación profesional	41	16	52
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior de formación profesional	41	2	53
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza superior universitaria	42	41	54
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza superior universitaria	42	72	55
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza superior universitaria	42	14	56
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza superior universitaria	42	28	59
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza superior universitaria	42	3	60
Marzo 2017	201703	22	Huesca	Hombres	Enseñanza superior universitaria	42	6	61
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior universitaria	42	89	54
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior universitaria	42	75	55
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior universitaria	42	25	56
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior universitaria	42	4	57
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior universitaria	42	70	59
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior universitaria	42	6	60
Marzo 2017	201703	22	Huesca	Mujeres	Enseñanza superior universitaria	42	5	61
Marzo 2017	201703	44	Teruel	Hombres	Educación Primaria o inferior	10	60	11
Marzo 2017	201703	44	Teruel	Hombres	Educación Primaria o inferior	10	667	12
Marzo 2017	201703	44	Teruel	Hombres	Educación Primaria o inferior	10	239	80
Marzo 2017	201703	44	Teruel	Hombres	Educación Primaria o inferior	10	3	90
Marzo 2017	201703	44	Teruel	Mujeres	Educación Primaria o inferior	10	52	11
Marzo 2017	201703	44	Teruel	Mujeres	Educación Primaria o inferior	10	492	12
Marzo 2017	201703	44	Teruel	Mujeres	Educación Primaria o inferior	10	122	80
Marzo 2017	201703	44	Teruel	Mujeres	Educación Primaria o inferior	10	8	90
Marzo 2017	201703	44	Teruel	Hombres	Primera etapa de educación secundaria	20	631	22
Marzo 2017	201703	44	Teruel	Hombres	Primera etapa de educación secundaria	20	340	23
Marzo 2017	201703	44	Teruel	Mujeres	Primera etapa de educación secundaria	20	124	22
Marzo 2017	201703	44	Teruel	Mujeres	Primera etapa de educación secundaria	20	271	23
Marzo 2017	201703	44	Teruel	Hombres	Bachillerato	31	202	32
Marzo 2017	201703	44	Teruel	Mujeres	Bachillerato	31	219	32
Marzo 2017	201703	44	Teruel	Hombres	Enseñanza media de formación profesional	32	92	33
Marzo 2017	201703	44	Teruel	Hombres	Enseñanza media de formación profesional	32	2	41
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza media de formación profesional	32	3	31
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza media de formación profesional	32	68	33
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza media de formación profesional	32	1	34
Marzo 2017	201703	44	Teruel	Hombres	Enseñanza superior de formación profesional	41	36	51
Marzo 2017	201703	44	Teruel	Hombres	Enseñanza superior de formación profesional	41	1	53
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza superior de formación profesional	41	37	51
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza superior de formación profesional	41	2	52
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza superior de formación profesional	41	1	53
Marzo 2017	201703	44	Teruel	Hombres	Enseñanza superior universitaria	42	16	54
Marzo 2017	201703	44	Teruel	Hombres	Enseñanza superior universitaria	42	25	55
Marzo 2017	201703	44	Teruel	Hombres	Enseñanza superior universitaria	42	16	56
Marzo 2017	201703	44	Teruel	Hombres	Enseñanza superior universitaria	42	15	59
Marzo 2017	201703	44	Teruel	Hombres	Enseñanza superior universitaria	42	4	60
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza superior universitaria	42	45	54
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza superior universitaria	42	39	55
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza superior universitaria	42	38	56
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza superior universitaria	42	38	59
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza superior universitaria	42	4	60
Marzo 2017	201703	44	Teruel	Mujeres	Enseñanza superior universitaria	42	1	61
Marzo 2017	201703	50	Zaragoza	Hombres	Educación Primaria o inferior	10	680	11
Marzo 2017	201703	50	Zaragoza	Hombres	Educación Primaria o inferior	10	3510	12
Marzo 2017	201703	50	Zaragoza	Hombres	Educación Primaria o inferior	10	1119	80
Marzo 2017	201703	50	Zaragoza	Hombres	Educación Primaria o inferior	10	5	90
Marzo 2017	201703	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	411	11
Marzo 2017	201703	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	2527	12
Marzo 2017	201703	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	833	80
Marzo 2017	201703	50	Zaragoza	Mujeres	Educación Primaria o inferior	10	73	90
Marzo 2017	201703	50	Zaragoza	Hombres	Primera etapa de educación secundaria	20	10	21
Marzo 2017	201703	50	Zaragoza	Hombres	Primera etapa de educación secundaria	20	1383	22
Marzo 2017	201703	50	Zaragoza	Hombres	Primera etapa de educación secundaria	20	5199	23
Marzo 2017	201703	50	Zaragoza	Mujeres	Primera etapa de educación secundaria	20	21	21
Marzo 2017	201703	50	Zaragoza	Mujeres	Primera etapa de educación secundaria	20	934	22
Marzo 2017	201703	50	Zaragoza	Mujeres	Primera etapa de educación secundaria	20	4201	23
Marzo 2017	201703	50	Zaragoza	Hombres	Bachillerato	31	3282	32
Marzo 2017	201703	50	Zaragoza	Mujeres	Bachillerato	31	3333	32
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza media de formación profesional	32	7	31
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza media de formación profesional	32	1297	33
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza media de formación profesional	32	71	34
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza media de formación profesional	32	6	41
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza media de formación profesional	32	8	31
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza media de formación profesional	32	1198	33
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza media de formación profesional	32	50	34
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza media de formación profesional	32	6	41
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior de formación profesional	41	726	51
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior de formación profesional	41	9	52
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior de formación profesional	41	15	53
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior de formación profesional	41	592	51
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior de formación profesional	41	20	52
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior de formación profesional	41	8	53
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	442	54
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	459	55
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	194	56
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	4	57
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	3	58
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	332	59
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	26	60
Marzo 2017	201703	50	Zaragoza	Hombres	Enseñanza superior universitaria	42	14	61
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	705	54
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	594	55
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	161	56
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	1	57
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	1	58
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	535	59
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	33	60
Marzo 2017	201703	50	Zaragoza	Mujeres	Enseñanza superior universitaria	42	12	61
Febrero 2017	201702	22	Huesca	Hombres	Educación Primaria o inferior	10	320	11
Febrero 2017	201702	22	Huesca	Hombres	Educación Primaria o inferior	10	726	12
Febrero 2017	201702	22	Huesca	Hombres	Educación Primaria o inferior	10	199	80
Febrero 2017	201702	22	Huesca	Mujeres	Educación Primaria o inferior	10	153	11
Febrero 2017	201702	22	Huesca	Mujeres	Educación Primaria o inferior	10	501	12
Febrero 2017	201702	22	Huesca	Mujeres	Educación Primaria o inferior	10	85	80
Febrero 2017	201702	22	Huesca	Mujeres	Educación Primaria o inferior	10	14	90
Febrero 2017	201702	22	Huesca	Hombres	Primera etapa de educación secundaria	20	3	21
Febrero 2017	201702	22	Huesca	Hombres	Primera etapa de educación secundaria	20	96	22
Febrero 2017	201702	22	Huesca	Hombres	Primera etapa de educación secundaria	20	1096	23
Febrero 2017	201702	22	Huesca	Mujeres	Primera etapa de educación secundaria	20	91	22
Febrero 2017	201702	22	Huesca	Mujeres	Primera etapa de educación secundaria	20	938	23
Febrero 2017	201702	22	Huesca	Hombres	Bachillerato	31	304	32
Febrero 2017	201702	22	Huesca	Mujeres	Bachillerato	31	372	32
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza media de formación profesional	32	178	33
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza media de formación profesional	32	4	34
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza media de formación profesional	32	1	31
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza media de formación profesional	32	168	33
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza superior de formación profesional	41	83	51
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza superior de formación profesional	41	7	52
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza superior de formación profesional	41	2	53
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza superior de formación profesional	41	103	51
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza superior de formación profesional	41	17	52
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza superior de formación profesional	41	5	53
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza superior universitaria	42	45	54
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza superior universitaria	42	71	55
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza superior universitaria	42	39	56
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza superior universitaria	42	1	57
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza superior universitaria	42	27	59
Febrero 2017	201702	22	Huesca	Hombres	Enseñanza superior universitaria	42	1	60
Febrero 2017	201702	22	Huesca	Mujeres	Enseñanza superior universitaria	42	97	54
