Comarca código	Comarca nombre	Estructura hogar	Número hogares
01	La Jacetania	Una mujer de 16 a 64 años	344
01	La Jacetania	Un hombre de 16 a 64 años	686
01	La Jacetania	Una mujer de 65 o más años	504
01	La Jacetania	Un hombre de 65 o más años	245
01	La Jacetania	Una mujer adulta con uno o más menores	113
01	La Jacetania	Un hombre adulto con  uno o más menores	45
01	La Jacetania	Dos adultos de 16 a 64 años, sin menores	603
01	La Jacetania	Dos adultos, uno al menos de 65 años o más, sin menores	821
01	La Jacetania	Dos adultos y un menor	395
01	La Jacetania	Dos adultos y dos menores	366
01	La Jacetania	Dos adultos y tres o más menores	64
01	La Jacetania	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	370
01	La Jacetania	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	142
01	La Jacetania	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	36
01	La Jacetania	Otro hogar de tres adultos, con o sin menores	417
01	La Jacetania	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	345
01	La Jacetania	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	51
01	La Jacetania	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	7
01	La Jacetania	Otro hogar de cuatro adultos, con o sin menores	278
01	La Jacetania	Cinco o más adultos, con o sin menores	398
02	Alto Gállego	Una mujer de 16 a 64 años	198
02	Alto Gállego	Un hombre de 16 a 64 años	381
02	Alto Gállego	Una mujer de 65 o más años	295
02	Alto Gállego	Un hombre de 65 o más años	158
02	Alto Gállego	Una mujer adulta con uno o más menores	49
02	Alto Gállego	Un hombre adulto con  uno o más menores	25
02	Alto Gállego	Dos adultos de 16 a 64 años, sin menores	416
02	Alto Gállego	Dos adultos, uno al menos de 65 años o más, sin menores	622
02	Alto Gállego	Dos adultos y un menor	308
02	Alto Gállego	Dos adultos y dos menores	276
02	Alto Gállego	Dos adultos y tres o más menores	36
02	Alto Gállego	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	326
02	Alto Gállego	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	159
02	Alto Gállego	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	30
02	Alto Gállego	Otro hogar de tres adultos, con o sin menores	313
02	Alto Gállego	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	306
02	Alto Gállego	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	25
02	Alto Gállego	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	5
02	Alto Gállego	Otro hogar de cuatro adultos, con o sin menores	199
02	Alto Gállego	Cinco o más adultos, con o sin menores	273
03	Sobrarbe	Una mujer de 16 a 64 años	102
03	Sobrarbe	Un hombre de 16 a 64 años	341
03	Sobrarbe	Una mujer de 65 o más años	180
03	Sobrarbe	Un hombre de 65 o más años	128
03	Sobrarbe	Una mujer adulta con uno o más menores	28
03	Sobrarbe	Un hombre adulto con  uno o más menores	19
03	Sobrarbe	Dos adultos de 16 a 64 años, sin menores	211
03	Sobrarbe	Dos adultos, uno al menos de 65 años o más, sin menores	320
03	Sobrarbe	Dos adultos y un menor	106
03	Sobrarbe	Dos adultos y dos menores	108
03	Sobrarbe	Dos adultos y tres o más menores	15
03	Sobrarbe	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	94
03	Sobrarbe	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	39
03	Sobrarbe	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	13
03	Sobrarbe	Otro hogar de tres adultos, con o sin menores	230
03	Sobrarbe	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	86
03	Sobrarbe	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	16
03	Sobrarbe	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	5
03	Sobrarbe	Otro hogar de cuatro adultos, con o sin menores	164
03	Sobrarbe	Cinco o más adultos, con o sin menores	250
04	La Ribagorza	Una mujer de 16 a 64 años	228
04	La Ribagorza	Un hombre de 16 a 64 años	525
04	La Ribagorza	Una mujer de 65 o más años	386
04	La Ribagorza	Un hombre de 65 o más años	290
04	La Ribagorza	Una mujer adulta con uno o más menores	59
04	La Ribagorza	Un hombre adulto con  uno o más menores	34
04	La Ribagorza	Dos adultos de 16 a 64 años, sin menores	373
04	La Ribagorza	Dos adultos, uno al menos de 65 años o más, sin menores	653
04	La Ribagorza	Dos adultos y un menor	198
04	La Ribagorza	Dos adultos y dos menores	169
04	La Ribagorza	Dos adultos y tres o más menores	21
04	La Ribagorza	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	242
04	La Ribagorza	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	66
04	La Ribagorza	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	24
04	La Ribagorza	Otro hogar de tres adultos, con o sin menores	388
04	La Ribagorza	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	167
04	La Ribagorza	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	22
04	La Ribagorza	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	3
04	La Ribagorza	Otro hogar de cuatro adultos, con o sin menores	265
04	La Ribagorza	Cinco o más adultos, con o sin menores	345
05	Cinco Villas	Una mujer de 16 a 64 años	350
05	Cinco Villas	Un hombre de 16 a 64 años	817
05	Cinco Villas	Una mujer de 65 o más años	1038
05	Cinco Villas	Un hombre de 65 o más años	476
05	Cinco Villas	Una mujer adulta con uno o más menores	124
05	Cinco Villas	Un hombre adulto con  uno o más menores	47
05	Cinco Villas	Dos adultos de 16 a 64 años, sin menores	1082
05	Cinco Villas	Dos adultos, uno al menos de 65 años o más, sin menores	1789
05	Cinco Villas	Dos adultos y un menor	791
05	Cinco Villas	Dos adultos y dos menores	771
05	Cinco Villas	Dos adultos y tres o más menores	82
