Año	Comarca código	Comarca nombre	Total viviendas	Viviendas libres	Viviendas protegidas
2015	01	La Jacetania	449	447	2
2015	02	Alto Gállego	284	282	2
2015	03	Sobrarbe	71	71	0
2015	04	La Ribagorza	188	187	1
2015	05	Cinco Villas	201	192	9
2015	06	Hoya de Huesca / Plana de Uesca	641	575	66
2015	07	Somontano de Barbastro	162	162	0
2015	08	Cinca Medio	170	166	4
2015	09	La Litera / La Llitera	118	114	4
2015	10	Los Monegros	75	72	3
2015	11	Bajo Cinca / Baix Cinca	97	96	1
2015	12	Tarazona y el Moncayo	83	82	1
2015	13	Campo de Borja	103	100	3
2015	14	Aranda	52	52	0
2015	15	Ribera Alta del Ebro	273	270	3
2015	16	Valdejalón	253	249	4
2015	17	D.C. Zaragoza	6347	6179	168
2015	18	Ribera Baja del Ebro	49	49	0
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	85	84	1
2015	20	Comunidad de Calatayud	288	287	1
2015	21	Campo de Cariñena	90	90	0
2015	22	Campo de Belchite	41	41	0
2015	23	Bajo Martín	53	51	2
2015	24	Campo de Daroca	58	58	0
2015	25	Jiloca	112	112	0
2015	26	Cuencas Mineras	70	67	3
2015	27	Andorra-Sierra de Arcos	53	53	0
2015	28	Bajo Aragón	187	180	7
2015	29	Comunidad de Teruel	392	334	58
2015	30	Maestrazgo	22	22	0
2015	31	Sierra de Albarracín	37	37	0
2015	32	Gúdar-Javalambre	177	177	0
2015	33	Matarraña / Matarranya	57	57	0
2014	01	La Jacetania	424	388	36
2014	02	Alto Gállego	237	235	2
2014	03	Sobrarbe	64	64	0
2014	04	La Ribagorza	126	126	0
2014	05	Cinco Villas	184	178	6
2014	06	Hoya de Huesca / Plana de Uesca	492	428	64
2014	07	Somontano de Barbastro	123	122	1
2014	08	Cinca Medio	197	189	8
2014	09	La Litera / La Llitera	114	110	4
2014	10	Los Monegros	62	58	4
2014	11	Bajo Cinca / Baix Cinca	139	139	0
2014	12	Tarazona y el Moncayo	76	76	0
2014	13	Campo de Borja	110	106	4
2014	14	Aranda	28	27	1
2014	15	Ribera Alta del Ebro	179	175	4
2014	16	Valdejalón	170	168	2
2014	17	D.C. Zaragoza	5643	5369	274
2014	18	Ribera Baja del Ebro	48	48	0
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	76	76	0
2014	20	Comunidad de Calatayud	262	261	1
2014	21	Campo de Cariñena	69	69	0
2014	22	Campo de Belchite	32	32	0
2014	23	Bajo Martín	55	54	1
2014	24	Campo de Daroca	64	64	0
2014	25	Jiloca	124	123	1
2014	26	Cuencas Mineras	55	52	3
2014	27	Andorra-Sierra de Arcos	43	42	1
2014	28	Bajo Aragón	145	144	1
2014	29	Comunidad de Teruel	374	264	110
2014	30	Maestrazgo	23	23	0
2014	31	Sierra de Albarracín	32	32	0
2014	32	Gúdar-Javalambre	141	141	0
2014	33	Matarraña / Matarranya	32	32	0
2013	01	La Jacetania	325	321	4
2013	02	Alto Gállego	232	224	8
2013	03	Sobrarbe	38	38	0
2013	04	La Ribagorza	113	113	0
2013	05	Cinco Villas	182	180	2
2013	06	Hoya de Huesca / Plana de Uesca	556	394	162
2013	07	Somontano de Barbastro	78	77	1
2013	08	Cinca Medio	147	142	5
2013	09	La Litera / La Llitera	57	55	2
2013	10	Los Monegros	83	76	7
2013	11	Bajo Cinca / Baix Cinca	80	70	10
2013	12	Tarazona y el Moncayo	72	72	0
2013	13	Campo de Borja	76	75	1
2013	14	Aranda	21	21	0
2013	15	Ribera Alta del Ebro	175	175	0
2013	16	Valdejalón	212	212	0
2013	17	D.C. Zaragoza	3846	3642	204
2013	18	Ribera Baja del Ebro	43	43	0
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	59	56	3
2013	20	Comunidad de Calatayud	198	197	1
2013	21	Campo de Cariñena	68	67	1
2013	22	Campo de Belchite	28	28	0
2013	23	Bajo Martín	39	39	0
2013	24	Campo de Daroca	36	36	0
2013	25	Jiloca	84	83	1
2013	26	Cuencas Mineras	86	85	1
2013	27	Andorra-Sierra de Arcos	69	69	0
2013	28	Bajo Aragón	116	113	3
2013	29	Comunidad de Teruel	289	198	91
2013	30	Maestrazgo	21	21	0
2013	31	Sierra de Albarracín	19	19	0
2013	32	Gúdar-Javalambre	120	119	1
2013	33	Matarraña / Matarranya	43	43	0
2012	01	La Jacetania	345	318	27
2012	02	Alto Gállego	226	223	3
2012	03	Sobrarbe	120	120	0
2012	04	La Ribagorza	157	157	0
2012	05	Cinco Villas	207	174	33
2012	06	Hoya de Huesca / Plana de Uesca	576	481	95
2012	07	Somontano de Barbastro	130	129	1
2012	08	Cinca Medio	212	206	6
2012	09	La Litera / La Llitera	230	227	3
2012	10	Los Monegros	100	97	3
2012	11	Bajo Cinca / Baix Cinca	129	129	0
2012	12	Tarazona y el Moncayo	92	92	0
2012	13	Campo de Borja	107	106	1
2012	14	Aranda	38	37	1
2012	15	Ribera Alta del Ebro	164	160	4
2012	16	Valdejalón	246	245	1
2012	17	D.C. Zaragoza	6214	5189	1025
2012	18	Ribera Baja del Ebro	53	52	1
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	71	69	2
2012	20	Comunidad de Calatayud	271	271	0
2012	21	Campo de Cariñena	71	71	0
2012	22	Campo de Belchite	22	21	1
2012	23	Bajo Martín	51	49	2
2012	24	Campo de Daroca	52	51	1
2012	25	Jiloca	67	67	0
2012	26	Cuencas Mineras	70	65	5
2012	27	Andorra-Sierra de Arcos	87	84	3
2012	28	Bajo Aragón	222	209	13
2012	29	Comunidad de Teruel	435	340	95
2012	30	Maestrazgo	27	27	0
2012	31	Sierra de Albarracín	55	55	0
