Año	Municipio código	Municipio nombre	Edificios nueva planta, total	Edificios nueva planta, residencial	Edificios nueva planta, no residencial	Superficie nueva planta, total	Superficie nueva planta, residencial	Superficie nueva planta, no residencial	Viviendas nueva planta	Edificios rehabilitación	Viviendas rehabilitación	Edificios demolición	Viviendas demolición	Estado de la información
2019	22001	Abiego	0	0	0	0	0	0	0	1	0	0	1	COMPLETA
2019	22002	Abizanda	3	0	3	1193	0	1193	0	0	0	0	0	COMPLETA
2019	22003	Adahuesca	3	2	1	3697	558	3139	2	3	0	0	0	COMPLETA
2019	22004	Agüero	0	0	0	0	0	0	0	4	0	0	0	COMPLETA
2019	22006	Aísa	0	0	0	0	0	0	0	6	1	1	0	COMPLETA
2019	22007	Albalate de Cinca	4	0	4	1770	0	1770	0	2	0	0	0	COMPLETA
2019	22008	Albalatillo												SIN INFORMACIÓN
2019	22009	Albelda	11	0	11	12312	0	12312	0	0	0	0	0	COMPLETA
2019	22011	Albero Alto												SIN INFORMACIÓN
2019	22012	Albero Bajo	1	0	1	395	0	395	0	0	0	0	0	COMPLETA
2019	22013	Alberuela de Tubo												SIN INFORMACIÓN
2019	22014	Alcalá de Gurrea	2	0	2	3300	0	3300	0	2	0	0	0	COMPLETA
2019	22015	Alcalá del Obispo												SIN INFORMACIÓN
2019	22016	Alcampell	1	1	0	143	143	0	1	0	0	0	0	COMPLETA
2019	22017	Alcolea de Cinca	13	0	13	14081	0	14081	0	0	0	1	1	COMPLETA
2019	22018	Alcubierre	4	0	4	4272	0	4272	0	0	0	0	0	COMPLETA
2019	22019	Alerre	1	0	1	1882	0	1882	0	0	0	0	0	COMPLETA
2019	22020	Alfántega												SIN INFORMACIÓN
2019	22021	Almudévar	22	0	22	19117	0	19117	0	4	0	1	1	COMPLETA
2019	22022	Almunia de San Juan	9	2	7	14864	436	14428	2					INCOMPLETA
2019	22023	Almuniente	1	0	1	1446	0	1446	0	0	0	0	0	COMPLETA
2019	22024	Alquézar	1	1	0	307	307	0	4	2	0	1	0	COMPLETA
2019	22025	Altorricón	5	1	4	4683	126	4557	1	1	0	0	0	COMPLETA
2019	22027	Angüés	9	0	9	5993	0	5993	0	0	0	0	0	COMPLETA
2019	22028	Ansó	0	0	0	0	0	0	0	2	0	0	0	COMPLETA
