Provincia código	Provincia nombre	Edad	Sexo	Estado civil	Personas residentes viviendas familiares
22	Huesca	16 a 19	Hombres	Solteros/as	4437
22	Huesca	16 a 19	Hombres	Casados/as	25
22	Huesca	16 a 19	Mujeres	Solteros/as	3992
22	Huesca	16 a 19	Mujeres	Casados/as	41
22	Huesca	16 a 19	Mujeres	Separados/as	2
22	Huesca	16 a 19	Mujeres	Divorciados/as	1
22	Huesca	20 a 24	Hombres	Solteros/as	6928
22	Huesca	20 a 24	Hombres	Casados/as	200
22	Huesca	20 a 24	Hombres	Separados/as	4
22	Huesca	20 a 24	Mujeres	Solteros/as	5943
22	Huesca	20 a 24	Mujeres	Casados/as	521
22	Huesca	20 a 24	Mujeres	Viudos/as	2
22	Huesca	20 a 24	Mujeres	Separados/as	20
22	Huesca	20 a 24	Mujeres	Divorciados/as	3
22	Huesca	25 a 29	Hombres	Solteros/as	6342
22	Huesca	25 a 29	Hombres	Casados/as	1381
22	Huesca	25 a 29	Hombres	Viudos/as	1
22	Huesca	25 a 29	Hombres	Separados/as	43
22	Huesca	25 a 29	Hombres	Divorciados/as	10
22	Huesca	25 a 29	Mujeres	Solteros/as	4586
22	Huesca	25 a 29	Mujeres	Casados/as	2265
22	Huesca	25 a 29	Mujeres	Viudos/as	4
22	Huesca	25 a 29	Mujeres	Separados/as	91
22	Huesca	25 a 29	Mujeres	Divorciados/as	34
22	Huesca	30 a 34	Hombres	Solteros/as	4157
22	Huesca	30 a 34	Hombres	Casados/as	3521
22	Huesca	30 a 34	Hombres	Viudos/as	4
22	Huesca	30 a 34	Hombres	Separados/as	99
22	Huesca	30 a 34	Hombres	Divorciados/as	41
22	Huesca	30 a 34	Mujeres	Solteros/as	2182
22	Huesca	30 a 34	Mujeres	Casados/as	4646
22	Huesca	30 a 34	Mujeres	Viudos/as	30
22	Huesca	30 a 34	Mujeres	Separados/as	194
22	Huesca	30 a 34	Mujeres	Divorciados/as	89
22	Huesca	35 a 39	Hombres	Solteros/as	2632
22	Huesca	35 a 39	Hombres	Casados/as	5476
22	Huesca	35 a 39	Hombres	Viudos/as	18
22	Huesca	35 a 39	Hombres	Separados/as	189
22	Huesca	35 a 39	Hombres	Divorciados/as	105
22	Huesca	35 a 39	Mujeres	Solteros/as	1313
22	Huesca	35 a 39	Mujeres	Casados/as	5811
22	Huesca	35 a 39	Mujeres	Viudos/as	79
22	Huesca	35 a 39	Mujeres	Separados/as	242
22	Huesca	35 a 39	Mujeres	Divorciados/as	151
22	Huesca	40 a 44	Hombres	Solteros/as	1791
22	Huesca	40 a 44	Hombres	Casados/as	5744
22	Huesca	40 a 44	Hombres	Viudos/as	27
22	Huesca	40 a 44	Hombres	Separados/as	220
22	Huesca	40 a 44	Hombres	Divorciados/as	130
