CCAA codigo	CCAA nombre	Grado, código	Grado	Sexo, código	Sexo	Grandes grupos, código	Grandes grupos	Personas
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	8884,1909541038
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	14189,5941860097
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	21246,368067912
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	32584,6758220706
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	4965,1546431801
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	52124,5824869255
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	146842,127746233
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	110809,243887899
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	37276,7702975425
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	2805,0286964945
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	5233,4246973852
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	48764,5026606578
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	29389,7435088193
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	9091,5864438738
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5	85 y más	571,5604518834
02	Aragón	2	Analfabetos o sin estudios	1	Hombre	1	De 16 a 25	1193,5634432738
02	Aragón	2	Analfabetos o sin estudios	1	Hombre	2	De 26 a 45	4532,4625828322
02	Aragón	2	Analfabetos o sin estudios	1	Hombre	3	De 46 a 64	4948,129649498
02	Aragón	2	Analfabetos o sin estudios	1	Hombre	4	De 65 a 84	21108,6936338477
02	Aragón	2	Analfabetos o sin estudios	1	Hombre	5	85 y más	5445,729220798
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	1	De 16 a 25	5321,0171027522
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	2	De 26 a 45	10232,5979870104
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	3	De 46 a 64	23138,9746281238
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	4	De 65 a 84	45429,4127712828
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	5	85 y más	8455,1723527765
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	1	De 16 a 25	47720,5363454513
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	2	De 26 a 45	113412,042124605
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	3	De 46 a 64	103328,651338118
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	4	De 65 a 84	40016,4772966739
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	5	85 y más	3496,204478398
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	1	De 16 a 25	10734,8373901528
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	2	De 26 a 45	68486,3525245073
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	3	De 46 a 64	30711,9728827942
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	4	De 65 a 84	6077,0614197175
02	Aragón	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	5	85 y más	794,4780496493
02	Aragón	2	Analfabetos o sin estudios	6	Mujer	1	De 16 a 25	1255,7850971256
02	Aragón	2	Analfabetos o sin estudios	6	Mujer	2	De 26 a 45	3777,1879656606
02	Aragón	2	Analfabetos o sin estudios	6	Mujer	3	De 46 a 64	5838,622759882
02	Aragón	2	Analfabetos o sin estudios	6	Mujer	4	De 65 a 84	30720,0804975701
02	Aragón	2	Analfabetos o sin estudios	6	Mujer	5	85 y más	11167,4096505918
