Año	Sexo	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	CCAA
2018	Hombres	11997	Leves	1	Aragón
2018	Mujeres	5529	Leves	1	Aragón
2017	Hombres	11138	Leves	1	Aragón
2017	Mujeres	5282	Leves	1	Aragón
2016	Hombres	10357	Leves	1	Aragón
2016	Mujeres	5164	Leves	1	Aragón
2015	Hombres	9337	Leves	1	Aragón
2015	Mujeres	4650	Leves	1	Aragón
2014	Hombres	8415	Leves	1	Aragón
2014	Mujeres	4352	Leves	1	Aragón
2013	Hombres	8180	Leves	1	Aragón
2013	Mujeres	4262	Leves	1	Aragón
2012	Hombres	8660	Leves	1	Aragón
2012	Mujeres	3759	Leves	1	Aragón
2011	Hombres	10598	Leves	1	Aragón
2011	Mujeres	4645	Leves	1	Aragón
2010	Hombres	11854	Leves	1	Aragón
2010	Mujeres	5101	Leves	1	Aragón
2009	Hombres	12541	Leves	1	Aragón
2009	Mujeres	5118	Leves	1	Aragón
2008	Hombres	17375	Leves	1	Aragón
2008	Mujeres	5504	Leves	1	Aragón
2007	Hombres	19242	Leves	1	Aragón
2007	Mujeres	5501	Leves	1	Aragón
2006	Hombres	18194	Leves	1	Aragón
2006	Mujeres	4955	Leves	1	Aragón
2005	Hombres	17071	Leves	1	Aragón
2005	Mujeres	4685	Leves	1	Aragón
2004	Hombres	16328	Leves	1	Aragón
2004	Mujeres	4204	Leves	1	Aragón
2003	Hombres	16459	Leves	1	Aragón
2003	Mujeres	4089	Leves	1	Aragón
2018	Hombres	105	Graves o muy graves	2	Aragón
2018	Mujeres	11	Graves o muy graves	2	Aragón
2017	Hombres	111	Graves o muy graves	2	Aragón
2017	Mujeres	19	Graves o muy graves	2	Aragón
2016	Hombres	81	Graves o muy graves	2	Aragón
2016	Mujeres	13	Graves o muy graves	2	Aragón
2015	Hombres	83	Graves o muy graves	2	Aragón
2015	Mujeres	14	Graves o muy graves	2	Aragón
2014	Hombres	81	Graves o muy graves	2	Aragón
2014	Mujeres	7	Graves o muy graves	2	Aragón
2013	Hombres	72	Graves o muy graves	2	Aragón
2013	Mujeres	15	Graves o muy graves	2	Aragón
2012	Hombres	81	Graves o muy graves	2	Aragón
2012	Mujeres	14	Graves o muy graves	2	Aragón
2011	Hombres	89	Graves o muy graves	2	Aragón
2011	Mujeres	8	Graves o muy graves	2	Aragón
2010	Hombres	125	Graves o muy graves	2	Aragón
2010	Mujeres	16	Graves o muy graves	2	Aragón
2009	Hombres	128	Graves o muy graves	2	Aragón
2009	Mujeres	21	Graves o muy graves	2	Aragón
2008	Hombres	132	Graves o muy graves	2	Aragón
2008	Mujeres	9	Graves o muy graves	2	Aragón
2007	Hombres	181	Graves o muy graves	2	Aragón
2007	Mujeres	9	Graves o muy graves	2	Aragón
2006	Hombres	157	Graves o muy graves	2	Aragón
2006	Mujeres	11	Graves o muy graves	2	Aragón
2005	Hombres	182	Graves o muy graves	2	Aragón
2005	Mujeres	16	Graves o muy graves	2	Aragón
2004	Hombres	201	Graves o muy graves	2	Aragón
2004	Mujeres	25	Graves o muy graves	2	Aragón
2003	Hombres	211	Graves o muy graves	2	Aragón
2003	Mujeres	17	Graves o muy graves	2	Aragón
2018	Hombres	34	Mortales	3	Aragón
2018	Mujeres	3	Mortales	3	Aragón
2017	Hombres	27	Mortales	3	Aragón
2017	Mujeres	2	Mortales	3	Aragón
2016	Hombres	24	Mortales	3	Aragón
2016	Mujeres	1	Mortales	3	Aragón
2015	Hombres	24	Mortales	3	Aragón
2015	Mujeres	5	Mortales	3	Aragón
2014	Hombres	16	Mortales	3	Aragón
2014	Mujeres	2	Mortales	3	Aragón
2013	Hombres	19	Mortales	3	Aragón
2013	Mujeres	2	Mortales	3	Aragón
2012	Hombres	18	Mortales	3	Aragón
2012	Mujeres	1	Mortales	3	Aragón
2011	Hombres	25	Mortales	3	Aragón
2011	Mujeres	2	Mortales	3	Aragón
2010	Hombres	30	Mortales	3	Aragón
2010	Mujeres	1	Mortales	3	Aragón
2009	Hombres	43	Mortales	3	Aragón
2008	Hombres	29	Mortales	3	Aragón
2008	Mujeres	1	Mortales	3	Aragón
2007	Hombres	38	Mortales	3	Aragón
2007	Mujeres	1	Mortales	3	Aragón
2006	Hombres	33	Mortales	3	Aragón
2006	Mujeres	1	Mortales	3	Aragón
2005	Hombres	34	Mortales	3	Aragón
2005	Mujeres	1	Mortales	3	Aragón
2004	Hombres	42	Mortales	3	Aragón
2004	Mujeres	2	Mortales	3	Aragón
2003	Hombres	31	Mortales	3	Aragón
2003	Mujeres	1	Mortales	3	Aragón
