Comarca código	Comarca nombre	Corine Land Cover 2000 nivel 2 descripción	Superficie (has)	Año
01	La Jacetania	Aguas continentales	844,405559	2000
01	La Jacetania	Aguas continentales	848,282629	2006
01	La Jacetania	Bosques	77969,234804	2000
01	La Jacetania	Bosques	77915,296788	2006
01	La Jacetania	Cultivos permanentes	0	2000
01	La Jacetania	Cultivos permanentes	0	2006
01	La Jacetania	Espacios abiertos con poca o sin vegetación	17395,177584	2000
01	La Jacetania	Espacios abiertos con poca o sin vegetación	17442,388669	2006
01	La Jacetania	Espacios de vegetación arbustiva y/o herbácea	54678,101703	2000
01	La Jacetania	Espacios de vegetación arbustiva y/o herbácea	54832,96994	2006
01	La Jacetania	Prados y praderas	2109,072823	2000
01	La Jacetania	Prados y praderas	2101,041083	2006
01	La Jacetania	Tierras de labor	25201,432221	2000
01	La Jacetania	Tierras de labor	25233,407481	2006
01	La Jacetania	Zonas agrícolas heterogéneas	6680,987014	2000
01	La Jacetania	Zonas agrícolas heterogéneas	6714,129054	2006
01	La Jacetania	Zonas de extracción minera, vertederos y de construcción	97,453883	2000
01	La Jacetania	Zonas de extracción minera, vertederos y de construcción	0	2006
01	La Jacetania	Zonas húmedas continentales	77,22993	2000
01	La Jacetania	Zonas húmedas continentales	77,225739	2006
01	La Jacetania	Zonas industriales, comerciales y de transportes	46,892694	2000
01	La Jacetania	Zonas industriales, comerciales y de transportes	83,159019	2006
01	La Jacetania	Zonas Urbanas	637,669404	2000
01	La Jacetania	Zonas Urbanas	495,349111	2006
01	La Jacetania	Zonas verdes artificiales, no agrícolas	3,603014	2000
01	La Jacetania	Zonas verdes artificiales, no agrícolas	40,15677	2006
02	Alto Gállego	Aguas continentales	980,409807	2000
02	Alto Gállego	Aguas continentales	818,449423	2006
02	Alto Gállego	Bosques	53496,065538	2000
02	Alto Gállego	Bosques	53571,737718	2006
02	Alto Gállego	Cultivos permanentes	0	2000
02	Alto Gállego	Cultivos permanentes	0	2006
02	Alto Gállego	Espacios abiertos con poca o sin vegetación	16867,943111	2000
02	Alto Gállego	Espacios abiertos con poca o sin vegetación	16914,02295	2006
02	Alto Gállego	Espacios de vegetación arbustiva y/o herbácea	50646,200948	2000
02	Alto Gállego	Espacios de vegetación arbustiva y/o herbácea	50707,758086	2006
02	Alto Gállego	Prados y praderas	2864,9385	2000
02	Alto Gállego	Prados y praderas	2901,122861	2006
02	Alto Gállego	Tierras de labor	8645,215725	2000
02	Alto Gállego	Tierras de labor	8707,094869	2006
02	Alto Gállego	Zonas agrícolas heterogéneas	1676,18759	2000
02	Alto Gállego	Zonas agrícolas heterogéneas	1712,408984	2006
