Mes y año	Provincia código	Provincia nombre	UE25-UE27-UE28	UE25	UE27	UE28	Sexo	Nº parados	Sector código	Sector descripción
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	250	1	Agricultura, ganadería y pesca
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	459	2	Industria y energía
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	480	3	Construcción
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	1832	4	Servicios
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Hombres	211		Sin empleo anterior
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	87	1	Agricultura, ganadería y pesca
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	24	2	Industria y energía
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	47	3	Construcción
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	119	4	Servicios
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4		Sin empleo anterior
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Hombres	1	4	Servicios
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	4	1	Agricultura, ganadería y pesca
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	12	2	Industria y energía
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	13	3	Construcción
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	37	4	Servicios
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	UNION EUROPEA	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Hombres	5		Sin empleo anterior
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	147	1	Agricultura, ganadería y pesca
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	69	2	Industria y energía
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	75	3	Construcción
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	149	4	Servicios
Julio 2020	22	Huesca	Extranjeros no comunitarios	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros no comunitarios	Hombres	85		Sin empleo anterior
Julio 2020	22	Huesca	No consta	No consta	No consta	No consta	Hombres	1	1	Agricultura, ganadería y pesca
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	118	1	Agricultura, ganadería y pesca
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	255	2	Industria y energía
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	80	3	Construcción
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	3634	4	Servicios
Julio 2020	22	Huesca	Españoles	ESPAÑA	Españoles	Españoles	Mujeres	280		Sin empleo anterior
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	65	1	Agricultura, ganadería y pesca
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	27	2	Industria y energía
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	3	3	Construcción
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	319	4	Servicios
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Mujeres	21		Sin empleo anterior
Julio 2020	22	Huesca	Extranjeros comunitarios (UE-28)	RESTO DEL MUNDO	Extranjeros no comunitarios	Extranjeros comunitarios (UE-28)	Mujeres	1		Sin empleo anterior
