Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22001	Abiego	2007	288	249	200	49	2	1	197	80,3212851405622
22001	Abiego	2011	281	240	199	41	2	4	193	82,9166666666667
22001	Abiego	2015	267	228	186	42	0	5	181	81,5789473684211
22002	Abizanda	2007	136	114	101	13	0	3	98	88,5964912280702
22002	Abizanda	2011	132	107	91	16	1	1	89	85,0467289719626
22002	Abizanda	2015	140	112	106	6	1	3	102	94,6428571428571
22003	Adahuesca	2007	169	140	111	29	2	4	105	79,2857142857143
22003	Adahuesca	2011	166	146	124	22	0	2	122	84,9315068493151
22003	Adahuesca	2015	172	142	120	22	2	1	117	84,5070422535211
22004	Agüero	2007	166	150	111	39	1	1	109	74
22004	Agüero	2011	164	148	116	32	1	4	111	78,3783783783784
22004	Agüero	2015	150	138	98	40	5	2	91	71,0144927536232
22006	Aísa	2007	415	348	238	110	8	6	224	68,3908045977011
22006	Aísa	2011	362	325	225	100	9	3	213	69,2307692307692
22006	Aísa	2015	363	304	215	89	5	5	205	70,7236842105263
22007	Albalate de Cinca	2007	1153	880	702	178	2	1	699	79,7727272727273
22007	Albalate de Cinca	2011	1237	867	701	166	7	25	669	80,8535178777393
22007	Albalate de Cinca	2015	1201	809	618	191	13	14	591	76,3906056860321
22008	Albalatillo	2007	255	217	192	25	1	6	185	88,4792626728111
22008	Albalatillo	2011	243	200	177	23	4	14	159	88,5
22008	Albalatillo	2015	207	174	140	34	1	4	135	80,4597701149425
22009	Albelda	2007	892	765	594	171	3	19	572	77,6470588235294
22009	Albelda	2011	847	717	523	194	20	21	482	72,9428172942817
22009	Albelda	2015	762	642	478	164	11	5	462	74,4548286604361
22011	Albero Alto	2007	125	97	71	26	0	2	69	73,1958762886598
22011	Albero Alto	2011	132	102	84	18	1	0	83	82,3529411764706
22011	Albero Alto	2015	125	94	72	22	1	2	69	76,5957446808511
22012	Albero Bajo	2007	111	98	80	18	0	2	78	81,6326530612245
22012	Albero Bajo	2011	96	97	74	23	0	1	73	76,2886597938144
22012	Albero Bajo	2015	122	109	87	22	1	5	81	79,8165137614679
22013	Alberuela de Tubo	2007	357	317	287	30	1	3	283	90,5362776025237
22013	Alberuela de Tubo	2011	355	304	276	28	3	8	265	90,7894736842105
22013	Alberuela de Tubo	2015	327	291	264	27	1	6	257	90,7216494845361
22014	Alcalá de Gurrea	2007	282	268	222	46	1	6	215	82,8358208955224
22014	Alcalá de Gurrea	2011	278	263	211	52	2	6	203	80,2281368821293
22014	Alcalá de Gurrea	2015	277	251	211	40	3	4	204	84,0637450199203
22015	Alcalá del Obispo	2007	348	336	285	51	1	12	272	84,8214285714286
22015	Alcalá del Obispo	2011	491	331	260	71	4	7	249	78,5498489425982
22015	Alcalá del Obispo	2015	349	322	237	85	7	4	226	73,6024844720497
22016	Alcampell	2007	827	721	570	151	2	14	554	79,0568654646325
22016	Alcampell	2011	782	660	524	136	8	14	502	79,3939393939394
22016	Alcampell	2015	707	622	480	142	5	3	472	77,1704180064309
22017	Alcolea de Cinca	2007	1183	944	807	137	10	3	794	85,4872881355932
22017	Alcolea de Cinca	2011	1164	913	741	172	15	18	708	81,1610076670318
22017	Alcolea de Cinca	2015	1136	869	674	195	15	14	645	77,560414269275
22018	Alcubierre	2007	441	383	332	51	0	3	329	86,6840731070496
22018	Alcubierre	2011	433	366	320	46	4	5	311	87,431693989071
22018	Alcubierre	2015	401	343	263	80	2	4	257	76,6763848396501
22019	Alerre	2007	228	188	155	33	1	0	154	82,4468085106383
22019	Alerre	2011	223	192	163	29	2	7	154	84,8958333333333
22019	Alerre	2015	213	184	154	30	11	1	142	83,695652173913
22020	Alfántega	2007	112	95	82	13	0	0	82	86,3157894736842
22020	Alfántega	2011	125	110	81	29	2	5	74	73,6363636363636
22020	Alfántega	2015	136	111	93	18	1	1	91	83,7837837837838
22021	Almudévar	2007	2381	2007	1502	505	8	23	1471	74,8380667663179
