Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sexo	Número de contratos	Número trabajadores (CC)
Agosto 2020	202008	Agosto	2020	22	Huesca	Hombres	1340	01 De 1 a 9 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Mujeres	741	01 De 1 a 9 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Hombres	547	02 De 10 a 19 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Mujeres	261	02 De 10 a 19 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Hombres	691	03 De 20 a 49 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Mujeres	406	03 De 20 a 49 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Hombres	343	04 De 50 a 99 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Mujeres	346	04 De 50 a 99 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Hombres	226	05 De 100 a 199 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Mujeres	216	05 De 100 a 199 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Hombres	246	06 De 200 a 499 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Mujeres	372	06 De 200 a 499 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Hombres	75	07 De 500 a 999 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Mujeres	27	07 De 500 a 999 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Hombres	132	08 De 1.000 a 4.999 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Mujeres	61	08 De 1.000 a 4.999 trabajadores
Agosto 2020	202008	Agosto	2020	22	Huesca	Hombres	55	99 No consta
Agosto 2020	202008	Agosto	2020	22	Huesca	Mujeres	23	99 No consta
Agosto 2020	202008	Agosto	2020	44	Teruel	Hombres	548	01 De 1 a 9 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Mujeres	490	01 De 1 a 9 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Hombres	240	02 De 10 a 19 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Mujeres	177	02 De 10 a 19 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Hombres	203	03 De 20 a 49 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Mujeres	228	03 De 20 a 49 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Hombres	158	04 De 50 a 99 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Mujeres	106	04 De 50 a 99 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Hombres	136	05 De 100 a 199 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Mujeres	67	05 De 100 a 199 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Hombres	69	06 De 200 a 499 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Mujeres	81	06 De 200 a 499 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Hombres	154	07 De 500 a 999 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Mujeres	43	07 De 500 a 999 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Hombres	4	08 De 1.000 a 4.999 trabajadores
Agosto 2020	202008	Agosto	2020	44	Teruel	Hombres	26	99 No consta
Agosto 2020	202008	Agosto	2020	44	Teruel	Mujeres	12	99 No consta
Agosto 2020	202008	Agosto	2020	50	Zaragoza	Hombres	3641	01 De 1 a 9 trabajadores
Agosto 2020	202008	Agosto	2020	50	Zaragoza	Mujeres	2364	01 De 1 a 9 trabajadores
Agosto 2020	202008	Agosto	2020	50	Zaragoza	Hombres	1512	02 De 10 a 19 trabajadores
Agosto 2020	202008	Agosto	2020	50	Zaragoza	Mujeres	820	02 De 10 a 19 trabajadores
Agosto 2020	202008	Agosto	2020	50	Zaragoza	Hombres	2376	03 De 20 a 49 trabajadores
Agosto 2020	202008	Agosto	2020	50	Zaragoza	Mujeres	1517	03 De 20 a 49 trabajadores
