Aragón	Condición socioeconómica código	Condición socioeconómica	Sexo	Personas residentes viviendas familiares
Aragón	1	Empresarios agrarios con asalariados	Hombres	2367
Aragón	1	Empresarios agrarios con asalariados	Mujeres	316
Aragón	2	Empresarios agrarios sin asalariados	Hombres	18579
Aragón	2	Empresarios agrarios sin asalariados	Mujeres	2317
Aragón	3	Miembros de cooperativas agrarias	Hombres	119
Aragón	3	Miembros de cooperativas agrarias	Mujeres	25
Aragón	4	Directores y jefes de explotaciones agrarias	Hombres	117
Aragón	4	Directores y jefes de explotaciones agrarias	Mujeres	26
Aragón	5	Resto de trabajadores de explotaciones agrarias	Hombres	8277
Aragón	5	Resto de trabajadores de explotaciones agrarias	Mujeres	1146
Aragón	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	8981
Aragón	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	4197
Aragón	7	Empresarios no agrarios con asalariados	Hombres	21137
Aragón	7	Empresarios no agrarios con asalariados	Mujeres	7480
Aragón	8	Empresarios no agrarios sin asalariados	Hombres	23638
Aragón	8	Empresarios no agrarios sin asalariados	Mujeres	12439
Aragón	9	Miembros de cooperativas no agrarias	Hombres	717
Aragón	9	Miembros de cooperativas no agrarias	Mujeres	700
Aragón	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	9704
Aragón	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	3022
Aragón	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	42637
Aragón	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	35067
Aragón	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	939
Aragón	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	895
Aragón	13	Resto del personal administrativo y comercial	Hombres	30622
Aragón	13	Resto del personal administrativo y comercial	Mujeres	54760
Aragón	14	Resto del personal de los servicios	Hombres	18628
Aragón	14	Resto del personal de los servicios	Mujeres	39839
Aragón	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	5864
Aragón	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	251
Aragón	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	98905
Aragón	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	19062
Aragón	17	Operarios sin especialización de establecimientos no agrarios	Hombres	14356
Aragón	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	2325
Aragón	18	Profesionales de las fuerzas armadas	Hombres	4644
Aragón	18	Profesionales de las fuerzas armadas	Mujeres	556
Aragón	19	No clasificables por condicion socioeconómica	Hombres	437
Aragón	19	No clasificables por condicion socioeconómica	Mujeres	678
