Aragón	Contaminación	Delincuencia zona	Falta de servicios de aseo	Malas comunicaciones	Pocas zonas verdes	Poca limpieza	Ruidos exteriores	Número viviendas
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	110
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	28
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	4
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	5
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	26
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	13
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	6
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Con malas comunicaciones	Sin pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	9
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	50
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Con poca limpieza en las calles	Sin ruidos exteriores	20
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Con ruidos exteriores	34
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Con pocas zonas verdes	Sin poca limpieza en las calles	Sin ruidos exteriores	5
Aragón	Con contaminación o malos olores	Con delincuencia o vandalismo en la zona	Con falta de servicios de aseo	Sin malas comunicaciones	Sin pocas zonas verdes	Con poca limpieza en las calles	Con ruidos exteriores	35
