Año	Provincia código	Provincia nombre	Total	VC Residencial	VC Almacén, estacionamiento	VC Comercial	VC Ocio, hostelería	VC Industrial	VC Cultural	VC Deportivo	VC Oficinas	VC Edificios singulares	VC Religioso	VC Espectáculos	VC Sin definir	VC Suelo vacante	VC Sanidad, benefic
2003	22	Huesca	4976638	2917522											2059116		
2003	44	Teruel	2268777	1512050											756727		
2003	50	Zaragoza	22755458	13365458											9390000		
2004	22	Huesca	5262540	3124472											2138068		
2004	44	Teruel	2395710	1592542											803168		
2004	50	Zaragoza	23754445	14017063											9737382		
2005	22	Huesca	5472894	3275769											2197125		
2005	44	Teruel	2527545	1674729											852816		
2005	50	Zaragoza	25013633	14766136											10247497		
2006	22	Huesca	5430562,42	3550853,04	266997,7	236180,1	134185,11	525616,38	83802,34	88973,54	61891,94	23601,54	52813,04	1117,77	1879709,38	344306,47	60224,53
2006	44	Teruel	2549938,93	1762588,15	108070,44	60298,94	29055,48	287291,47	61155,13	26112,89	18938,24	484,23	17160,28	0	787350,78	129300,42	49484,25
2006	50	Zaragoza	26170122,85	15630108,2	1160483,13	1819671,2	226639,07	2990295,88	829275,17	357237,24	691922,6	383777,48	148188,48	31868,66	10540014,65	1585120,67	315536,9
2007	22	Huesca	5735831,52	3785253,38	282867,82	244987,25	144599,93	543599,57	87838,61	92437,97	64732,56	21349,88	51651,11	573,16	1950578,14	352834,33	63105,95
2007	44	Teruel	2696390,4	1867225,93	111201	63796,98	32921,05	300755,92	63397,47	29937,08	19312,64	592,18	17701,16	0	829164,47	139061,84	50487,15
2007	50	Zaragoza	28337550,47	16548616,07	1221157,77	1933478,67	237095,95	3380266,8	852339,19	368636,89	754471,64	382403,19	152008,15	32519,63	11788934,4	2151557,1	322999,42
2008	22	Huesca	6007388,85	3973706,98	304834,65	251726,5	171656,51	559946,06	88690,41	101981,81	65082,29	21974,21	51482,97	573,16	2033681,87	356020,08	59713,22
2008	44	Teruel	2921308,02	2028475,71	124001,06	71427,4	35970,75	286167,93	65686,96	30382,32	20698,05	21644,99	19213,34	0	892832,31	164426,28	53213,23
2008	50	Zaragoza	30228625,32	17669296,89	1295848,6	2026270,41	255102,63	3599749,1	898049,99	388466,58	817999,79	390684,94	161018,56	73664,24	12559328,43	2315191,78	337281,81
2009	22	Huesca	7531153,13	5066568,46	382249,14	314383,1	230658,81	599921,57	97161,49	109044,09	81511,82	50549,49	56381,42	573,16	2464584,67	476246,06	65904,52
2009	44	Teruel	3257500,64	2223507,77	136198,69	79303,58	39310,45	339548,04	68336,36	30889,81	23280,62	22046,22	19924,88	0	1033992,87	221776,36	53377,86
2009	50	Zaragoza	32443352,21	18828765	1397232,07	2184246,41	378767,17	3759548,9	994652,33	407621,25	895094,84	450118,47	166489,1	75541,42	13614587,21	2487184,05	418091,2
2010	22	Huesca	8596722,12	5727444,33	447179,6	338772	289640,35	660898,23	117500,63	114118,21	88771,48	36124,5	58670,5	573,16	2869277,79	648914,63	68114,5
2010	44	Teruel	3588738,43	2424732,04	145118,59	89486,59	42507,94	377392,34	82322,3	43075,47	24551,86	22145,26	20361,31	0	1164006,39	260438,37	56606,36
2010	50	Zaragoza	34125594,52	19824955,37	1491166,4	2291239,6	429539,82	4128467,29	1009213,68	426405,01	954354,58	470806,01	167897,78	75791,29	14300639,15	2418085,39	437672,3
2011	22	Huesca	8867151,16	5920841,91	461118,96	346379,47	305664,25	652183,74	133170,81	124878,6	87837,08	37751,15	59966,76	573,16	2946309,25	663293,24	73492,03
2011	44	Teruel	3767793,6	2538153,74	151804,22	96087,48	46115,91	405829,21	83801,37	44254,07	24695,99	23598,4	20419,29	1341,27	1229639,86	275822,56	55870,09
2011	50	Zaragoza	35019715,67	20316254,88	1554505,91	2370705,41	427831,28	4121877,63	1037145,08	415987,68	1105039,55	535177,76	171704,87	74959,93	14703460,79	2441670,77	446854,92
2012	22	Huesca	9023843,5	6027464,81	471583,39	349178,24	311750,07	674073,43	137823,71	128206,86	92134,49	35661,5	59664,73	573,16	2996378,69	659800,51	75928,6
2012	44	Teruel	3900434,55	2631556,62	161733,52	100027,39	46931,43	425280,43	88895,12	44515,55	24588,91	23639,98	20631,38	1341,27	1268877,93	275618,27	55674,68
2012	50	Zaragoza	35827054,25	20552123,17	1614634,85	2385588,86	489808,25	4258387,63	1078851,88	514001,54	1213129,21	572252,5	171077,78	71256,8	15274931,08	2415134,35	490807,43
2013	22	Huesca	9661127,24	6392009,79	498446,93	373454,49	322459,66	743604,16	147433,56	130783,07	96644,73	39622,13	64896,34	573,16	3269117,45	757390,92	93808,3
2013	44	Teruel	3979518,65	2690374,26	165874,06	103653,24	46945,31	440928,55	89439,69	44870,79	25827,42	24143,72	20629,42	1341,27	1289144,39	269816,24	55674,68
2013	50	Zaragoza	53096523,89	32677555,72	2418721,26	4191832,69	501293,56	4037927,97	1607906,19	917083	1797157,32	433832,24	236719,62	98424,21	20418968,17	3281923,39	896146,72
2014	22	Huesca	9950143,9	6552426,08	512852,8	379567,73	337438,26	770314,04	147491,95	141073,85	99485,37	102367,25	66833,17	1103,13	3397717,82	741134,61	98055,66
2014	44	Teruel	4285473,56	2886158,32	182783,01	115577,52	52211,73	476391,55	97379,82	49507,7	29205,64	31118,28	22495,24	1341,27	1399315,24	278969,19	62334,29
2014	50	Zaragoza	53471776,29	32895305,64	2414879,53	4319841,32	504304,02	4065502,01	1632975,82	929861,14	1814507,83	471750,6	238134,65	98644,87	20576470,65	3188346,55	897722,31
2015	22	Huesca	9807627,59	6431013,62	502192,09	371557,39	316770,46	801523,87	153932,92	143561,93	100104,79	97496,23	68794,74	1273,25	3376613,97	719998,69	99407,61
2015	44	Teruel	4759684,55	3186332,6	208865,89	126890,77	58655,47	529916,87	109347,48	60790,23	57917,24	36532,79	24654,84	1341,27	1573351,95	290389,86	68049,24
2015	50	Zaragoza	54190109,11	33403044,77	2457077,28	4278293,54	510219,76	4348343,94	1648270,35	940181,75	1836378,01	478687,27	242083,42	98719,69	20787064,34	3055160,26	893649,07
2016	22	Huesca	9701050,15	6325631,72	503833,63	371293,03	310376,82	827135,25	155873,92	150061,17	111840,43	98038,52	72082,44	1261,13	3375418,43	666451,54	107170,55
2016	44	Teruel	5106643,83	3413828,41	225484,68	142771,79	67632,59	568619,49	122276,68	67368,77	64171,19	37158,67	26728,06	1475,4	1692815,42	294488,13	74639,97
