Comarca código	Comarca nombre	Situación profesional código	Situación profesional	Sexo	Personas residentes viviendas familiares
01	La Jacetania	1	Empresario o profesional que emplea personal	Hombres	532
01	La Jacetania	1	Empresario o profesional que emplea personal	Mujeres	209
01	La Jacetania	2	Empresario o profesional que no emplea personal	Hombres	779
01	La Jacetania	2	Empresario o profesional que no emplea personal	Mujeres	321
01	La Jacetania	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	2322
01	La Jacetania	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	1352
01	La Jacetania	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	743
01	La Jacetania	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	707
01	La Jacetania	5	Otra situación (Ayuda familiar)	Hombres	6
01	La Jacetania	5	Otra situación (Ayuda familiar)	Mujeres	5
01	La Jacetania	6	Otra situación (Miembro de cooperativas)	Hombres	15
01	La Jacetania	6	Otra situación (Miembro de cooperativas)	Mujeres	11
02	Alto Gállego	1	Empresario o profesional que emplea personal	Hombres	353
02	Alto Gállego	1	Empresario o profesional que emplea personal	Mujeres	146
02	Alto Gállego	2	Empresario o profesional que no emplea personal	Hombres	376
02	Alto Gállego	2	Empresario o profesional que no emplea personal	Mujeres	217
02	Alto Gállego	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	1877
02	Alto Gállego	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	989
02	Alto Gállego	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	589
02	Alto Gállego	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	463
02	Alto Gállego	5	Otra situación (Ayuda familiar)	Hombres	1
02	Alto Gállego	5	Otra situación (Ayuda familiar)	Mujeres	7
02	Alto Gállego	6	Otra situación (Miembro de cooperativas)	Hombres	10
02	Alto Gállego	6	Otra situación (Miembro de cooperativas)	Mujeres	4
03	Sobrarbe	1	Empresario o profesional que emplea personal	Hombres	239
03	Sobrarbe	1	Empresario o profesional que emplea personal	Mujeres	109
03	Sobrarbe	2	Empresario o profesional que no emplea personal	Hombres	556
03	Sobrarbe	2	Empresario o profesional que no emplea personal	Mujeres	139
03	Sobrarbe	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	783
03	Sobrarbe	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	414
03	Sobrarbe	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	300
03	Sobrarbe	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	237
03	Sobrarbe	5	Otra situación (Ayuda familiar)	Hombres	1
03	Sobrarbe	5	Otra situación (Ayuda familiar)	Mujeres	5
03	Sobrarbe	6	Otra situación (Miembro de cooperativas)	Hombres	2
03	Sobrarbe	6	Otra situación (Miembro de cooperativas)	Mujeres	1
04	La Ribagorza	1	Empresario o profesional que emplea personal	Hombres	362
04	La Ribagorza	1	Empresario o profesional que emplea personal	Mujeres	131
04	La Ribagorza	2	Empresario o profesional que no emplea personal	Hombres	964
04	La Ribagorza	2	Empresario o profesional que no emplea personal	Mujeres	299
04	La Ribagorza	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	1245
04	La Ribagorza	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	789
04	La Ribagorza	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	482
04	La Ribagorza	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	442
04	La Ribagorza	5	Otra situación (Ayuda familiar)	Hombres	4
04	La Ribagorza	5	Otra situación (Ayuda familiar)	Mujeres	10
04	La Ribagorza	6	Otra situación (Miembro de cooperativas)	Hombres	5
04	La Ribagorza	6	Otra situación (Miembro de cooperativas)	Mujeres	4
05	Cinco Villas	1	Empresario o profesional que emplea personal	Hombres	865
05	Cinco Villas	1	Empresario o profesional que emplea personal	Mujeres	232
05	Cinco Villas	2	Empresario o profesional que no emplea personal	Hombres	2403
05	Cinco Villas	2	Empresario o profesional que no emplea personal	Mujeres	651
05	Cinco Villas	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	3889
05	Cinco Villas	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	2056
05	Cinco Villas	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1723
05	Cinco Villas	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	1299
05	Cinco Villas	5	Otra situación (Ayuda familiar)	Hombres	39
05	Cinco Villas	5	Otra situación (Ayuda familiar)	Mujeres	19
05	Cinco Villas	6	Otra situación (Miembro de cooperativas)	Hombres	53
05	Cinco Villas	6	Otra situación (Miembro de cooperativas)	Mujeres	64
06	Hoya de Huesca / Plana de Uesca	1	Empresario o profesional que emplea personal	Hombres	1489
06	Hoya de Huesca / Plana de Uesca	1	Empresario o profesional que emplea personal	Mujeres	490
06	Hoya de Huesca / Plana de Uesca	2	Empresario o profesional que no emplea personal	Hombres	2290
06	Hoya de Huesca / Plana de Uesca	2	Empresario o profesional que no emplea personal	Mujeres	669
06	Hoya de Huesca / Plana de Uesca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	9148
06	Hoya de Huesca / Plana de Uesca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	6269
06	Hoya de Huesca / Plana de Uesca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	2455
06	Hoya de Huesca / Plana de Uesca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	2630
06	Hoya de Huesca / Plana de Uesca	5	Otra situación (Ayuda familiar)	Hombres	27
06	Hoya de Huesca / Plana de Uesca	5	Otra situación (Ayuda familiar)	Mujeres	26
06	Hoya de Huesca / Plana de Uesca	6	Otra situación (Miembro de cooperativas)	Hombres	33
06	Hoya de Huesca / Plana de Uesca	6	Otra situación (Miembro de cooperativas)	Mujeres	19
07	Somontano de Barbastro	1	Empresario o profesional que emplea personal	Hombres	565
