Año	Comarca Código	Comarca Nombre	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código
2017	01	La Jacetania	54	Menos de 10 trabajadores	Leves	1
2017	02	Alto Gállego	37	Menos de 10 trabajadores	Leves	1
2017	03	Sobrarbe	19	Menos de 10 trabajadores	Leves	1
2017	04	La Ribagorza	44	Menos de 10 trabajadores	Leves	1
2017	05	Cinco Villas	100	Menos de 10 trabajadores	Leves	1
2017	06	Hoya de Huesca / Plana de Uesca	244	Menos de 10 trabajadores	Leves	1
2017	07	Somontano de Barbastro	77	Menos de 10 trabajadores	Leves	1
2017	08	Cinca Medio	110	Menos de 10 trabajadores	Leves	1
2017	09	La Litera / La Llitera	101	Menos de 10 trabajadores	Leves	1
2017	10	Los Monegros	77	Menos de 10 trabajadores	Leves	1
2017	11	Bajo Cinca / Baix Cinca	103	Menos de 10 trabajadores	Leves	1
2017	12	Tarazona y el Moncayo	35	Menos de 10 trabajadores	Leves	1
2017	13	Campo de Borja	57	Menos de 10 trabajadores	Leves	1
2017	14	Aranda	9	Menos de 10 trabajadores	Leves	1
2017	15	Ribera Alta del Ebro	75	Menos de 10 trabajadores	Leves	1
2017	16	Valdejalón	109	Menos de 10 trabajadores	Leves	1
2017	17	D.C. Zaragoza	1376	Menos de 10 trabajadores	Leves	1
2017	18	Ribera Baja del Ebro	27	Menos de 10 trabajadores	Leves	1
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	58	Menos de 10 trabajadores	Leves	1
2017	20	Comunidad de Calatayud	92	Menos de 10 trabajadores	Leves	1
2017	21	Campo de Cariñena	32	Menos de 10 trabajadores	Leves	1
2017	22	Campo de Belchite	8	Menos de 10 trabajadores	Leves	1
2017	23	Bajo Martín	16	Menos de 10 trabajadores	Leves	1
2017	24	Campo de Daroca	21	Menos de 10 trabajadores	Leves	1
2017	25	Jiloca	30	Menos de 10 trabajadores	Leves	1
2017	26	Cuencas Mineras	23	Menos de 10 trabajadores	Leves	1
2017	27	Andorra-Sierra de Arcos	26	Menos de 10 trabajadores	Leves	1
2017	28	Bajo Aragón	108	Menos de 10 trabajadores	Leves	1
2017	29	Comunidad de Teruel	140	Menos de 10 trabajadores	Leves	1
2017	30	Maestrazgo	9	Menos de 10 trabajadores	Leves	1
2017	31	Sierra de Albarracín	22	Menos de 10 trabajadores	Leves	1
2017	32	Gúdar-Javalambre	27	Menos de 10 trabajadores	Leves	1
2017	33	Matarraña / Matarranya	30	Menos de 10 trabajadores	Leves	1
2017	NC	Municipio del centro de trabajo fuera de Aragón	20	Menos de 10 trabajadores	Leves	1
2016	01	La Jacetania	47	Menos de 10 trabajadores	Leves	1
2016	02	Alto Gállego	40	Menos de 10 trabajadores	Leves	1
2016	03	Sobrarbe	29	Menos de 10 trabajadores	Leves	1
2016	04	La Ribagorza	46	Menos de 10 trabajadores	Leves	1
2016	05	Cinco Villas	88	Menos de 10 trabajadores	Leves	1
2016	06	Hoya de Huesca / Plana de Uesca	201	Menos de 10 trabajadores	Leves	1
2016	07	Somontano de Barbastro	86	Menos de 10 trabajadores	Leves	1
2016	08	Cinca Medio	97	Menos de 10 trabajadores	Leves	1
2016	09	La Litera / La Llitera	90	Menos de 10 trabajadores	Leves	1
2016	10	Los Monegros	81	Menos de 10 trabajadores	Leves	1
2016	11	Bajo Cinca / Baix Cinca	103	Menos de 10 trabajadores	Leves	1
2016	12	Tarazona y el Moncayo	44	Menos de 10 trabajadores	Leves	1
2016	13	Campo de Borja	34	Menos de 10 trabajadores	Leves	1
2016	14	Aranda	16	Menos de 10 trabajadores	Leves	1
2016	15	Ribera Alta del Ebro	88	Menos de 10 trabajadores	Leves	1
2016	16	Valdejalón	92	Menos de 10 trabajadores	Leves	1
2016	17	D.C. Zaragoza	1402	Menos de 10 trabajadores	Leves	1
2016	18	Ribera Baja del Ebro	20	Menos de 10 trabajadores	Leves	1
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	58	Menos de 10 trabajadores	Leves	1
2016	20	Comunidad de Calatayud	90	Menos de 10 trabajadores	Leves	1
2016	21	Campo de Cariñena	35	Menos de 10 trabajadores	Leves	1
2016	22	Campo de Belchite	15	Menos de 10 trabajadores	Leves	1
2016	23	Bajo Martín	30	Menos de 10 trabajadores	Leves	1
2016	24	Campo de Daroca	12	Menos de 10 trabajadores	Leves	1
2016	25	Jiloca	53	Menos de 10 trabajadores	Leves	1
2016	26	Cuencas Mineras	16	Menos de 10 trabajadores	Leves	1
2016	27	Andorra-Sierra de Arcos	26	Menos de 10 trabajadores	Leves	1
2016	28	Bajo Aragón	88	Menos de 10 trabajadores	Leves	1
2016	29	Comunidad de Teruel	160	Menos de 10 trabajadores	Leves	1
2016	30	Maestrazgo	9	Menos de 10 trabajadores	Leves	1
2016	31	Sierra de Albarracín	15	Menos de 10 trabajadores	Leves	1
2016	32	Gúdar-Javalambre	29	Menos de 10 trabajadores	Leves	1
2016	33	Matarraña / Matarranya	35	Menos de 10 trabajadores	Leves	1
2016	NC	Municipio del centro de trabajo fuera de Aragón	18	Menos de 10 trabajadores	Leves	1
2015	01	La Jacetania	46	Menos de 10 trabajadores	Leves	1
2015	02	Alto Gállego	42	Menos de 10 trabajadores	Leves	1
2015	03	Sobrarbe	33	Menos de 10 trabajadores	Leves	1
2015	04	La Ribagorza	45	Menos de 10 trabajadores	Leves	1
2015	05	Cinco Villas	111	Menos de 10 trabajadores	Leves	1
2015	06	Hoya de Huesca / Plana de Uesca	209	Menos de 10 trabajadores	Leves	1
2015	07	Somontano de Barbastro	88	Menos de 10 trabajadores	Leves	1
2015	08	Cinca Medio	94	Menos de 10 trabajadores	Leves	1
2015	09	La Litera / La Llitera	84	Menos de 10 trabajadores	Leves	1
2015	10	Los Monegros	80	Menos de 10 trabajadores	Leves	1
2015	11	Bajo Cinca / Baix Cinca	97	Menos de 10 trabajadores	Leves	1
2015	12	Tarazona y el Moncayo	45	Menos de 10 trabajadores	Leves	1
2015	13	Campo de Borja	45	Menos de 10 trabajadores	Leves	1
2015	14	Aranda	11	Menos de 10 trabajadores	Leves	1
2015	15	Ribera Alta del Ebro	75	Menos de 10 trabajadores	Leves	1
2015	16	Valdejalón	99	Menos de 10 trabajadores	Leves	1
2015	17	D.C. Zaragoza	1204	Menos de 10 trabajadores	Leves	1
2015	18	Ribera Baja del Ebro	23	Menos de 10 trabajadores	Leves	1
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	58	Menos de 10 trabajadores	Leves	1
2015	20	Comunidad de Calatayud	77	Menos de 10 trabajadores	Leves	1
2015	21	Campo de Cariñena	41	Menos de 10 trabajadores	Leves	1
2015	22	Campo de Belchite	16	Menos de 10 trabajadores	Leves	1
2015	23	Bajo Martín	22	Menos de 10 trabajadores	Leves	1
2015	24	Campo de Daroca	13	Menos de 10 trabajadores	Leves	1
2015	25	Jiloca	42	Menos de 10 trabajadores	Leves	1
2015	26	Cuencas Mineras	21	Menos de 10 trabajadores	Leves	1
2015	27	Andorra-Sierra de Arcos	17	Menos de 10 trabajadores	Leves	1
2015	28	Bajo Aragón	71	Menos de 10 trabajadores	Leves	1
2015	29	Comunidad de Teruel	83	Menos de 10 trabajadores	Leves	1
2015	30	Maestrazgo	10	Menos de 10 trabajadores	Leves	1
2015	31	Sierra de Albarracín	14	Menos de 10 trabajadores	Leves	1
2015	32	Gúdar-Javalambre	27	Menos de 10 trabajadores	Leves	1
2015	33	Matarraña / Matarranya	23	Menos de 10 trabajadores	Leves	1
2015	NC	Municipio del centro de trabajo fuera de Aragón	15	Menos de 10 trabajadores	Leves	1
2014	01	La Jacetania	47	Menos de 10 trabajadores	Leves	1
2014	02	Alto Gállego	32	Menos de 10 trabajadores	Leves	1
2014	03	Sobrarbe	23	Menos de 10 trabajadores	Leves	1
2014	04	La Ribagorza	37	Menos de 10 trabajadores	Leves	1
2014	05	Cinco Villas	94	Menos de 10 trabajadores	Leves	1
2014	06	Hoya de Huesca / Plana de Uesca	196	Menos de 10 trabajadores	Leves	1
2014	07	Somontano de Barbastro	87	Menos de 10 trabajadores	Leves	1
2014	08	Cinca Medio	77	Menos de 10 trabajadores	Leves	1
2014	09	La Litera / La Llitera	67	Menos de 10 trabajadores	Leves	1
2014	10	Los Monegros	56	Menos de 10 trabajadores	Leves	1
2014	11	Bajo Cinca / Baix Cinca	108	Menos de 10 trabajadores	Leves	1
2014	12	Tarazona y el Moncayo	33	Menos de 10 trabajadores	Leves	1
2014	13	Campo de Borja	29	Menos de 10 trabajadores	Leves	1
2014	14	Aranda	20	Menos de 10 trabajadores	Leves	1
2014	15	Ribera Alta del Ebro	69	Menos de 10 trabajadores	Leves	1
2014	16	Valdejalón	100	Menos de 10 trabajadores	Leves	1
2014	17	D.C. Zaragoza	1178	Menos de 10 trabajadores	Leves	1
2014	18	Ribera Baja del Ebro	14	Menos de 10 trabajadores	Leves	1
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	47	Menos de 10 trabajadores	Leves	1
2014	20	Comunidad de Calatayud	86	Menos de 10 trabajadores	Leves	1
2014	21	Campo de Cariñena	30	Menos de 10 trabajadores	Leves	1
2014	22	Campo de Belchite	12	Menos de 10 trabajadores	Leves	1
2014	23	Bajo Martín	29	Menos de 10 trabajadores	Leves	1
2014	24	Campo de Daroca	13	Menos de 10 trabajadores	Leves	1
2014	25	Jiloca	41	Menos de 10 trabajadores	Leves	1
2014	26	Cuencas Mineras	15	Menos de 10 trabajadores	Leves	1
2014	27	Andorra-Sierra de Arcos	23	Menos de 10 trabajadores	Leves	1
2014	28	Bajo Aragón	72	Menos de 10 trabajadores	Leves	1
2014	29	Comunidad de Teruel	120	Menos de 10 trabajadores	Leves	1
2014	30	Maestrazgo	7	Menos de 10 trabajadores	Leves	1
2014	31	Sierra de Albarracín	10	Menos de 10 trabajadores	Leves	1
2014	32	Gúdar-Javalambre	18	Menos de 10 trabajadores	Leves	1
2014	33	Matarraña / Matarranya	18	Menos de 10 trabajadores	Leves	1
2014	NC	Municipio del centro de trabajo fuera de Aragón	14	Menos de 10 trabajadores	Leves	1
2013	01	La Jacetania	62	Menos de 10 trabajadores	Leves	1
2013	02	Alto Gállego	25	Menos de 10 trabajadores	Leves	1
2013	03	Sobrarbe	23	Menos de 10 trabajadores	Leves	1
2013	04	La Ribagorza	48	Menos de 10 trabajadores	Leves	1
2013	05	Cinco Villas	93	Menos de 10 trabajadores	Leves	1
2013	06	Hoya de Huesca / Plana de Uesca	172	Menos de 10 trabajadores	Leves	1
2013	07	Somontano de Barbastro	75	Menos de 10 trabajadores	Leves	1
2013	08	Cinca Medio	65	Menos de 10 trabajadores	Leves	1
2013	09	La Litera / La Llitera	76	Menos de 10 trabajadores	Leves	1
2013	10	Los Monegros	57	Menos de 10 trabajadores	Leves	1
2013	11	Bajo Cinca / Baix Cinca	83	Menos de 10 trabajadores	Leves	1
2013	12	Tarazona y el Moncayo	32	Menos de 10 trabajadores	Leves	1
2013	13	Campo de Borja	41	Menos de 10 trabajadores	Leves	1
2013	14	Aranda	13	Menos de 10 trabajadores	Leves	1
2013	15	Ribera Alta del Ebro	48	Menos de 10 trabajadores	Leves	1
2013	16	Valdejalón	91	Menos de 10 trabajadores	Leves	1
2013	17	D.C. Zaragoza	1225	Menos de 10 trabajadores	Leves	1
2013	18	Ribera Baja del Ebro	23	Menos de 10 trabajadores	Leves	1
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	57	Menos de 10 trabajadores	Leves	1
2013	20	Comunidad de Calatayud	88	Menos de 10 trabajadores	Leves	1
2013	21	Campo de Cariñena	29	Menos de 10 trabajadores	Leves	1
2013	22	Campo de Belchite	8	Menos de 10 trabajadores	Leves	1
2013	23	Bajo Martín	22	Menos de 10 trabajadores	Leves	1
2013	24	Campo de Daroca	14	Menos de 10 trabajadores	Leves	1
2013	25	Jiloca	27	Menos de 10 trabajadores	Leves	1
2013	26	Cuencas Mineras	20	Menos de 10 trabajadores	Leves	1
2013	27	Andorra-Sierra de Arcos	20	Menos de 10 trabajadores	Leves	1
2013	28	Bajo Aragón	73	Menos de 10 trabajadores	Leves	1
2013	29	Comunidad de Teruel	99	Menos de 10 trabajadores	Leves	1
2013	30	Maestrazgo	5	Menos de 10 trabajadores	Leves	1
2013	31	Sierra de Albarracín	10	Menos de 10 trabajadores	Leves	1
2013	32	Gúdar-Javalambre	19	Menos de 10 trabajadores	Leves	1
2013	33	Matarraña / Matarranya	27	Menos de 10 trabajadores	Leves	1
2013	NC	Municipio del centro de trabajo fuera de Aragón	25	Menos de 10 trabajadores	Leves	1
2012	01	La Jacetania	42	Menos de 10 trabajadores	Leves	1
2012	02	Alto Gállego	34	Menos de 10 trabajadores	Leves	1
2012	03	Sobrarbe	20	Menos de 10 trabajadores	Leves	1
2012	04	La Ribagorza	34	Menos de 10 trabajadores	Leves	1
2012	05	Cinco Villas	95	Menos de 10 trabajadores	Leves	1
2012	06	Hoya de Huesca / Plana de Uesca	162	Menos de 10 trabajadores	Leves	1
2012	07	Somontano de Barbastro	72	Menos de 10 trabajadores	Leves	1
2012	08	Cinca Medio	82	Menos de 10 trabajadores	Leves	1
2012	09	La Litera / La Llitera	52	Menos de 10 trabajadores	Leves	1
2012	10	Los Monegros	58	Menos de 10 trabajadores	Leves	1
2012	11	Bajo Cinca / Baix Cinca	112	Menos de 10 trabajadores	Leves	1
2012	12	Tarazona y el Moncayo	35	Menos de 10 trabajadores	Leves	1
2012	13	Campo de Borja	31	Menos de 10 trabajadores	Leves	1
2012	14	Aranda	13	Menos de 10 trabajadores	Leves	1
2012	15	Ribera Alta del Ebro	78	Menos de 10 trabajadores	Leves	1
2012	16	Valdejalón	96	Menos de 10 trabajadores	Leves	1
2012	17	D.C. Zaragoza	1234	Menos de 10 trabajadores	Leves	1
2012	18	Ribera Baja del Ebro	24	Menos de 10 trabajadores	Leves	1
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	51	Menos de 10 trabajadores	Leves	1
2012	20	Comunidad de Calatayud	93	Menos de 10 trabajadores	Leves	1
2012	21	Campo de Cariñena	38	Menos de 10 trabajadores	Leves	1
2012	22	Campo de Belchite	17	Menos de 10 trabajadores	Leves	1
2012	23	Bajo Martín	21	Menos de 10 trabajadores	Leves	1
2012	24	Campo de Daroca	14	Menos de 10 trabajadores	Leves	1
2012	25	Jiloca	38	Menos de 10 trabajadores	Leves	1
2012	26	Cuencas Mineras	26	Menos de 10 trabajadores	Leves	1
2012	27	Andorra-Sierra de Arcos	14	Menos de 10 trabajadores	Leves	1
2012	28	Bajo Aragón	82	Menos de 10 trabajadores	Leves	1
2012	29	Comunidad de Teruel	109	Menos de 10 trabajadores	Leves	1
2012	30	Maestrazgo	12	Menos de 10 trabajadores	Leves	1
2012	31	Sierra de Albarracín	12	Menos de 10 trabajadores	Leves	1
2012	32	Gúdar-Javalambre	21	Menos de 10 trabajadores	Leves	1
2012	33	Matarraña / Matarranya	25	Menos de 10 trabajadores	Leves	1
2012	NC	Municipio del centro de trabajo fuera de Aragón	28	Menos de 10 trabajadores	Leves	1
2011	01	La Jacetania	78	Menos de 10 trabajadores	Leves	1
2011	02	Alto Gállego	49	Menos de 10 trabajadores	Leves	1
2011	03	Sobrarbe	27	Menos de 10 trabajadores	Leves	1
2011	04	La Ribagorza	53	Menos de 10 trabajadores	Leves	1
2011	05	Cinco Villas	106	Menos de 10 trabajadores	Leves	1
2011	06	Hoya de Huesca / Plana de Uesca	215	Menos de 10 trabajadores	Leves	1
2011	07	Somontano de Barbastro	75	Menos de 10 trabajadores	Leves	1
2011	08	Cinca Medio	95	Menos de 10 trabajadores	Leves	1
2011	09	La Litera / La Llitera	85	Menos de 10 trabajadores	Leves	1
2011	10	Los Monegros	68	Menos de 10 trabajadores	Leves	1
2011	11	Bajo Cinca / Baix Cinca	100	Menos de 10 trabajadores	Leves	1
2011	12	Tarazona y el Moncayo	61	Menos de 10 trabajadores	Leves	1
2011	13	Campo de Borja	41	Menos de 10 trabajadores	Leves	1
2011	14	Aranda	15	Menos de 10 trabajadores	Leves	1
2011	15	Ribera Alta del Ebro	79	Menos de 10 trabajadores	Leves	1
2011	16	Valdejalón	119	Menos de 10 trabajadores	Leves	1
2011	17	D.C. Zaragoza	1452	Menos de 10 trabajadores	Leves	1
2011	18	Ribera Baja del Ebro	31	Menos de 10 trabajadores	Leves	1
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	47	Menos de 10 trabajadores	Leves	1
2011	20	Comunidad de Calatayud	100	Menos de 10 trabajadores	Leves	1
2011	21	Campo de Cariñena	31	Menos de 10 trabajadores	Leves	1
2011	22	Campo de Belchite	12	Menos de 10 trabajadores	Leves	1
2011	23	Bajo Martín	17	Menos de 10 trabajadores	Leves	1
2011	24	Campo de Daroca	12	Menos de 10 trabajadores	Leves	1
2011	25	Jiloca	35	Menos de 10 trabajadores	Leves	1
2011	26	Cuencas Mineras	20	Menos de 10 trabajadores	Leves	1
2011	27	Andorra-Sierra de Arcos	34	Menos de 10 trabajadores	Leves	1
2011	28	Bajo Aragón	113	Menos de 10 trabajadores	Leves	1
2011	29	Comunidad de Teruel	135	Menos de 10 trabajadores	Leves	1
2011	30	Maestrazgo	11	Menos de 10 trabajadores	Leves	1
2011	31	Sierra de Albarracín	14	Menos de 10 trabajadores	Leves	1
2011	32	Gúdar-Javalambre	29	Menos de 10 trabajadores	Leves	1
2011	33	Matarraña / Matarranya	39	Menos de 10 trabajadores	Leves	1
2011	NC	Municipio del centro de trabajo fuera de Aragón	37	Menos de 10 trabajadores	Leves	1
2010	01	La Jacetania	51	Menos de 10 trabajadores	Leves	1
2010	02	Alto Gállego	40	Menos de 10 trabajadores	Leves	1
2010	03	Sobrarbe	28	Menos de 10 trabajadores	Leves	1
2010	04	La Ribagorza	41	Menos de 10 trabajadores	Leves	1
2010	05	Cinco Villas	127	Menos de 10 trabajadores	Leves	1
2010	06	Hoya de Huesca / Plana de Uesca	207	Menos de 10 trabajadores	Leves	1
2010	07	Somontano de Barbastro	73	Menos de 10 trabajadores	Leves	1
2010	08	Cinca Medio	85	Menos de 10 trabajadores	Leves	1
2010	09	La Litera / La Llitera	62	Menos de 10 trabajadores	Leves	1
2010	10	Los Monegros	53	Menos de 10 trabajadores	Leves	1
2010	11	Bajo Cinca / Baix Cinca	80	Menos de 10 trabajadores	Leves	1
2010	12	Tarazona y el Moncayo	74	Menos de 10 trabajadores	Leves	1
2010	13	Campo de Borja	68	Menos de 10 trabajadores	Leves	1
2010	14	Aranda	18	Menos de 10 trabajadores	Leves	1
2010	15	Ribera Alta del Ebro	88	Menos de 10 trabajadores	Leves	1
2010	16	Valdejalón	104	Menos de 10 trabajadores	Leves	1
2010	17	D.C. Zaragoza	1559	Menos de 10 trabajadores	Leves	1
2010	18	Ribera Baja del Ebro	26	Menos de 10 trabajadores	Leves	1
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	49	Menos de 10 trabajadores	Leves	1
2010	20	Comunidad de Calatayud	111	Menos de 10 trabajadores	Leves	1
2010	21	Campo de Cariñena	30	Menos de 10 trabajadores	Leves	1
2010	22	Campo de Belchite	13	Menos de 10 trabajadores	Leves	1
2010	23	Bajo Martín	21	Menos de 10 trabajadores	Leves	1
2010	24	Campo de Daroca	20	Menos de 10 trabajadores	Leves	1
2010	25	Jiloca	39	Menos de 10 trabajadores	Leves	1
2010	26	Cuencas Mineras	21	Menos de 10 trabajadores	Leves	1
2010	27	Andorra-Sierra de Arcos	39	Menos de 10 trabajadores	Leves	1
2010	28	Bajo Aragón	112	Menos de 10 trabajadores	Leves	1
2010	29	Comunidad de Teruel	136	Menos de 10 trabajadores	Leves	1
2010	30	Maestrazgo	23	Menos de 10 trabajadores	Leves	1
2010	31	Sierra de Albarracín	15	Menos de 10 trabajadores	Leves	1
2010	32	Gúdar-Javalambre	31	Menos de 10 trabajadores	Leves	1
2010	33	Matarraña / Matarranya	42	Menos de 10 trabajadores	Leves	1
2010	NC	Municipio del centro de trabajo fuera de Aragón	40	Menos de 10 trabajadores	Leves	1
2009	01	La Jacetania	83	Menos de 10 trabajadores	Leves	1
2009	02	Alto Gállego	62	Menos de 10 trabajadores	Leves	1
2009	03	Sobrarbe	28	Menos de 10 trabajadores	Leves	1
2009	04	La Ribagorza	61	Menos de 10 trabajadores	Leves	1
2009	05	Cinco Villas	137	Menos de 10 trabajadores	Leves	1
2009	06	Hoya de Huesca / Plana de Uesca	233	Menos de 10 trabajadores	Leves	1
2009	07	Somontano de Barbastro	105	Menos de 10 trabajadores	Leves	1
2009	08	Cinca Medio	79	Menos de 10 trabajadores	Leves	1
2009	09	La Litera / La Llitera	76	Menos de 10 trabajadores	Leves	1
2009	10	Los Monegros	66	Menos de 10 trabajadores	Leves	1
2009	11	Bajo Cinca / Baix Cinca	106	Menos de 10 trabajadores	Leves	1
2009	12	Tarazona y el Moncayo	57	Menos de 10 trabajadores	Leves	1
2009	13	Campo de Borja	54	Menos de 10 trabajadores	Leves	1
2009	14	Aranda	23	Menos de 10 trabajadores	Leves	1
2009	15	Ribera Alta del Ebro	101	Menos de 10 trabajadores	Leves	1
2009	16	Valdejalón	122	Menos de 10 trabajadores	Leves	1
2009	17	D.C. Zaragoza	1687	Menos de 10 trabajadores	Leves	1
2009	18	Ribera Baja del Ebro	36	Menos de 10 trabajadores	Leves	1
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	58	Menos de 10 trabajadores	Leves	1
2009	20	Comunidad de Calatayud	99	Menos de 10 trabajadores	Leves	1
2009	21	Campo de Cariñena	46	Menos de 10 trabajadores	Leves	1
2009	22	Campo de Belchite	13	Menos de 10 trabajadores	Leves	1
2009	23	Bajo Martín	30	Menos de 10 trabajadores	Leves	1
2009	24	Campo de Daroca	15	Menos de 10 trabajadores	Leves	1
2009	25	Jiloca	40	Menos de 10 trabajadores	Leves	1
2009	26	Cuencas Mineras	22	Menos de 10 trabajadores	Leves	1
