Año	CCAA código	CCAA nombre	Tipo licencias código	Tipo licencias descripción	Autorizaciones
2010	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	2288
2010	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1415
2010	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	11664
2010	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2438
2010	02	Aragón	MPC-N	Transporte mercancías propias nacional	3881
2010	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	2077
2010	02	Aragón	OT	Operador de transporte	258
2010	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	1045
2010	02	Aragón	VPC-N	Transporte privado de viajeros nacional	55
2010	02	Aragón	VS-N	Ambulancias nacionales servicio público	266
2010	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	41
2010	02	Aragón	VT-N	Licencias taxi	2240
2010	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	182
2011	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	2201
2011	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1266
2011	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	11602
2011	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2409
2011	02	Aragón	MPC-N	Transporte mercancías propias nacional	3655
2011	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	2041
2011	02	Aragón	OT	Operador de transporte	265
2011	02	Aragón	VD	Transporte público viajeros en autobús	9
2011	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	980
2011	02	Aragón	VPC-N	Transporte privado de viajeros nacional	37
2011	02	Aragón	VS-N	Ambulancias nacionales servicio público	314
2011	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	31
2011	02	Aragón	VT-N	Licencias taxi	2269
2011	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	188
2011	02	Aragón	XD	Servicio público mixto-Mercancías y viajeros	3
2011	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2012	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	1984
2012	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1179
2012	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	10887
2012	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2335
2012	02	Aragón	MPC-N	Transporte mercancías propias nacional	3564
2012	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	2000
2012	02	Aragón	OT	Operador de transporte	249
2012	02	Aragón	VD	Transporte público viajeros en autobús	9
2012	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	983
2012	02	Aragón	VPC-N	Transporte privado de viajeros nacional	35
2012	02	Aragón	VS-N	Ambulancias nacionales servicio público	295
2012	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	31
2012	02	Aragón	VT-N	Licencias taxi	2281
2012	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	187
2012	02	Aragón	XD	Servicio público mixto-Mercancías y viajeros	0
2012	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2013	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	1875
2013	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1122
2013	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	10402
2013	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2246
2013	02	Aragón	MPC-N	Transporte mercancías propias nacional	3481
2013	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1962
2013	02	Aragón	OT	Operador de transporte	249
2013	02	Aragón	VD	Transporte público viajeros en autobús	9
2013	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	967
2013	02	Aragón	VPC-N	Transporte privado de viajeros nacional	34
2013	02	Aragón	VS-N	Ambulancias nacionales servicio público	310
2013	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	28
2013	02	Aragón	VT-N	Licencias taxi	2247
2013	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	186
2013	02	Aragón	XD	Servicio público mixto-Mercancías y viajeros	0
2013	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2014	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	1920
2014	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1152
2014	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	10289
2014	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2225
2014	02	Aragón	MPC-N	Transporte mercancías propias nacional	3282
2014	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1855
2014	02	Aragón	OT	Operador de transporte	241
2014	02	Aragón	VD	Transporte público viajeros en autobús	9
2014	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	924
2014	02	Aragón	VPC-N	Transporte privado de viajeros nacional	28
2014	02	Aragón	VS-N	Ambulancias nacionales servicio público	43
2014	02	Aragón	VSE-N	Transporte público ambulancias nacional empresa	3
2014	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	4
2014	02	Aragón	VT-N	Licencias taxi	2227
2014	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	170
2014	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2015	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	1995
2015	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1197
2015	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	10491
2015	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2184
2015	02	Aragón	MPC-N	Transporte mercancías propias nacional	3277
2015	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1855
2015	02	Aragón	OT	Operador de transporte	236
2015	02	Aragón	VD	Transporte público viajeros en autobús	9
2015	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	899
2015	02	Aragón	VPC-N	Transporte privado de viajeros nacional	29
2015	02	Aragón	VS-N	Ambulancias nacionales servicio público	36
2015	02	Aragón	VSE-N	Transporte público ambulancias nacional empresa	4
2015	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	4
2015	02	Aragón	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2015	02	Aragón	VT-N	Licencias taxi	2241
2015	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	175
2015	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2016	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	2044
2016	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1239
2016	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	11403
2016	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2115
2016	02	Aragón	MPC-N	Transporte mercancías propias nacional	3424
2016	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1940
2016	02	Aragón	OT	Operador de transporte	243
2016	02	Aragón	VD	Transporte público viajeros en autobús	9
2016	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	956
2016	02	Aragón	VPC-N	Transporte privado de viajeros nacional	33
2016	02	Aragón	VS-N	Ambulancias nacionales servicio público	42
2016	02	Aragón	VSE-N	Transporte público ambulancias nacional empresa	5
2016	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	3
2016	02	Aragón	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2016	02	Aragón	VT-N	Licencias taxi	2275
2016	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	183
2016	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2017	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	2160
2017	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1300
2017	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	12215
2017	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2082
2017	02	Aragón	MPC-N	Transporte mercancías propias nacional	3272
2017	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1831
2017	02	Aragón	OT	Operador de transporte	255
2017	02	Aragón	VD	Transporte público viajeros en autobús	8
2017	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	933
2017	02	Aragón	VPC-N	Transporte privado de viajeros nacional	11
2017	02	Aragón	VS-N	Ambulancias nacionales servicio público	26
2017	02	Aragón	VSE-N	Transporte público ambulancias nacional empresa	17
2017	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	5
2017	02	Aragón	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2017	02	Aragón	VT-N	Licencias taxi	1964
2017	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	396
2017	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	9
2018	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	1490
2018	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	911
2018	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	12965
2018	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2415
2018	02	Aragón	MPC-N	Transporte mercancías propias nacional	3455
2018	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1912
2018	02	Aragón	OT	Operador de transporte	256
2018	02	Aragón	VD	Transporte público viajeros en autobús	4
2018	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	951
2018	02	Aragón	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	13
2018	02	Aragón	VPC-N	Transporte privado de viajeros nacional	22
2018	02	Aragón	VS-N	Ambulancias nacionales servicio público	124
2018	02	Aragón	VSE-N	Transporte público ambulancias nacional empresa	4
2018	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	3
2018	02	Aragón	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2018	02	Aragón	VT-N	Licencias taxi	2220
2018	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	164
2018	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2019	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	1490
2019	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	911
2019	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	12965
2019	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2415
2019	02	Aragón	MPC-N	Transporte mercancías propias nacional	3455
2019	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1912
2019	02	Aragón	OT	Operador de transporte	256
2019	02	Aragón	VD	Transporte público viajeros en autobús	4
2019	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	951
2019	02	Aragón	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	13
2019	02	Aragón	VPC-N	Transporte privado de viajeros nacional	22
2019	02	Aragón	VS-N	Ambulancias nacionales servicio público	124
2019	02	Aragón	VSE-N	Transporte público ambulancias nacional empresa	4
2019	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	3
2019	02	Aragón	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2019	02	Aragón	VT-N	Licencias taxi	2220
2019	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	164
2019	02	Aragón	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2020	02	Aragón	MDL-N	Transporte mercancías ligeras nacionales servicio público	1923
2020	02	Aragón	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1140
2020	02	Aragón	MDP-N	Transporte mercancías pesadas nacionales servicio público	12989
2020	02	Aragón	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	2363
2020	02	Aragón	MPC-N	Transporte mercancías propias nacional	3536
2020	02	Aragón	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1888
2020	02	Aragón	OT	Operador de transporte	279
2020	02	Aragón	VD-N	Transporte de viajeros nacionales servicio público	936
2020	02	Aragón	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	62
2020	02	Aragón	VPC-N	Transporte privado de viajeros nacional	30
2020	02	Aragón	VPCE-N	Transporte privado de viajeros	22
2020	02	Aragón	VS-N	Ambulancias nacionales servicio público	136
2020	02	Aragón	VSE-N	Transporte público ambulancias nacional empresa	5
2020	02	Aragón	VSPC-N	Transporte privado ambulancias nacional	4
2020	02	Aragón	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2020	02	Aragón	VT-N	Licencias taxi	2246
2020	02	Aragón	VTC-N	Transporte de alquiler con conductor nacional	261
