Año	Residencia CCAA código	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Personas	Porcentaje
1998	02	Aragón	95 y más	Mujeres	1087	0,00404284914270212
1999	02	Aragón	95 y más	Mujeres	1190	0,00442593420406212
2000	02	Aragón	95 y más	Mujeres	1358	0,00505077197404736
2001	02	Aragón	95 y más	Mujeres	1537	0,00571652174087688
2002	02	Aragón	95 y más	Mujeres	1552	0,0057723108274827
2003	02	Aragón	95 y más	Mujeres	1577	0,00586529263849241
2004	02	Aragón	95 y más	Mujeres	1697	0,00631160533133901
2005	02	Aragón	95 y más	Mujeres	1732	0,0064417798667526
2006	02	Aragón	95 y más	Mujeres	1823	0,00678023365882794
2007	02	Aragón	95 y más	Mujeres	1865	0,00693644310132425
2008	02	Aragón	95 y más	Mujeres	1945	0,00723398489655532
2009	02	Aragón	95 y más	Mujeres	2049	0,00762078923035571
2010	02	Aragón	95 y más	Mujeres	2207	0,00820843427593706
2011	02	Aragón	95 y más	Mujeres	2318	0,00862127351682017
2012	02	Aragón	95 y más	Mujeres	2374	0,00882955277348191
2013	02	Aragón	95 y más	Mujeres	2479	0,00922007637972269
2014	02	Aragón	95 y más	Mujeres	2660	0,00989326469143298
2015	02	Aragón	95 y más	Mujeres	2788	0,0103693315638027
2016	02	Aragón	95 y más	Mujeres	2993	0,0111317824140823
2017	02	Aragón	95 y más	Mujeres	3293	0,0122475641461988
2018	02	Aragón	95 y más	Mujeres	3509	0,0130509269933227
1998	02	Aragón	95 y más	Hombres	-424	-0,00157697151472466
1999	02	Aragón	95 y más	Hombres	-458	-0,00170342677769786
2000	02	Aragón	95 y más	Hombres	-508	-0,00188939039971728
2001	02	Aragón	95 y más	Hombres	-590	-0,00219437073982912
2002	02	Aragón	95 y más	Hombres	-596	-0,00221668637447145
2003	02	Aragón	95 y más	Hombres	-621	-0,00230966818548116
2004	02	Aragón	95 y más	Hombres	-654	-0,00243240417601397
2005	02	Aragón	95 y más	Hombres	-632	-0,00235058018232543
2006	02	Aragón	95 y más	Hombres	-650	-0,00241752708625242
2007	02	Aragón	95 y más	Hombres	-658	-0,00244728126577553
2008	02	Aragón	95 y más	Hombres	-700	-0,00260349070827184
2009	02	Aragón	95 y más	Hombres	-722	-0,00268531470196038
2010	02	Aragón	95 y más	Hombres	-754	-0,00280433142005281
2011	02	Aragón	95 y más	Hombres	-753	-0,00280061214761242
2012	02	Aragón	95 y más	Hombres	-744	-0,00276713869564892
2013	02	Aragón	95 y más	Hombres	-747	-0,00277829651297009
2014	02	Aragón	95 y más	Hombres	-767	-0,00285268196177786
2015	02	Aragón	95 y más	Hombres	-779	-0,00289731323106252
2016	02	Aragón	95 y más	Hombres	-844	-0,00313906593968776
2017	02	Aragón	95 y más	Hombres	-965	-0,00358909790497475
2018	02	Aragón	95 y más	Hombres	-1087	-0,00404284914270212
1998	02	Aragón	90 a 94	Mujeres	4443	0,0165247274526454
1999	02	Aragón	90 a 94	Mujeres	4669	0,0173652830241732
2000	02	Aragón	90 a 94	Mujeres	4967	0,0184736262114089
2001	02	Aragón	90 a 94	Mujeres	5368	0,0199650544600046
2002	02	Aragón	90 a 94	Mujeres	5480	0,0203816129733281
