Mes (código)	Mes y año	Comarca nombre	Comarca código	Sexo	Régimen	Afiliaciones en alta
201809	Septiembre 2018	Alto Gállego	02	Hombres	General	2128
201809	Septiembre 2018	Alto Gállego	02	Mujeres	General	1464
201809	Septiembre 2018	Andorra-Sierra de Arcos	27	Hombres	General	1013
201809	Septiembre 2018	Andorra-Sierra de Arcos	27	Mujeres	General	722
201809	Septiembre 2018	Aranda	14	Hombres	General	721
201809	Septiembre 2018	Aranda	14	Mujeres	General	541
201809	Septiembre 2018	Bajo Aragón	28	Hombres	General	3980
201809	Septiembre 2018	Bajo Aragón	28	Mujeres	General	3779
201809	Septiembre 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Hombres	General	2559
201809	Septiembre 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Mujeres	General	1946
201809	Septiembre 2018	Bajo Cinca / Baix Cinca	11	Hombres	General	5264
201809	Septiembre 2018	Bajo Cinca / Baix Cinca	11	Mujeres	General	3855
201809	Septiembre 2018	Bajo Martín	23	Hombres	General	1737
201809	Septiembre 2018	Bajo Martín	23	Mujeres	General	626
201809	Septiembre 2018	Campo de Belchite	22	Hombres	General	349
201809	Septiembre 2018	Campo de Belchite	22	Mujeres	General	304
201809	Septiembre 2018	Campo de Borja	13	Hombres	General	1566
201809	Septiembre 2018	Campo de Borja	13	Mujeres	General	1535
201809	Septiembre 2018	Campo de Cariñena	21	Hombres	General	3289
201809	Septiembre 2018	Campo de Cariñena	21	Mujeres	General	1398
201809	Septiembre 2018	Campo de Daroca	24	Hombres	General	772
201809	Septiembre 2018	Campo de Daroca	24	Mujeres	General	500
201809	Septiembre 2018	Cinca Medio	08	Hombres	General	4503
201809	Septiembre 2018	Cinca Medio	08	Mujeres	General	2561
201809	Septiembre 2018	Cinco Villas	05	Hombres	General	4959
201809	Septiembre 2018	Cinco Villas	05	Mujeres	General	3255
201809	Septiembre 2018	Comunidad de Calatayud	20	Hombres	General	4330
201809	Septiembre 2018	Comunidad de Calatayud	20	Mujeres	General	4049
201809	Septiembre 2018	Comunidad de Teruel	29	Hombres	General	10470
201809	Septiembre 2018	Comunidad de Teruel	29	Mujeres	General	10388
201809	Septiembre 2018	Cuencas Mineras	26	Hombres	General	994
201809	Septiembre 2018	Cuencas Mineras	26	Mujeres	General	761
201809	Septiembre 2018	D.C. Zaragoza	17	Hombres	General	135800
201809	Septiembre 2018	D.C. Zaragoza	17	Mujeres	General	145669
201809	Septiembre 2018	Gúdar-Javalambre	32	Hombres	General	1195
201809	Septiembre 2018	Gúdar-Javalambre	32	Mujeres	General	844
201809	Septiembre 2018	Hoya de Huesca / Plana de Uesca	06	Hombres	General	13698
201809	Septiembre 2018	Hoya de Huesca / Plana de Uesca	06	Mujeres	General	15740
201809	Septiembre 2018	Jiloca	25	Hombres	General	1331
201809	Septiembre 2018	Jiloca	25	Mujeres	General	1073
201809	Septiembre 2018	La Jacetania	01	Hombres	General	1802
201809	Septiembre 2018	La Jacetania	01	Mujeres	General	2112
201809	Septiembre 2018	La Litera / La Llitera	09	Hombres	General	3804
201809	Septiembre 2018	La Litera / La Llitera	09	Mujeres	General	2013
201809	Septiembre 2018	La Ribagorza	04	Hombres	General	1616
201809	Septiembre 2018	La Ribagorza	04	Mujeres	General	1536
201809	Septiembre 2018	Los Monegros	10	Hombres	General	2393
201809	Septiembre 2018	Los Monegros	10	Mujeres	General	1344
201809	Septiembre 2018	Maestrazgo	30	Hombres	General	262
201809	Septiembre 2018	Maestrazgo	30	Mujeres	General	206
201809	Septiembre 2018	Matarraña / Matarranya	33	Hombres	General	1037
201809	Septiembre 2018	Matarraña / Matarranya	33	Mujeres	General	798
201809	Septiembre 2018	Ribera Alta del Ebro	15	Hombres	General	14118
201809	Septiembre 2018	Ribera Alta del Ebro	15	Mujeres	General	4553
201809	Septiembre 2018	Ribera Baja del Ebro	18	Hombres	General	1573
201809	Septiembre 2018	Ribera Baja del Ebro	18	Mujeres	General	1065
201809	Septiembre 2018	Sierra de Albarracín	31	Hombres	General	328
201809	Septiembre 2018	Sierra de Albarracín	31	Mujeres	General	372
201809	Septiembre 2018	Sobrarbe	03	Hombres	General	897
201809	Septiembre 2018	Sobrarbe	03	Mujeres	General	981
201809	Septiembre 2018	Somontano de Barbastro	07	Hombres	General	3867
201809	Septiembre 2018	Somontano de Barbastro	07	Mujeres	General	3885
201809	Septiembre 2018	Tarazona y el Moncayo	12	Hombres	General	1790
201809	Septiembre 2018	Tarazona y el Moncayo	12	Mujeres	General	1439
201809	Septiembre 2018	Valdejalón	16	Hombres	General	8635
201809	Septiembre 2018	Valdejalón	16	Mujeres	General	4781
201809	Septiembre 2018	Andorra-Sierra de Arcos	27	Hombres	Minería	87
201809	Septiembre 2018	Andorra-Sierra de Arcos	27	Mujeres	Minería	2
201809	Septiembre 2018	Bajo Aragón	28	Mujeres	Minería	1
201809	Septiembre 2018	D.C. Zaragoza	17	Hombres	Minería	19
201809	Septiembre 2018	D.C. Zaragoza	17	Mujeres	Minería	5
201809	Septiembre 2018	Alto Gállego	02	Hombres	Autónomos	747
201809	Septiembre 2018	Alto Gállego	02	Mujeres	Autónomos	440
201809	Septiembre 2018	Andorra-Sierra de Arcos	27	Hombres	Autónomos	440
201809	Septiembre 2018	Andorra-Sierra de Arcos	27	Mujeres	Autónomos	255
201809	Septiembre 2018	Aranda	14	Hombres	Autónomos	402
201809	Septiembre 2018	Aranda	14	Mujeres	Autónomos	171
201809	Septiembre 2018	Bajo Aragón	28	Hombres	Autónomos	1870
201809	Septiembre 2018	Bajo Aragón	28	Mujeres	Autónomos	1029
201809	Septiembre 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Hombres	Autónomos	1057
201809	Septiembre 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Mujeres	Autónomos	520
201809	Septiembre 2018	Bajo Cinca / Baix Cinca	11	Hombres	Autónomos	1840
201809	Septiembre 2018	Bajo Cinca / Baix Cinca	11	Mujeres	Autónomos	869
201809	Septiembre 2018	Bajo Martín	23	Hombres	Autónomos	392
201809	Septiembre 2018	Bajo Martín	23	Mujeres	Autónomos	194
201809	Septiembre 2018	Campo de Belchite	22	Hombres	Autónomos	361
201809	Septiembre 2018	Campo de Belchite	22	Mujeres	Autónomos	150
201809	Septiembre 2018	Campo de Borja	13	Hombres	Autónomos	909
201809	Septiembre 2018	Campo de Borja	13	Mujeres	Autónomos	453
201809	Septiembre 2018	Campo de Cariñena	21	Hombres	Autónomos	672
201809	Septiembre 2018	Campo de Cariñena	21	Mujeres	Autónomos	294
201809	Septiembre 2018	Campo de Daroca	24	Hombres	Autónomos	466
201809	Septiembre 2018	Campo de Daroca	24	Mujeres	Autónomos	172
201809	Septiembre 2018	Cinca Medio	08	Hombres	Autónomos	1337
201809	Septiembre 2018	Cinca Medio	08	Mujeres	Autónomos	883
201809	Septiembre 2018	Cinco Villas	05	Hombres	Autónomos	2533
201809	Septiembre 2018	Cinco Villas	05	Mujeres	Autónomos	1237
201809	Septiembre 2018	Comunidad de Calatayud	20	Hombres	Autónomos	2089
201809	Septiembre 2018	Comunidad de Calatayud	20	Mujeres	Autónomos	932
201809	Septiembre 2018	Comunidad de Teruel	29	Hombres	Autónomos	2468
201809	Septiembre 2018	Comunidad de Teruel	29	Mujeres	Autónomos	1258
201809	Septiembre 2018	Cuencas Mineras	26	Hombres	Autónomos	357
201809	Septiembre 2018	Cuencas Mineras	26	Mujeres	Autónomos	199
201809	Septiembre 2018	D.C. Zaragoza	17	Hombres	Autónomos	31919
201809	Septiembre 2018	D.C. Zaragoza	17	Mujeres	Autónomos	17939
201809	Septiembre 2018	Gúdar-Javalambre	32	Hombres	Autónomos	659
201809	Septiembre 2018	Gúdar-Javalambre	32	Mujeres	Autónomos	336
201809	Septiembre 2018	Hoya de Huesca / Plana de Uesca	06	Hombres	Autónomos	3584
201809	Septiembre 2018	Hoya de Huesca / Plana de Uesca	06	Mujeres	Autónomos	1697
201809	Septiembre 2018	Jiloca	25	Hombres	Autónomos	961
201809	Septiembre 2018	Jiloca	25	Mujeres	Autónomos	442
201809	Septiembre 2018	La Jacetania	01	Hombres	Autónomos	1135
201809	Septiembre 2018	La Jacetania	01	Mujeres	Autónomos	654
201809	Septiembre 2018	La Litera / La Llitera	09	Hombres	Autónomos	1438
201809	Septiembre 2018	La Litera / La Llitera	09	Mujeres	Autónomos	698
201809	Septiembre 2018	La Ribagorza	04	Hombres	Autónomos	1078
201809	Septiembre 2018	La Ribagorza	04	Mujeres	Autónomos	542
201809	Septiembre 2018	Los Monegros	10	Hombres	Autónomos	1876
201809	Septiembre 2018	Los Monegros	10	Mujeres	Autónomos	800
201809	Septiembre 2018	Maestrazgo	30	Hombres	Autónomos	366
201809	Septiembre 2018	Maestrazgo	30	Mujeres	Autónomos	172
201809	Septiembre 2018	Matarraña / Matarranya	33	Hombres	Autónomos	894
201809	Septiembre 2018	Matarraña / Matarranya	33	Mujeres	Autónomos	508
201809	Septiembre 2018	Ribera Alta del Ebro	15	Hombres	Autónomos	1109
201809	Septiembre 2018	Ribera Alta del Ebro	15	Mujeres	Autónomos	657
201809	Septiembre 2018	Ribera Baja del Ebro	18	Hombres	Autónomos	524
201809	Septiembre 2018	Ribera Baja del Ebro	18	Mujeres	Autónomos	323
201809	Septiembre 2018	Sierra de Albarracín	31	Hombres	Autónomos	357
201809	Septiembre 2018	Sierra de Albarracín	31	Mujeres	Autónomos	187
201809	Septiembre 2018	Sobrarbe	03	Hombres	Autónomos	772
201809	Septiembre 2018	Sobrarbe	03	Mujeres	Autónomos	368
201809	Septiembre 2018	Somontano de Barbastro	07	Hombres	Autónomos	1523
201809	Septiembre 2018	Somontano de Barbastro	07	Mujeres	Autónomos	754
201809	Septiembre 2018	Tarazona y el Moncayo	12	Hombres	Autónomos	715
201809	Septiembre 2018	Tarazona y el Moncayo	12	Mujeres	Autónomos	396
201809	Septiembre 2018	Valdejalón	16	Hombres	Autónomos	1605
201809	Septiembre 2018	Valdejalón	16	Mujeres	Autónomos	652
201806	Junio 2018	Alto Gállego	02	Hombres	General	2208
201806	Junio 2018	Alto Gállego	02	Mujeres	General	1557
201806	Junio 2018	Andorra-Sierra de Arcos	27	Hombres	General	1070
201806	Junio 2018	Andorra-Sierra de Arcos	27	Mujeres	General	714
201806	Junio 2018	Aranda	14	Hombres	General	889
201806	Junio 2018	Aranda	14	Mujeres	General	597
201806	Junio 2018	Bajo Aragón	28	Hombres	General	4120
201806	Junio 2018	Bajo Aragón	28	Mujeres	General	3855
201806	Junio 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Hombres	General	3778
201806	Junio 2018	Bajo Aragón-Caspe / Baix Aragó-Casp	19	Mujeres	General	2546
201806	Junio 2018	Bajo Cinca / Baix Cinca	11	Hombres	General	9111
201806	Junio 2018	Bajo Cinca / Baix Cinca	11	Mujeres	General	5523
201806	Junio 2018	Bajo Martín	23	Hombres	General	1731
201806	Junio 2018	Bajo Martín	23	Mujeres	General	647
201806	Junio 2018	Campo de Belchite	22	Hombres	General	363
201806	Junio 2018	Campo de Belchite	22	Mujeres	General	301
201806	Junio 2018	Campo de Borja	13	Hombres	General	1587
201806	Junio 2018	Campo de Borja	13	Mujeres	General	1544
201806	Junio 2018	Campo de Cariñena	21	Hombres	General	3148
201806	Junio 2018	Campo de Cariñena	21	Mujeres	General	1417
201806	Junio 2018	Campo de Daroca	24	Hombres	General	781
201806	Junio 2018	Campo de Daroca	24	Mujeres	General	519
201806	Junio 2018	Cinca Medio	08	Hombres	General	4718
201806	Junio 2018	Cinca Medio	08	Mujeres	General	2656
201806	Junio 2018	Cinco Villas	05	Hombres	General	4921
201806	Junio 2018	Cinco Villas	05	Mujeres	General	3192
201806	Junio 2018	Comunidad de Calatayud	20	Hombres	General	4878
201806	Junio 2018	Comunidad de Calatayud	20	Mujeres	General	4241
201806	Junio 2018	Comunidad de Teruel	29	Hombres	General	10428
201806	Junio 2018	Comunidad de Teruel	29	Mujeres	General	10280
201806	Junio 2018	Cuencas Mineras	26	Hombres	General	967
201806	Junio 2018	Cuencas Mineras	26	Mujeres	General	713
201806	Junio 2018	D.C. Zaragoza	17	Hombres	General	135747
201806	Junio 2018	D.C. Zaragoza	17	Mujeres	General	142343
201806	Junio 2018	Gúdar-Javalambre	32	Hombres	General	1197
201806	Junio 2018	Gúdar-Javalambre	32	Mujeres	General	811
201806	Junio 2018	Hoya de Huesca / Plana de Uesca	06	Hombres	General	13702
201806	Junio 2018	Hoya de Huesca / Plana de Uesca	06	Mujeres	General	15347
201806	Junio 2018	Jiloca	25	Hombres	General	1369
201806	Junio 2018	Jiloca	25	Mujeres	General	1085
201806	Junio 2018	La Jacetania	01	Hombres	General	1903
201806	Junio 2018	La Jacetania	01	Mujeres	General	2159
201806	Junio 2018	La Litera / La Llitera	09	Hombres	General	3854
201806	Junio 2018	La Litera / La Llitera	09	Mujeres	General	2083
201806	Junio 2018	La Ribagorza	04	Hombres	General	1678
201806	Junio 2018	La Ribagorza	04	Mujeres	General	1605
201806	Junio 2018	Los Monegros	10	Hombres	General	2502
201806	Junio 2018	Los Monegros	10	Mujeres	General	1352
201806	Junio 2018	Maestrazgo	30	Hombres	General	267
201806	Junio 2018	Maestrazgo	30	Mujeres	General	202
