Mes y año	'Aragón'	Edad (grupos quinquenales)	Sexo	Nº parados
Junio 2020	Aragón	16-19	Hombres	1230
Junio 2020	Aragón	16-19	Mujeres	900
Junio 2020	Aragón	20-24	Hombres	2842
Junio 2020	Aragón	20-24	Mujeres	2763
Junio 2020	Aragón	25-29	Hombres	3452
Junio 2020	Aragón	25-29	Mujeres	4427
Junio 2020	Aragón	30-34	Hombres	2973
Junio 2020	Aragón	30-34	Mujeres	4647
Junio 2020	Aragón	35-39	Hombres	3074
Junio 2020	Aragón	35-39	Mujeres	4988
Junio 2020	Aragón	40-44	Hombres	3428
Junio 2020	Aragón	40-44	Mujeres	5523
Junio 2020	Aragón	45-49	Hombres	3643
Junio 2020	Aragón	45-49	Mujeres	5138
Junio 2020	Aragón	50-54	Hombres	3708
Junio 2020	Aragón	50-54	Mujeres	5057
Junio 2020	Aragón	55-59	Hombres	3922
Junio 2020	Aragón	55-59	Mujeres	5468
Junio 2020	Aragón	60-64	Hombres	3626
Junio 2020	Aragón	60-64	Mujeres	5651
Mayo 2020	Aragón	16-19	Hombres	1095
Mayo 2020	Aragón	16-19	Mujeres	842
Mayo 2020	Aragón	20-24	Hombres	3105
Mayo 2020	Aragón	20-24	Mujeres	3064
Mayo 2020	Aragón	25-29	Hombres	3588
Mayo 2020	Aragón	25-29	Mujeres	4521
Mayo 2020	Aragón	30-34	Hombres	3200
Mayo 2020	Aragón	30-34	Mujeres	4701
Mayo 2020	Aragón	35-39	Hombres	3253
Mayo 2020	Aragón	35-39	Mujeres	5068
Mayo 2020	Aragón	40-44	Hombres	3603
Mayo 2020	Aragón	40-44	Mujeres	5626
Mayo 2020	Aragón	45-49	Hombres	3772
Mayo 2020	Aragón	45-49	Mujeres	5266
Mayo 2020	Aragón	50-54	Hombres	3834
Mayo 2020	Aragón	50-54	Mujeres	5152
Mayo 2020	Aragón	55-59	Hombres	4045
Mayo 2020	Aragón	55-59	Mujeres	5542
Mayo 2020	Aragón	60-64	Hombres	3666
Mayo 2020	Aragón	60-64	Mujeres	5586
Abril 2020	Aragón	16-19	Hombres	1125
Abril 2020	Aragón	16-19	Mujeres	847
Abril 2020	Aragón	20-24	Hombres	3144
