Año	Residencia provincia código	Residencia provincia nombre	Edad (grandes grupos)	Sexo	Personas
1998	22	Huesca	0 a 15	Mujeres	13607
1998	22	Huesca	16 a 64	Mujeres	61918
1998	22	Huesca	65 y más	Mujeres	25949
1998	44	Teruel	0 a 15	Mujeres	9743
1998	44	Teruel	16 a 64	Mujeres	38710
1998	44	Teruel	65 y más	Mujeres	19356
1998	50	Zaragoza	0 a 15	Mujeres	56942
1998	50	Zaragoza	16 a 64	Mujeres	272550
1998	50	Zaragoza	65 y más	Mujeres	91002
1999	22	Huesca	0 a 15	Mujeres	13238
1999	22	Huesca	16 a 64	Mujeres	61207
1999	22	Huesca	65 y más	Mujeres	26311
1999	44	Teruel	0 a 15	Mujeres	9375
1999	44	Teruel	16 a 64	Mujeres	37912
1999	44	Teruel	65 y más	Mujeres	19552
1999	50	Zaragoza	0 a 15	Mujeres	55805
1999	50	Zaragoza	16 a 64	Mujeres	275717
1999	50	Zaragoza	65 y más	Mujeres	95052
2000	22	Huesca	0 a 15	Mujeres	13208
2000	22	Huesca	16 a 64	Mujeres	62093
2000	22	Huesca	65 y más	Mujeres	26871
2000	44	Teruel	0 a 15	Mujeres	9250
2000	44	Teruel	16 a 64	Mujeres	38425
2000	44	Teruel	65 y más	Mujeres	19898
2000	50	Zaragoza	0 a 15	Mujeres	56371
2000	50	Zaragoza	16 a 64	Mujeres	278608
2000	50	Zaragoza	65 y más	Mujeres	97698
2001	22	Huesca	0 a 15	Mujeres	13011
2001	22	Huesca	16 a 64	Mujeres	62000
2001	22	Huesca	65 y más	Mujeres	27187
2001	44	Teruel	0 a 15	Mujeres	9083
2001	44	Teruel	16 a 64	Mujeres	38127
2001	44	Teruel	65 y más	Mujeres	20149
2001	50	Zaragoza	0 a 15	Mujeres	55870
2001	50	Zaragoza	16 a 64	Mujeres	281216
2001	50	Zaragoza	65 y más	Mujeres	99568
2002	22	Huesca	0 a 15	Mujeres	13290
2002	22	Huesca	16 a 64	Mujeres	62644
2002	22	Huesca	65 y más	Mujeres	27463
2002	44	Teruel	0 a 15	Mujeres	9070
2002	44	Teruel	16 a 64	Mujeres	38512
2002	44	Teruel	65 y más	Mujeres	20078
2002	50	Zaragoza	0 a 15	Mujeres	56912
2002	50	Zaragoza	16 a 64	Mujeres	284730
2002	50	Zaragoza	65 y más	Mujeres	100860
2003	22	Huesca	0 a 15	Mujeres	13439
2003	22	Huesca	16 a 64	Mujeres	63315
2003	22	Huesca	65 y más	Mujeres	27570
2003	44	Teruel	0 a 15	Mujeres	9108
2003	44	Teruel	16 a 64	Mujeres	38874
2003	44	Teruel	65 y más	Mujeres	20063
2003	50	Zaragoza	0 a 15	Mujeres	58274
2003	50	Zaragoza	16 a 64	Mujeres	288160
2003	50	Zaragoza	65 y más	Mujeres	101077
2004	22	Huesca	0 a 15	Mujeres	13455
2004	22	Huesca	16 a 64	Mujeres	64202
2004	22	Huesca	65 y más	Mujeres	27283
2004	44	Teruel	0 a 15	Mujeres	9080
2004	44	Teruel	16 a 64	Mujeres	39408
2004	44	Teruel	65 y más	Mujeres	19772
2004	50	Zaragoza	0 a 15	Mujeres	59585
2004	50	Zaragoza	16 a 64	Mujeres	294378
2004	50	Zaragoza	65 y más	Mujeres	101547
2005	22	Huesca	0 a 15	Mujeres	13633
2005	22	Huesca	16 a 64	Mujeres	65314
2005	22	Huesca	65 y más	Mujeres	27048
2005	44	Teruel	0 a 15	Mujeres	9058
2005	44	Teruel	16 a 64	Mujeres	40270
2005	44	Teruel	65 y más	Mujeres	19490
2005	50	Zaragoza	0 a 15	Mujeres	60971
2005	50	Zaragoza	16 a 64	Mujeres	299695
2005	50	Zaragoza	65 y más	Mujeres	101400
2006	22	Huesca	0 a 15	Mujeres	14041
2006	22	Huesca	16 a 64	Mujeres	66082
2006	22	Huesca	65 y más	Mujeres	26917
2006	44	Teruel	0 a 15	Mujeres	9055
2006	44	Teruel	16 a 64	Mujeres	40574
2006	44	Teruel	65 y más	Mujeres	19462
2006	50	Zaragoza	0 a 15	Mujeres	61634
2006	50	Zaragoza	16 a 64	Mujeres	301025
2006	50	Zaragoza	65 y más	Mujeres	102022
2007	22	Huesca	0 a 15	Mujeres	14361
2007	22	Huesca	16 a 64	Mujeres	67060
2007	22	Huesca	65 y más	Mujeres	26708
2007	44	Teruel	0 a 15	Mujeres	9185
2007	44	Teruel	16 a 64	Mujeres	41391
2007	44	Teruel	65 y más	Mujeres	19208
2007	50	Zaragoza	0 a 15	Mujeres	63461
2007	50	Zaragoza	16 a 64	Mujeres	305924
2007	50	Zaragoza	65 y más	Mujeres	102361
2008	22	Huesca	0 a 15	Mujeres	14855
2008	22	Huesca	16 a 64	Mujeres	68791
2008	22	Huesca	65 y más	Mujeres	26686
2008	44	Teruel	0 a 15	Mujeres	9445
2008	44	Teruel	16 a 64	Mujeres	42100
2008	44	Teruel	65 y más	Mujeres	19002
2008	50	Zaragoza	0 a 15	Mujeres	65733
2008	50	Zaragoza	16 a 64	Mujeres	312961
2008	50	Zaragoza	65 y más	Mujeres	102942
2009	22	Huesca	0 a 15	Mujeres	15321
2009	22	Huesca	16 a 64	Mujeres	69703
2009	22	Huesca	65 y más	Mujeres	26755
2009	44	Teruel	0 a 15	Mujeres	9613
2009	44	Teruel	16 a 64	Mujeres	42590
2009	44	Teruel	65 y más	Mujeres	18815
2009	50	Zaragoza	0 a 15	Mujeres	67774
2009	50	Zaragoza	16 a 64	Mujeres	316751
2009	50	Zaragoza	65 y más	Mujeres	104332
2010	22	Huesca	0 a 15	Mujeres	15564
2010	22	Huesca	16 a 64	Mujeres	69630
2010	22	Huesca	65 y más	Mujeres	26848
2010	44	Teruel	0 a 15	Mujeres	9593
2010	44	Teruel	16 a 64	Mujeres	42453
2010	44	Teruel	65 y más	Mujeres	18668
2010	50	Zaragoza	0 a 15	Mujeres	69072
2010	50	Zaragoza	16 a 64	Mujeres	316565
2010	50	Zaragoza	65 y más	Mujeres	105525
2011	22	Huesca	0 a 15	Mujeres	15655
2011	22	Huesca	16 a 64	Mujeres	69501
2011	22	Huesca	65 y más	Mujeres	26981
2011	44	Teruel	0 a 15	Mujeres	9596
2011	44	Teruel	16 a 64	Mujeres	42432
2011	44	Teruel	65 y más	Mujeres	18571
2011	50	Zaragoza	0 a 15	Mujeres	69840
2011	50	Zaragoza	16 a 64	Mujeres	315377
2011	50	Zaragoza	65 y más	Mujeres	107054
2012	22	Huesca	0 a 15	Mujeres	15882
2012	22	Huesca	16 a 64	Mujeres	69311
2012	22	Huesca	65 y más	Mujeres	26904
2012	44	Teruel	0 a 15	Mujeres	9694
2012	44	Teruel	16 a 64	Mujeres	42219
2012	44	Teruel	65 y más	Mujeres	18337
2012	50	Zaragoza	0 a 15	Mujeres	70715
2012	50	Zaragoza	16 a 64	Mujeres	316158
2012	50	Zaragoza	65 y más	Mujeres	108349
2013	22	Huesca	0 a 15	Mujeres	15934
2013	22	Huesca	16 a 64	Mujeres	68799
2013	22	Huesca	65 y más	Mujeres	26815
2013	44	Teruel	0 a 15	Mujeres	9654
2013	44	Teruel	16 a 64	Mujeres	41831
2013	44	Teruel	65 y más	Mujeres	18169
2013	50	Zaragoza	0 a 15	Mujeres	71138
2013	50	Zaragoza	16 a 64	Mujeres	315370
2013	50	Zaragoza	65 y más	Mujeres	109453
2014	22	Huesca	0 a 15	Mujeres	15940
2014	22	Huesca	16 a 64	Mujeres	68168
2014	22	Huesca	65 y más	Mujeres	26961
2014	44	Teruel	0 a 15	Mujeres	9486
2014	44	Teruel	16 a 64	Mujeres	41401
2014	44	Teruel	65 y más	Mujeres	18029
2014	50	Zaragoza	0 a 15	Mujeres	70184
2014	50	Zaragoza	16 a 64	Mujeres	307377
2014	50	Zaragoza	65 y más	Mujeres	110875
2015	22	Huesca	0 a 15	Mujeres	15898
2015	22	Huesca	16 a 64	Mujeres	67353
2015	22	Huesca	65 y más	Mujeres	27032
2015	44	Teruel	0 a 15	Mujeres	9403
2015	44	Teruel	16 a 64	Mujeres	41039
2015	44	Teruel	65 y más	Mujeres	17885
2015	50	Zaragoza	0 a 15	Mujeres	70371
2015	50	Zaragoza	16 a 64	Mujeres	304139
2015	50	Zaragoza	65 y más	Mujeres	112040
2016	22	Huesca	0 a 15	Mujeres	15786
2016	22	Huesca	16 a 64	Mujeres	66884
2016	22	Huesca	65 y más	Mujeres	26812
2016	44	Teruel	0 a 15	Mujeres	9288
2016	44	Teruel	16 a 64	Mujeres	40442
2016	44	Teruel	65 y más	Mujeres	17743
2016	50	Zaragoza	0 a 15	Mujeres	70304
2016	50	Zaragoza	16 a 64	Mujeres	301193
2016	50	Zaragoza	65 y más	Mujeres	112905
2017	22	Huesca	0 a 15	Mujeres	15602
2017	22	Huesca	16 a 64	Mujeres	66379
2017	22	Huesca	65 y más	Mujeres	26867
2017	44	Teruel	0 a 15	Mujeres	9196
2017	44	Teruel	16 a 64	Mujeres	40078
2017	44	Teruel	65 y más	Mujeres	17604
2017	50	Zaragoza	0 a 15	Mujeres	70938
2017	50	Zaragoza	16 a 64	Mujeres	301981
2017	50	Zaragoza	65 y más	Mujeres	114210
2018	22	Huesca	0 a 15	Mujeres	15511
2018	22	Huesca	16 a 64	Mujeres	66231
2018	22	Huesca	65 y más	Mujeres	27004
2018	44	Teruel	0 a 15	Mujeres	9132
2018	44	Teruel	16 a 64	Mujeres	39838
2018	44	Teruel	65 y más	Mujeres	17542
2018	50	Zaragoza	0 a 15	Mujeres	70888
2018	50	Zaragoza	16 a 64	Mujeres	301670
2018	50	Zaragoza	65 y más	Mujeres	115414
1998	22	Huesca	0 a 15	Hombres	14512
1998	22	Huesca	16 a 64	Hombres	65801
1998	22	Huesca	65 y más	Hombres	21843
1998	44	Teruel	0 a 15	Hombres	9984
1998	44	Teruel	16 a 64	Hombres	42397
1998	44	Teruel	65 y más	Hombres	16584
1998	50	Zaragoza	0 a 15	Hombres	59576
1998	50	Zaragoza	16 a 64	Hombres	274926
1998	50	Zaragoza	65 y más	Hombres	66208
1999	22	Huesca	0 a 15	Hombres	14211
1999	22	Huesca	16 a 64	Hombres	65222
1999	22	Huesca	65 y más	Hombres	22007
1999	44	Teruel	0 a 15	Hombres	9664
1999	44	Teruel	16 a 64	Hombres	41596
1999	44	Teruel	65 y más	Hombres	16754
1999	50	Zaragoza	0 a 15	Hombres	58535
1999	50	Zaragoza	16 a 64	Hombres	278352
1999	50	Zaragoza	65 y más	Hombres	69285
2000	22	Huesca	0 a 15	Hombres	14124
2000	22	Huesca	16 a 64	Hombres	66461
2000	22	Huesca	65 y más	Hombres	22578
2000	44	Teruel	0 a 15	Hombres	9574
2000	44	Teruel	16 a 64	Hombres	42259
2000	44	Teruel	65 y más	Hombres	17067
2000	50	Zaragoza	0 a 15	Hombres	59366
2000	50	Zaragoza	16 a 64	Hombres	282104
2000	50	Zaragoza	65 y más	Hombres	71224
2001	22	Huesca	0 a 15	Hombres	13872
2001	22	Huesca	16 a 64	Hombres	66941
2001	22	Huesca	65 y más	Hombres	22849
2001	44	Teruel	0 a 15	Hombres	9435
2001	44	Teruel	16 a 64	Hombres	42242
2001	44	Teruel	65 y más	Hombres	17197
2001	50	Zaragoza	0 a 15	Hombres	58795
2001	50	Zaragoza	16 a 64	Hombres	287974
2001	50	Zaragoza	65 y más	Hombres	72501
2002	22	Huesca	0 a 15	Hombres	13951
2002	22	Huesca	16 a 64	Hombres	68686
2002	22	Huesca	65 y más	Hombres	22929
2002	44	Teruel	0 a 15	Hombres	9433
2002	44	Teruel	16 a 64	Hombres	43105
2002	44	Teruel	65 y más	Hombres	17144
2002	50	Zaragoza	0 a 15	Hombres	59760
2002	50	Zaragoza	16 a 64	Hombres	293922
2002	50	Zaragoza	65 y más	Hombres	73395
2003	22	Huesca	0 a 15	Hombres	14067
2003	22	Huesca	16 a 64	Hombres	70011
2003	22	Huesca	65 y más	Hombres	22884
2003	44	Teruel	0 a 15	Hombres	9498
2003	44	Teruel	16 a 64	Hombres	44091
2003	44	Teruel	65 y más	Hombres	17052
2003	50	Zaragoza	0 a 15	Hombres	61240
2003	50	Zaragoza	16 a 64	Hombres	297553
2003	50	Zaragoza	65 y más	Hombres	73814
2004	22	Huesca	0 a 15	Hombres	14242
2004	22	Huesca	16 a 64	Hombres	71018
2004	22	Huesca	65 y más	Hombres	22701
2004	44	Teruel	0 a 15	Hombres	9423
2004	44	Teruel	16 a 64	Hombres	44825
2004	44	Teruel	65 y más	Hombres	16825
2004	50	Zaragoza	0 a 15	Hombres	62924
2004	50	Zaragoza	16 a 64	Hombres	305008
2004	50	Zaragoza	65 y más	Hombres	73908
2005	22	Huesca	0 a 15	Hombres	14567
2005	22	Huesca	16 a 64	Hombres	72964
2005	22	Huesca	65 y más	Hombres	22338
2005	44	Teruel	0 a 15	Hombres	9567
2005	44	Teruel	16 a 64	Hombres	46205
2005	44	Teruel	65 y más	Hombres	16501
2005	50	Zaragoza	0 a 15	Hombres	64175
2005	50	Zaragoza	16 a 64	Hombres	312235
2005	50	Zaragoza	65 y más	Hombres	73596
2006	22	Huesca	0 a 15	Hombres	14954
2006	22	Huesca	16 a 64	Hombres	73879
2006	22	Huesca	65 y más	Hombres	22150
2006	44	Teruel	0 a 15	Hombres	9589
2006	44	Teruel	16 a 64	Hombres	47007
2006	44	Teruel	65 y más	Hombres	16473
2006	50	Zaragoza	0 a 15	Hombres	65048
2006	50	Zaragoza	16 a 64	Hombres	313068
2006	50	Zaragoza	65 y más	Hombres	74491
2007	22	Huesca	0 a 15	Hombres	15254
2007	22	Huesca	16 a 64	Hombres	74770
2007	22	Huesca	65 y más	Hombres	21954
2007	44	Teruel	0 a 15	Hombres	9756
2007	44	Teruel	16 a 64	Hombres	48293
2007	44	Teruel	65 y más	Hombres	16213
2007	50	Zaragoza	0 a 15	Hombres	66864
2007	50	Zaragoza	16 a 64	Hombres	318921
2007	50	Zaragoza	65 y más	Hombres	74971
2008	22	Huesca	0 a 15	Hombres	15831
2008	22	Huesca	16 a 64	Hombres	77245
2008	22	Huesca	65 y más	Hombres	21863
2008	44	Teruel	0 a 15	Hombres	10036
2008	44	Teruel	16 a 64	Hombres	49780
2008	44	Teruel	65 y más	Hombres	15961
2008	50	Zaragoza	0 a 15	Hombres	69525
2008	50	Zaragoza	16 a 64	Hombres	328545
2008	50	Zaragoza	65 y más	Hombres	75617
2009	22	Huesca	0 a 15	Hombres	16208
2009	22	Huesca	16 a 64	Hombres	78520
2009	22	Huesca	65 y más	Hombres	21902
2009	44	Teruel	0 a 15	Hombres	10154
2009	44	Teruel	16 a 64	Hombres	49773
2009	44	Teruel	65 y más	Hombres	15806
2009	50	Zaragoza	0 a 15	Hombres	71972
2009	50	Zaragoza	16 a 64	Hombres	333084
2009	50	Zaragoza	65 y más	Hombres	76400
2010	22	Huesca	0 a 15	Hombres	16440
2010	22	Huesca	16 a 64	Hombres	78236
2010	22	Huesca	65 y más	Hombres	21848
