Municipio código	Municipio nombre	Número de personas en el hogar	Número hogares
22060	Binaced	07	13
22060	Binaced	08	3
22060	Binaced	09	4
22060	Binaced	10 o más	2
22061	Binéfar	01	551
22061	Binéfar	02	760
22061	Binéfar	03	656
22061	Binéfar	04	698
22061	Binéfar	05	185
22061	Binéfar	06	70
22061	Binéfar	07	17
22061	Binéfar	08	5
22061	Binéfar	09	2
22061	Binéfar	10 o más	4
22062	Bisaurri	01	34
22062	Bisaurri	02	16
22062	Bisaurri	03	19
22062	Bisaurri	04	13
22062	Bisaurri	05	6
22062	Bisaurri	06	2
22062	Bisaurri	07	1
22063	Biscarrués	01	25
22063	Biscarrués	02	16
22063	Biscarrués	03	16
22063	Biscarrués	04	17
22063	Biscarrués	05	5
22063	Biscarrués	06	2
22063	Biscarrués	07	1
22063	Biscarrués	10 o más	1
22064	Blecua y Torres	01	23
22064	Blecua y Torres	02	12
22064	Blecua y Torres	03	13
22064	Blecua y Torres	04	9
22064	Blecua y Torres	05	8
22064	Blecua y Torres	06	2
22064	Blecua y Torres	07	3
22066	Boltaña	01	109
22066	Boltaña	02	72
22066	Boltaña	03	48
22066	Boltaña	04	56
22066	Boltaña	05	21
22066	Boltaña	06	10
22066	Boltaña	07	4
22067	Bonansa	01	10
22067	Bonansa	02	7
22067	Bonansa	03	3
22067	Bonansa	04	3
22067	Bonansa	05	4
22067	Bonansa	06	2
22067	Bonansa	07	1
22068	Borau	01	15
22068	Borau	02	6
22068	Borau	03	4
22068	Borau	04	5
22068	Borau	05	3
22069	Broto	01	48
22069	Broto	02	38
22069	Broto	03	44
22069	Broto	04	26
22069	Broto	05	19
22069	Broto	06	10
22069	Broto	07	1
22069	Broto	08	1
22069	Broto	09	1
22072	Caldearenas	01	39
22072	Caldearenas	02	24
22072	Caldearenas	03	13
22072	Caldearenas	04	15
22072	Caldearenas	05	6
22072	Caldearenas	06	3
22072	Caldearenas	07	1
22072	Caldearenas	08	1
22074	Campo	01	40
22074	Campo	02	29
22074	Campo	03	20
22074	Campo	04	22
22074	Campo	05	7
22074	Campo	06	10
22074	Campo	07	1
22075	Camporrells	01	42
22075	Camporrells	02	29
22075	Camporrells	03	24
22075	Camporrells	04	7
22075	Camporrells	05	7
22075	Camporrells	06	2
22076	Canal de Berdún	01	61
22076	Canal de Berdún	02	47
22076	Canal de Berdún	03	26
22076	Canal de Berdún	04	28
22076	Canal de Berdún	05	9
22076	Canal de Berdún	06	3
22076	Canal de Berdún	07	2
22077	Candasnos	01	39
22077	Candasnos	02	49
22077	Candasnos	03	45
22077	Candasnos	04	36
22077	Candasnos	05	20
22077	Candasnos	06	3
22077	Candasnos	07	3
22077	Candasnos	10 o más	1
22078	Canfranc	01	95
22078	Canfranc	02	55
22078	Canfranc	03	40
22078	Canfranc	04	27
22078	Canfranc	05	11
22078	Canfranc	06	5
22078	Canfranc	07	2
22079	Capdesaso	01	21
22079	Capdesaso	02	17
22079	Capdesaso	03	11
22079	Capdesaso	04	5
22079	Capdesaso	05	6
22079	Capdesaso	06	4
22079	Capdesaso	08	1
22080	Capella	01	38
22080	Capella	02	42
22080	Capella	03	17
22080	Capella	04	20
22080	Capella	05	10
22080	Capella	06	7
22080	Capella	07	2
22080	Capella	08	3
22081	Casbas de Huesca	01	31
22081	Casbas de Huesca	02	34
22081	Casbas de Huesca	03	21
22081	Casbas de Huesca	04	17
22081	Casbas de Huesca	05	6
22081	Casbas de Huesca	06	5
22081	Casbas de Huesca	08	1
22082	Castejón del Puente	01	27
22082	Castejón del Puente	02	34
22082	Castejón del Puente	03	33
22082	Castejón del Puente	04	30
22082	Castejón del Puente	05	9
22082	Castejón del Puente	06	3
22082	Castejón del Puente	07	1
22082	Castejón del Puente	08	2
22082	Castejón del Puente	10 o más	1
22083	Castejón de Monegros	01	60
22083	Castejón de Monegros	02	58
22083	Castejón de Monegros	03	63
22083	Castejón de Monegros	04	36
22083	Castejón de Monegros	05	20
22083	Castejón de Monegros	06	8
22083	Castejón de Monegros	08	1
22084	Castejón de Sos	01	57
22084	Castejón de Sos	02	58
22084	Castejón de Sos	03	54
22084	Castejón de Sos	04	35
22084	Castejón de Sos	05	11
22084	Castejón de Sos	06	4
22084	Castejón de Sos	07	3
22084	Castejón de Sos	09	1
22085	Castelflorite	01	10
22085	Castelflorite	02	12
22085	Castelflorite	03	9
22085	Castelflorite	04	9
22085	Castelflorite	05	8
22086	Castiello de Jaca	01	31
22086	Castiello de Jaca	02	18
22086	Castiello de Jaca	03	11
22086	Castiello de Jaca	04	13
22086	Castiello de Jaca	05	6
22086	Castiello de Jaca	06	1
22087	Castigaleu	01	7
22087	Castigaleu	02	3
22087	Castigaleu	03	3
22087	Castigaleu	04	3
22087	Castigaleu	05	4
22087	Castigaleu	06	2
22087	Castigaleu	07	3
22087	Castigaleu	10 o más	1
22088	Castillazuelo	01	37
22088	Castillazuelo	02	26
22088	Castillazuelo	03	13
22088	Castillazuelo	04	11
22088	Castillazuelo	05	6
22088	Castillazuelo	06	3
22089	Castillonroy	01	35
22089	Castillonroy	02	34
22089	Castillonroy	03	29
22089	Castillonroy	04	23
22089	Castillonroy	05	12
22089	Castillonroy	06	8
22089	Castillonroy	07	3
22089	Castillonroy	08	2
22090	Colungo	01	26
22090	Colungo	02	20
22090	Colungo	03	7
22090	Colungo	04	4
22090	Colungo	05	2
22090	Colungo	06	2
22090	Colungo	08	1
22094	Chalamera	01	23
22094	Chalamera	02	15
22094	Chalamera	03	9
22094	Chalamera	04	12
22094	Chalamera	05	3
22094	Chalamera	06	1
22094	Chalamera	07	1
22095	Chía	01	14
22095	Chía	02	10
22095	Chía	03	8
22095	Chía	04	5
22095	Chía	05	4
22095	Chía	06	1
22095	Chía	07	1
22096	Chimillas	01	14
22096	Chimillas	02	15
22096	Chimillas	03	20
22096	Chimillas	04	21
22096	Chimillas	05	3
22096	Chimillas	06	4
22099	Esplús	01	51
22099	Esplús	02	65
22099	Esplús	03	47
22099	Esplús	04	59
22099	Esplús	05	13
22099	Esplús	06	6
22099	Esplús	07	4
22099	Esplús	08	1
22099	Esplús	09	1
22102	Estada	01	24
22102	Estada	02	21
22102	Estada	03	15
22102	Estada	04	10
22102	Estada	05	7
22102	Estada	06	1
22103	Estadilla	01	83
22103	Estadilla	02	81
22103	Estadilla	03	55
22103	Estadilla	04	56
22103	Estadilla	05	37
22103	Estadilla	06	12
22103	Estadilla	07	3
22105	Estopiñán del Castillo	01	36
22105	Estopiñán del Castillo	02	26
22105	Estopiñán del Castillo	03	16
22105	Estopiñán del Castillo	04	9
22105	Estopiñán del Castillo	05	5
22105	Estopiñán del Castillo	06	2
22105	Estopiñán del Castillo	08	1
22106	Fago	01	14
22106	Fago	02	2
22106	Fago	03	2
22106	Fago	04	2
22106	Fago	05	1
22107	Fanlo	01	35
22107	Fanlo	02	12
22107	Fanlo	03	7
22107	Fanlo	04	9
22107	Fanlo	05	5
22107	Fanlo	06	1
22107	Fanlo	07	1
22107	Fanlo	08	2
22109	Fiscal	01	35
22109	Fiscal	02	27
22109	Fiscal	03	13
22109	Fiscal	04	12
22109	Fiscal	05	9
22109	Fiscal	06	2
22109	Fiscal	07	3
22110	Fonz	01	129
22110	Fonz	02	132
22110	Fonz	03	93
22110	Fonz	04	47
22110	Fonz	05	23
22110	Fonz	06	10
22110	Fonz	07	1
22110	Fonz	08	2
22110	Fonz	10 o más	1
22111	Foradada del Toscar	01	18
22111	Foradada del Toscar	02	15
22111	Foradada del Toscar	03	11
22111	Foradada del Toscar	04	10
22111	Foradada del Toscar	05	9
22111	Foradada del Toscar	06	4
22111	Foradada del Toscar	07	6
22111	Foradada del Toscar	08	2
22111	Foradada del Toscar	10 o más	1
22112	Fraga	01	657
22112	Fraga	02	876
22112	Fraga	03	897
22112	Fraga	04	909
22112	Fraga	05	341
22112	Fraga	06	162
22112	Fraga	07	54
22112	Fraga	08	17
22112	Fraga	09	4
22112	Fraga	10 o más	5
22113	Fueva (La)	01	34
22113	Fueva (La)	02	41
22113	Fueva (La)	03	21
22113	Fueva (La)	04	26
22113	Fueva (La)	05	23
22113	Fueva (La)	06	19
22113	Fueva (La)	07	4
22113	Fueva (La)	08	6
22113	Fueva (La)	09	1
22113	Fueva (La)	10 o más	1
22114	Gistaín	01	20
22114	Gistaín	02	22
22114	Gistaín	03	9
22114	Gistaín	04	6
22114	Gistaín	05	7
22114	Gistaín	06	3
22115	Grado (El)	01	91
22115	Grado (El)	02	58
22115	Grado (El)	03	26
22115	Grado (El)	04	31
22115	Grado (El)	05	13
22115	Grado (El)	06	3
22115	Grado (El)	07	2
22115	Grado (El)	10 o más	1
22116	Grañén	01	151
22116	Grañén	02	160
22116	Grañén	03	157
22116	Grañén	04	141
22116	Grañén	05	58
22116	Grañén	06	17
22116	Grañén	07	2
22116	Grañén	09	1
22117	Graus	01	335
22117	Graus	02	316
22117	Graus	03	195
22117	Graus	04	190
22117	Graus	05	72
22117	Graus	06	39
22117	Graus	07	19
22119	Gurrea de Gállego	01	149
22119	Gurrea de Gállego	02	174
22119	Gurrea de Gállego	03	146
22119	Gurrea de Gállego	04	109
22119	Gurrea de Gállego	05	60
22119	Gurrea de Gállego	06	14
22119	Gurrea de Gállego	07	1
22119	Gurrea de Gállego	10 o más	1
22122	Hoz de Jaca	01	8
22122	Hoz de Jaca	02	3
22122	Hoz de Jaca	03	3
22122	Hoz de Jaca	04	8
22122	Hoz de Jaca	05	2
22122	Hoz de Jaca	06	2
22124	Huerto	01	32
22124	Huerto	02	24
22124	Huerto	03	20
22124	Huerto	04	12
22124	Huerto	05	9
22124	Huerto	06	4
22125	Huesca	01	3577
22125	Huesca	02	4085
22125	Huesca	03	3797
22125	Huesca	04	3603
22125	Huesca	05	1008
22125	Huesca	06	255
22125	Huesca	07	84
22125	Huesca	08	33
22125	Huesca	09	15
22125	Huesca	10 o más	13
22126	Ibieca	01	12
22126	Ibieca	02	10
22126	Ibieca	03	6
22126	Ibieca	04	7
22126	Ibieca	05	3
22126	Ibieca	06	3
22127	Igriés	01	16
22127	Igriés	02	19
22127	Igriés	03	11
22127	Igriés	04	25
22127	Igriés	05	6
22127	Igriés	06	3
22127	Igriés	07	2
22127	Igriés	08	1
22128	Ilche	01	20
22128	Ilche	02	17
22128	Ilche	03	8
22128	Ilche	04	22
22128	Ilche	05	9
22128	Ilche	06	6
22128	Ilche	07	1
22128	Ilche	09	1
22128	Ilche	10 o más	1
22129	Isábena	01	28
22129	Isábena	02	21
22129	Isábena	03	12
22129	Isábena	04	10
22129	Isábena	05	16
22129	Isábena	06	3
22129	Isábena	07	3
22129	Isábena	08	1
22130	Jaca	01	1038
22130	Jaca	02	1028
22130	Jaca	03	841
22130	Jaca	04	776
22130	Jaca	05	285
22130	Jaca	06	93
22130	Jaca	07	45
22130	Jaca	08	16
22130	Jaca	09	3
22130	Jaca	10 o más	2
22131	Jasa	01	18
22131	Jasa	02	11
22131	Jasa	03	5
22131	Jasa	04	10
22131	Jasa	05	1
22131	Jasa	06	1
22131	Jasa	07	2
22133	Labuerda	01	22
22133	Labuerda	02	16
22133	Labuerda	03	12
22133	Labuerda	04	6
22133	Labuerda	05	6
22133	Labuerda	06	1
22133	Labuerda	08	3
22135	Laluenga	01	36
22135	Laluenga	02	20
22135	Laluenga	03	20
22135	Laluenga	04	13
22135	Laluenga	05	3
22135	Laluenga	06	4
22135	Laluenga	07	3
22135	Laluenga	09	1
22136	Lalueza	01	104
22136	Lalueza	02	106
22136	Lalueza	03	87
22136	Lalueza	04	81
22136	Lalueza	05	34
22136	Lalueza	06	8
22136	Lalueza	07	8
22136	Lalueza	08	1
22137	Lanaja	01	169
22137	Lanaja	02	144
22137	Lanaja	03	114
22137	Lanaja	04	98
22137	Lanaja	05	41
22137	Lanaja	06	18
22137	Lanaja	07	3
22139	Laperdiguera	01	9
22139	Laperdiguera	02	4
22139	Laperdiguera	03	8
22139	Laperdiguera	04	3
22139	Laperdiguera	05	10
22139	Laperdiguera	07	1
22141	Lascellas-Ponzano	01	25
22141	Lascellas-Ponzano	02	19
22141	Lascellas-Ponzano	03	12
22141	Lascellas-Ponzano	04	5
22141	Lascellas-Ponzano	05	8
22141	Lascellas-Ponzano	07	1
22142	Lascuarre	01	20
22142	Lascuarre	02	11
22142	Lascuarre	03	8
22142	Lascuarre	04	7
22142	Lascuarre	05	3
22142	Lascuarre	06	6
22142	Lascuarre	07	2
22143	Laspaúles	01	34
22143	Laspaúles	02	24
22143	Laspaúles	03	17
22143	Laspaúles	04	9
22143	Laspaúles	05	7
22143	Laspaúles	06	4
22143	Laspaúles	07	7
22144	Laspuña	01	15
22144	Laspuña	02	13
22144	Laspuña	03	20
22144	Laspuña	04	15
22144	Laspuña	05	8
22144	Laspuña	06	6
22144	Laspuña	07	5
22149	Loarre	01	52
22149	Loarre	02	33
22149	Loarre	03	33
22149	Loarre	04	24
22149	Loarre	05	9
22149	Loarre	06	3
22149	Loarre	07	1
22149	Loarre	08	1
22149	Loarre	09	1
22150	Loporzano	01	43
22150	Loporzano	02	39
22150	Loporzano	03	34
22150	Loporzano	04	29
22150	Loporzano	05	15
22150	Loporzano	06	7
22150	Loporzano	07	1
22150	Loporzano	08	2
22150	Loporzano	09	1
22151	Loscorrales	01	15
22151	Loscorrales	02	12
22151	Loscorrales	03	8
22151	Loscorrales	04	5
22151	Loscorrales	05	1
22151	Loscorrales	06	2
22151	Loscorrales	07	2
22155	Monesma y Cajigar	01	5
22155	Monesma y Cajigar	02	5
22155	Monesma y Cajigar	03	4
22155	Monesma y Cajigar	04	7
22155	Monesma y Cajigar	05	2
22155	Monesma y Cajigar	06	4
22155	Monesma y Cajigar	09	1
22156	Monflorite-Lascasas	01	19
22156	Monflorite-Lascasas	02	18
22156	Monflorite-Lascasas	03	13
22156	Monflorite-Lascasas	04	14
22156	Monflorite-Lascasas	05	5
22156	Monflorite-Lascasas	06	3
22156	Monflorite-Lascasas	07	2
22157	Montanuy	01	31
22157	Montanuy	02	29
22157	Montanuy	03	18
22157	Montanuy	04	10
22157	Montanuy	05	8
22157	Montanuy	06	7
22157	Montanuy	07	2
22157	Montanuy	08	1
22157	Montanuy	09	1
22158	Monzón	01	1045
22158	Monzón	02	1446
22158	Monzón	03	1221
22158	Monzón	04	1095
22158	Monzón	05	353
22158	Monzón	06	110
22158	Monzón	07	32
22158	Monzón	08	11
22158	Monzón	09	3
22158	Monzón	10 o más	2
22160	Naval	01	45
22160	Naval	02	24
22160	Naval	03	19
22160	Naval	04	14
22160	Naval	05	12
22160	Naval	06	3
22160	Naval	07	2
22160	Naval	08	2
22162	Novales	01	19
22162	Novales	02	13
22162	Novales	03	10
22162	Novales	04	12
22162	Novales	05	6
22162	Novales	06	1
22162	Novales	07	3
22163	Nueno	01	32
22163	Nueno	02	40
22163	Nueno	03	23
22163	Nueno	04	23
22163	Nueno	05	6
22163	Nueno	06	4
22163	Nueno	07	1
22163	Nueno	09	1
22163	Nueno	10 o más	1
22164	Olvena	01	9
22164	Olvena	02	10
22164	Olvena	03	2
22164	Olvena	04	1
22164	Olvena	05	2
22165	Ontiñena	01	49
22165	Ontiñena	02	70
22165	Ontiñena	03	37
22165	Ontiñena	04	41
22165	Ontiñena	05	20
22165	Ontiñena	06	12
22165	Ontiñena	07	2
22167	Osso de Cinca	01	48
22167	Osso de Cinca	02	47
22167	Osso de Cinca	03	44
22167	Osso de Cinca	04	49
22167	Osso de Cinca	05	18
22167	Osso de Cinca	06	13
22167	Osso de Cinca	07	10
22167	Osso de Cinca	08	3
22168	Palo	01	6
22168	Palo	02	4
22168	Palo	03	5
22168	Palo	10 o más	1
22170	Panticosa	01	74
22170	Panticosa	02	73
22170	Panticosa	03	55
22170	Panticosa	04	43
22170	Panticosa	05	24
22170	Panticosa	06	2
22170	Panticosa	07	1
22170	Panticosa	09	1
22172	Peñalba	01	38
22172	Peñalba	02	44
22172	Peñalba	03	58
22172	Peñalba	04	44
22172	Peñalba	05	26
22172	Peñalba	06	14
22172	Peñalba	07	5
22172	Peñalba	08	4
22172	Peñalba	09	3
22173	Peñas de Riglos (Las)	01	48
22173	Peñas de Riglos (Las)	02	47
22173	Peñas de Riglos (Las)	03	18
22173	Peñas de Riglos (Las)	04	11
22173	Peñas de Riglos (Las)	05	3
22173	Peñas de Riglos (Las)	06	1
22173	Peñas de Riglos (Las)	07	1
22174	Peralta de Alcofea	01	61
22174	Peralta de Alcofea	02	58
22174	Peralta de Alcofea	03	40
22174	Peralta de Alcofea	04	40
22174	Peralta de Alcofea	05	22
22174	Peralta de Alcofea	06	14
22174	Peralta de Alcofea	07	6
22174	Peralta de Alcofea	08	1
22175	Peralta de Calasanz	01	51
22175	Peralta de Calasanz	02	42
22175	Peralta de Calasanz	03	18
22175	Peralta de Calasanz	04	12
22175	Peralta de Calasanz	05	2
22175	Peralta de Calasanz	06	1
22176	Peraltilla	01	14
22176	Peraltilla	02	12
22176	Peraltilla	03	11
22176	Peraltilla	04	14
22176	Peraltilla	05	4
22176	Peraltilla	06	2
22176	Peraltilla	07	1
22177	Perarrúa	01	27
22177	Perarrúa	02	10
22177	Perarrúa	03	6
22177	Perarrúa	04	2
22177	Perarrúa	05	4
22177	Perarrúa	06	1
22177	Perarrúa	07	4
22178	Pertusa	01	14
22178	Pertusa	02	11
22178	Pertusa	03	9
22178	Pertusa	04	11
22178	Pertusa	05	2
22178	Pertusa	06	2
22178	Pertusa	07	1
22178	Pertusa	08	1
22178	Pertusa	09	1
22181	Piracés	01	8
22181	Piracés	02	10
22181	Piracés	03	6
22181	Piracés	04	4
22181	Piracés	05	4
22181	Piracés	06	2
22181	Piracés	09	1
22182	Plan	01	35
