Año	Comarca código	Comarca nombre	Superficie regada (has)	Superficie Agrícola Utilizada (SAU)	% superficie regada sobre SAU
1989	01	La Jacetania	1183,76	52140	2,27034906022248
1989	02	Alto Gállego	719,48	43203	1,66534731384395
1989	03	Sobrarbe	973,37	52049	1,87010317201099
1989	04	La Ribagorza	1339,94	90388	1,48243129618976
1989	05	Cinco Villas	41213,6	182755	22,5512845065798
1989	06	Hoya de Huesca / Plana de Uesca	15078,71	128684	11,7176261229057
1989	07	Somontano de Barbastro	11100,25	59228	18,7415580468697
1989	08	Cinca Medio	26829,5	38467	69,7467959549744
1989	09	La Litera / La Llitera	23396,56	43775	53,4473101085094
1989	10	Los Monegros	48872,74	178761	27,339710563266
1989	11	Bajo Cinca / Baix Cinca	18575,29	75492	24,6056403327505
1989	12	Tarazona y el Moncayo	4629,56	18663	24,8060869099287
1989	13	Campo de Borja	8816,22	47490	18,5643714466203
1989	14	Aranda	780,24	37663	2,07163529193107
1989	15	Ribera Alta del Ebro	17075,25	32626	52,3363268558818
1989	16	Valdejalón	12472,27	62437	19,9757675737143
1989	17	D.C. Zaragoza	30196,89	108012	27,9569770025553
1989	18	Ribera Baja del Ebro	9670,74	61149	15,8150419467203
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	6208,91	51976	11,9457249499769
1989	20	Comunidad de Calatayud	9515,56	136682	6,96182379537906
1989	21	Campo de Cariñena	3755,5	49754	7,54813683321944
1989	22	Campo de Belchite	3553,41	79995	4,44204012750797
1989	23	Bajo Martín	4367,19	59955	7,28411308481361
1989	24	Campo de Daroca	851,76	67953	1,25345459361618
1989	25	Jiloca	4957,05	123832	4,00304444731572
1989	26	Cuencas Mineras	689,57	73819	0,934136197997805
1989	27	Andorra-Sierra de Arcos	406,37	39389	1,03168397268273
1989	28	Bajo Aragón	5976,16	60505	9,87713412114701
1989	29	Comunidad de Teruel	6253,55	175105	3,5713143542446
1989	30	Maestrazgo	679,35	64644	1,05090959717839
1989	31	Sierra de Albarracín	524,68	40765	1,28708450876978
1989	32	Gúdar-Javalambre	1002,81	96326	1,04105848888151
1989	33	Matarraña / Matarranya	925,49	26501	3,49228331006377
1999	01	La Jacetania	1270,47	78788,03	1,61251652059329
1999	02	Alto Gállego	742	39071,35	1,899089742228
1999	03	Sobrarbe	1171,23	94223,61	1,2430323992044
1999	04	La Ribagorza	2553,18	72885,16	3,50301762388942
1999	05	Cinco Villas	58437,03	183468,5	31,8512605706157
1999	06	Hoya de Huesca / Plana de Uesca	19484,76	137899,19	14,129713162202
1999	07	Somontano de Barbastro	13826,96	64376,42	21,478299041792
1999	08	Cinca Medio	32649,59	46003,56	70,9718769590875
1999	09	La Litera / La Llitera	24483,76	44546,19	54,9626354128153
1999	10	Los Monegros	59550,67	192710,77	30,9015785677158
1999	11	Bajo Cinca / Baix Cinca	24304,66	72828,02	33,3726771646408
1999	12	Tarazona y el Moncayo	5893,23	16271,92	36,2171765839557
1999	13	Campo de Borja	10142,94	43758,82	23,1791899324525
1999	14	Aranda	713	27584,54	2,58478118540313
1999	15	Ribera Alta del Ebro	14710,94	32617,54	45,1013166535551
1999	16	Valdejalón	13988,53	59203,25	23,6279765046682
1999	17	D.C. Zaragoza	31235,23	107954,19	28,9337820051264
1999	18	Ribera Baja del Ebro	11443,41	64051,99	17,8658149418933
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7655,45	45625,57	16,7788588723385
1999	20	Comunidad de Calatayud	9337,73	100763,45	9,26698123178593
1999	21	Campo de Cariñena	4824,55	54695,99	8,82066491528904
1999	22	Campo de Belchite	3916,97	72626,24	5,39332615869967
1999	23	Bajo Martín	4079,4	54937,89	7,42547629696008
1999	24	Campo de Daroca	1307,75	68902,84	1,897962406194
1999	25	Jiloca	4951,11	123181,85	4,01935025330436
1999	26	Cuencas Mineras	633,66	61545,23	1,02958425860136
1999	27	Andorra-Sierra de Arcos	463,17	28052,8	1,65106513431814
1999	28	Bajo Aragón	5709,62	76275,65	7,48550815365061
1999	29	Comunidad de Teruel	5950,28	150226,14	3,96088190776918
1999	30	Maestrazgo	617,8	55088,34	1,12147144023581
1999	31	Sierra de Albarracín	310,28	75083,45	0,413246860659706
1999	32	Gúdar-Javalambre	558,89	89569,71	0,623972099496582
1999	33	Matarraña / Matarranya	766,94	27882,66	2,75059840058301
