Año	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código	Código	Municipio
2020	36	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2020	66	Menos de 10 trabajadores	Leves	1	22112	Fraga
2020	201	Menos de 10 trabajadores	Leves	1	22125	Huesca
2020	41	Menos de 10 trabajadores	Leves	1	22130	Jaca
2020	61	Menos de 10 trabajadores	Leves	1	22158	Monzón
2020	69	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2020	96	Menos de 10 trabajadores	Leves	1	44216	Teruel
2020	55	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2020	30	Menos de 10 trabajadores	Leves	1	50074	Caspe
2020	62	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2020	62	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2020	40	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2020	49	Menos de 10 trabajadores	Leves	1	50272	Utebo
2020	941	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2019	47	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2019	79	Menos de 10 trabajadores	Leves	1	22112	Fraga
2019	197	Menos de 10 trabajadores	Leves	1	22125	Huesca
2019	61	Menos de 10 trabajadores	Leves	1	22130	Jaca
2019	71	Menos de 10 trabajadores	Leves	1	22158	Monzón
2019	65	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2019	121	Menos de 10 trabajadores	Leves	1	44216	Teruel
2019	51	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2019	34	Menos de 10 trabajadores	Leves	1	50074	Caspe
2019	76	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2019	68	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2019	48	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2019	68	Menos de 10 trabajadores	Leves	1	50272	Utebo
2019	1230	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2018	48	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2018	61	Menos de 10 trabajadores	Leves	1	22112	Fraga
2018	164	Menos de 10 trabajadores	Leves	1	22125	Huesca
2018	34	Menos de 10 trabajadores	Leves	1	22130	Jaca
2018	65	Menos de 10 trabajadores	Leves	1	22158	Monzón
2018	54	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2018	114	Menos de 10 trabajadores	Leves	1	44216	Teruel
2018	45	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2018	29	Menos de 10 trabajadores	Leves	1	50074	Caspe
2018	71	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2018	79	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2018	43	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2018	59	Menos de 10 trabajadores	Leves	1	50272	Utebo
2018	1002	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2017	50	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2017	66	Menos de 10 trabajadores	Leves	1	22112	Fraga
2017	178	Menos de 10 trabajadores	Leves	1	22125	Huesca
2017	36	Menos de 10 trabajadores	Leves	1	22130	Jaca
2017	60	Menos de 10 trabajadores	Leves	1	22158	Monzón
2017	65	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2017	100	Menos de 10 trabajadores	Leves	1	44216	Teruel
2017	45	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2017	28	Menos de 10 trabajadores	Leves	1	50074	Caspe
2017	56	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2017	62	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2017	31	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2017	53	Menos de 10 trabajadores	Leves	1	50272	Utebo
2017	1050	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2016	67	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2016	67	Menos de 10 trabajadores	Leves	1	22112	Fraga
2016	151	Menos de 10 trabajadores	Leves	1	22125	Huesca
2016	27	Menos de 10 trabajadores	Leves	1	22130	Jaca
2016	55	Menos de 10 trabajadores	Leves	1	22158	Monzón
2016	48	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2016	122	Menos de 10 trabajadores	Leves	1	44216	Teruel
2016	59	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2016	26	Menos de 10 trabajadores	Leves	1	50074	Caspe
2016	71	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2016	55	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2016	33	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2016	47	Menos de 10 trabajadores	Leves	1	50272	Utebo
2016	1063	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2015	48	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2015	63	Menos de 10 trabajadores	Leves	1	22112	Fraga
2015	159	Menos de 10 trabajadores	Leves	1	22125	Huesca
2015	23	Menos de 10 trabajadores	Leves	1	22130	Jaca
2015	62	Menos de 10 trabajadores	Leves	1	22158	Monzón
2015	37	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2015	70	Menos de 10 trabajadores	Leves	1	44216	Teruel
2015	40	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2015	29	Menos de 10 trabajadores	Leves	1	50074	Caspe
2015	58	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2015	59	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2015	32	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2015	28	Menos de 10 trabajadores	Leves	1	50272	Utebo
2015	927	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2014	65	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2014	60	Menos de 10 trabajadores	Leves	1	22112	Fraga
2014	147	Menos de 10 trabajadores	Leves	1	22125	Huesca
2014	30	Menos de 10 trabajadores	Leves	1	22130	Jaca
2014	46	Menos de 10 trabajadores	Leves	1	22158	Monzón
2014	45	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2014	82	Menos de 10 trabajadores	Leves	1	44216	Teruel
2014	50	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2014	27	Menos de 10 trabajadores	Leves	1	50074	Caspe
2014	63	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2014	62	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2014	25	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2014	26	Menos de 10 trabajadores	Leves	1	50272	Utebo
2014	887	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2013	46	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2013	49	Menos de 10 trabajadores	Leves	1	22112	Fraga
2013	126	Menos de 10 trabajadores	Leves	1	22125	Huesca
2013	40	Menos de 10 trabajadores	Leves	1	22130	Jaca
2013	39	Menos de 10 trabajadores	Leves	1	22158	Monzón
2013	43	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2013	77	Menos de 10 trabajadores	Leves	1	44216	Teruel
2013	34	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2013	33	Menos de 10 trabajadores	Leves	1	50074	Caspe
2013	74	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2013	52	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2013	27	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2013	32	Menos de 10 trabajadores	Leves	1	50272	Utebo
2013	939	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2012	39	Menos de 10 trabajadores	Leves	1	22048	Barbastro
2012	61	Menos de 10 trabajadores	Leves	1	22112	Fraga
2012	123	Menos de 10 trabajadores	Leves	1	22125	Huesca
2012	26	Menos de 10 trabajadores	Leves	1	22130	Jaca
2012	49	Menos de 10 trabajadores	Leves	1	22158	Monzón
2012	44	Menos de 10 trabajadores	Leves	1	44013	Alcañiz
2012	75	Menos de 10 trabajadores	Leves	1	44216	Teruel
2012	52	Menos de 10 trabajadores	Leves	1	50067	Calatayud
2012	28	Menos de 10 trabajadores	Leves	1	50074	Caspe
2012	64	Menos de 10 trabajadores	Leves	1	50089	Cuarte de Huerva
2012	56	Menos de 10 trabajadores	Leves	1	50095	Ejea de los Caballeros
2012	27	Menos de 10 trabajadores	Leves	1	50251	Tarazona
2012	31	Menos de 10 trabajadores	Leves	1	50272	Utebo
2012	938	Menos de 10 trabajadores	Leves	1	50297	Zaragoza
2011	53	Menos de 10 trabajadores	Leves	1	22048	Barbastro
