Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	Grupo	Descripción Ocupación	Sexo
2020	22	Huesca	15	1	Directores y gerentes	Hombres
2020	22	Huesca	6	1	Directores y gerentes	Mujeres
2020	44	Teruel	9	1	Directores y gerentes	Hombres
2020	44	Teruel	3	1	Directores y gerentes	Mujeres
2020	50	Zaragoza	69	1	Directores y gerentes	Hombres
2020	50	Zaragoza	24	1	Directores y gerentes	Mujeres
2020	22	Huesca	70	2	Técnicos y profesionales científicos e intelectuales	Hombres
2020	22	Huesca	158	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2020	44	Teruel	16	2	Técnicos y profesionales científicos e intelectuales	Hombres
2020	44	Teruel	27	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2020	50	Zaragoza	202	2	Técnicos y profesionales científicos e intelectuales	Hombres
2020	50	Zaragoza	479	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2020	22	Huesca	82	3	Técnicos; profesionales de apoyo	Hombres
2020	22	Huesca	22	3	Técnicos; profesionales de apoyo	Mujeres
2020	44	Teruel	23	3	Técnicos; profesionales de apoyo	Hombres
2020	44	Teruel	7	3	Técnicos; profesionales de apoyo	Mujeres
2020	50	Zaragoza	250	3	Técnicos; profesionales de apoyo	Hombres
2020	50	Zaragoza	79	3	Técnicos; profesionales de apoyo	Mujeres
2020	22	Huesca	13	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2020	22	Huesca	58	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2020	44	Teruel	14	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2020	44	Teruel	17	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2020	50	Zaragoza	87	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2020	50	Zaragoza	121	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2020	22	Huesca	155	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2020	22	Huesca	299	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2020	44	Teruel	57	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2020	44	Teruel	162	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2020	50	Zaragoza	621	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2020	50	Zaragoza	1617	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2020	22	Huesca	180	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2020	22	Huesca	18	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2020	44	Teruel	109	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2020	44	Teruel	17	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2020	50	Zaragoza	192	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2020	50	Zaragoza	29	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2020	22	Huesca	993	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2020	22	Huesca	100	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2020	44	Teruel	434	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2020	44	Teruel	21	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2020	50	Zaragoza	2308	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2020	50	Zaragoza	196	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2020	22	Huesca	395	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2020	22	Huesca	23	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2020	44	Teruel	242	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2020	44	Teruel	14	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2020	50	Zaragoza	1416	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2020	50	Zaragoza	128	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2020	22	Huesca	647	9	Ocupaciones elementales	Hombres
2020	22	Huesca	216	9	Ocupaciones elementales	Mujeres
2020	44	Teruel	322	9	Ocupaciones elementales	Hombres
2020	44	Teruel	112	9	Ocupaciones elementales	Mujeres
2020	50	Zaragoza	1826	9	Ocupaciones elementales	Hombres
2020	50	Zaragoza	780	9	Ocupaciones elementales	Mujeres
2019	22	Huesca	20	1	Directores y gerentes	Hombres
2019	22	Huesca	5	1	Directores y gerentes	Mujeres
2019	44	Teruel	4	1	Directores y gerentes	Hombres
2019	44	Teruel	4	1	Directores y gerentes	Mujeres
2019	50	Zaragoza	91	1	Directores y gerentes	Hombres
2019	50	Zaragoza	38	1	Directores y gerentes	Mujeres
2019	22	Huesca	32	2	Técnicos y profesionales científicos e intelectuales	Hombres
2019	22	Huesca	44	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2019	44	Teruel	16	2	Técnicos y profesionales científicos e intelectuales	Hombres
2019	44	Teruel	22	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2019	50	Zaragoza	170	2	Técnicos y profesionales científicos e intelectuales	Hombres
2019	50	Zaragoza	229	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2019	22	Huesca	82	3	Técnicos; profesionales de apoyo	Hombres
2019	22	Huesca	18	3	Técnicos; profesionales de apoyo	Mujeres
2019	44	Teruel	23	3	Técnicos; profesionales de apoyo	Hombres
2019	44	Teruel	10	3	Técnicos; profesionales de apoyo	Mujeres
2019	50	Zaragoza	302	3	Técnicos; profesionales de apoyo	Hombres
2019	50	Zaragoza	101	3	Técnicos; profesionales de apoyo	Mujeres
2019	22	Huesca	19	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2019	22	Huesca	42	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2019	44	Teruel	13	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2019	44	Teruel	21	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2019	50	Zaragoza	100	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2019	50	Zaragoza	142	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2019	22	Huesca	176	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2019	22	Huesca	319	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2019	44	Teruel	43	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2019	44	Teruel	189	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2019	50	Zaragoza	616	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2019	50	Zaragoza	1386	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2019	22	Huesca	197	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2019	22	Huesca	18	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2019	44	Teruel	86	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2019	44	Teruel	12	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2019	50	Zaragoza	208	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2019	50	Zaragoza	28	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2019	22	Huesca	917	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2019	22	Huesca	50	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2019	44	Teruel	397	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2019	44	Teruel	25	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2019	50	Zaragoza	2755	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2019	50	Zaragoza	207	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2019	22	Huesca	432	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2019	22	Huesca	35	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2019	44	Teruel	252	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2019	44	Teruel	17	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2019	50	Zaragoza	1823	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2019	50	Zaragoza	130	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2019	22	Huesca	758	9	Ocupaciones elementales	Hombres
2019	22	Huesca	262	9	Ocupaciones elementales	Mujeres
2019	44	Teruel	321	9	Ocupaciones elementales	Hombres
2019	44	Teruel	109	9	Ocupaciones elementales	Mujeres
2019	50	Zaragoza	2181	9	Ocupaciones elementales	Hombres
2019	50	Zaragoza	1057	9	Ocupaciones elementales	Mujeres
2018	22	Huesca	6	1	Directores y gerentes	Hombres
2018	22	Huesca	2	1	Directores y gerentes	Mujeres
2018	44	Teruel	7	1	Directores y gerentes	Hombres
2018	44	Teruel	1	1	Directores y gerentes	Mujeres
2018	50	Zaragoza	19	1	Directores y gerentes	Hombres
2018	50	Zaragoza	9	1	Directores y gerentes	Mujeres
2018	22	Huesca	22	2	Técnicos y profesionales científicos e intelectuales	Hombres
2018	22	Huesca	51	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2018	44	Teruel	6	2	Técnicos y profesionales científicos e intelectuales	Hombres
2018	44	Teruel	27	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2018	50	Zaragoza	106	2	Técnicos y profesionales científicos e intelectuales	Hombres
2018	50	Zaragoza	187	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2018	22	Huesca	56	3	Técnicos; profesionales de apoyo	Hombres
2018	22	Huesca	19	3	Técnicos; profesionales de apoyo	Mujeres
2018	44	Teruel	18	3	Técnicos; profesionales de apoyo	Hombres
2018	44	Teruel	9	3	Técnicos; profesionales de apoyo	Mujeres
2018	50	Zaragoza	266	3	Técnicos; profesionales de apoyo	Hombres
2018	50	Zaragoza	87	3	Técnicos; profesionales de apoyo	Mujeres
2018	22	Huesca	11	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2018	22	Huesca	40	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2018	44	Teruel	7	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2018	44	Teruel	19	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2018	50	Zaragoza	99	4	Empleados contables, administrativos y otros empleados de oficina	Hombres
2018	50	Zaragoza	152	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres
2018	22	Huesca	144	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2018	22	Huesca	283	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2018	44	Teruel	48	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2018	44	Teruel	175	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2018	50	Zaragoza	634	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres
2018	50	Zaragoza	1384	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres
2018	22	Huesca	181	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2018	22	Huesca	12	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2018	44	Teruel	91	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2018	44	Teruel	8	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2018	50	Zaragoza	156	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres
2018	50	Zaragoza	25	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres
2018	22	Huesca	721	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2018	22	Huesca	23	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2018	44	Teruel	366	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2018	44	Teruel	28	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2018	50	Zaragoza	2424	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres
2018	50	Zaragoza	148	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres
2018	22	Huesca	399	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2018	22	Huesca	11	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2018	44	Teruel	262	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2018	44	Teruel	14	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2018	50	Zaragoza	1831	8	Operadores de instalaciones y maquinaria, y montadores	Hombres
2018	50	Zaragoza	154	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres
2018	22	Huesca	686	9	Ocupaciones elementales	Hombres
2018	22	Huesca	209	9	Ocupaciones elementales	Mujeres
2018	44	Teruel	362	9	Ocupaciones elementales	Hombres
2018	44	Teruel	115	9	Ocupaciones elementales	Mujeres
2018	50	Zaragoza	2336	9	Ocupaciones elementales	Hombres
2018	50	Zaragoza	1124	9	Ocupaciones elementales	Mujeres
2017	22	Huesca	8	1	Directores y gerentes	Hombres
2017	22	Huesca	4	1	Directores y gerentes	Mujeres
2017	44	Teruel	4	1	Directores y gerentes	Hombres
2017	44	Teruel	2	1	Directores y gerentes	Mujeres
2017	50	Zaragoza	27	1	Directores y gerentes	Hombres
2017	50	Zaragoza	16	1	Directores y gerentes	Mujeres
2017	22	Huesca	20	2	Técnicos y profesionales científicos e intelectuales	Hombres
2017	22	Huesca	41	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2017	44	Teruel	7	2	Técnicos y profesionales científicos e intelectuales	Hombres
2017	44	Teruel	14	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2017	50	Zaragoza	95	2	Técnicos y profesionales científicos e intelectuales	Hombres
2017	50	Zaragoza	211	2	Técnicos y profesionales científicos e intelectuales	Mujeres
2017	22	Huesca	55	3	Técnicos; profesionales de apoyo	Hombres
2017	22	Huesca	23	3	Técnicos; profesionales de apoyo	Mujeres
2017	44	Teruel	19	3	Técnicos; profesionales de apoyo	Hombres
