Provincia código	Provincia nombre	Situación profesional código	Situación profesional	Sexo	Personas residentes viviendas familiares
22	Huesca	1	Empresario o profesional que emplea personal	Hombres	5656
22	Huesca	1	Empresario o profesional que emplea personal	Mujeres	1853
22	Huesca	2	Empresario o profesional que no emplea personal	Hombres	11673
22	Huesca	2	Empresario o profesional que no emplea personal	Mujeres	3583
22	Huesca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	27664
22	Huesca	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	16199
22	Huesca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	9075
22	Huesca	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	8183
22	Huesca	5	Otra situación (Ayuda familiar)	Hombres	77
22	Huesca	5	Otra situación (Ayuda familiar)	Mujeres	103
22	Huesca	6	Otra situación (Miembro de cooperativas)	Hombres	98
22	Huesca	6	Otra situación (Miembro de cooperativas)	Mujeres	158
44	Teruel	1	Empresario o profesional que emplea personal	Hombres	3075
44	Teruel	1	Empresario o profesional que emplea personal	Mujeres	850
44	Teruel	2	Empresario o profesional que no emplea personal	Hombres	7644
44	Teruel	2	Empresario o profesional que no emplea personal	Mujeres	2819
44	Teruel	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	16390
44	Teruel	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	8926
44	Teruel	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	5589
44	Teruel	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	4803
44	Teruel	5	Otra situación (Ayuda familiar)	Hombres	69
44	Teruel	5	Otra situación (Ayuda familiar)	Mujeres	154
44	Teruel	6	Otra situación (Miembro de cooperativas)	Hombres	144
44	Teruel	6	Otra situación (Miembro de cooperativas)	Mujeres	161
50	Zaragoza	1	Empresario o profesional que emplea personal	Hombres	17933
50	Zaragoza	1	Empresario o profesional que emplea personal	Mujeres	6270
50	Zaragoza	2	Empresario o profesional que no emplea personal	Hombres	28721
50	Zaragoza	2	Empresario o profesional que no emplea personal	Mujeres	11374
50	Zaragoza	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	135958
50	Zaragoza	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	81097
50	Zaragoza	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	40017
50	Zaragoza	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	37741
50	Zaragoza	5	Otra situación (Ayuda familiar)	Hombres	291
50	Zaragoza	5	Otra situación (Ayuda familiar)	Mujeres	421
50	Zaragoza	6	Otra situación (Miembro de cooperativas)	Hombres	594
50	Zaragoza	6	Otra situación (Miembro de cooperativas)	Mujeres	406
