Comarca código	Comarca nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
01	La Jacetania	2008	18144	14387	10555	3832	273	209	10073	73,3648432612775
01	La Jacetania	2011	18664	14468	9681	4787	494	935	8252	66,9131877246337
01	La Jacetania	2015	18235	14326	9899	4427	329	644	8926	69,0981432360743
01	La Jacetania	2016	18080	14292	9528	4764	252	318	8958	66,6666666666667
02	Alto Gállego	2008	13955	10738	8312	2426	160	168	7984	77,4073384242876
02	Alto Gállego	2011	14921	10623	7219	3404	406	667	6146	67,956321189871
02	Alto Gállego	2015	14139	10340	7433	2907	302	429	6702	71,8858800773694
02	Alto Gállego	2016	13766	10352	7024	3328	239	217	6568	67,8516228748068
03	Sobrarbe	2008	7483	5998	4847	1151	99	74	4674	80,81027009003
03	Sobrarbe	2011	7718	5849	4158	1691	164	260	3734	71,0890750555651
03	Sobrarbe	2015	7633	5744	4203	1541	113	218	3872	73,1720055710306
03	Sobrarbe	2016	7556	5684	4141	1543	99	135	3907	72,853624208304
04	La Ribagorza	2008	12953	10325	7543	2782	151	212	7180	73,0556900726392
04	La Ribagorza	2011	13473	9974	6952	3022	366	538	6048	69,7012231802687
04	La Ribagorza	2015	12624	9354	6703	2651	209	380	6114	71,6591832371178
04	La Ribagorza	2016	12376	9304	6489	2815	211	279	5999	69,744196044712
05	Cinco Villas	2008	33196	25685	19594	6091	449	433	18712	76,2857699046136
05	Cinco Villas	2011	33331	24955	17998	6957	630	1004	16364	72,1218192746945
05	Cinco Villas	2015	31442	23997	17415	6582	599	878	15938	72,5715714464308
05	Cinco Villas	2016	31108	23790	16877	6913	473	531	15873	70,9415720891131
06	Hoya de Huesca / Plana de Uesca	2008	65266	50993	39406	11587	875	812	37719	77,2772733512443
06	Hoya de Huesca / Plana de Uesca	2011	68428	51453	36466	14987	1724	2724	32018	70,8724466989291
06	Hoya de Huesca / Plana de Uesca	2015	68286	51537	37524	14013	1273	1800	34451	72,8098259502881
06	Hoya de Huesca / Plana de Uesca	2016	67806	51445	35989	15456	967	1187	33835	69,9562639712314
07	Somontano de Barbastro	2008	23613	18714	14831	3883	329	276	14226	79,25082825692
07	Somontano de Barbastro	2011	24410	18688	13785	4903	523	1012	12250	73,7639126712329
07	Somontano de Barbastro	2015	24086	18458	13595	4863	431	755	12409	73,6537002925561
07	Somontano de Barbastro	2016	23925	18369	12981	5388	320	506	12155	70,6679732157439
08	Cinca Medio	2008	23084	17627	13522	4105	399	249	12874	76,7118624836898
