Comarca codigo	Comarca nombre	Explotaciones	Porcentaje SAU régimen tenencia código	Porcentaje SAU régimen tenencia
01	La Jacetania	13	0	Si no hay SAU
01	La Jacetania	362	1	Toda la SAU en propiedad
01	La Jacetania	76	2	Toda la SAU en arrendamiento
01	La Jacetania	14	3	Todo la SAU en aparcería u otro régimen de tenencia
01	La Jacetania	94	4	Más del 50% de la SAU en propiedad
01	La Jacetania	86	5	Más del 50% de la SAU en arrendamiento
01	La Jacetania	17	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
01	La Jacetania	37	7	Ningún régimen superior al 50%
02	Alto Gállego	14	0	Si no hay SAU
02	Alto Gállego	228	1	Toda la SAU en propiedad
02	Alto Gállego	61	2	Toda la SAU en arrendamiento
02	Alto Gállego	12	3	Todo la SAU en aparcería u otro régimen de tenencia
02	Alto Gállego	41	4	Más del 50% de la SAU en propiedad
02	Alto Gállego	54	5	Más del 50% de la SAU en arrendamiento
02	Alto Gállego	10	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
02	Alto Gállego	15	7	Ningún régimen superior al 50%
03	Sobrarbe	34	0	Si no hay SAU
03	Sobrarbe	379	1	Toda la SAU en propiedad
03	Sobrarbe	103	2	Toda la SAU en arrendamiento
03	Sobrarbe	28	3	Todo la SAU en aparcería u otro régimen de tenencia
03	Sobrarbe	95	4	Más del 50% de la SAU en propiedad
03	Sobrarbe	110	5	Más del 50% de la SAU en arrendamiento
03	Sobrarbe	24	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
03	Sobrarbe	39	7	Ningún régimen superior al 50%
04	La Ribagorza	46	0	Si no hay SAU
04	La Ribagorza	723	1	Toda la SAU en propiedad
04	La Ribagorza	242	2	Toda la SAU en arrendamiento
04	La Ribagorza	62	3	Todo la SAU en aparcería u otro régimen de tenencia
04	La Ribagorza	207	4	Más del 50% de la SAU en propiedad
04	La Ribagorza	194	5	Más del 50% de la SAU en arrendamiento
04	La Ribagorza	68	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
04	La Ribagorza	44	7	Ningún régimen superior al 50%
05	Cinco Villas	118	0	Si no hay SAU
05	Cinco Villas	1495	1	Toda la SAU en propiedad
05	Cinco Villas	395	2	Toda la SAU en arrendamiento
05	Cinco Villas	202	3	Todo la SAU en aparcería u otro régimen de tenencia
05	Cinco Villas	530	4	Más del 50% de la SAU en propiedad
05	Cinco Villas	426	5	Más del 50% de la SAU en arrendamiento
05	Cinco Villas	155	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
05	Cinco Villas	170	7	Ningún régimen superior al 50%
06	Hoya de Huesca / Plana de Uesca	63	0	Si no hay SAU
06	Hoya de Huesca / Plana de Uesca	1402	1	Toda la SAU en propiedad
06	Hoya de Huesca / Plana de Uesca	224	2	Toda la SAU en arrendamiento
06	Hoya de Huesca / Plana de Uesca	76	3	Todo la SAU en aparcería u otro régimen de tenencia
06	Hoya de Huesca / Plana de Uesca	381	4	Más del 50% de la SAU en propiedad
06	Hoya de Huesca / Plana de Uesca	240	5	Más del 50% de la SAU en arrendamiento
06	Hoya de Huesca / Plana de Uesca	97	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
06	Hoya de Huesca / Plana de Uesca	64	7	Ningún régimen superior al 50%
07	Somontano de Barbastro	42	0	Si no hay SAU
07	Somontano de Barbastro	1233	1	Toda la SAU en propiedad
07	Somontano de Barbastro	215	2	Toda la SAU en arrendamiento
07	Somontano de Barbastro	83	3	Todo la SAU en aparcería u otro régimen de tenencia
07	Somontano de Barbastro	273	4	Más del 50% de la SAU en propiedad
07	Somontano de Barbastro	158	5	Más del 50% de la SAU en arrendamiento
07	Somontano de Barbastro	46	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
07	Somontano de Barbastro	37	7	Ningún régimen superior al 50%
08	Cinca Medio	58	0	Si no hay SAU
08	Cinca Medio	851	1	Toda la SAU en propiedad
08	Cinca Medio	121	2	Toda la SAU en arrendamiento
08	Cinca Medio	72	3	Todo la SAU en aparcería u otro régimen de tenencia
08	Cinca Medio	233	4	Más del 50% de la SAU en propiedad
08	Cinca Medio	139	5	Más del 50% de la SAU en arrendamiento
08	Cinca Medio	63	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
08	Cinca Medio	47	7	Ningún régimen superior al 50%
09	La Litera / La Llitera	86	0	Si no hay SAU
09	La Litera / La Llitera	1263	1	Toda la SAU en propiedad
09	La Litera / La Llitera	182	2	Toda la SAU en arrendamiento
09	La Litera / La Llitera	81	3	Todo la SAU en aparcería u otro régimen de tenencia
09	La Litera / La Llitera	229	4	Más del 50% de la SAU en propiedad
09	La Litera / La Llitera	161	5	Más del 50% de la SAU en arrendamiento
09	La Litera / La Llitera	64	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
09	La Litera / La Llitera	46	7	Ningún régimen superior al 50%
10	Los Monegros	138	0	Si no hay SAU
10	Los Monegros	1409	1	Toda la SAU en propiedad
10	Los Monegros	359	2	Toda la SAU en arrendamiento
10	Los Monegros	125	3	Todo la SAU en aparcería u otro régimen de tenencia
10	Los Monegros	585	4	Más del 50% de la SAU en propiedad
10	Los Monegros	432	5	Más del 50% de la SAU en arrendamiento
10	Los Monegros	108	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
10	Los Monegros	143	7	Ningún régimen superior al 50%
11	Bajo Cinca / Baix Cinca	63	0	Si no hay SAU
11	Bajo Cinca / Baix Cinca	1328	1	Toda la SAU en propiedad
11	Bajo Cinca / Baix Cinca	274	2	Toda la SAU en arrendamiento
11	Bajo Cinca / Baix Cinca	108	3	Todo la SAU en aparcería u otro régimen de tenencia
11	Bajo Cinca / Baix Cinca	278	4	Más del 50% de la SAU en propiedad
11	Bajo Cinca / Baix Cinca	218	5	Más del 50% de la SAU en arrendamiento
11	Bajo Cinca / Baix Cinca	71	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
11	Bajo Cinca / Baix Cinca	65	7	Ningún régimen superior al 50%
12	Tarazona y el Moncayo	25	0	Si no hay SAU
12	Tarazona y el Moncayo	510	1	Toda la SAU en propiedad
12	Tarazona y el Moncayo	27	2	Toda la SAU en arrendamiento
12	Tarazona y el Moncayo	13	3	Todo la SAU en aparcería u otro régimen de tenencia
12	Tarazona y el Moncayo	109	4	Más del 50% de la SAU en propiedad
12	Tarazona y el Moncayo	101	5	Más del 50% de la SAU en arrendamiento
12	Tarazona y el Moncayo	21	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
12	Tarazona y el Moncayo	16	7	Ningún régimen superior al 50%
13	Campo de Borja	37	0	Si no hay SAU
13	Campo de Borja	1204	1	Toda la SAU en propiedad
13	Campo de Borja	80	2	Toda la SAU en arrendamiento
13	Campo de Borja	49	3	Todo la SAU en aparcería u otro régimen de tenencia
13	Campo de Borja	210	4	Más del 50% de la SAU en propiedad
13	Campo de Borja	100	5	Más del 50% de la SAU en arrendamiento
13	Campo de Borja	45	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
13	Campo de Borja	49	7	Ningún régimen superior al 50%
14	Aranda	15	0	Si no hay SAU
14	Aranda	513	1	Toda la SAU en propiedad
14	Aranda	11	2	Toda la SAU en arrendamiento
14	Aranda	16	3	Todo la SAU en aparcería u otro régimen de tenencia
14	Aranda	47	4	Más del 50% de la SAU en propiedad
14	Aranda	54	5	Más del 50% de la SAU en arrendamiento
14	Aranda	12	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
14	Aranda	17	7	Ningún régimen superior al 50%
15	Ribera Alta del Ebro	37	0	Si no hay SAU
15	Ribera Alta del Ebro	507	1	Toda la SAU en propiedad
15	Ribera Alta del Ebro	87	2	Toda la SAU en arrendamiento
15	Ribera Alta del Ebro	41	3	Todo la SAU en aparcería u otro régimen de tenencia
15	Ribera Alta del Ebro	216	4	Más del 50% de la SAU en propiedad
15	Ribera Alta del Ebro	150	5	Más del 50% de la SAU en arrendamiento
15	Ribera Alta del Ebro	33	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
15	Ribera Alta del Ebro	36	7	Ningún régimen superior al 50%
16	Valdejalón	35	0	Si no hay SAU
16	Valdejalón	1543	1	Toda la SAU en propiedad
16	Valdejalón	241	2	Toda la SAU en arrendamiento
16	Valdejalón	89	3	Todo la SAU en aparcería u otro régimen de tenencia
16	Valdejalón	268	4	Más del 50% de la SAU en propiedad
16	Valdejalón	181	5	Más del 50% de la SAU en arrendamiento
16	Valdejalón	87	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
16	Valdejalón	71	7	Ningún régimen superior al 50%
17	D.C. Zaragoza	58	0	Si no hay SAU
17	D.C. Zaragoza	1073	1	Toda la SAU en propiedad
