Año	Residencia CCAA nombre	Relación lugar de residencia y nacimiento	Sexo	Extranjeros
1998	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	165
1998	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	148
1998	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	71
1998	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	64
1998	Aragón	3 - Misma CA y distinta provincia	Hombres	36
1998	Aragón	3 - Misma CA y distinta provincia	Mujeres	18
1998	Aragón	4 - Distinta CA	Hombres	79
1998	Aragón	4 - Distinta CA	Mujeres	83
1998	Aragón	5 - Nacidos en el extranjero	Hombres	3766
1998	Aragón	5 - Nacidos en el extranjero	Mujeres	3286
1999	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	227
1999	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	180
1999	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	74
1999	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	69
1999	Aragón	3 - Misma CA y distinta provincia	Hombres	38
1999	Aragón	3 - Misma CA y distinta provincia	Mujeres	14
1999	Aragón	4 - Distinta CA	Hombres	85
1999	Aragón	4 - Distinta CA	Mujeres	93
1999	Aragón	5 - Nacidos en el extranjero	Hombres	4305
1999	Aragón	5 - Nacidos en el extranjero	Mujeres	3718
2000	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	298
2000	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	231
2000	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	83
2000	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	89
2000	Aragón	3 - Misma CA y distinta provincia	Hombres	41
2000	Aragón	3 - Misma CA y distinta provincia	Mujeres	14
2000	Aragón	4 - Distinta CA	Hombres	102
2000	Aragón	4 - Distinta CA	Mujeres	111
2000	Aragón	5 - Nacidos en el extranjero	Hombres	6116
2000	Aragón	5 - Nacidos en el extranjero	Mujeres	4940
2001	Aragón	1 - Misma CA, misma provincia y mismo municipio	Hombres	387
2001	Aragón	1 - Misma CA, misma provincia y mismo municipio	Mujeres	334
2001	Aragón	2 - Misma CA, misma provincia y distinto municipio	Hombres	74
2001	Aragón	2 - Misma CA, misma provincia y distinto municipio	Mujeres	73
2001	Aragón	3 - Misma CA y distinta provincia	Hombres	41
