Año	Código de la comarca	Comarca	Unidades de trabajo que son jefes de explotación	Unidades de trabajo que son asalariados	Unidades de trabajo que son asalariados fijos	Unidades de trabajo que son asalariados eventuales	Unidades de trabajo que son mano de obra familiar	Unidades de trabajo que siendo mano de obra familiar son titulares explotación	Unidades de trabajo que siendo mano de obra familiar son cónyuges	Unidades de trabajo que siendo mano de obra familiar son otros diferentes
1989	01	La Jacetania	577	55	42	12	755	555	75	121
1989	02	Alto Gállego	229	28	20	8	275	207	23	44
1989	03	Sobrarbe	559	28	18	11	748	552	80	114
1989	04	La Ribagorza	966	105	77	28	1288	933	130	227
1989	05	Cinco Villas	1878	717	542	171	2229	1553	57	616
1989	06	Hoya de Huesca / Plana de Uesca	1371	505	451	50	1540	1297	19	221
1989	07	Somontano de Barbastro	1139	144	69	73	1336	1127	66	141
1989	08	Cinca Medio	1127	277	198	77	1399	1091	65	242
1989	09	La Litera / La Llitera	1439	428	306	122	1958	1400	211	348
1989	10	Los Monegros	1963	508	428	75	2279	1866	74	338
1989	11	Bajo Cinca / Baix Cinca	1739	403	249	151	2455	1701	253	502
1989	12	Tarazona y el Moncayo	645	127	90	36	777	631	47	99
1989	13	Campo de Borja	1049	116	54	62	1333	1024	71	235
1989	14	Aranda	370	65	21	44	480	353	31	98
1989	15	Ribera Alta del Ebro	944	293	180	112	1054	905	42	107
1989	16	Valdejalón	1446	673	191	479	1772	1368	81	325
1989	17	D.C. Zaragoza	2213	873	696	176	2502	2076	95	329
1989	18	Ribera Baja del Ebro	688	272	165	107	768	661	41	67
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1073	221	109	112	1441	1048	166	226
1989	20	Comunidad de Calatayud	2974	528	215	313	3533	2821	221	484
1989	21	Campo de Cariñena	809	533	131	401	1036	750	56	228
1989	22	Campo de Belchite	632	68	57	11	703	611	30	60
1989	23	Bajo Martín	699	163	91	71	774	684	46	45
1989	24	Campo de Daroca	830	114	70	44	948	785	61	102
1989	25	Jiloca	1480	122	66	56	1837	1447	194	189
1989	26	Cuencas Mineras	460	50	35	14	575	453	62	58
1989	27	Andorra-Sierra de Arcos	355	17	16	1	427	345	43	40
1989	28	Bajo Aragón	1407	167	104	63	1940	1375	270	293
1989	29	Comunidad de Teruel	1629	142	103	36	2204	1600	302	295
1989	30	Maestrazgo	473	25	16	8	783	463	164	153
1989	31	Sierra de Albarracín	443	131	46	82	538	433	41	59
1989	32	Gúdar-Javalambre	706	73	53	19	988	687	184	112
1989	33	Matarraña / Matarranya	1318	63	31	31	1884	1294	292	295
1999	01	La Jacetania	450,157	89,876	75,402	14,474	575,832	422,057	43,395	110,38
1999	02	Alto Gállego	211,676	38,069	31,582	6,487	253,451	193,623	15,602	44,226
1999	03	Sobrarbe	471,64	36,964	31,036	5,928	635,855	452,456	80,053	103,346
1999	04	La Ribagorza	844,762	240,511	204,164	36,347	1070,468	758,008	166,023	146,437
1999	05	Cinco Villas	2092,019	1353,369	1112,587	240,782	1922,264	1620,907	80,061	221,296
1999	06	Hoya de Huesca / Plana de Uesca	1340,239	509,472	461,595	47,877	1398,62	1200,774	58,06	139,786
1999	07	Somontano de Barbastro	1069,866	257,93	175,591	82,339	1212,397	985,912	106,941	119,544
1999	08	Cinca Medio	909,089	396,273	301,124	95,149	906,329	753,924	71,737	80,668
1999	09	La Litera / La Llitera	1269,527	657,7	523,206	134,494	1369,801	1054,97	139,171	175,66
1999	10	Los Monegros	1798,622	839,59	734,963	104,627	1849,149	1491,77	112,543	244,836
1999	11	Bajo Cinca / Baix Cinca	1865,011	1287,003	632,204	654,799	2350,008	1608,777	310,924	430,307
1999	12	Tarazona y el Moncayo	525,837	136,281	122,355	13,926	553,81	468,497	41,707	43,606
1999	13	Campo de Borja	904,506	216,365	165,817	50,548	1095,798	826,273	100,256	169,269
1999	14	Aranda	396,189	28,207	14,646	13,561	483,991	381,427	44,845	57,719
1999	15	Ribera Alta del Ebro	617,78	399,954	284,826	115,128	614,469	512,445	44,776	57,248
1999	16	Valdejalón	1294,316	1145,598	451,011	694,587	1471,139	1093,275	115,387	262,477
1999	17	D.C. Zaragoza	1474,608	912,951	728,403	184,548	1418,156	1197,278	87,264	133,614
1999	18	Ribera Baja del Ebro	468,284	404,02	258,181	145,839	473,335	394,876	36,016	42,443
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1044,595	671,362	331,642	339,72	1289,986	947,347	166,207	176,432
1999	20	Comunidad de Calatayud	2001,301	480,81	234,591	246,219	2350,056	1890,465	171,012	288,579
1999	21	Campo de Cariñena	846,021	487,914	177,885	310,029	966,755	730,73	83,957	152,068
1999	22	Campo de Belchite	493,496	115,608	86,723	28,885	537,079	447,319	40,282	49,478
1999	23	Bajo Martín	466,203	181,601	147,403	34,198	489,087	421,018	35,586	32,483
1999	24	Campo de Daroca	618,526	121,656	79,486	42,17	657,734	564,234	52,68	40,82
1999	25	Jiloca	1169,5	194,865	124,497	70,368	1379,463	1103,398	189,736	86,329
1999	26	Cuencas Mineras	338,506	105,202	63,781	41,421	407,328	309,622	59,807	37,899
1999	27	Andorra-Sierra de Arcos	277,465	57,892	41,933	15,959	331,21	252,241	45,655	33,314
1999	28	Bajo Aragón	1212,49	366,757	290,858	75,899	1565,467	1093,84	255,935	215,692
1999	29	Comunidad de Teruel	1096,153	231,615	143,361	88,254	1310,615	1029,438	171,4	109,777
1999	30	Maestrazgo	400,132	60,243	45,485	14,758	502,669	382,912	76,197	43,56
1999	31	Sierra de Albarracín	277,24	67,23	49,23	18	334,628	256,643	51,299	26,686
1999	32	Gúdar-Javalambre	458,985	102,773	76,318	26,455	566,284	429,055	84,428	52,801
1999	33	Matarraña / Matarranya	1197,061	251,901	210,195	41,706	1532,38	1118,781	220,733	192,866
