Comarca código	Comarca nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
01	La Jacetania	2008	18144	14387	10547	3840	57	123	10367	73,3092375060819
01	La Jacetania	2011	18664	14468	9803	4665	169	227	9407	67,7564279789881
01	La Jacetania	2015	18235	14326	10086	4240	82	100	9904	70,4034622364931
01	La Jacetania	2016	18080	14292	9675	4617	96	87	9492	67,6952141057935
02	Alto Gállego	2008	13955	10738	8055	2683	31	113	7911	75,0139690817657
02	Alto Gállego	2011	14921	10623	7323	3300	177	194	6952	68,9353290031065
02	Alto Gállego	2015	14139	10340	7550	2790	82	80	7388	73,0174081237911
02	Alto Gállego	2016	13766	10352	7118	3234	75	54	6989	68,7596599690881
03	Sobrarbe	2008	7483	5998	4551	1447	20	56	4475	75,8752917639213
03	Sobrarbe	2011	7718	5849	4168	1681	80	86	4002	71,2600444520431
03	Sobrarbe	2015	7633	5744	4295	1449	28	63	4204	74,7736768802228
03	Sobrarbe	2016	7556	5684	4187	1497	34	49	4104	73,6629134412386
04	La Ribagorza	2008	12953	10325	7532	2793	59	126	7347	72,9491525423729
04	La Ribagorza	2011	13473	9974	6997	2977	165	197	6635	70,1523962301985
04	La Ribagorza	2015	12624	9354	6828	2526	70	85	6673	72,9955099422707
04	La Ribagorza	2016	12376	9304	6573	2731	75	99	6399	70,6470335339639
05	Cinco Villas	2008	33196	25684	19551	6133	105	227	19219	76,1213206665628
05	Cinco Villas	2011	33331	24955	18104	6851	263	337	17504	72,5465838509317
05	Cinco Villas	2015	31442	23997	17610	6387	148	185	17277	73,3841730216277
05	Cinco Villas	2016	31108	23790	17059	6731	152	178	16729	71,7065994115174
06	Hoya de Huesca / Plana de Uesca	2008	65266	51003	39174	11829	190	528	38456	76,807246632551
06	Hoya de Huesca / Plana de Uesca	2011	68428	51453	36836	14617	592	890	35354	71,59154956951
06	Hoya de Huesca / Plana de Uesca	2015	68286	51537	38010	13527	354	368	37288	73,7528377670412
06	Hoya de Huesca / Plana de Uesca	2016	67806	51445	36428	15017	366	334	35728	70,8096024880941
07	Somontano de Barbastro	2008	23613	18710	14714	3996	114	176	14424	78,6424371993586
07	Somontano de Barbastro	2011	24410	18688	13906	4782	196	330	13380	74,4113869863014
07	Somontano de Barbastro	2015	24086	18458	13764	4694	118	136	13510	74,5692924477191
07	Somontano de Barbastro	2016	23925	18370	13172	5198	101	133	12938	71,7038649972782
08	Cinca Medio	2008	23084	17627	13535	4092	77	141	13317	76,7856129800874
08	Cinca Medio	2011	24051	17442	12578	4864	210	209	12159	72,1132897603486
08	Cinca Medio	2015	24019	17191	12657	4534	107	104	12446	73,6257343959048
08	Cinca Medio	2016	23979	17150	12056	5094	105	92	11859	70,2973760932945
09	La Litera / La Llitera	2008	18867	14708	11029	3679	97	170	10762	74,986401958118
09	La Litera / La Llitera	2011	19161	14271	10212	4059	208	249	9755	71,5577044355686
09	La Litera / La Llitera	2015	18696	13890	9956	3934	122	106	9728	71,6774658027358
09	La Litera / La Llitera	2016	18516	13777	9413	4364	88	99	9226	68,3240182913552
10	Los Monegros	2008	20947	17460	14086	3374	96	176	13814	80,6758304696449
10	Los Monegros	2011	20942	16693	12611	4082	181	257	12173	75,5466363146229
10	Los Monegros	2015	19826	15643	11746	3897	131	111	11504	75,0878987406508
10	Los Monegros	2016	19566	15455	11392	4063	129	109	11154	73,7107732125526
11	Bajo Cinca / Baix Cinca	2008	23645	17570	13462	4108	81	219	13162	76,6192373363688
11	Bajo Cinca / Baix Cinca	2011	24670	17162	12342	4820	250	357	11735	71,9146952569631
11	Bajo Cinca / Baix Cinca	2015	24817	16796	12338	4458	108	152	12078	73,4579661824244
11	Bajo Cinca / Baix Cinca	2016	24619	16720	11644	5076	119	128	11397	69,6411483253589
12	Tarazona y el Moncayo	2008	14690	11622	9149	2473	47	56	9046	78,7213904663569
12	Tarazona y el Moncayo	2011	14730	11522	8634	2888	146	155	8333	74,9349071341781
12	Tarazona y el Moncayo	2015	14405	11268	8434	2834	78	84	8272	74,8491302804402
12	Tarazona y el Moncayo	2016	14258	11188	8121	3067	94	60	7967	72,5867000357526
13	Campo de Borja	2008	14914	11592	9169	2423	77	88	9004	79,0976535541753
13	Campo de Borja	2011	15517	11334	8620	2714	151	159	8310	76,0543497441327
13	Campo de Borja	2015	14600	10856	8076	2780	101	81	7894	74,3920412675018
13	Campo de Borja	2016	14346	10788	7748	3040	100	64	7584	71,8205413422321
14	Aranda	2008	7627	6222	4747	1475	19	36	4692	76,2937962070074
14	Aranda	2011	7617	5949	4246	1703	61	78	4107	71,3733400571525
14	Aranda	2015	7168	5718	4060	1658	40	43	3977	71,0038474991256
14	Aranda	2016	7082	5657	3836	1821	39	38	3759	67,8097931765954
15	Ribera Alta del Ebro	2008	25745	20293	15530	4763	86	140	15304	76,5288523136057
15	Ribera Alta del Ebro	2011	27827	20664	14983	5681	179	244	14560	72,5077429345722
15	Ribera Alta del Ebro	2015	27379	20267	15002	5265	133	139	14730	74,0218088518281
15	Ribera Alta del Ebro	2016	27141	20218	14472	5746	125	89	14258	71,5797803937086
16	Valdejalón	2008	27423	19949	15259	4690	65	145	15049	76,4900496265477
16	Valdejalón	2011	30533	19925	14247	5678	210	224	13813	71,5031367628607
16	Valdejalón	2015	29179	18958	13610	5348	126	145	13339	71,7902732355734
16	Valdejalón	2016	28763	18932	13052	5880	136	113	12803	68,9414747517431
17	D.C. Zaragoza	2008	714604	542648	415230	127418	1909	5633	407688	76,519216877239
17	D.C. Zaragoza	2011	746719	547786	398541	149245	5609	7831	385101	72,7548714278934
17	D.C. Zaragoza	2015	743147	554893	419295	135598	2654	3426	413215	75,5632166922272
17	D.C. Zaragoza	2016	742656	554455	401487	152968	2807	3097	395583	72,4111064017819
18	Ribera Baja del Ebro	2008	9155	7545	5768	1777	50	58	5660	76,4479787939032
18	Ribera Baja del Ebro	2011	9452	7476	5312	2164	100	98	5114	71,0540395933654
18	Ribera Baja del Ebro	2015	9102	7140	5189	1951	67	51	5071	72,6750700280112
18	Ribera Baja del Ebro	2016	8964	7049	4981	2068	72	47	4862	70,6625053199035
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	13575	10792	8251	2541	65	86	8100	76,4547813194959
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2011	15016	10450	7375	3075	198	131	7046	70,5741626794258
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	14994	10031	7267	2764	149	65	7053	72,4454192004785
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	14908	9955	6870	3085	97	67	6706	69,0105474635861
20	Comunidad de Calatayud	2008	41356	31571	24357	7214	148	224	23985	77,149916062209
20	Comunidad de Calatayud	2011	42013	30458	21990	8468	335	379	21276	72,1977805502659
20	Comunidad de Calatayud	2015	39587	29036	21039	7997	213	233	20593	72,4583275933324
20	Comunidad de Calatayud	2016	38362	28863	20646	8217	176	213	20257	71,5310258808856
21	Campo de Cariñena	2008	10606	7943	6439	1504	35	69	6335	81,0650887573964
21	Campo de Cariñena	2011	11173	7813	6003	1810	95	73	5835	76,8334826571099
21	Campo de Cariñena	2015	10663	7299	5553	1746	64	53	5436	76,078914919852
21	Campo de Cariñena	2016	10352	7259	5398	1861	63	30	5305	74,3628598980576
22	Campo de Belchite	2008	5222	4663	3733	930	15	18	3700	80,0557580956466
22	Campo de Belchite	2011	5260	4476	3448	1028	38	42	3368	77,0330652368186
22	Campo de Belchite	2015	4967	4132	3114	1018	32	29	3053	75,3630203291384
22	Campo de Belchite	2016	4885	4048	3059	989	12	21	3026	75,5681818181818
23	Bajo Martín	2008	7427	5950	4650	1300	35	32	4583	78,1512605042017
23	Bajo Martín	2011	7135	5652	4148	1504	85	61	4002	73,3899504600142
23	Bajo Martín	2015	6689	5307	3907	1400	46	36	3825	73,6197475032975
23	Bajo Martín	2016	6619	5244	3754	1490	38	31	3685	71,5865751334859
24	Campo de Daroca	2008	6539	5577	4259	1318	30	41	4188	76,3672225210687
24	Campo de Daroca	2011	6192	5245	3841	1404	58	75	3708	73,2316491897045
24	Campo de Daroca	2015	6026	4821	3507	1314	35	51	3421	72,744243932794
24	Campo de Daroca	2016	5901	4749	3582	1167	34	27	3521	75,4264055590651
25	Jiloca	2008	14253	11168	8485	2683	65	74	8346	75,9760028653295
25	Jiloca	2011	14142	10566	7555	3011	118	147	7290	71,5029339390498
25	Jiloca	2015	13205	9993	6976	3017	114	86	6776	69,8088662063444
25	Jiloca	2016	12980	9866	6902	2964	84	59	6759	69,9574295560511
26	Cuencas Mineras	2008	9496	7471	5713	1758	48	48	5617	76,4690135189399
26	Cuencas Mineras	2011	9094	7107	5088	2019	75	141	4872	71,5913887716336
26	Cuencas Mineras	2015	8701	6729	5009	1720	35	32	4942	74,4389953930748
