Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Nº Accidentes	Grupo Grado Código	Grupo Grado Código
2016	22	Huesca	Hombres	1980	Leves	1
2016	44	Teruel	Hombres	1151	Leves	1
2016	50	Zaragoza	Hombres	7226	Leves	1
2016	22	Huesca	Mujeres	684	Leves	1
2016	44	Teruel	Mujeres	483	Leves	1
2016	50	Zaragoza	Mujeres	3997	Leves	1
2015	22	Huesca	Hombres	1785	Leves	1
2015	44	Teruel	Hombres	777	Leves	1
2015	50	Zaragoza	Hombres	6775	Leves	1
2015	22	Huesca	Mujeres	654	Leves	1
2015	44	Teruel	Mujeres	272	Leves	1
2015	50	Zaragoza	Mujeres	3724	Leves	1
2014	22	Huesca	Hombres	1622	Leves	1
2014	44	Teruel	Hombres	854	Leves	1
2014	50	Zaragoza	Hombres	5939	Leves	1
2014	22	Huesca	Mujeres	634	Leves	1
2014	44	Teruel	Mujeres	330	Leves	1
2014	50	Zaragoza	Mujeres	3388	Leves	1
2013	22	Huesca	Hombres	1530	Leves	1
2013	44	Teruel	Hombres	838	Leves	1
2013	50	Zaragoza	Hombres	5812	Leves	1
2013	22	Huesca	Mujeres	597	Leves	1
2013	44	Teruel	Mujeres	323	Leves	1
2013	50	Zaragoza	Mujeres	3342	Leves	1
2012	22	Huesca	Hombres	1543	Leves	1
2012	44	Teruel	Hombres	870	Leves	1
2012	50	Zaragoza	Hombres	6247	Leves	1
2012	22	Huesca	Mujeres	512	Leves	1
2012	44	Teruel	Mujeres	271	Leves	1
2012	50	Zaragoza	Mujeres	2976	Leves	1
2011	22	Huesca	Hombres	1868	Leves	1
2011	44	Teruel	Hombres	1102	Leves	1
2011	50	Zaragoza	Hombres	7628	Leves	1
2011	22	Huesca	Mujeres	560	Leves	1
2011	44	Teruel	Mujeres	355	Leves	1
2011	50	Zaragoza	Mujeres	3730	Leves	1
2010	22	Huesca	Hombres	1898	Leves	1
2010	44	Teruel	Hombres	1293	Leves	1
2010	50	Zaragoza	Hombres	8663	Leves	1
2010	22	Huesca	Mujeres	646	Leves	1
2010	44	Teruel	Mujeres	446	Leves	1
2010	50	Zaragoza	Mujeres	4009	Leves	1
2009	22	Huesca	Hombres	2225	Leves	1
2009	44	Teruel	Hombres	1333	Leves	1
2009	50	Zaragoza	Hombres	8983	Leves	1
2009	22	Huesca	Mujeres	645	Leves	1
2009	44	Teruel	Mujeres	389	Leves	1
2009	50	Zaragoza	Mujeres	4084	Leves	1
2008	22	Huesca	Hombres	2927	Leves	1
2008	44	Teruel	Hombres	1707	Leves	1
2008	50	Zaragoza	Hombres	12741	Leves	1
2008	22	Huesca	Mujeres	760	Leves	1
2008	44	Teruel	Mujeres	453	Leves	1
2008	50	Zaragoza	Mujeres	4291	Leves	1
2007	22	Huesca	Hombres	3221	Leves	1
2007	44	Teruel	Hombres	1801	Leves	1
2007	50	Zaragoza	Hombres	14220	Leves	1
2007	22	Huesca	Mujeres	728	Leves	1
2007	44	Teruel	Mujeres	430	Leves	1
2007	50	Zaragoza	Mujeres	4343	Leves	1
2006	22	Huesca	Hombres	3134	Leves	1
2006	44	Teruel	Hombres	1622	Leves	1
2006	50	Zaragoza	Hombres	13438	Leves	1
2006	22	Huesca	Mujeres	633	Leves	1
2006	44	Teruel	Mujeres	372	Leves	1
2006	50	Zaragoza	Mujeres	3950	Leves	1
2005	22	Huesca	Hombres	2858	Leves	1
2005	44	Teruel	Hombres	1601	Leves	1
2005	50	Zaragoza	Hombres	12612	Leves	1
2005	22	Huesca	Mujeres	589	Leves	1
2005	44	Teruel	Mujeres	334	Leves	1
2005	50	Zaragoza	Mujeres	3762	Leves	1
2004	22	Huesca	Hombres	2600	Leves	1
2004	44	Teruel	Hombres	1451	Leves	1
2004	50	Zaragoza	Hombres	12277	Leves	1
2004	22	Huesca	Mujeres	492	Leves	1
2004	44	Teruel	Mujeres	246	Leves	1
2004	50	Zaragoza	Mujeres	3466	Leves	1
2003	22	Huesca	Hombres	2577	Leves	1
2003	44	Teruel	Hombres	1574	Leves	1
2003	50	Zaragoza	Hombres	12308	Leves	1
2003	22	Huesca	Mujeres	507	Leves	1
2003	44	Teruel	Mujeres	280	Leves	1
2003	50	Zaragoza	Mujeres	3302	Leves	1
2016	22	Huesca	Hombres	20	Graves o muy graves	2
2016	44	Teruel	Hombres	15	Graves o muy graves	2
2016	50	Zaragoza	Hombres	46	Graves o muy graves	2
2016	22	Huesca	Mujeres	4	Graves o muy graves	2
2016	44	Teruel	Mujeres	3	Graves o muy graves	2
2016	50	Zaragoza	Mujeres	6	Graves o muy graves	2
2015	22	Huesca	Hombres	20	Graves o muy graves	2
2015	44	Teruel	Hombres	11	Graves o muy graves	2
2015	50	Zaragoza	Hombres	52	Graves o muy graves	2
2015	22	Huesca	Mujeres	2	Graves o muy graves	2
2015	50	Zaragoza	Mujeres	12	Graves o muy graves	2
2014	22	Huesca	Hombres	23	Graves o muy graves	2
2014	44	Teruel	Hombres	16	Graves o muy graves	2
2014	50	Zaragoza	Hombres	42	Graves o muy graves	2
2014	22	Huesca	Mujeres	3	Graves o muy graves	2
2014	50	Zaragoza	Mujeres	4	Graves o muy graves	2
2013	22	Huesca	Hombres	19	Graves o muy graves	2
2013	44	Teruel	Hombres	6	Graves o muy graves	2
2013	50	Zaragoza	Hombres	47	Graves o muy graves	2
2013	22	Huesca	Mujeres	3	Graves o muy graves	2
2013	44	Teruel	Mujeres	2	Graves o muy graves	2
2013	50	Zaragoza	Mujeres	10	Graves o muy graves	2
2012	22	Huesca	Hombres	32	Graves o muy graves	2
2012	44	Teruel	Hombres	7	Graves o muy graves	2
2012	50	Zaragoza	Hombres	42	Graves o muy graves	2
2012	22	Huesca	Mujeres	2	Graves o muy graves	2
2012	44	Teruel	Mujeres	3	Graves o muy graves	2
2012	50	Zaragoza	Mujeres	9	Graves o muy graves	2
2011	22	Huesca	Hombres	33	Graves o muy graves	2
2011	44	Teruel	Hombres	12	Graves o muy graves	2
2011	50	Zaragoza	Hombres	44	Graves o muy graves	2
2011	22	Huesca	Mujeres	3	Graves o muy graves	2
2011	44	Teruel	Mujeres	1	Graves o muy graves	2
2011	50	Zaragoza	Mujeres	4	Graves o muy graves	2
2010	22	Huesca	Hombres	44	Graves o muy graves	2
2010	44	Teruel	Hombres	14	Graves o muy graves	2
2010	50	Zaragoza	Hombres	67	Graves o muy graves	2
2010	22	Huesca	Mujeres	6	Graves o muy graves	2
2010	44	Teruel	Mujeres	1	Graves o muy graves	2
2010	50	Zaragoza	Mujeres	9	Graves o muy graves	2
2009	22	Huesca	Hombres	32	Graves o muy graves	2
2009	44	Teruel	Hombres	17	Graves o muy graves	2
2009	50	Zaragoza	Hombres	79	Graves o muy graves	2
2009	22	Huesca	Mujeres	4	Graves o muy graves	2
2009	44	Teruel	Mujeres	3	Graves o muy graves	2
2009	50	Zaragoza	Mujeres	14	Graves o muy graves	2
2008	22	Huesca	Hombres	32	Graves o muy graves	2
2008	44	Teruel	Hombres	15	Graves o muy graves	2
2008	50	Zaragoza	Hombres	85	Graves o muy graves	2
2008	22	Huesca	Mujeres	3	Graves o muy graves	2
2008	50	Zaragoza	Mujeres	6	Graves o muy graves	2
2007	22	Huesca	Hombres	45	Graves o muy graves	2
2007	44	Teruel	Hombres	19	Graves o muy graves	2
2007	50	Zaragoza	Hombres	117	Graves o muy graves	2
2007	22	Huesca	Mujeres	2	Graves o muy graves	2
2007	50	Zaragoza	Mujeres	7	Graves o muy graves	2
