Comarca código	Comarca nombre	Edad	Sexo	Estado civil	Personas residentes viviendas familiares
01	La Jacetania	16 a 19	Hombres	Solteros/as	358
01	La Jacetania	16 a 19	Hombres	Casados/as	4
01	La Jacetania	16 a 19	Mujeres	Solteros/as	302
01	La Jacetania	16 a 19	Mujeres	Casados/as	3
01	La Jacetania	16 a 19	Mujeres	Separados/as	1
01	La Jacetania	16 a 19	Mujeres	Divorciados/as	1
01	La Jacetania	20 a 24	Hombres	Solteros/as	525
01	La Jacetania	20 a 24	Hombres	Casados/as	22
01	La Jacetania	20 a 24	Hombres	Separados/as	1
01	La Jacetania	20 a 24	Mujeres	Solteros/as	469
01	La Jacetania	20 a 24	Mujeres	Casados/as	49
01	La Jacetania	20 a 24	Mujeres	Separados/as	5
01	La Jacetania	25 a 29	Hombres	Solteros/as	516
01	La Jacetania	25 a 29	Hombres	Casados/as	111
01	La Jacetania	25 a 29	Hombres	Separados/as	5
01	La Jacetania	25 a 29	Mujeres	Solteros/as	405
01	La Jacetania	25 a 29	Mujeres	Casados/as	173
01	La Jacetania	25 a 29	Mujeres	Separados/as	10
01	La Jacetania	25 a 29	Mujeres	Divorciados/as	3
01	La Jacetania	30 a 34	Hombres	Solteros/as	392
01	La Jacetania	30 a 34	Hombres	Casados/as	267
01	La Jacetania	30 a 34	Hombres	Separados/as	8
01	La Jacetania	30 a 34	Hombres	Divorciados/as	6
01	La Jacetania	30 a 34	Mujeres	Solteros/as	223
01	La Jacetania	30 a 34	Mujeres	Casados/as	362
01	La Jacetania	30 a 34	Mujeres	Separados/as	16
01	La Jacetania	30 a 34	Mujeres	Divorciados/as	9
01	La Jacetania	35 a 39	Hombres	Solteros/as	284
01	La Jacetania	35 a 39	Hombres	Casados/as	406
01	La Jacetania	35 a 39	Hombres	Separados/as	22
01	La Jacetania	35 a 39	Hombres	Divorciados/as	9
01	La Jacetania	35 a 39	Mujeres	Solteros/as	163
01	La Jacetania	35 a 39	Mujeres	Casados/as	499
01	La Jacetania	35 a 39	Mujeres	Viudos/as	11
01	La Jacetania	35 a 39	Mujeres	Separados/as	23
01	La Jacetania	35 a 39	Mujeres	Divorciados/as	16
01	La Jacetania	40 a 44	Hombres	Solteros/as	191
01	La Jacetania	40 a 44	Hombres	Casados/as	477
01	La Jacetania	40 a 44	Hombres	Separados/as	21
01	La Jacetania	40 a 44	Hombres	Divorciados/as	20
01	La Jacetania	40 a 44	Mujeres	Solteros/as	112
01	La Jacetania	40 a 44	Mujeres	Casados/as	461
01	La Jacetania	40 a 44	Mujeres	Viudos/as	15
01	La Jacetania	40 a 44	Mujeres	Separados/as	26
01	La Jacetania	40 a 44	Mujeres	Divorciados/as	13
01	La Jacetania	45 a 49	Hombres	Solteros/as	126
01	La Jacetania	45 a 49	Hombres	Casados/as	431
01	La Jacetania	45 a 49	Hombres	Viudos/as	2
01	La Jacetania	45 a 49	Hombres	Separados/as	19
01	La Jacetania	45 a 49	Hombres	Divorciados/as	16
01	La Jacetania	45 a 49	Mujeres	Solteros/as	59
01	La Jacetania	45 a 49	Mujeres	Casados/as	356
01	La Jacetania	45 a 49	Mujeres	Viudos/as	16
01	La Jacetania	45 a 49	Mujeres	Separados/as	17
01	La Jacetania	45 a 49	Mujeres	Divorciados/as	11
01	La Jacetania	50 a 54	Hombres	Solteros/as	95
01	La Jacetania	50 a 54	Hombres	Casados/as	335
01	La Jacetania	50 a 54	Hombres	Viudos/as	3
01	La Jacetania	50 a 54	Hombres	Separados/as	15
01	La Jacetania	50 a 54	Hombres	Divorciados/as	12
