Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22001	Abiego	2007	288	274	222	52	0	2	220	81,021897810219
22001	Abiego	2011	281	240	199	41	4	8	187	82,9166666666667
22001	Abiego	2015	267	229	185	44	0	7	178	80,7860262008734
22002	Abizanda	2007	136	121	103	18	0	2	101	85,1239669421488
22002	Abizanda	2011	132	110	94	16	0	1	93	85,4545454545455
22002	Abizanda	2015	140	117	111	6	0	0	111	94,8717948717949
22003	Adahuesca	2007	169	114	110	4	5	0	105	96,4912280701754
22003	Adahuesca	2011	166	151	125	26	1	2	122	82,7814569536424
22003	Adahuesca	2015	172	148	125	23	1	0	124	84,4594594594595
22004	Agüero	2007	166	159	113	46	1	0	112	71,0691823899371
22004	Agüero	2011	164	148	117	31	2	3	112	79,0540540540541
22004	Agüero	2015	150	138	103	35	0	4	99	74,6376811594203
22006	Aísa	2007	415	357	245	112	9	4	232	68,6274509803922
22006	Aísa	2011	362	329	224	105	6	8	210	68,0851063829787
22006	Aísa	2015	363	307	215	92	15	13	187	70,0325732899023
22007	Albalate de Cinca	2007	1153	934	719	215	8	13	698	76,9807280513919
22007	Albalate de Cinca	2011	1237	920	753	167	11	19	723	81,8478260869565
22007	Albalate de Cinca	2015	1201	850	646	204	13	13	620	76
22008	Albalatillo	2007	255	227	197	30	0	8	189	86,784140969163
22008	Albalatillo	2011	243	207	207	0	3	9	195	100
22008	Albalatillo	2015	207	180	146	34	10	4	132	81,1111111111111
22009	Albelda	2007	892	801	602	199	4	27	571	75,1560549313358
22009	Albelda	2011	847	720	534	186	13	18	503	74,1666666666667
22009	Albelda	2015	762	645	488	157	10	9	469	75,6589147286822
22011	Albero Alto	2007	125	100	73	27	0	8	65	73
22011	Albero Alto	2011	132	102	84	18	3	4	77	82,3529411764706
22011	Albero Alto	2015	125	94	74	20	0	8	66	78,7234042553191
22012	Albero Bajo	2007	111	98	81	17	0	3	78	82,6530612244898
22012	Albero Bajo	2011	96	97	74	23	0	1	73	76,2886597938144
22012	Albero Bajo	2015	122	109	89	20	3	1	85	81,651376146789
22013	Alberuela de Tubo	2007	357	323	291	32	8	4	279	90,0928792569659
22013	Alberuela de Tubo	2011	355	315	289	26	6	6	277	91,7460317460317
22013	Alberuela de Tubo	2015	327	295	266	29	6	4	256	90,1694915254237
22014	Alcalá de Gurrea	2007	282	277	223	54	2	6	215	80,5054151624549
22014	Alcalá de Gurrea	2011	278	266	213	53	3	1	209	80,0751879699248
22014	Alcalá de Gurrea	2015	277	254	215	39	2	2	211	84,6456692913386
22015	Alcalá del Obispo	2007	348	341	295	46	2	5	288	86,5102639296188
22015	Alcalá del Obispo	2011	491	331	270	61	3	14	253	81,570996978852
22015	Alcalá del Obispo	2015	349	322	239	83	7	4	228	74,223602484472
22016	Alcampell	2007	827	745	575	170	9	12	554	77,1812080536913
22016	Alcampell	2011	782	664	535	129	8	7	520	80,5722891566265
22016	Alcampell	2015	707	626	483	143	14	4	465	77,1565495207668
22017	Alcolea de Cinca	2007	1183	967	817	150	9	12	796	84,488107549121
22017	Alcolea de Cinca	2011	1164	915	743	172	9	20	714	81,2021857923497
22017	Alcolea de Cinca	2015	1136	875	674	201	21	15	638	77,0285714285714
22018	Alcubierre	2007	441	406	338	68	0	4	334	83,2512315270936
22018	Alcubierre	2011	433	375	330	45	5	5	320	88
22018	Alcubierre	2015	401	349	277	72	8	7	262	79,3696275071633
22019	Alerre	2007	228	198	158	40	5	4	149	79,7979797979798
