Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	Tamaño Centro	Grupo Grado Código	Grupo Grado Código
2019	22	Huesca	1080	Menos de 10 trabajadores	Leves	1
2019	44	Teruel	512	Menos de 10 trabajadores	Leves	1
2019	50	Zaragoza	2435	Menos de 10 trabajadores	Leves	1
2018	22	Huesca	896	Menos de 10 trabajadores	Leves	1
2018	44	Teruel	468	Menos de 10 trabajadores	Leves	1
2018	50	Zaragoza	2001	Menos de 10 trabajadores	Leves	1
2017	22	Huesca	839	Menos de 10 trabajadores	Leves	1
2017	44	Teruel	432	Menos de 10 trabajadores	Leves	1
2017	50	Zaragoza	2045	Menos de 10 trabajadores	Leves	1
2016	22	Huesca	801	Menos de 10 trabajadores	Leves	1
2016	44	Teruel	464	Menos de 10 trabajadores	Leves	1
2016	50	Zaragoza	2028	Menos de 10 trabajadores	Leves	1
2015	22	Huesca	794	Menos de 10 trabajadores	Leves	1
2015	44	Teruel	333	Menos de 10 trabajadores	Leves	1
2015	50	Zaragoza	1854	Menos de 10 trabajadores	Leves	1
2014	22	Huesca	703	Menos de 10 trabajadores	Leves	1
2014	44	Teruel	358	Menos de 10 trabajadores	Leves	1
2014	50	Zaragoza	1761	Menos de 10 trabajadores	Leves	1
2013	22	Huesca	669	Menos de 10 trabajadores	Leves	1
2013	44	Teruel	323	Menos de 10 trabajadores	Leves	1
2013	50	Zaragoza	1803	Menos de 10 trabajadores	Leves	1
2012	22	Huesca	648	Menos de 10 trabajadores	Leves	1
2012	44	Teruel	366	Menos de 10 trabajadores	Leves	1
2012	50	Zaragoza	1861	Menos de 10 trabajadores	Leves	1
2011	22	Huesca	830	Menos de 10 trabajadores	Leves	1
2011	44	Teruel	455	Menos de 10 trabajadores	Leves	1
2011	50	Zaragoza	2150	Menos de 10 trabajadores	Leves	1
2010	22	Huesca	715	Menos de 10 trabajadores	Leves	1
2010	44	Teruel	489	Menos de 10 trabajadores	Leves	1
2010	50	Zaragoza	2322	Menos de 10 trabajadores	Leves	1
2009	22	Huesca	891	Menos de 10 trabajadores	Leves	1
2009	44	Teruel	481	Menos de 10 trabajadores	Leves	1
2009	50	Zaragoza	2479	Menos de 10 trabajadores	Leves	1
2008	22	Huesca	1116	Menos de 10 trabajadores	Leves	1
2008	44	Teruel	568	Menos de 10 trabajadores	Leves	1
2008	50	Zaragoza	3399	Menos de 10 trabajadores	Leves	1
2007	22	Huesca	1127	Menos de 10 trabajadores	Leves	1
2007	44	Teruel	586	Menos de 10 trabajadores	Leves	1
2007	50	Zaragoza	3431	Menos de 10 trabajadores	Leves	1
2006	22	Huesca	1107	Menos de 10 trabajadores	Leves	1
2006	44	Teruel	551	Menos de 10 trabajadores	Leves	1
2006	50	Zaragoza	3454	Menos de 10 trabajadores	Leves	1
2005	22	Huesca	1020	Menos de 10 trabajadores	Leves	1
2005	44	Teruel	554	Menos de 10 trabajadores	Leves	1
2005	50	Zaragoza	3416	Menos de 10 trabajadores	Leves	1
2004	22	Huesca	908	Menos de 10 trabajadores	Leves	1
2004	44	Teruel	466	Menos de 10 trabajadores	Leves	1
2004	50	Zaragoza	3030	Menos de 10 trabajadores	Leves	1
2003	22	Huesca	965	Menos de 10 trabajadores	Leves	1
2003	44	Teruel	460	Menos de 10 trabajadores	Leves	1
2003	50	Zaragoza	2995	Menos de 10 trabajadores	Leves	1
2019	22	Huesca	9	Menos de 10 trabajadores	Graves o muy graves	2
2019	44	Teruel	6	Menos de 10 trabajadores	Graves o muy graves	2
2019	50	Zaragoza	23	Menos de 10 trabajadores	Graves o muy graves	2
2018	22	Huesca	9	Menos de 10 trabajadores	Graves o muy graves	2
2018	44	Teruel	6	Menos de 10 trabajadores	Graves o muy graves	2
2018	50	Zaragoza	15	Menos de 10 trabajadores	Graves o muy graves	2
2017	22	Huesca	17	Menos de 10 trabajadores	Graves o muy graves	2
2017	44	Teruel	6	Menos de 10 trabajadores	Graves o muy graves	2
2017	50	Zaragoza	23	Menos de 10 trabajadores	Graves o muy graves	2
2016	22	Huesca	13	Menos de 10 trabajadores	Graves o muy graves	2
2016	44	Teruel	6	Menos de 10 trabajadores	Graves o muy graves	2
2016	50	Zaragoza	17	Menos de 10 trabajadores	Graves o muy graves	2
2015	22	Huesca	15	Menos de 10 trabajadores	Graves o muy graves	2
2015	44	Teruel	1	Menos de 10 trabajadores	Graves o muy graves	2
2015	50	Zaragoza	15	Menos de 10 trabajadores	Graves o muy graves	2
2014	22	Huesca	14	Menos de 10 trabajadores	Graves o muy graves	2
