Municipio código	Municipio nombre	Edad	Ocupación agraria	Sexo	Personas
22001	Abiego	a) <35 años	Jefe explotación agraria	Hombre	3
22001	Abiego	b) >=35 a <55 años	Jefe explotación agraria	Hombre	18
22001	Abiego	c) >=55 años	Jefe explotación agraria	Hombre	24
22001	Abiego	c) >=55 años	Jefe explotación agraria	Mujer	8
22002	Abizanda	a) <35 años	Jefe explotación agraria	Hombre	3
22002	Abizanda	b) >=35 a <55 años	Jefe explotación agraria	Hombre	8
22002	Abizanda	b) >=35 a <55 años	Jefe explotación agraria	Mujer	3
22002	Abizanda	c) >=55 años	Jefe explotación agraria	Hombre	12
22002	Abizanda	c) >=55 años	Jefe explotación agraria	Mujer	1
22003	Adahuesca	a) <35 años	Jefe explotación agraria	Hombre	2
22003	Adahuesca	b) >=35 a <55 años	Jefe explotación agraria	Hombre	20
22003	Adahuesca	b) >=35 a <55 años	Jefe explotación agraria	Mujer	5
22003	Adahuesca	c) >=55 años	Jefe explotación agraria	Hombre	27
22003	Adahuesca	c) >=55 años	Jefe explotación agraria	Mujer	2
22004	Agüero	b) >=35 a <55 años	Jefe explotación agraria	Hombre	13
22004	Agüero	c) >=55 años	Jefe explotación agraria	Hombre	12
22004	Agüero	c) >=55 años	Jefe explotación agraria	Mujer	1
22006	Aísa	b) >=35 a <55 años	Jefe explotación agraria	Hombre	8
22006	Aísa	b) >=35 a <55 años	Jefe explotación agraria	Mujer	3
22006	Aísa	c) >=55 años	Jefe explotación agraria	Hombre	9
22007	Albalate de Cinca	a) <35 años	Jefe explotación agraria	Hombre	13
22007	Albalate de Cinca	a) <35 años	Jefe explotación agraria	Mujer	5
22007	Albalate de Cinca	b) >=35 a <55 años	Jefe explotación agraria	Hombre	60
22007	Albalate de Cinca	b) >=35 a <55 años	Jefe explotación agraria	Mujer	11
22007	Albalate de Cinca	c) >=55 años	Jefe explotación agraria	Hombre	55
22007	Albalate de Cinca	c) >=55 años	Jefe explotación agraria	Mujer	10
22008	Albalatillo	a) <35 años	Jefe explotación agraria	Hombre	3
22008	Albalatillo	b) >=35 a <55 años	Jefe explotación agraria	Hombre	8
22008	Albalatillo	c) >=55 años	Jefe explotación agraria	Hombre	3
22008	Albalatillo	c) >=55 años	Jefe explotación agraria	Mujer	3
22009	Albelda	a) <35 años	Jefe explotación agraria	Hombre	18
22009	Albelda	a) <35 años	Jefe explotación agraria	Mujer	1
22009	Albelda	b) >=35 a <55 años	Jefe explotación agraria	Hombre	98
22009	Albelda	b) >=35 a <55 años	Jefe explotación agraria	Mujer	14
22009	Albelda	c) >=55 años	Jefe explotación agraria	Hombre	114
22009	Albelda	c) >=55 años	Jefe explotación agraria	Mujer	14
22011	Albero Alto	a) <35 años	Jefe explotación agraria	Hombre	4
22011	Albero Alto	b) >=35 a <55 años	Jefe explotación agraria	Hombre	7
22011	Albero Alto	c) >=55 años	Jefe explotación agraria	Hombre	9
22011	Albero Alto	c) >=55 años	Jefe explotación agraria	Mujer	1
22012	Albero Bajo	a) <35 años	Jefe explotación agraria	Hombre	2
22012	Albero Bajo	b) >=35 a <55 años	Jefe explotación agraria	Hombre	12
22012	Albero Bajo	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22012	Albero Bajo	c) >=55 años	Jefe explotación agraria	Hombre	13
22012	Albero Bajo	c) >=55 años	Jefe explotación agraria	Mujer	4
22013	Alberuela de Tubo	a) <35 años	Jefe explotación agraria	Hombre	4
22013	Alberuela de Tubo	b) >=35 a <55 años	Jefe explotación agraria	Hombre	16
22013	Alberuela de Tubo	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22013	Alberuela de Tubo	c) >=55 años	Jefe explotación agraria	Hombre	15
22013	Alberuela de Tubo	c) >=55 años	Jefe explotación agraria	Mujer	2
22014	Alcalá de Gurrea	a) <35 años	Jefe explotación agraria	Hombre	5
22014	Alcalá de Gurrea	b) >=35 a <55 años	Jefe explotación agraria	Hombre	15
22014	Alcalá de Gurrea	c) >=55 años	Jefe explotación agraria	Hombre	22
22014	Alcalá de Gurrea	c) >=55 años	Jefe explotación agraria	Mujer	2
22015	Alcalá del Obispo	a) <35 años	Jefe explotación agraria	Hombre	4
22015	Alcalá del Obispo	b) >=35 a <55 años	Jefe explotación agraria	Hombre	23
22015	Alcalá del Obispo	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22015	Alcalá del Obispo	c) >=55 años	Jefe explotación agraria	Hombre	44
22015	Alcalá del Obispo	c) >=55 años	Jefe explotación agraria	Mujer	5
22016	Alcampell	a) <35 años	Jefe explotación agraria	Hombre	19
22016	Alcampell	b) >=35 a <55 años	Jefe explotación agraria	Hombre	65
22016	Alcampell	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22016	Alcampell	c) >=55 años	Jefe explotación agraria	Hombre	96
22016	Alcampell	c) >=55 años	Jefe explotación agraria	Mujer	11
22017	Alcolea de Cinca	a) <35 años	Jefe explotación agraria	Hombre	17
22017	Alcolea de Cinca	a) <35 años	Jefe explotación agraria	Mujer	3
22017	Alcolea de Cinca	b) >=35 a <55 años	Jefe explotación agraria	Hombre	61
22017	Alcolea de Cinca	b) >=35 a <55 años	Jefe explotación agraria	Mujer	9
22017	Alcolea de Cinca	c) >=55 años	Jefe explotación agraria	Hombre	60
22017	Alcolea de Cinca	c) >=55 años	Jefe explotación agraria	Mujer	14
22018	Alcubierre	a) <35 años	Jefe explotación agraria	Hombre	4
22018	Alcubierre	b) >=35 a <55 años	Jefe explotación agraria	Hombre	27
22018	Alcubierre	b) >=35 a <55 años	Jefe explotación agraria	Mujer	6
22018	Alcubierre	c) >=55 años	Jefe explotación agraria	Hombre	34
22018	Alcubierre	c) >=55 años	Jefe explotación agraria	Mujer	8
22019	Alerre	a) <35 años	Jefe explotación agraria	Hombre	1
22019	Alerre	b) >=35 a <55 años	Jefe explotación agraria	Hombre	7
22019	Alerre	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22019	Alerre	c) >=55 años	Jefe explotación agraria	Hombre	4
22019	Alerre	c) >=55 años	Jefe explotación agraria	Mujer	1
22020	Alfántega	a) <35 años	Jefe explotación agraria	Hombre	2
22020	Alfántega	b) >=35 a <55 años	Jefe explotación agraria	Hombre	10
22020	Alfántega	b) >=35 a <55 años	Jefe explotación agraria	Mujer	1
22020	Alfántega	c) >=55 años	Jefe explotación agraria	Hombre	8
22020	Alfántega	c) >=55 años	Jefe explotación agraria	Mujer	2
22021	Almudévar	a) <35 años	Jefe explotación agraria	Hombre	22
22021	Almudévar	a) <35 años	Jefe explotación agraria	Mujer	2
22021	Almudévar	b) >=35 a <55 años	Jefe explotación agraria	Hombre	97
22021	Almudévar	b) >=35 a <55 años	Jefe explotación agraria	Mujer	9
22021	Almudévar	c) >=55 años	Jefe explotación agraria	Hombre	164
22021	Almudévar	c) >=55 años	Jefe explotación agraria	Mujer	37
22022	Almunia de San Juan	a) <35 años	Jefe explotación agraria	Hombre	1
22022	Almunia de San Juan	a) <35 años	Jefe explotación agraria	Mujer	1
22022	Almunia de San Juan	b) >=35 a <55 años	Jefe explotación agraria	Hombre	22
22022	Almunia de San Juan	b) >=35 a <55 años	Jefe explotación agraria	Mujer	4
22022	Almunia de San Juan	c) >=55 años	Jefe explotación agraria	Hombre	43
22022	Almunia de San Juan	c) >=55 años	Jefe explotación agraria	Mujer	6
22023	Almuniente	a) <35 años	Jefe explotación agraria	Hombre	13
22023	Almuniente	b) >=35 a <55 años	Jefe explotación agraria	Hombre	27
22023	Almuniente	b) >=35 a <55 años	Jefe explotación agraria	Mujer	6
22023	Almuniente	c) >=55 años	Jefe explotación agraria	Hombre	54
22023	Almuniente	c) >=55 años	Jefe explotación agraria	Mujer	7
22024	Alquézar	b) >=35 a <55 años	Jefe explotación agraria	Hombre	14
22024	Alquézar	b) >=35 a <55 años	Jefe explotación agraria	Mujer	5
