Comarca código	Comarca nombre	Lugar trabajo o estudio	Personas residentes viviendas familiares	Situación preferente
01	La Jacetania	En mi propio domicilio	62	Estudiantes que no trabajan
01	La Jacetania	En mi propio domicilio	299	Trabajadores
01	La Jacetania	En varios municipios (viajante, conductor,...)	6	Estudiantes que no trabajan
01	La Jacetania	En varios municipios (viajante, conductor,...)	319	Trabajadores
01	La Jacetania	En este municipio	377	Estudiantes que no trabajan
01	La Jacetania	En este municipio	4673	Trabajadores
01	La Jacetania	En otro municipio	687	Estudiantes que no trabajan
01	La Jacetania	En otro municipio	1686	Trabajadores
01	La Jacetania	En otro país	22	Estudiantes que no trabajan
01	La Jacetania	En otro país	25	Trabajadores
02	Alto Gállego	En mi propio domicilio	31	Estudiantes que no trabajan
02	Alto Gállego	En mi propio domicilio	151	Trabajadores
02	Alto Gállego	En varios municipios (viajante, conductor,...)	2	Estudiantes que no trabajan
02	Alto Gállego	En varios municipios (viajante, conductor,...)	282	Trabajadores
02	Alto Gállego	En este municipio	260	Estudiantes que no trabajan
02	Alto Gállego	En este municipio	3421	Trabajadores
02	Alto Gállego	En otro municipio	559	Estudiantes que no trabajan
02	Alto Gállego	En otro municipio	1161	Trabajadores
02	Alto Gállego	En otro país	11	Estudiantes que no trabajan
02	Alto Gállego	En otro país	17	Trabajadores
03	Sobrarbe	En mi propio domicilio	8	Estudiantes que no trabajan
03	Sobrarbe	En mi propio domicilio	340	Trabajadores
03	Sobrarbe	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
03	Sobrarbe	En varios municipios (viajante, conductor,...)	283	Trabajadores
03	Sobrarbe	En este municipio	43	Estudiantes que no trabajan
03	Sobrarbe	En este municipio	1282	Trabajadores
03	Sobrarbe	En otro municipio	291	Estudiantes que no trabajan
03	Sobrarbe	En otro municipio	868	Trabajadores
03	Sobrarbe	En otro país	9	Estudiantes que no trabajan
03	Sobrarbe	En otro país	13	Trabajadores
04	La Ribagorza	En mi propio domicilio	11	Estudiantes que no trabajan
04	La Ribagorza	En mi propio domicilio	563	Trabajadores
04	La Ribagorza	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
04	La Ribagorza	En varios municipios (viajante, conductor,...)	436	Trabajadores
04	La Ribagorza	En este municipio	112	Estudiantes que no trabajan
04	La Ribagorza	En este municipio	2418	Trabajadores
04	La Ribagorza	En otro municipio	490	Estudiantes que no trabajan
04	La Ribagorza	En otro municipio	1306	Trabajadores
04	La Ribagorza	En otro país	3	Estudiantes que no trabajan
04	La Ribagorza	En otro país	14	Trabajadores
05	Cinco Villas	En mi propio domicilio	75	Estudiantes que no trabajan
05	Cinco Villas	En mi propio domicilio	418	Trabajadores
05	Cinco Villas	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
05	Cinco Villas	En varios municipios (viajante, conductor,...)	734	Trabajadores
05	Cinco Villas	En este municipio	741	Estudiantes que no trabajan
05	Cinco Villas	En este municipio	9196	Trabajadores
05	Cinco Villas	En otro municipio	1049	Estudiantes que no trabajan
05	Cinco Villas	En otro municipio	2922	Trabajadores
05	Cinco Villas	En otro país	15	Estudiantes que no trabajan
05	Cinco Villas	En otro país	23	Trabajadores
06	Hoya de Huesca / Plana de Uesca	En mi propio domicilio	222	Estudiantes que no trabajan
06	Hoya de Huesca / Plana de Uesca	En mi propio domicilio	640	Trabajadores
06	Hoya de Huesca / Plana de Uesca	En varios municipios (viajante, conductor,...)	8	Estudiantes que no trabajan
06	Hoya de Huesca / Plana de Uesca	En varios municipios (viajante, conductor,...)	1324	Trabajadores
06	Hoya de Huesca / Plana de Uesca	En este municipio	2380	Estudiantes que no trabajan
06	Hoya de Huesca / Plana de Uesca	En este municipio	18016	Trabajadores
06	Hoya de Huesca / Plana de Uesca	En otro municipio	1991	Estudiantes que no trabajan
06	Hoya de Huesca / Plana de Uesca	En otro municipio	5485	Trabajadores
06	Hoya de Huesca / Plana de Uesca	En otro país	63	Estudiantes que no trabajan
06	Hoya de Huesca / Plana de Uesca	En otro país	80	Trabajadores
07	Somontano de Barbastro	En mi propio domicilio	41	Estudiantes que no trabajan
07	Somontano de Barbastro	En mi propio domicilio	293	Trabajadores
07	Somontano de Barbastro	En varios municipios (viajante, conductor,...)	550	Trabajadores
07	Somontano de Barbastro	En este municipio	442	Estudiantes que no trabajan
