Comarca código	Comarca nombre	Lugar trabajo o estudio	Número de viajes diarios	Personas residentes viviendas familiares	Situación preferente
01	La Jacetania	En el mismo municipio de residencia	0 viajes	25	Estudiantes que no trabajan
01	La Jacetania	En el mismo municipio de residencia	0 viajes	74	Trabajadores
01	La Jacetania	En el mismo municipio de residencia	1 viaje	268	Estudiantes que no trabajan
01	La Jacetania	En el mismo municipio de residencia	1 viaje	1714	Trabajadores
01	La Jacetania	En el mismo municipio de residencia	2 ó más viajes	84	Estudiantes que no trabajan
01	La Jacetania	En el mismo municipio de residencia	2 ó más viajes	2885	Trabajadores
01	La Jacetania	En otro municipio	0 viajes	503	Estudiantes que no trabajan
01	La Jacetania	En otro municipio	0 viajes	744	Trabajadores
01	La Jacetania	En otro municipio	1 viaje	144	Estudiantes que no trabajan
01	La Jacetania	En otro municipio	1 viaje	665	Trabajadores
01	La Jacetania	En otro municipio	2 ó más viajes	40	Estudiantes que no trabajan
01	La Jacetania	En otro municipio	2 ó más viajes	277	Trabajadores
02	Alto Gállego	En el mismo municipio de residencia	0 viajes	4	Estudiantes que no trabajan
02	Alto Gállego	En el mismo municipio de residencia	0 viajes	49	Trabajadores
02	Alto Gállego	En el mismo municipio de residencia	1 viaje	228	Estudiantes que no trabajan
02	Alto Gállego	En el mismo municipio de residencia	1 viaje	1387	Trabajadores
02	Alto Gállego	En el mismo municipio de residencia	2 ó más viajes	28	Estudiantes que no trabajan
02	Alto Gállego	En el mismo municipio de residencia	2 ó más viajes	1985	Trabajadores
02	Alto Gállego	En otro municipio	0 viajes	409	Estudiantes que no trabajan
02	Alto Gállego	En otro municipio	0 viajes	511	Trabajadores
02	Alto Gállego	En otro municipio	1 viaje	116	Estudiantes que no trabajan
02	Alto Gállego	En otro municipio	1 viaje	463	Trabajadores
02	Alto Gállego	En otro municipio	2 ó más viajes	34	Estudiantes que no trabajan
02	Alto Gállego	En otro municipio	2 ó más viajes	187	Trabajadores
03	Sobrarbe	En el mismo municipio de residencia	0 viajes	8	Estudiantes que no trabajan
03	Sobrarbe	En el mismo municipio de residencia	0 viajes	44	Trabajadores
03	Sobrarbe	En el mismo municipio de residencia	1 viaje	18	Estudiantes que no trabajan
03	Sobrarbe	En el mismo municipio de residencia	1 viaje	454	Trabajadores
03	Sobrarbe	En el mismo municipio de residencia	2 ó más viajes	17	Estudiantes que no trabajan
03	Sobrarbe	En el mismo municipio de residencia	2 ó más viajes	784	Trabajadores
03	Sobrarbe	En otro municipio	0 viajes	232	Estudiantes que no trabajan
03	Sobrarbe	En otro municipio	0 viajes	529	Trabajadores
03	Sobrarbe	En otro municipio	1 viaje	56	Estudiantes que no trabajan
03	Sobrarbe	En otro municipio	1 viaje	256	Trabajadores
03	Sobrarbe	En otro municipio	2 ó más viajes	3	Estudiantes que no trabajan
03	Sobrarbe	En otro municipio	2 ó más viajes	83	Trabajadores
04	La Ribagorza	En el mismo municipio de residencia	0 viajes	19	Estudiantes que no trabajan
04	La Ribagorza	En el mismo municipio de residencia	0 viajes	71	Trabajadores
04	La Ribagorza	En el mismo municipio de residencia	1 viaje	76	Estudiantes que no trabajan
04	La Ribagorza	En el mismo municipio de residencia	1 viaje	803	Trabajadores
04	La Ribagorza	En el mismo municipio de residencia	2 ó más viajes	17	Estudiantes que no trabajan
04	La Ribagorza	En el mismo municipio de residencia	2 ó más viajes	1544	Trabajadores
04	La Ribagorza	En otro municipio	0 viajes	416	Estudiantes que no trabajan
04	La Ribagorza	En otro municipio	0 viajes	696	Trabajadores
04	La Ribagorza	En otro municipio	1 viaje	68	Estudiantes que no trabajan
04	La Ribagorza	En otro municipio	1 viaje	399	Trabajadores
04	La Ribagorza	En otro municipio	2 ó más viajes	6	Estudiantes que no trabajan
04	La Ribagorza	En otro municipio	2 ó más viajes	211	Trabajadores
05	Cinco Villas	En el mismo municipio de residencia	0 viajes	16	Estudiantes que no trabajan
05	Cinco Villas	En el mismo municipio de residencia	0 viajes	88	Trabajadores
05	Cinco Villas	En el mismo municipio de residencia	1 viaje	645	Estudiantes que no trabajan
05	Cinco Villas	En el mismo municipio de residencia	1 viaje	3422	Trabajadores
05	Cinco Villas	En el mismo municipio de residencia	2 ó más viajes	80	Estudiantes que no trabajan
05	Cinco Villas	En el mismo municipio de residencia	2 ó más viajes	5686	Trabajadores
05	Cinco Villas	En otro municipio	0 viajes	757	Estudiantes que no trabajan
